Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,9,-2.1499,36,-0.1651,52,0.48293,37,-0.1856,53,0.46495,44,0.17251
ENSG00000188976,NOC2L,15,-2.0291,98,0.90862,45,-0.3882,39,-0.7098,87,0.68900,80,0.64458
ENSG00000188290,HES4,2,-3.6182,25,-0.1908,10,-1.6715,44,1.04594,26,-0.1195,38,0.54527
ENSG00000187608,ISG15,21,-0.8850,22,-0.7889,13,-1.7256,57,0.98940,38,0.02975,47,0.42247
ENSG00000188157,AGRN,13,-1.2678,34,0.26189,21,-0.5361,33,0.29469,42,0.57644,30,0.04092
ENSG00000078808,SDF4,45,-0.4531,76,0.37283,47,-0.4435,70,0.31755,48,-0.3406,65,0.13207
ENSG00000176022,B3GALT6,5,-2.0142,16,-0.3325,13,-0.6826,21,0.19961,12,-0.7081,36,1.19408
ENSG00000160087,UBE2J2,17,-1.2386,34,-0.1994,27,-0.6179,46,0.39112,56,0.60837,43,0.19125
ENSG00000131584,ACAP3,45,-0.9112,49,-0.8053,87,0.10229,92,0.24359,96,0.26453,89,0.16126
ENSG00000127054,INTS11,19,-1.4644,41,-0.2944,28,-0.9866,71,0.81258,43,-0.2269,62,0.41526
ENSG00000224051,CPTP,5,-2.1041,14,-0.5008,16,-0.3292,26,0.54520,23,0.19656,24,0.32382
ENSG00000107404,DVL1,13,-2.1759,45,-0.3357,40,-0.5615,88,1.04963,58,0.06268,49,-0.2256
ENSG00000175756,AURKAIP1,77,-1.2295,148,-0.2295,79,-1.2808,255,0.91782,117,-0.5851,221,0.47998
ENSG00000221978,CCNL2,76,0.28861,24,-1.4579,76,0.32451,54,-0.3092,35,-0.9281,93,0.71554
ENSG00000242485,MRPL20,82,-0.9378,152,0.01341,81,-1.0414,231,0.98975,107,-0.5402,155,0.04710
ENSG00000235098,ANKRD65,44,0.44201,25,-0.4219,15,-1.2648,47,0.80054,40,0.30763,25,-0.5056
ENSG00000179403,VWA1,142,2.90535,14,-1.1642,9,-1.9041,31,0.02829,9,-1.8931,16,-1.1272
ENSG00000205090,TMEM240,11,-1.4664,20,-0.6252,23,-0.3922,36,0.43648,36,0.31004,36,0.38406
ENSG00000160075,SSU72,51,-1.5312,172,0.35318,62,-1.3411,167,0.39744,145,0.07366,196,0.66144
ENSG00000228594,FNDC10,1,-4.6652,13,-1.2048,16,-0.9371,30,0.14062,49,0.90862,49,1.04770
ENSG00000197530,MIB2,7,-2.2205,17,-0.9865,23,-0.5721,50,1.06910,26,-0.2835,35,0.19547
ENSG00000248333,CDK11B,46,-0.4876,102,0.79164,93,0.74799,49,-0.4833,65,0.04232,41,-0.7139
ENSG00000189339,SLC35E2B,28,0.48631,21,0.08603,28,0.61544,17,-0.3010,16,-0.3628,15,-0.5567
ENSG00000008128,CDK11A,44,0.91774,36,0.57206,39,0.83891,17,-0.7226,18,-0.4996,12,-1.2232
ENSG00000215790,SLC35E2A,19,-0.0731,12,-0.7189,22,0.14761,25,0.48472,18,-0.1775,16,-0.3921
ENSG00000008130,NADK,16,-0.5606,16,-0.5997,30,0.44664,19,-0.4470,25,0.12274,31,0.49396
ENSG00000078369,GNB1,194,-1.5673,510,-0.0856,422,-0.4258,686,0.52875,610,0.20165,583,0.14711
ENSG00000187730,GABRD,2,-6.5561,159,-0.1720,95,-1.0534,230,0.58126,123,-0.5696,302,1.05081
ENSG00000067606,PRKCZ,66,-1.8094,180,-0.2949,163,-0.4904,229,0.11291,322,0.65176,292,0.56393
ENSG00000162585,FAAP20,27,-0.7220,17,-1.3753,19,-1.3130,56,0.57040,78,0.99263,50,0.29272
ENSG00000157933,SKI,51,0.51706,25,-0.6405,55,0.74726,27,-0.5893,50,0.46212,27,-0.5455
ENSG00000157916,RER1,47,-0.1526,27,-0.9775,38,-0.5063,63,0.44145,46,-0.1718,64,0.40265
ENSG00000157911,PEX10,28,0.30277,7,-1.8737,14,-0.8740,33,0.74968,20,-0.2659,27,0.22899
ENSG00000157870,PRXL2B,12,-1.6723,28,-0.4736,23,-0.7871,46,0.42604,54,0.59129,48,0.46755
ENSG00000177133,PRDM16-DT,15,-1.0993,8,-1.9285,23,-0.4339,57,1.62022,25,-0.2568,17,-0.9784
ENSG00000158109,TPRG1L,25,-3.0843,245,0.32454,144,-0.5667,246,0.44975,214,0.10879,245,0.37081
ENSG00000130764,LRRC47,54,-0.5150,79,0.07226,47,-0.7908,78,0.06704,53,-0.5641,120,0.89429
ENSG00000116198,CEP104,116,1.70853,53,0.33146,45,0.07550,25,-1.0276,53,0.33458,23,-1.0787
ENSG00000196581,AJAP1,19,-1.6916,147,1.59962,64,0.15897,54,-0.1522,41,-0.5492,43,-0.5283
ENSG00000069424,KCNAB2,17,-3.4183,120,-0.5021,122,-0.5335,221,0.63676,185,0.18197,213,0.47495
ENSG00000116254,CHD5,39,-2.9809,298,0.08065,471,0.99007,175,-0.9136,455,0.78075,289,0.03172
ENSG00000116251,RPL22,789,0.97234,287,-0.6718,267,-0.8544,590,0.64710,530,0.29884,248,-0.9800
ENSG00000116237,ICMT,22,-1.1331,49,0.12880,41,-0.1849,46,0.03358,50,0.17074,56,0.39263
ENSG00000097021,ACOT7,26,-2.7024,260,0.83778,86,-1.0131,169,0.15154,110,-0.5628,247,0.87823
ENSG00000215788,TNFRSF25,1,-4.4032,13,-0.7704,33,0.73712,23,0.05442,8,-1.4632,32,0.72755
ENSG00000171680,PLEKHG5,4,-2.5410,22,-0.0476,15,-0.7025,37,1.13490,18,-0.3982,21,-0.1065
ENSG00000162408,NOL9,35,0.30744,17,-0.8381,27,-0.1422,27,-0.1318,45,0.73327,29,-0.0104
ENSG00000162413,KLHL21,31,0.02934,36,0.28610,25,-0.2971,31,0.02389,8,-1.8816,42,0.61596
ENSG00000041988,THAP3,12,-0.7287,32,0.77060,9,-1.2755,19,-0.0731,17,-0.2121,30,0.82699
ENSG00000007923,DNAJC11,30,-0.3788,29,-0.3999,32,-0.2668,36,-0.0934,58,0.70284,44,0.27165
ENSG00000171735,CAMTA1,195,-1.4559,724,0.60159,736,0.73259,298,-0.9814,865,0.90766,432,-0.2624
ENSG00000049245,VAMP3,111,2.35888,1,-4.1859,13,-1.3378,26,-0.3000,46,0.66015,20,-0.7006
ENSG00000049246,PER3,93,0.48849,84,0.30533,79,0.24054,72,0.09020,60,-0.2204,40,-0.9292
ENSG00000116288,PARK7,167,-0.5457,227,-0.0631,108,-1.2987,358,0.96520,136,-0.8556,268,0.23631
ENSG00000116285,ERRFI1,28,0.19523,18,-0.4978,28,0.24562,16,-0.8246,9,-1.5584,43,1.13458
ENSG00000162426,SLC45A1,3,-3.1169,19,-0.4885,16,-0.8117,29,0.23038,22,-0.2003,47,1.21084
ENSG00000142599,RERE,154,0.04127,147,-0.0305,191,0.45005,128,-0.3138,172,0.21289,131,-0.2446
ENSG00000074800,ENO1,242,-0.8000,286,-0.5419,199,-1.1909,678,1.25027,172,-1.3169,449,0.19822
ENSG00000171612,SLC25A33,23,-0.6005,31,-0.1332,25,-0.4876,51,0.93720,23,-0.6029,28,-0.2925
ENSG00000171603,CLSTN1,136,-2.4660,728,0.07568,642,-0.1385,634,-0.1833,666,-0.0659,1112,0.91537
ENSG00000178585,CTNNBIP1,14,-1.0264,22,-0.3243,14,-1.1270,30,0.15699,61,1.36354,30,0.16039
ENSG00000162441,LZIC,138,1.35584,52,-0.2771,51,-0.3266,57,-0.1764,78,0.37448,39,-0.7745
ENSG00000130939,UBE4B,55,0.41276,38,-0.1844,59,0.60691,28,-0.7972,51,0.27996,41,-0.0954
ENSG00000054523,KIF1B,783,0.71236,415,-0.3212,662,0.49501,318,-0.8913,839,0.83094,384,-0.4904
ENSG00000142657,PGD,29,-0.8944,40,-0.4252,45,-0.2660,45,-0.2688,55,0.09242,85,0.95709
ENSG00000241563,CORT,0,-8.3719,95,2.21466,4,-2.8746,30,0.20418,7,-2.0790,37,0.56714
ENSG00000160049,DFFA,122,1.23948,31,-0.9638,76,0.49508,55,-0.1264,35,-0.8131,40,-0.6632
ENSG00000142655,PEX14,10,-1.1779,21,0.01732,16,-0.4699,23,0.20982,18,-0.2402,30,0.65047
ENSG00000120948,TARDBP,142,0.60330,92,-0.0999,95,-0.0651,101,0.05195,51,-1.0178,103,0.08096
ENSG00000116649,SRM,23,-1.5485,77,0.28628,26,-1.4584,99,0.99716,56,-0.2190,68,0.11021
ENSG00000171824,EXOSC10,26,-0.2828,26,-0.2646,49,0.88955,25,-0.4407,12,-1.4452,37,0.30469
ENSG00000198793,MTOR,27,-0.7015,61,0.60094,32,-0.4419,42,0.01283,38,-0.1312,51,0.35611
ENSG00000116661,FBXO2,79,-1.3441,100,-0.9884,89,-1.2596,347,1.50121,93,-1.1056,202,0.11649
ENSG00000132879,FBXO44,9,-3.1991,88,0.14120,61,-0.4827,96,0.37305,51,-0.7138,123,0.82375
ENSG00000177000,MTHFR,13,-1.0096,29,0.18095,38,0.75330,18,-0.6300,37,0.59563,23,-0.2001
ENSG00000011021,CLCN6,51,-0.7483,64,-0.4021,76,-0.1671,68,-0.4027,126,0.67870,118,0.65517
ENSG00000116685,KIAA2013,37,0.10559,17,-1.0844,35,0.03434,31,-0.2555,42,0.29050,45,0.45921
ENSG00000083444,PLOD1,14,-0.6655,13,-0.7092,18,-0.2721,26,0.43948,16,-0.4887,28,0.47934
ENSG00000116688,MFN2,84,-0.5754,130,0.10001,103,-0.2895,112,-0.1619,142,0.25385,159,0.49419
ENSG00000048707,VPS13D,95,0.34372,69,-0.1673,97,0.42602,55,-0.6568,72,-0.1059,88,0.23749
ENSG00000162496,DHRS3,19,0.05409,1,-3.5823,14,-0.3914,33,1.50157,3,-2.6753,14,-0.3711
ENSG00000116731,PRDM2,208,-0.3606,331,0.39021,458,1.11409,147,-1.0710,318,0.32274,196,-0.4948
ENSG00000189337,KAZN,74,0.36411,83,0.56631,64,0.14013,38,-0.8216,72,0.32413,59,0.00297
ENSG00000142634,EFHD2,27,-1.6534,24,-1.7885,105,0.51472,34,-1.5120,180,1.38883,126,0.88276
ENSG00000116138,DNAJC16,27,-0.8956,52,0.15362,64,0.54786,36,-0.5299,52,0.13921,54,0.24109
ENSG00000197312,DDI2,40,-0.0723,47,0.19141,69,0.97193,26,-0.8830,48,0.23636,33,-0.4084
ENSG00000116786,PLEKHM2,89,-0.9957,90,-0.9897,130,-0.4591,235,0.73188,311,1.01202,120,-0.6011
ENSG00000065526,SPEN,478,1.42639,190,-0.1438,372,1.15703,110,-1.1765,148,-0.5318,93,-1.3383
ENSG00000116809,ZBTB17,30,0.46127,18,-0.3607,16,-0.5808,23,0.03019,24,0.06356,27,0.30544
ENSG00000037637,FBXO42,27,0.28795,12,-0.9208,28,0.38238,21,-0.0925,18,-0.3573,24,0.11291
ENSG00000055070,SZRD1,53,1.05690,11,-1.4532,23,-0.3180,30,0.16450,25,-0.1810,27,-0.0689
ENSG00000159363,ATP13A2,9,-3.4143,65,-0.5932,56,-0.9133,104,0.18381,111,0.24781,172,1.16947
ENSG00000117118,SDHB,24,-1.0990,62,0.35705,17,-1.7725,65,0.60210,23,-1.1621,79,0.88915
ENSG00000117115,PADI2,256,2.73909,16,-1.9862,15,-2.1606,70,0.34903,28,-1.1455,27,-1.2868
ENSG00000179051,RCC2,21,-0.4406,22,-0.4001,15,-1.0228,28,0.00728,41,0.61311,41,0.71375
ENSG00000074964,ARHGEF10L,0,-6.0240,14,-0.4528,18,-0.0331,23,0.52951,23,0.37914,20,0.16064
ENSG00000117154,IGSF21,5,-3.4307,70,0.34970,47,-0.3074,60,0.14666,55,-0.0299,78,0.62160
ENSG00000159423,ALDH4A1,18,-0.0817,5,-1.9441,10,-0.9773,32,1.22257,14,-0.5026,18,-0.0778
ENSG00000127481,UBR4,65,0.40087,58,0.19252,87,1.04919,35,-0.7261,62,0.30773,23,-1.3068
ENSG00000127463,EMC1,14,-1.3263,43,0.36197,34,0.00415,39,0.26991,40,0.25944,30,-0.2463
ENSG00000053372,MRTO4,12,-1.8617,29,-0.5481,43,0.06299,45,0.15105,54,0.42474,50,0.34025
ENSG00000053371,AKR7A2,34,0.35356,9,-1.6857,18,-0.6596,41,0.93013,20,-0.4591,25,-0.1744
ENSG00000077549,CAPZB,108,-0.6550,200,0.31780,124,-0.4965,184,0.23604,127,-0.4073,205,0.40869
ENSG00000173436,MICOS10,187,-0.4342,158,-0.7007,118,-1.2398,374,0.96067,263,0.10280,250,0.02632
ENSG00000158747,NBL1,41,-1.7114,95,-0.4513,81,-0.7550,144,0.28773,188,0.65330,171,0.57074
ENSG00000169914,OTUD3,7,-1.8319,24,-0.0501,36,0.69827,19,-0.5451,32,0.41102,29,0.24450
ENSG00000162545,CAMK2N1,885,-1.2455,3924,1.15500,1180,-0.8840,3136,1.08139,1446,-0.4946,879,-1.3573
ENSG00000158828,PINK1,162,-1.4236,322,-0.3687,260,-0.7671,523,0.54875,443,0.13792,526,0.48072
ENSG00000244038,DDOST,9,-1.5496,34,0.50186,8,-1.8317,35,0.72472,13,-0.9364,37,0.72489
