Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,42,0.32729,42,0.33227,57,0.99079,30,-0.1667,17,-1.0204,13,-1.4320,41,0.31811,10,-1.7872,35,0.06023,27,-0.3570
ENSG00000188976,NOC2L,63,0.44682,67,0.55162,63,0.51393,18,-1.4819,37,-0.3769,19,-1.3798,39,-0.3258,27,-0.8489,55,0.20765,73,0.68186
ENSG00000188290,HES4,27,-0.3626,19,-0.8380,41,0.34155,32,-0.0799,34,0.01686,58,0.87953,49,0.60213,9,-1.8722,14,-1.3487,46,0.51839
ENSG00000187608,ISG15,7,-2.2918,14,-1.1995,32,0.01763,124,2.44027,37,0.23786,41,0.42429,31,-0.0262,29,-0.1290,1,-4.6773,0,-5.7009
ENSG00000188157,AGRN,13,-0.2199,12,-0.3122,13,-0.1913,26,0.84352,17,0.22550,12,-0.2840,16,0.06011,12,-0.2964,6,-1.3886,24,0.75355
ENSG00000078808,SDF4,55,-0.1555,55,-0.1477,70,0.26967,87,0.58146,42,-0.5485,74,0.31718,52,-0.2375,53,-0.2165,13,-2.2953,94,0.71724
ENSG00000176022,B3GALT6,29,0.45495,12,-0.9165,29,0.49828,11,-1.0693,25,0.19846,20,-0.1430,22,-0.0254,12,-0.9632,12,-0.9326,42,1.04191
ENSG00000160087,UBE2J2,47,0.35693,60,0.75139,47,0.41510,27,-0.5028,40,0.10965,36,-0.0611,25,-0.6023,26,-0.5910,24,-0.7003,33,-0.1821
ENSG00000131584,ACAP3,84,0.01529,39,-1.1466,63,-0.4819,53,-0.7076,89,0.10247,46,-0.9044,77,-0.1311,45,-0.9408,170,1.17823,188,1.36338
ENSG00000127054,INTS11,33,-0.3810,35,-0.3061,66,0.82756,25,-0.8248,35,-0.2870,37,-0.2148,36,-0.2691,40,-0.0881,34,-0.3490,59,0.54225
ENSG00000224051,CPTP,17,0.03065,18,0.17614,28,0.97725,13,-0.4049,20,0.30450,2,-2.7743,16,-0.0960,7,-1.2542,0,-7.0590,33,1.13790
ENSG00000107404,DVL1,35,-0.4371,25,-0.9584,34,-0.5312,65,0.51977,66,0.53567,77,0.80500,72,0.69442,27,-0.8452,42,-0.1870,39,-0.2919
ENSG00000175756,AURKAIP1,90,-0.7074,94,-0.6353,168,0.31231,115,-0.3265,155,0.14914,276,1.10322,218,0.70246,95,-0.6250,41,-1.8821,137,-0.0555
ENSG00000221978,CCNL2,77,0.04972,82,0.15426,58,-0.4273,57,-0.4069,36,-1.1124,34,-1.1936,52,-0.5459,79,0.10500,112,0.66263,173,1.41171
