Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,40,0.31794,43,0.38861,29,-0.3207,20,-0.8517,25,-0.5970
ENSG00000188976,NOC2L,37,0.05713,53,0.81065,22,-0.7820,21,-0.8554,24,-0.6634
ENSG00000188290,HES4,22,-0.0191,12,-1.1053,52,1.39940,40,0.91872,15,-0.6603
ENSG00000187608,ISG15,29,-0.3036,40,0.33588,61,0.96188,44,0.43884,14,-1.3559
ENSG00000188157,AGRN,14,-0.1490,8,-1.2110,19,0.35429,35,1.33925,17,0.21670
ENSG00000078808,SDF4,50,0.24920,40,-0.1834,34,-0.4268,58,0.41109,39,-0.2150
ENSG00000176022,B3GALT6,21,0.25856,21,0.14400,17,-0.1535,18,-0.0583,14,-0.5612
ENSG00000160087,UBE2J2,37,0.51389,31,0.04940,25,-0.2672,17,-0.8668,23,-0.4203
ENSG00000131584,ACAP3,53,-0.0297,44,-0.3763,67,0.34227,74,0.50217,54,-0.0137
ENSG00000127054,INTS11,40,0.52833,36,0.18302,31,-0.0629,22,-0.5766,18,-1.0098
ENSG00000224051,CPTP,22,0.44266,15,-0.3145,18,-0.0225,16,-0.2080,16,-0.2022
ENSG00000107404,DVL1,43,-0.0165,35,-0.3798,36,-0.2753,78,0.95669,42,-0.0527
ENSG00000175756,AURKAIP1,161,0.66176,98,-0.4326,70,-0.8654,184,0.65163,81,-0.7047
ENSG00000221978,CCNL2,38,0.12835,37,0.04281,41,0.19432,36,-0.0018,29,-0.4085
ENSG00000242485,MRPL20,152,0.56097,92,-0.5082,96,-0.3613,157,0.42496,95,-0.4090
ENSG00000235098,ANKRD65,36,0.94658,11,-1.4347,19,-0.4236,35,0.53780,21,-0.2448
ENSG00000179403,VWA1,13,-0.4772,5,-1.9937,35,1.18800,45,1.67691,18,0.12512
ENSG00000205090,TMEM240,27,-0.0604,41,0.85834,17,-0.6999,11,-1.3929,22,-0.3712
ENSG00000160075,SSU72,135,0.23416,114,-0.1323,109,-0.1726,162,0.45502,94,-0.4360
ENSG00000228594,FNDC10,19,-0.6048,37,0.72506,18,-0.5679,34,0.43465,23,-0.2015
ENSG00000272106,AL691432.2,23,0.65757,11,-0.9428,9,-1.0673,29,0.76073,17,-0.0946
ENSG00000197530,MIB2,18,-0.1543,19,-0.0491,20,0.00027,24,0.29807,21,0.11811
ENSG00000248333,CDK11B,41,-0.3483,47,-0.0405,105,1.31612,22,-1.1643,48,-0.0084
ENSG00000008128,CDK11A,14,-0.9124,23,0.08224,80,2.26541,5,-2.2036,17,-0.4853
ENSG00000215790,SLC35E2A,22,-0.4697,35,0.50066,13,-1.1062,50,1.00463,22,-0.3353
ENSG00000008130,NADK,28,0.63265,18,-0.3617,26,0.29057,23,0.05928,12,-0.9843
ENSG00000078369,GNB1,492,0.26132,358,-0.3939,315,-0.5208,694,0.74230,394,-0.1903
ENSG00000187730,GABRD,195,0.80039,157,0.20839,59,-1.3415,81,-0.8674,85,-0.8614
ENSG00000067606,PRKCZ,162,0.33103,146,0.07064,54,-1.4724,164,0.24148,123,-0.2358
ENSG00000162585,FAAP20,16,-1.3968,33,0.00805,58,0.90444,53,0.76837,45,0.54344
ENSG00000157933,SKI,27,-0.4349,22,-0.7963,72,1.25340,52,0.69557,36,0.10990
ENSG00000157916,RER1,47,0.32541,30,-0.5348,44,0.11557,65,0.76525,30,-0.5209
ENSG00000157911,PEX10,18,-0.1191,12,-0.7802,32,0.85365,29,0.67659,19,0.03241
ENSG00000197921,HES5,13,-1.0276,5,-2.2932,46,1.23937,66,1.90154,30,0.56188
ENSG00000157870,PRXL2B,50,0.03971,58,0.34810,33,-0.6002,64,0.44152,34,-0.6319
ENSG00000177133,PRDM16-DT,16,-0.5981,6,-2.1762,48,1.31834,46,1.24648,31,0.64576
ENSG00000158109,TPRG1L,226,0.82694,149,-0.1685,72,-1.2438,174,0.10868,97,-0.8673
ENSG00000130764,LRRC47,81,0.99811,40,-0.6049,29,-0.9630,62,0.20494,35,-0.7452
ENSG00000116198,CEP104,24,-0.6038,35,0.17357,85,1.62978,15,-1.1515,27,-0.3312
ENSG00000196581,AJAP1,50,0.36482,52,0.40303,24,-0.8756,30,-0.5354,30,-0.5933
ENSG00000069424,KCNAB2,188,0.23532,180,0.11444,86,-1.0537,287,0.85794,102,-0.8505
ENSG00000116254,CHD5,203,-0.5103,364,0.73950,169,-0.6520,114,-1.2480,324,0.41379
ENSG00000116251,RPL22,514,0.06001,350,-0.6704,616,0.33307,642,0.39802,572,0.23831
ENSG00000116237,ICMT,48,0.85093,32,-0.1496,9,-1.9712,31,-0.1382,25,-0.5518
ENSG00000097021,ACOT7,266,1.48621,140,-0.2264,53,-1.6416,104,-0.6384,43,-2.0675
ENSG00000215788,TNFRSF25,14,-0.0160,16,0.23643,12,-0.2127,14,-0.0212,12,-0.1863
