Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,9,-1.8800,20,-0.5828,45,0.72009,44,1.20518,15,-1.0644
ENSG00000188976,NOC2L,22,-1.0996,49,0.20895,42,-0.0277,61,0.98509,24,-0.9506
ENSG00000188290,HES4,12,-1.5476,37,0.33219,21,-0.5806,32,0.12744,47,0.83195
ENSG00000187608,ISG15,27,-0.5491,19,-1.0277,5,-2.8719,51,0.79572,47,0.42260
ENSG00000188157,AGRN,29,0.36851,32,0.49744,11,-1.2127,25,0.14453,18,-0.4980
ENSG00000078808,SDF4,59,0.07572,48,-0.2533,62,0.16808,51,-0.2212,65,0.26814
ENSG00000176022,B3GALT6,11,-0.6954,8,-1.1405,21,0.42820,21,0.67014,14,-0.2523
ENSG00000160087,UBE2J2,26,-0.2516,42,0.53072,23,-0.4349,32,0.14999,28,-0.1201
ENSG00000131584,ACAP3,62,-0.0344,134,1.26032,67,0.09267,53,-0.4176,49,-0.4498
ENSG00000127054,INTS11,32,-0.2879,37,-0.0383,27,-0.5194,42,0.24417,42,0.16766
ENSG00000224051,CPTP,11,-0.5323,3,-2.3119,6,-1.3352,23,1.20709,13,-0.1643
ENSG00000107404,DVL1,32,-0.4710,31,-0.4835,22,-1.0120,44,0.11282,63,0.79444
ENSG00000175756,AURKAIP1,102,-0.7551,72,-1.2180,67,-1.3265,214,0.82398,191,0.35010
ENSG00000221978,CCNL2,58,-0.0695,108,0.95335,85,0.56066,51,-0.3816,46,-0.4884
ENSG00000242485,MRPL20,121,-0.2203,50,-1.5349,90,-0.6659,162,0.41908,172,0.41245
ENSG00000235098,ANKRD65,46,0.59432,18,-0.9586,19,-0.8297,30,-0.2286,42,0.41838
ENSG00000179403,VWA1,173,3.13643,25,-1.0755,29,-0.8249,6,-3.6506,38,-0.4671
ENSG00000197785,ATAD3A,11,-0.5453,20,0.47131,18,0.27825,17,0.33549,11,-0.5640
ENSG00000205090,TMEM240,5,-2.1168,14,-0.4893,16,-0.3212,31,1.28990,17,-0.2803
ENSG00000160075,SSU72,75,-0.9220,81,-0.7343,84,-0.6753,180,0.89992,130,0.01276
ENSG00000228594,FNDC10,4,-2.6057,14,-0.5565,0,-4.6656,30,1.09197,30,0.77063
ENSG00000272106,AL691432.2,17,0.30154,5,-1.6748,13,-0.1974,19,0.62433,10,-0.6714
ENSG00000197530,MIB2,19,-0.7410,34,0.26763,27,-0.1178,29,0.00204,37,0.48108
ENSG00000248333,CDK11B,69,0.67209,60,0.34737,42,-0.2227,44,-0.2015,33,-0.6509
ENSG00000189339,SLC35E2B,16,-0.2315,25,0.46619,17,-0.1314,17,-0.1994,22,0.27271
ENSG00000008128,CDK11A,36,0.54413,50,1.05350,23,-0.2380,21,-0.5106,18,-0.6119
ENSG00000215790,SLC35E2A,11,-0.6503,16,0.05362,19,0.30552,14,-0.2819,23,0.66828
ENSG00000008130,NADK,17,-0.4057,23,0.03859,18,-0.2750,23,0.11779,26,0.29690
ENSG00000078369,GNB1,245,-1.0370,224,-1.0893,406,-0.1690,534,0.42970,629,0.62819
ENSG00000187730,GABRD,2,-5.9562,84,-0.7262,46,-1.6313,261,2.44447,76,-0.9516
ENSG00000067606,PRKCZ,85,-1.4232,154,-0.4100,161,-0.3417,268,0.79165,221,0.18405
