Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,8,-2.2687,25,-0.6618,20,-0.9773,28,-0.4894,57,0.75190,55,0.66089,18,-1.1189,48,0.41899
ENSG00000188976,NOC2L,28,-0.4570,17,-1.1689,35,-0.1026,12,-1.6865,15,-1.5097,47,0.42012,56,0.65561,70,1.19053
ENSG00000188290,HES4,18,-0.9856,38,0.15993,58,0.81693,23,-0.6462,37,0.09753,15,-1.3445,88,1.57052,27,-0.4484
ENSG00000187608,ISG15,46,0.38395,159,2.71928,17,-1.1460,19,-0.9347,13,-1.6759,15,-1.4060,30,-0.2842,35,-0.0542
ENSG00000078808,SDF4,30,-0.8376,30,-0.8327,45,-0.2194,50,-0.0745,53,0.01581,36,-0.6279,83,0.74865,79,0.77134
ENSG00000160087,UBE2J2,12,-1.4576,29,-0.1632,17,-1.0169,18,-0.8633,30,-0.1669,19,-0.9190,70,1.26384,58,1.08028
ENSG00000131584,ACAP3,52,-0.6485,158,1.15244,38,-1.1193,31,-1.4233,79,0.00333,64,-0.3450,99,0.37309,101,0.44692
ENSG00000127054,INTS11,16,-1.4485,28,-0.5833,24,-0.8060,28,-0.5892,19,-1.2388,38,-0.1064,98,1.46384,70,1.03114
ENSG00000107404,DVL1,40,-0.7964,105,0.73961,54,-0.3176,82,0.34129,76,0.24657,28,-1.4134,146,1.31954,47,-0.5676
ENSG00000175756,AURKAIP1,43,-1.5376,128,0.11114,135,0.19304,159,0.46105,95,-0.3826,57,-1.2262,259,1.29217,142,0.31471
ENSG00000221978,CCNL2,57,0.43360,12,-1.8991,26,-0.7977,12,-1.8913,29,-0.6605,42,-0.0315,84,1.10758,70,0.91391
ENSG00000242485,MRPL20,73,-0.7375,65,-0.9191,153,0.42799,164,0.54014,101,-0.2512,90,-0.4608,226,1.08146,114,-0.0505
ENSG00000205090,TMEM240,8,-1.6410,3,-2.8905,8,-1.4947,12,-1.0036,30,0.44007,27,0.22278,19,-0.2933,47,1.34509
ENSG00000160075,SSU72,21,-2.8195,190,0.52221,132,-0.0612,183,0.45517,112,-0.3588,104,-0.4724,254,1.00974,151,0.16154
ENSG00000228594,FNDC10,18,-0.5031,18,-0.5133,8,-1.7037,32,0.40269,28,0.20979,23,-0.1434,15,-0.7698,41,0.91117
ENSG00000197530,MIB2,6,-1.9327,4,-2.4417,9,-1.4113,18,-0.4118,31,0.44833,15,-0.7291,49,1.20437,41,1.02972
ENSG00000248333,CDK11B,103,1.48775,5,-3.1921,16,-1.4650,55,0.39595,28,-0.6784,79,1.19167,8,-2.5339,33,-0.4095
ENSG00000008130,NADK,7,-1.5520,6,-1.8795,26,0.30617,34,0.75211,21,-0.0604,17,-0.3497,24,0.20954,31,0.65022
ENSG00000078369,GNB1,183,-1.6066,595,0.20303,504,-0.0600,626,0.28451,613,0.28141,428,-0.3480,696,0.45720,539,0.04848
ENSG00000187730,GABRD,9,-3.6000,101,-0.0988,66,-0.7539,97,-0.1518,73,-0.6539,78,-0.5406,126,0.25909,239,1.61313
ENSG00000067606,PRKCZ,77,-1.1676,152,-0.1307,109,-0.6548,208,0.36361,145,-0.2270,166,0.00588,251,0.67615,201,0.34570
ENSG00000162585,FAAP20,48,0.19059,94,1.31230,32,-0.4459,37,-0.2084,44,0.06180,16,-1.5431,80,1.01837,29,-0.6637
ENSG00000157933,SKI,55,0.23551,23,-1.1273,45,-0.0803,28,-0.8038,66,0.57754,42,-0.2336,98,1.18183,31,-0.7402
ENSG00000157916,RER1,30,-0.5691,39,-0.1637,61,0.56818,34,-0.3571,41,-0.0971,24,-0.9790,60,0.54117,60,0.60801
ENSG00000157870,PRXL2B,12,-2.1130,72,0.54086,50,-0.0415,58,0.19268,41,-0.3898,39,-0.4532,92,0.95733,60,0.27605
ENSG00000158109,TPRG1L,23,-2.8289,158,0.00956,118,-0.4446,175,0.17820,105,-0.6767,147,-0.1106,284,0.98106,230,0.71288
ENSG00000130764,LRRC47,47,-0.3893,21,-1.6085,43,-0.5338,41,-0.5948,69,0.24900,45,-0.5019,56,-0.0984,113,1.21703
ENSG00000116198,CEP104,116,1.95195,42,0.19050,37,-0.0239,8,-2.3197,17,-1.2503,44,0.28773,42,0.16918,22,-0.8533
ENSG00000196581,AJAP1,17,-1.6478,15,-1.7942,56,0.16300,34,-0.6275,27,-1.0336,84,0.95686,40,-0.3682,86,1.00468
ENSG00000069424,KCNAB2,36,-2.5127,345,0.96159,114,-0.8093,209,0.13111,199,0.06358,133,-0.6249,304,0.74649,221,0.24978
ENSG00000116254,CHD5,358,0.26543,172,-0.8808,199,-0.6547,265,-0.2140,274,-0.1784,477,0.84796,200,-0.6501,321,0.09989
ENSG00000116251,RPL22,733,0.54399,711,0.49398,592,0.19578,962,1.00240,546,0.07442,302,-0.9216,382,-0.4915,342,-0.7234
ENSG00000116237,ICMT,14,-1.3526,65,1.05933,45,0.42224,21,-0.7652,25,-0.4995,27,-0.4196,34,-0.0142,47,0.56749
ENSG00000097021,ACOT7,31,-2.1486,144,0.15241,46,-1.5984,164,0.36347,52,-1.4904,110,-0.3019,234,0.95648,247,1.23493
ENSG00000215788,TNFRSF25,3,-3.0090,11,-1.1000,14,-0.7371,15,-0.6146,14,-0.8016,25,0.20783,46,1.18130,41,1.10286
ENSG00000171680,PLEKHG5,0,-5.2512,3,-3.0029,15,-0.6351,23,0.02930,14,-0.7974,16,-0.5212,78,2.17677,34,0.75806
ENSG00000162408,NOL9,46,0.67842,3,-3.4009,37,0.32277,33,0.17694,26,-0.2258,30,0.01916,27,-0.1492,35,0.29069
ENSG00000162413,KLHL21,21,-0.2015,3,-2.7706,31,0.38934,20,-0.2731,15,-0.7876,26,0.13670,8,-1.6119,50,1.40983
ENSG00000007923,DNAJC11,21,-0.7124,16,-1.1058,18,-0.9543,39,0.25185,36,0.17093,38,0.22149,24,-0.4986,50,0.73943
ENSG00000171735,CAMTA1,129,-1.7623,440,0.11232,346,-0.2651,430,0.07914,364,-0.2047,660,0.89956,356,-0.2215,378,-0.1408
ENSG00000049246,PER3,35,-0.5640,14,-1.9484,80,0.75190,28,-0.8803,70,0.60974,51,0.01992,65,0.41469,44,-0.2116
ENSG00000116288,PARK7,74,-1.8159,509,1.22075,391,0.76589,287,0.25466,208,-0.2811,124,-1.1278,243,-0.0116,261,0.11800
ENSG00000116285,ERRFI1,0,-4.9261,12,-1.0604,24,0.01021,7,-1.8297,36,0.81485,22,-0.0737,32,0.48034,33,0.61780
ENSG00000162426,SLC45A1,0,-5.2074,3,-2.9203,9,-1.2177,20,-0.0568,9,-1.3968,12,-0.9023,50,1.40528,55,1.94932
ENSG00000142599,RERE,255,0.83897,105,-0.5849,127,-0.2860,111,-0.4902,111,-0.5444,173,0.22793,170,0.17312,171,0.20085
ENSG00000074800,ENO1,186,-1.0528,91,-2.1233,994,1.69999,234,-0.7046,351,-0.0843,215,-0.9028,513,0.53649,451,0.36374
ENSG00000171612,SLC25A33,3,-3.0596,3,-3.2491,78,1.83496,13,-1.0681,49,1.17077,19,-0.5931,6,-2.1628,27,0.03602
ENSG00000171603,CLSTN1,149,-2.0556,494,-0.2502,366,-0.7143,402,-0.5729,347,-0.8642,688,0.30756,774,0.46526,1061,1.16588
ENSG00000178585,CTNNBIP1,24,-0.6463,67,0.99360,25,-0.5969,54,0.63318,37,0.01580,29,-0.4128,48,0.45200,26,-0.5627
ENSG00000162441,LZIC,64,0.56946,6,-3.0265,79,0.94149,59,0.43588,42,-0.1173,47,0.09331,49,0.15952,28,-0.7564
ENSG00000130939,UBE4B,41,0.32028,16,-1.0946,30,-0.1904,40,0.27027,29,-0.2448,42,0.38773,32,-0.0783,35,0.04382
ENSG00000054523,KIF1B,511,0.23794,73,-2.6980,545,0.33975,417,-0.0887,413,-0.1113,691,0.84166,253,-0.8570,420,-0.0842
ENSG00000142657,PGD,21,-1.0191,3,-3.5247,42,0.06787,32,-0.3668,45,0.19064,31,-0.4406,77,1.06828,58,0.66971
ENSG00000160049,DFFA,61,-0.2057,119,0.89062,67,-0.0430,37,-0.9444,80,0.24953,52,-0.4701,127,1.00297,42,-0.8204
ENSG00000120948,TARDBP,97,0.32844,92,0.24176,78,-0.0307,40,-1.0619,70,-0.2098,84,0.10840,45,-0.8558,105,0.51508
ENSG00000116649,SRM,23,-1.1023,15,-1.7019,72,0.65760,35,-0.4680,50,0.07538,24,-1.1501,75,0.72380,79,0.94425
ENSG00000171824,EXOSC10,84,1.68016,40,0.39161,24,-0.4058,15,-1.1205,16,-1.0384,24,-0.4522,25,-0.3415,37,0.31587
ENSG00000198793,MTOR,22,-0.5755,18,-0.8706,43,0.47632,22,-0.5784,23,-0.5587,12,-1.4923,30,-0.0638,72,1.63743
ENSG00000116661,FBXO2,61,-1.6920,354,1.05855,223,0.28286,156,-0.2776,214,0.24185,62,-1.7742,304,0.79597,201,0.13258
ENSG00000132879,FBXO44,30,-1.2743,17,-2.0873,34,-1.0888,86,0.34717,46,-0.6779,69,-0.0004,72,0.05181,147,1.47534
ENSG00000177000,MTHFR,18,-0.4899,3,-3.1257,15,-0.6934,23,-0.0630,36,0.69311,22,-0.1951,36,0.60130,29,0.32721
ENSG00000011021,CLCN6,33,-1.1521,22,-1.7239,51,-0.4944,58,-0.2871,88,0.41477,70,0.02002,45,-0.6874,121,1.04677
ENSG00000116685,KIAA2013,15,-0.8014,38,0.65663,30,0.29545,7,-1.8825,36,0.63094,20,-0.4190,10,-1.3981,33,0.49705
ENSG00000116688,MFN2,119,-0.0325,177,0.60461,93,-0.4216,93,-0.4120,96,-0.4100,104,-0.2623,137,0.18876,159,0.48841
ENSG00000048707,VPS13D,70,-0.1513,146,1.04311,32,-1.3312,49,-0.6927,32,-1.4185,126,0.91849,104,0.47836,66,-0.2741
ENSG00000116731,PRDM2,317,0.38109,44,-2.6038,156,-0.7335,272,0.13384,179,-0.5681,491,1.32121,256,0.03977,182,-0.5422
ENSG00000189337,KAZN,84,0.75569,18,-1.6338,27,-1.0168,48,-0.1561,28,-1.0403,68,0.46471,93,0.93672,58,0.18801
ENSG00000142634,EFHD2,25,-1.3083,3,-4.3513,30,-1.0132,50,-0.2688,62,0.08318,88,0.73638,87,0.61883,77,0.49593
