Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to12,Feature log2 fold change topic 4to12
ENSG00000228794,LINC01128,11,-1.8872,27,-0.6616,47,1.07966
ENSG00000188976,NOC2L,23,-0.9566,15,-1.6999,53,1.54164
ENSG00000188290,HES4,12,-1.4835,16,-1.0616,37,1.30426
ENSG00000187608,ISG15,33,0.37222,20,-0.4504,26,0.13430
ENSG00000188157,AGRN,15,-0.1309,15,-0.2241,18,0.21723
ENSG00000078808,SDF4,43,-0.2723,34,-0.7050,57,0.60973
ENSG00000176022,B3GALT6,7,-1.5270,10,-1.0608,23,1.31618
ENSG00000160087,UBE2J2,14,-1.0981,20,-0.6744,34,0.89397
ENSG00000131584,ACAP3,36,-0.6192,39,-0.5347,60,0.63038
ENSG00000127054,INTS11,23,-0.5776,9,-2.0105,40,1.51104
ENSG00000224051,CPTP,8,-0.6719,4,-1.6510,16,1.37549
ENSG00000107404,DVL1,29,-0.4715,24,-0.7914,44,0.75321
ENSG00000175756,AURKAIP1,81,-0.8089,125,-0.1540,146,0.39987
ENSG00000221978,CCNL2,61,0.29803,21,-1.4142,56,0.69916
ENSG00000242485,MRPL20,86,-0.6091,112,-0.2255,136,0.39430
ENSG00000235098,ANKRD65,18,0.39185,10,-0.5972,15,0.21314
ENSG00000179403,VWA1,72,2.74611,10,-0.6435,10,-1.5407
ENSG00000205090,TMEM240,10,-1.2002,22,-0.0907,25,0.44984
ENSG00000160075,SSU72,59,-1.4017,108,-0.5333,167,0.86532
ENSG00000228594,FNDC10,3,-2.8184,13,-0.9820,30,1.51162
ENSG00000272106,AL691432.2,7,-1.2215,6,-1.6100,20,1.60086
ENSG00000197530,MIB2,12,-0.9927,16,-0.5441,25,0.76164
ENSG00000248333,CDK11B,101,1.33417,53,0.29954,37,-0.9031
ENSG00000008128,CDK11A,65,1.94788,25,0.37354,14,-1.3852
ENSG00000215790,SLC35E2A,12,-1.2378,39,0.60839,27,-0.1557
ENSG00000008130,NADK,8,-1.3037,16,-0.2933,21,0.64385
ENSG00000078369,GNB1,232,-1.1641,508,0.03790,524,0.33232
ENSG00000187730,GABRD,23,-2.6703,59,-1.3734,169,1.82958
ENSG00000067606,PRKCZ,79,-1.0803,135,-0.2934,176,0.58794
ENSG00000162585,FAAP20,18,-0.5817,39,0.74851,24,-0.4223
ENSG00000157933,SKI,37,0.45625,34,0.36724,25,-0.4706
ENSG00000157916,RER1,43,-0.1603,19,-1.4811,54,1.00922
ENSG00000157911,PEX10,16,-0.0956,18,0.03120,18,0.01466
ENSG00000157870,PRXL2B,6,-2.7223,19,-1.1487,48,1.64481
ENSG00000177133,PRDM16-DT,15,0.04116,15,-0.0204,15,-0.0018
ENSG00000158109,TPRG1L,55,-1.6794,131,-0.4127,187,0.82662
ENSG00000130764,LRRC47,43,-0.7085,41,-0.8440,77,0.88448
ENSG00000116198,CEP104,103,1.61872,44,0.19459,31,-1.0270
ENSG00000198912,C1orf174,14,-0.1444,10,-0.6150,16,0.49296
ENSG00000196581,AJAP1,28,-0.3251,32,-0.1385,37,0.22922
ENSG00000069424,KCNAB2,37,-2.3677,129,-0.5621,209,1.07499
ENSG00000116254,CHD5,72,-1.6452,261,0.35285,219,0.14449
ENSG00000116251,RPL22,856,0.73777,801,0.70885,449,-0.8664
ENSG00000116237,ICMT,9,-2.1509,15,-1.5829,49,1.88763
ENSG00000097021,ACOT7,35,-2.4151,66,-1.5530,213,1.92753
ENSG00000215788,TNFRSF25,1,-3.6043,6,-1.4932,21,2.06577
ENSG00000171680,PLEKHG5,2,-3.4778,18,-0.7291,33,1.34841
ENSG00000162408,NOL9,25,-0.0368,29,0.17456,25,-0.1173
ENSG00000162413,KLHL21,18,-0.4300,16,-0.7012,27,0.67472
ENSG00000041988,THAP3,6,-1.0596,7,-1.0161,15,1.13500
ENSG00000007923,DNAJC11,22,-0.6134,19,-0.8576,37,0.85635
ENSG00000171735,CAMTA1,261,-1.0885,640,0.32914,537,0.06381
ENSG00000049245,VAMP3,71,2.09413,17,-0.3440,16,-1.0940
ENSG00000049246,PER3,72,0.71410,46,-0.0032,43,-0.3359
ENSG00000116288,PARK7,189,-0.6955,222,-0.4873,325,0.62220
ENSG00000116285,ERRFI1,13,-0.9579,14,-0.9518,28,1.05308
ENSG00000162426,SLC45A1,6,-2.1142,6,-2.1969,31,2.32534
ENSG00000142599,RERE,178,0.70266,149,0.45624,100,-0.6549
ENSG00000074800,ENO1,302,-0.3926,275,-0.5850,424,0.57930
ENSG00000171612,SLC25A33,9,-1.6840,35,0.35537,29,0.14810
ENSG00000171603,CLSTN1,180,-2.0833,430,-0.8468,840,1.27490
ENSG00000178585,CTNNBIP1,18,-0.6237,38,0.56681,26,-0.2527
ENSG00000162441,LZIC,112,1.09914,94,0.91273,43,-1.2167
ENSG00000130939,UBE4B,53,0.16683,33,-0.6092,50,0.33947
ENSG00000054523,KIF1B,687,0.73939,459,0.09650,401,-0.4166
ENSG00000284642,AL139424.2,9,-0.8503,2,-2.8572,20,2.04237
ENSG00000142657,PGD,37,-0.4843,32,-0.7526,56,0.73222
ENSG00000241563,CORT,28,-0.2355,44,0.56146,30,-0.3596
ENSG00000160049,DFFA,83,0.67628,70,0.45410,47,-0.6402
ENSG00000142655,PEX14,6,-1.7932,11,-0.9072,24,1.26343
ENSG00000120948,TARDBP,99,0.22217,66,-0.4346,89,0.20112
ENSG00000271895,AL109811.2,5,-1.4360,8,-0.8949,16,1.16241
ENSG00000116649,SRM,36,-0.5724,44,-0.2967,56,0.43650
ENSG00000171824,EXOSC10,40,0.46370,14,-1.1714,32,0.47939
ENSG00000198793,MTOR,22,-0.9839,37,-0.2414,46,0.51972
ENSG00000116661,FBXO2,62,-1.3606,95,-0.7878,175,1.05797
ENSG00000132879,FBXO44,25,-1.5258,40,-0.8586,79,1.15831
ENSG00000177000,MTHFR,6,-1.5155,13,-0.5531,20,0.90882
ENSG00000011021,CLCN6,29,-1.4475,62,-0.3321,84,0.70928
ENSG00000116685,KIAA2013,29,0.42413,13,-0.7846,23,0.30279
ENSG00000083444,PLOD1,10,-0.5597,9,-0.7226,16,0.74199
ENSG00000116688,MFN2,71,-0.9927,111,-0.3540,150,0.61256
ENSG00000048707,VPS13D,50,-0.7003,48,-0.8108,89,0.85813
ENSG00000162496,DHRS3,13,-0.0088,10,-0.5170,14,0.36603
ENSG00000116731,PRDM2,223,-0.1835,343,0.56148,234,-0.3763
ENSG00000189337,KAZN,80,0.31272,59,-0.1771,66,-0.0135
ENSG00000142634,EFHD2,43,-1.1613,110,0.30630,94,0.09920
ENSG00000116138,DNAJC16,17,-1.3920,28,-0.7624,51,1.04666
ENSG00000197312,DDI2,25,-0.6759,35,-0.1738,41,0.37538
ENSG00000116786,PLEKHM2,88,-0.2214,139,0.57555,94,-0.3759
ENSG00000065526,SPEN,386,1.64554,208,0.64616,104,-1.3526
ENSG00000116809,ZBTB17,20,0.26846,12,-0.5248,17,0.23480
ENSG00000037637,FBXO42,16,-0.1766,9,-1.0226,20,0.76415
ENSG00000055070,SZRD1,37,0.80070,27,0.33488,20,-0.6161
ENSG00000219481,NBPF1,42,1.50155,8,-1.1039,16,-0.2920
ENSG00000159363,ATP13A2,19,-2.2041,32,-1.5195,102,1.85149
ENSG00000117118,SDHB,39,-0.8310,42,-0.8087,77,0.90516
ENSG00000117115,PADI2,237,3.29586,25,-0.8025,23,-2.0184
ENSG00000179051,RCC2,12,-1.1248,15,-0.8353,28,1.02426
ENSG00000074964,ARHGEF10L,8,-0.9103,14,-0.1161,16,0.39780
ENSG00000117154,IGSF21,16,-2.1548,45,-0.6344,77,1.10548
ENSG00000159423,ALDH4A1,15,0.13443,10,-0.4767,14,0.27154
ENSG00000127481,UBR4,68,0.91926,41,0.10057,35,-0.5191
ENSG00000127463,EMC1,24,-0.3710,39,0.38235,30,-0.1679
ENSG00000053372,MRTO4,31,-0.3008,31,-0.3550,40,0.37965
ENSG00000053371,AKR7A2,47,0.75858,27,-0.1476,28,-0.2666
ENSG00000077549,CAPZB,107,-0.5262,132,-0.2138,159,0.35749
ENSG00000173436,MICOS10,228,-0.5694,394,0.31549,326,-0.0534
ENSG00000158747,NBL1,55,-1.2695,124,-0.0286,135,0.41265
ENSG00000169914,OTUD3,10,-1.1203,12,-0.8670,24,1.04648
ENSG00000162545,CAMK2N1,1188,-0.4230,1763,0.21522,1555,-0.0147
ENSG00000090432,MUL1,17,0.04357,11,-0.6764,18,0.44320
