Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to10,Feature log2 fold change topic 2to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,18,-0.5752,32,1.35037,12,-1.2312,6,-2.0953
ENSG00000188976,NOC2L,64,0.60348,45,0.09069,27,-0.7519,35,-0.3676
ENSG00000188290,HES4,21,-0.8459,35,-0.1483,85,1.40758,11,-1.6946
ENSG00000187608,ISG15,17,-1.6193,48,-0.3544,123,1.44739,44,-0.2413
ENSG00000188157,AGRN,13,-0.8305,26,0.78515,16,-0.5497,15,-0.6441
ENSG00000078808,SDF4,73,0.21926,58,-0.4439,99,0.71244,66,0.06098
ENSG00000176022,B3GALT6,30,0.33734,26,0.51041,15,-0.7028,10,-1.3817
ENSG00000160087,UBE2J2,42,0.24588,36,-0.0990,43,0.27125,29,-0.3421
ENSG00000131584,ACAP3,47,-0.3324,63,0.48054,32,-0.9145,56,-0.0742
ENSG00000127054,INTS11,70,0.63391,45,-0.2586,48,0.02146,43,-0.1240
ENSG00000224051,CPTP,16,-0.5961,26,0.50694,17,-0.5364,21,-0.1797
ENSG00000107404,DVL1,42,-0.2336,49,0.08141,45,-0.1121,53,0.12540
ENSG00000175756,AURKAIP1,138,-0.2048,165,0.30710,133,-0.2603,129,-0.3039
ENSG00000221978,CCNL2,33,-1.0307,68,0.37437,69,0.10531,56,-0.2100
ENSG00000242485,MRPL20,138,-0.3869,191,0.50767,130,-0.4752,135,-0.4220
ENSG00000235098,ANKRD65,8,-1.5367,23,-0.1288,15,-0.6488,52,1.29055
ENSG00000179403,VWA1,15,-1.1969,8,-3.7253,60,0.98484,247,4.19323
ENSG00000197785,ATAD3A,23,0.68833,13,-0.4875,20,0.49505,14,-0.1207
ENSG00000205090,TMEM240,35,0.45630,29,0.61350,14,-0.8995,6,-2.0467
ENSG00000160075,SSU72,80,-0.5432,126,0.70521,71,-0.7294,80,-0.5348
ENSG00000228594,FNDC10,15,-0.5202,23,0.49367,28,0.45990,5,-2.1066
ENSG00000272106,AL691432.2,34,0.87600,17,-0.5788,22,0.15038,23,0.25328
ENSG00000197530,MIB2,10,-1.4530,28,0.35152,25,-0.0490,30,0.19451
ENSG00000248333,CDK11B,42,1.35295,12,-1.5870,47,1.53983,23,0.33441
ENSG00000189339,SLC35E2B,18,-0.4371,24,0.15475,31,0.40313,17,-0.5051
ENSG00000215790,SLC35E2A,39,0.22824,36,0.34413,30,-0.1774,15,-1.2291
ENSG00000008130,NADK,31,0.47319,23,0.00194,16,-0.5189,22,-0.1031
ENSG00000078369,GNB1,395,-0.3500,537,0.54718,432,-0.2123,275,-0.9012
ENSG00000187730,GABRD,92,-0.7187,181,2.07197,24,-2.6958,12,-3.6333
ENSG00000067606,PRKCZ,144,-0.0941,167,0.61187,85,-0.8943,99,-0.6728
ENSG00000162585,FAAP20,28,0.18108,23,-0.5392,32,0.36778,39,0.68993
ENSG00000157933,SKI,6,-1.7239,19,-0.0653,39,1.15961,14,-0.4352
ENSG00000157916,RER1,78,0.19350,65,-0.3739,73,0.08152,100,0.58138
ENSG00000157911,PEX10,16,-0.4687,21,-0.1709,24,0.16523,31,0.56730
ENSG00000149527,PLCH2,2,-3.1550,20,1.36114,9,-0.9533,12,-0.5125
ENSG00000157881,PANK4,20,0.45706,16,0.45396,5,-1.5755,10,-0.6386
ENSG00000157870,PRXL2B,12,-1.5586,39,1.06895,32,-0.0888,11,-1.6360
ENSG00000158109,TPRG1L,171,-0.1853,214,0.71428,164,-0.2529,55,-1.8894
ENSG00000116213,WRAP73,7,-1.1646,17,0.62154,10,-0.7045,16,0.05455
ENSG00000130764,LRRC47,88,0.14560,85,0.39981,56,-0.5344,49,-0.7506
ENSG00000116198,CEP104,42,0.81885,17,-1.5457,51,1.13667,57,1.35269
ENSG00000198912,C1orf174,16,0.05045,16,0.13200,15,-0.0533,12,-0.3484
ENSG00000196581,AJAP1,64,0.87655,39,0.22838,16,-1.2797,19,-1.0385
ENSG00000069424,KCNAB2,116,-0.5739,199,1.40093,86,-1.0295,24,-2.9173
ENSG00000116254,CHD5,149,0.30494,137,0.79740,63,-1.0282,25,-2.3691
ENSG00000116251,RPL22,512,-0.2535,566,-0.3298,802,0.45809,819,0.49246
ENSG00000116237,ICMT,26,-0.7998,50,0.80919,35,-0.3576,23,-0.9836
ENSG00000097021,ACOT7,200,-0.4287,307,1.15504,128,-1.1048,83,-1.7466
ENSG00000215788,TNFRSF25,24,-0.2261,33,1.41909,10,-1.5159,2,-3.5108
ENSG00000171680,PLEKHG5,22,0.16780,22,0.96713,8,-1.2261,3,-2.5198
ENSG00000162408,NOL9,29,0.23373,24,-0.0577,19,-0.3564,28,0.20251
ENSG00000162413,KLHL21,21,-0.7457,33,-0.1058,45,0.44724,42,0.32606
ENSG00000116273,PHF13,6,-1.0492,14,0.37103,14,0.11527,11,-0.2028
ENSG00000041988,THAP3,27,0.66328,17,-0.3017,21,0.26506,14,-0.3428
ENSG00000007923,DNAJC11,24,-0.2337,28,0.21219,37,0.46696,13,-1.1234
ENSG00000171735,CAMTA1,478,0.91938,275,0.08152,191,-0.5411,110,-1.3672
ENSG00000049245,VAMP3,35,0.19907,11,-2.9757,71,1.37612,163,3.10273
ENSG00000049246,PER3,23,-0.4746,28,-0.6750,61,1.05134,49,0.68355
ENSG00000116288,PARK7,362,-0.2597,451,0.33817,387,-0.1547,321,-0.4451
ENSG00000116285,ERRFI1,12,-1.2545,31,0.86697,16,-0.8028,22,-0.3107
ENSG00000162426,SLC45A1,42,0.63732,29,0.21062,22,-0.4060,12,-1.3024
ENSG00000142599,RERE,130,0.21052,111,-0.1197,133,0.24831,100,-0.2018
ENSG00000074800,ENO1,535,0.17195,453,-0.3147,840,0.90785,314,-0.6583
ENSG00000171612,SLC25A33,20,-0.4891,27,-0.1510,46,0.78902,24,-0.1954
ENSG00000171603,CLSTN1,1210,0.52617,942,0.51692,558,-0.6876,206,-2.1738
ENSG00000178585,CTNNBIP1,24,-0.4019,31,0.16391,22,-0.4995,38,0.36044
ENSG00000162441,LZIC,63,0.10569,45,-1.1087,96,0.79945,136,1.39083
ENSG00000162444,RBP7,9,-0.7471,1,-5.2914,24,0.81269,133,4.96678
ENSG00000130939,UBE4B,36,-0.1394,41,0.31762,20,-0.9686,42,0.12842
ENSG00000054523,KIF1B,349,0.03414,315,-0.4164,350,0.03908,563,0.80807
ENSG00000142657,PGD,61,0.21647,54,0.07074,54,0.01703,39,-0.4811
ENSG00000241563,CORT,509,4.12661,33,-2.3691,7,-3.3399,8,-3.1485
ENSG00000160049,DFFA,39,-0.1434,37,-0.7419,61,0.54543,86,1.11756
ENSG00000142655,PEX14,30,0.40865,23,0.12939,22,-0.0378,12,-0.9639
ENSG00000120948,TARDBP,116,0.47269,83,-0.2252,73,-0.2610,102,0.25494
ENSG00000271895,AL109811.2,23,0.50368,19,0.57784,5,-1.7234,8,-1.0671
ENSG00000116649,SRM,53,-0.0475,58,0.41126,54,0.00580,23,-1.2866
ENSG00000171824,EXOSC10,27,-0.5780,39,0.00419,48,0.31714,43,0.12712
ENSG00000198793,MTOR,58,-0.0518,67,0.66556,39,-0.6657,28,-1.1702
ENSG00000116661,FBXO2,43,-1.8971,161,0.32859,248,0.78580,92,-0.7752
ENSG00000132879,FBXO44,73,-0.2917,100,0.98887,45,-1.0242,33,-1.4645
ENSG00000116670,MAD2L2,5,-1.4048,14,-0.0149,11,-0.3322,26,0.97277
ENSG00000177000,MTHFR,16,0.28756,13,0.09798,7,-0.8597,14,0.11974
ENSG00000011021,CLCN6,80,0.32905,70,0.42783,27,-1.3097,47,-0.4920
ENSG00000116685,KIAA2013,19,-0.6369,26,-0.5448,44,0.65337,52,0.92096
ENSG00000083444,PLOD1,24,-0.1312,22,-0.7338,46,0.94246,41,0.73316
ENSG00000116688,MFN2,69,-0.8265,136,1.12235,50,-1.2886,68,-0.8458
ENSG00000048707,VPS13D,88,0.10493,85,0.20429,92,0.18135,41,-1.0562
ENSG00000162496,DHRS3,15,-0.2125,11,-1.5574,71,2.52991,16,-0.0996
ENSG00000116731,PRDM2,288,1.21272,132,-0.2213,78,-0.8713,96,-0.5494
ENSG00000189337,KAZN,47,-0.3606,59,-0.0673,41,-0.5669,97,0.77857
ENSG00000142634,EFHD2,184,1.58615,64,-0.5307,64,-0.1594,30,-1.3111
ENSG00000116138,DNAJC16,50,0.53291,38,0.38808,13,-1.5102,24,-0.6203
ENSG00000197312,DDI2,54,1.30062,23,-0.1802,9,-1.5129,17,-0.5023
ENSG00000116786,PLEKHM2,35,-1.1562,84,0.85484,47,-0.7159,57,-0.4111
ENSG00000065526,SPEN,103,0.46905,49,-1.7218,210,1.68905,171,1.32245
ENSG00000116809,ZBTB17,26,0.82532,13,-0.6949,17,0.10739,23,0.61939
ENSG00000037637,FBXO42,35,0.78144,20,-0.3610,30,0.48375,13,-0.7332
ENSG00000055070,SZRD1,0,-4.4447,15,-0.9882,45,1.39305,47,1.46984
ENSG00000159363,ATP13A2,78,0.03875,85,0.80729,39,-0.9981,28,-1.5036
ENSG00000117118,SDHB,66,-0.7318,115,0.58503,69,-0.6633,96,-0.1520
ENSG00000117115,PADI2,55,0.51993,12,-3.3240,89,1.31696,227,3.28322
ENSG00000179051,RCC2,7,-1.9028,30,1.04834,11,-1.2397,24,-0.1037
ENSG00000074964,ARHGEF10L,7,-0.9527,14,0.44272,18,0.47718,6,-1.1348
ENSG00000117154,IGSF21,127,1.00041,71,0.20700,32,-1.1704,26,-1.4892
ENSG00000159423,ALDH4A1,0,-6.4897,13,-0.9089,50,1.97238,23,0.59850
ENSG00000127481,UBR4,40,1.13288,15,-1.1009,38,1.05010,22,0.16090
ENSG00000127463,EMC1,20,-0.6138,30,0.10474,36,0.30120,28,-0.0674
ENSG00000053372,MRTO4,45,0.41098,33,-0.1734,48,0.51377,21,-0.7739
ENSG00000053371,AKR7A2,20,-0.5268,24,-0.8055,66,1.36936,41,0.56543
ENSG00000077549,CAPZB,160,0.16042,145,0.04289,155,0.11424,108,-0.4437
ENSG00000173436,MICOS10,211,-1.0480,473,0.93064,277,-0.6303,256,-0.7507
ENSG00000158747,NBL1,151,0.07880,148,0.19763,166,0.23349,70,-1.0869
ENSG00000169914,OTUD3,22,-0.0178,25,0.76283,16,-0.5583,6,-1.9080
ENSG00000162545,CAMK2N1,646,-1.1632,1548,0.81292,1225,-0.1880,772,-0.8961
ENSG00000090432,MUL1,35,0.61316,22,-0.3400,23,-0.0497,27,0.18913
ENSG00000183114,FAM43B,37,1.32879,15,-0.3350,17,0.07279,4,-1.9594
ENSG00000158828,PINK1,441,-0.1178,535,0.84087,283,-0.7984,171,-1.5590
ENSG00000244038,DDOST,32,0.23602,27,0.00255,23,-0.2181,26,-0.0549
ENSG00000117245,KIF17,26,0.22350,25,0.66915,12,-0.9267,8,-1.4734
ENSG00000189410,SH2D5,22,-0.6869,42,1.81419,13,-1.5045,0,-5.4434
ENSG00000127483,HP1BP3,421,0.87275,205,-0.8382,324,0.44012,357,0.59730
ENSG00000075151,EIF4G3,406,0.87495,231,-0.1211,163,-0.5735,186,-0.3728
ENSG00000117298,ECE1,6,-1.5160,14,-0.7659,33,1.14290,32,1.10723
ENSG00000076864,RAP1GAP,238,0.63550,164,0.13694,147,-0.1333,62,-1.4435
ENSG00000090686,USP48,151,1.06790,61,-1.1091,101,0.39433,143,0.97364
ENSG00000070831,CDC42,207,-0.1436,239,0.31885,130,-0.8578,237,0.06928
