Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000237491,LINC01409,5,-1.0742,6,-0.8909,14,0.64644,8,-0.4973,12,0.27436
ENSG00000228794,LINC01128,35,-0.3631,16,-1.5289,54,0.47009,31,-0.5707,53,0.43491
ENSG00000188976,NOC2L,60,0.12678,28,-1.0328,48,-0.2729,58,0.08307,68,0.44896
ENSG00000188290,HES4,47,0.31408,39,-0.0041,24,-0.9091,47,0.33475,46,0.35061
ENSG00000187608,ISG15,106,-0.4307,78,-0.8989,69,-1.2861,268,1.30903,156,0.23736
ENSG00000188157,AGRN,26,0.34889,16,-0.4351,23,0.18142,13,-0.7712,24,0.29927
ENSG00000078808,SDF4,66,0.08793,67,0.11322,54,-0.2932,67,0.12227,66,0.09536
ENSG00000176022,B3GALT6,25,0.26022,13,-0.6942,19,-0.2328,24,0.20491,23,0.18343
ENSG00000160087,UBE2J2,42,0.10093,35,-0.1774,32,-0.4206,34,-0.2641,51,0.57238
ENSG00000162572,SCNN1D,14,0.42790,12,0.17421,8,-0.5184,8,-0.4514,13,0.47740
ENSG00000131584,ACAP3,95,0.42018,69,-0.0983,69,-0.1029,68,-0.1303,74,0.03668
ENSG00000127054,INTS11,38,-0.1890,40,-0.0836,38,-0.2349,43,0.01373,49,0.31542
ENSG00000224051,CPTP,32,0.88714,15,-0.3358,10,-1.0512,15,-0.3755,26,0.73107
ENSG00000107404,DVL1,57,0.37743,80,0.93448,35,-0.4791,48,0.08608,38,-0.3331
ENSG00000175756,AURKAIP1,113,-0.4360,160,0.11496,88,-0.9942,261,1.10819,144,-0.0732
ENSG00000221978,CCNL2,46,-0.5828,59,-0.1779,80,0.40922,44,-0.7005,77,0.30055
ENSG00000242485,MRPL20,133,-0.0345,158,0.23868,96,-0.6614,203,0.76746,124,-0.1797
ENSG00000235098,ANKRD65,9,-0.6878,22,0.70086,13,-0.2327,13,-0.1155,15,0.18602
ENSG00000179403,VWA1,24,0.66077,30,1.02461,23,0.82616,9,-1.0241,6,-1.5851
ENSG00000160072,ATAD3B,18,0.77513,8,-0.4472,13,0.36198,5,-1.1300,11,0.04909
ENSG00000197785,ATAD3A,11,-0.1733,11,-0.1636,12,-0.0823,9,-0.4675,16,0.50878
ENSG00000205090,TMEM240,24,-0.2368,21,-0.4371,25,-0.2601,33,0.30495,32,0.25571
ENSG00000160075,SSU72,164,0.08550,144,-0.1219,129,-0.3624,177,0.23776,168,0.16266
ENSG00000228594,FNDC10,53,1.00996,25,-0.1829,20,-0.6341,22,-0.4274,34,0.36003
ENSG00000272106,AL691432.2,12,-0.6727,16,-0.2218,18,0.01945,20,0.20040,19,0.14724
ENSG00000197530,MIB2,25,-0.2331,33,0.17206,25,-0.3556,26,-0.2405,37,0.49668
ENSG00000248333,CDK11B,30,-0.5985,23,-1.0134,64,0.82501,38,-0.2746,41,-0.1644
ENSG00000189339,SLC35E2B,12,-0.6479,20,0.12488,24,0.58176,15,-0.3092,16,-0.2341
ENSG00000008128,CDK11A,11,-0.6815,13,-0.4432,28,1.05903,15,-0.3316,13,-0.5850
