Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to9,Feature log2 fold change topic 6to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,7,-2.3252,21,-0.6859,41,0.42962,37,0.25020,35,0.07104,32,-0.0762
ENSG00000188976,NOC2L,21,-1.1722,25,-0.8860,49,0.15284,52,0.33562,68,0.66224,28,-0.7443
ENSG00000188290,HES4,4,-2.8100,77,1.55826,14,-1.3345,34,0.22622,47,0.68136,30,-0.0132
ENSG00000187608,ISG15,80,-0.6949,577,2.84555,35,-2.1515,90,-0.6762,112,-0.1766,139,0.16965
ENSG00000188157,AGRN,15,-0.2529,29,0.79976,14,-0.4183,16,-0.1979,28,0.69208,16,-0.1328
ENSG00000078808,SDF4,44,-0.4037,49,-0.2239,36,-0.8146,73,0.61092,66,0.22632,65,0.22070
ENSG00000176022,B3GALT6,8,-1.2074,6,-1.4855,13,-0.6463,21,0.38598,43,1.46603,17,-0.0737
ENSG00000160087,UBE2J2,12,-1.4650,37,0.16983,27,-0.4036,35,0.14574,61,0.98433,33,-0.0058
ENSG00000131584,ACAP3,77,0.27032,42,-0.6707,60,-0.1570,53,-0.4082,139,1.27990,61,-0.1021
ENSG00000127054,INTS11,25,-0.4970,25,-0.5039,28,-0.4385,46,0.64500,43,0.31176,26,-0.4340
ENSG00000224051,CPTP,12,-0.4992,14,-0.2812,13,-0.4585,21,0.56756,22,0.45929,11,-0.5461
ENSG00000107404,DVL1,30,-0.4175,55,0.52834,25,-0.8434,46,0.38616,28,-0.5082,60,0.68150
ENSG00000175756,AURKAIP1,103,-0.4159,64,-1.1415,93,-0.6902,196,0.97941,98,-0.4861,150,0.18257
ENSG00000221978,CCNL2,61,0.20032,46,-0.2536,41,-0.4829,59,0.22605,79,0.63078,43,-0.3379
ENSG00000242485,MRPL20,100,-0.4186,114,-0.2087,103,-0.4393,173,0.69725,96,-0.4721,123,-0.0887
ENSG00000235098,ANKRD65,42,0.61302,25,-0.2249,23,-0.4104,31,0.23186,20,-0.5226,32,0.18087
ENSG00000179403,VWA1,135,3.33091,24,0.01614,5,-2.5721,12,-1.3311,18,-0.4291,25,0.03731
ENSG00000197785,ATAD3A,9,-0.2603,8,-0.4167,6,-0.9789,14,0.70666,20,0.97965,5,-1.0480
ENSG00000205090,TMEM240,12,-0.8903,4,-2.5416,17,-0.3624,28,0.72833,34,0.77816,17,-0.3359
ENSG00000160075,SSU72,61,-1.2063,90,-0.6170,126,-0.1202,167,0.54029,122,-0.1456,153,0.21487
ENSG00000228594,FNDC10,2,-3.4097,34,0.42669,20,-0.5224,31,0.41440,31,0.26223,36,0.52451
ENSG00000272106,AL691432.2,9,-0.5589,13,-0.0739,15,0.19035,16,0.29174,12,-0.1638,8,-0.7406
ENSG00000197530,MIB2,12,-1.0881,16,-0.6296,16,-0.7457,27,0.22368,56,1.35902,29,0.26464
ENSG00000248333,CDK11B,97,1.31510,47,0.09189,64,0.79123,22,-1.3227,36,-0.3227,24,-0.8991
ENSG00000189339,SLC35E2B,12,-0.3665,8,-0.8757,16,0.12798,17,0.22025,18,0.23744,13,-0.1906
ENSG00000008128,CDK11A,73,1.80650,23,-0.1534,29,0.31652,16,-0.9239,17,-0.5837,12,-1.0521
ENSG00000215790,SLC35E2A,11,-1.1238,40,0.84591,23,-0.0073,21,-0.2157,14,-0.7419,38,0.77184
ENSG00000008130,NADK,16,-0.2871,9,-1.0234,16,-0.3144,20,0.13504,28,0.63784,26,0.52069
ENSG00000078369,GNB1,191,-1.3515,524,0.20406,370,-0.4164,556,0.45243,448,-0.0454,570,0.34223
ENSG00000187730,GABRD,6,-4.6330,53,-1.5905,132,-0.2420,236,1.23389,150,0.00423,96,-0.6845
ENSG00000067606,PRKCZ,86,-1.1288,94,-1.0064,145,-0.4200,223,0.52110,281,0.72369,194,0.11383
ENSG00000162585,FAAP20,37,0.37992,35,0.25535,12,-1.5211,39,0.71028,13,-1.1776,45,0.66850
ENSG00000157933,SKI,45,0.69769,43,0.61693,28,-0.0724,20,-0.7555,30,0.04220,38,0.42495
ENSG00000157916,RER1,57,0.28529,38,-0.3746,35,-0.5691,58,0.44741,45,-0.0799,49,0.04680
ENSG00000157911,PEX10,25,0.42972,24,0.37482,9,-1.3572,22,0.30854,28,0.62297,19,0.00083
