Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to10,Feature log2 fold change topic 5to10
ENSG00000228794,LINC01128,16,-1.2375,27,-0.3325,41,0.91278
ENSG00000188976,NOC2L,32,-1.0190,22,-1.5901,80,1.54020
ENSG00000188290,HES4,15,-1.2331,36,0.28791,34,0.43694
ENSG00000187608,ISG15,30,-0.3332,47,0.47329,35,-0.1383
ENSG00000188157,AGRN,32,0.27285,28,0.00659,26,-0.1942
ENSG00000078808,SDF4,58,-0.0440,56,-0.0850,61,0.08536
ENSG00000176022,B3GALT6,20,0.05246,15,-0.4845,21,0.26092
ENSG00000160087,UBE2J2,30,-0.3174,34,-0.1334,39,0.29099
ENSG00000131584,ACAP3,65,-0.2620,65,-0.2640,83,0.34106
ENSG00000127054,INTS11,44,-0.0126,33,-0.4886,48,0.30923
ENSG00000224051,CPTP,11,-0.7809,15,-0.2558,20,0.63646
ENSG00000107404,DVL1,31,-0.6315,78,1.08242,39,-0.4989
ENSG00000175756,AURKAIP1,105,-0.8258,158,-0.1287,195,0.57132
ENSG00000221978,CCNL2,87,0.70628,30,-1.1416,61,0.05129
ENSG00000242485,MRPL20,108,-0.6180,167,0.14535,165,0.26596
ENSG00000235098,ANKRD65,44,1.08014,24,-0.0381,19,-0.8255
ENSG00000179403,VWA1,159,3.48334,14,-1.7680,14,-2.6299
ENSG00000197785,ATAD3A,4,-1.8174,9,-0.5483,17,1.30724
ENSG00000205090,TMEM240,5,-2.1821,18,-0.2730,27,1.21064
ENSG00000160075,SSU72,92,-0.8311,130,-0.2594,176,0.66518
ENSG00000228594,FNDC10,7,-2.4594,39,0.34783,38,0.74310
ENSG00000272106,AL691432.2,20,0.57278,7,-1.1241,16,0.15848
ENSG00000197530,MIB2,19,-0.8648,36,0.24061,34,0.31619
ENSG00000248333,CDK11B,63,0.02303,70,0.23255,59,-0.1760
ENSG00000189339,SLC35E2B,19,0.23719,12,-0.4679,17,0.11709
ENSG00000008128,CDK11A,46,0.35176,35,-0.1309,36,-0.1650
ENSG00000215790,SLC35E2A,13,-0.4779,24,0.67142,16,-0.2192
ENSG00000008130,NADK,21,-0.2124,21,-0.1902,25,0.26265
ENSG00000078369,GNB1,237,-1.1024,627,0.60751,470,0.12052
ENSG00000187730,GABRD,10,-4.0093,115,-0.3725,194,1.63086
ENSG00000067606,PRKCZ,94,-1.2617,203,0.03899,233,0.64585
ENSG00000162585,FAAP20,52,0.52314,63,0.89507,27,-1.0606
ENSG00000157933,SKI,39,0.18574,60,1.05036,25,-0.9477
ENSG00000157916,RER1,69,0.31054,41,-0.5967,60,0.13034
ENSG00000157911,PEX10,17,-0.4828,26,0.23768,23,0.12495
ENSG00000197921,HES5,1,-4.1214,28,1.08189,17,0.24370
ENSG00000157870,PRXL2B,11,-2.1532,53,0.34490,52,0.67743
ENSG00000177133,PRDM16-DT,7,-1.8667,35,0.68159,26,0.30582
ENSG00000142611,PRDM16,8,-0.7724,18,0.54253,14,0.03250
ENSG00000158109,TPRG1L,46,-1.9412,133,-0.2341,193,1.10653
ENSG00000116213,WRAP73,14,-0.1270,8,-1.0271,18,0.66815
