Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,4,-2.9915,22,-0.7942,38,0.22178,45,0.56411,35,0.05937,50,0.77560
ENSG00000188976,NOC2L,22,-0.9808,29,-0.6504,55,0.44265,64,0.82559,42,0.01656,40,-0.0643
ENSG00000188290,HES4,11,-1.4029,27,-0.0061,51,1.06395,25,-0.1085,38,0.54211,19,-0.5647
ENSG00000187608,ISG15,9,-1.4640,35,0.96805,18,-0.3489,24,0.04465,16,-0.5936,17,-0.4864
ENSG00000078808,SDF4,30,-0.6444,42,-0.1435,59,0.44653,60,0.54458,70,0.71625,23,-1.1535
ENSG00000160087,UBE2J2,10,-1.4520,28,-0.0045,32,0.21742,41,0.73559,12,-1.2012,29,0.06424
ENSG00000131584,ACAP3,29,-1.2275,64,-0.0031,49,-0.4147,92,0.69518,42,-0.6609,72,0.21089
ENSG00000127054,INTS11,17,-0.9777,35,0.13388,44,0.45814,62,1.24800,13,-1.4403,13,-1.4766
ENSG00000107404,DVL1,22,-1.5839,79,0.49769,48,-0.4296,55,-0.2282,127,1.18115,42,-0.6930
ENSG00000175756,AURKAIP1,43,-1.6216,138,0.23046,251,1.19502,158,0.45647,78,-0.7115,67,-1.0338
ENSG00000221978,CCNL2,49,0.03432,32,-0.7965,61,0.37907,96,1.39087,38,-0.3632,23,-1.1994
ENSG00000242485,MRPL20,59,-0.9839,126,0.25765,183,0.82078,130,0.28995,90,-0.3300,71,-0.7597
ENSG00000235098,ANKRD65,11,-1.1129,33,0.77583,48,1.22653,13,-0.9896,20,-0.2436,14,-0.8213
ENSG00000205090,TMEM240,0,-7.8735,23,-0.0847,33,0.50452,35,0.73386,4,-2.4272,32,0.50325
ENSG00000160075,SSU72,43,-1.5435,126,0.11882,219,1.01413,136,0.23614,125,0.07497,77,-0.7402
ENSG00000228594,FNDC10,4,-2.4984,23,-0.0875,45,1.00687,30,0.37442,21,-0.2424,22,-0.1861
ENSG00000197530,MIB2,7,-1.8325,34,0.67001,36,0.56752,31,0.41508,12,-1.0932,15,-0.8282
ENSG00000248333,CDK11B,139,1.19248,31,-1.4219,73,0.11754,51,-0.5031,72,0.08876,101,0.75276
ENSG00000008128,CDK11A,127,2.46562,11,-1.8504,20,-0.7406,26,-0.3936,13,-1.4484,42,0.43124
ENSG00000215790,SLC35E2A,2,-3.1277,27,0.30362,63,1.71593,15,-0.7583,15,-0.6913,21,-0.1784
ENSG00000008130,NADK,11,-0.9659,27,0.51695,30,0.55790,21,0.02442,24,0.22576,11,-1.0497
ENSG00000078369,GNB1,133,-2.0868,649,0.47320,712,0.50717,459,-0.2266,690,0.45655,409,-0.4272
ENSG00000187730,GABRD,1,-6.4416,141,0.19966,124,-0.0507,194,0.79886,20,-2.7711,162,0.43714
