Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to12,Feature log2 fold change topic 2to12
ENSG00000228794,LINC01128,58,0.72761,35,-0.7276
ENSG00000188976,NOC2L,58,0.35297,45,-0.3529
ENSG00000188290,HES4,58,0.18427,51,-0.1842
ENSG00000187608,ISG15,58,-0.3037,71,0.30377
ENSG00000188157,AGRN,58,1.14068,26,-1.1406
ENSG00000078808,SDF4,58,-0.0374,59,0.03745
ENSG00000160087,UBE2J2,58,0.86497,31,-0.8649
ENSG00000131584,ACAP3,66,-0.1410,72,0.14104
ENSG00000127054,INTS11,58,0.71041,35,-0.7104
ENSG00000107404,DVL1,58,0.29060,47,-0.2906
ENSG00000175756,AURKAIP1,58,-1.4525,159,1.45258
ENSG00000221978,CCNL2,58,-0.0765,61,0.07658
ENSG00000242485,MRPL20,85,-1.0523,176,1.05233
ENSG00000235098,ANKRD65,58,1.07050,27,-1.0705
ENSG00000205090,TMEM240,58,1.38706,22,-1.3870
ENSG00000160075,SSU72,58,-1.4588,160,1.45886
ENSG00000228594,FNDC10,58,0.87597,31,-0.8759
ENSG00000197530,MIB2,58,0.93447,30,-0.9344
ENSG00000248333,CDK11B,58,0.00989,57,-0.0098
ENSG00000008128,CDK11A,58,0.54245,39,-0.5424
ENSG00000215790,SLC35E2A,58,1.04157,28,-1.0415
ENSG00000008130,NADK,58,1.29040,23,-1.2904
ENSG00000078369,GNB1,484,-0.1551,539,0.15519
ENSG00000187730,GABRD,58,-1.4405,158,1.44058
ENSG00000067606,PRKCZ,161,-0.3577,207,0.35775
ENSG00000162585,FAAP20,58,0.59733,38,-0.5973
ENSG00000157933,SKI,58,0.84931,32,-0.8493
ENSG00000157916,RER1,58,0.31316,46,-0.3131
ENSG00000157870,PRXL2B,58,0.07877,55,-0.0787
ENSG00000177133,PRDM16-DT,58,1.50725,20,-1.5072
ENSG00000158109,TPRG1L,58,-1.7850,200,1.78500
ENSG00000130764,LRRC47,58,-0.4039,77,0.40395
ENSG00000116198,CEP104,58,0.83341,32,-0.8334
ENSG00000196581,AJAP1,58,0.39541,44,-0.3954
ENSG00000069424,KCNAB2,58,-1.8571,211,1.85717
ENSG00000116254,CHD5,58,-1.9811,229,1.98118
ENSG00000116251,RPL22,561,-0.0459,579,0.04595
ENSG00000116237,ICMT,58,0.62154,37,-0.6215
ENSG00000097021,ACOT7,144,-0.6473,225,0.64730
ENSG00000171680,PLEKHG5,58,1.38166,22,-1.3816
ENSG00000162408,NOL9,58,0.93061,30,-0.9306
ENSG00000162413,KLHL21,58,0.98813,29,-0.9881
ENSG00000007923,DNAJC11,58,0.68256,36,-0.6825
ENSG00000171735,CAMTA1,115,-1.7519,388,1.75194
ENSG00000049245,VAMP3,58,1.10689,27,-1.1068
ENSG00000049246,PER3,58,0.52504,40,-0.5250
ENSG00000116288,PARK7,396,0.17706,350,-0.1770
ENSG00000116285,ERRFI1,58,0.94582,30,-0.9458
ENSG00000162426,SLC45A1,58,1.35336,22,-1.3533
ENSG00000142599,RERE,58,-1.4157,155,1.41572
ENSG00000074800,ENO1,58,-3.1542,518,3.15429
ENSG00000171612,SLC25A33,58,0.24145,49,-0.2414
ENSG00000171603,CLSTN1,143,-2.2427,678,2.24271
ENSG00000178585,CTNNBIP1,58,0.95161,30,-0.9516
ENSG00000162441,LZIC,58,-0.0205,59,0.02053
ENSG00000130939,UBE4B,58,0.07748,55,-0.0774
ENSG00000054523,KIF1B,58,-2.7739,398,2.77399
ENSG00000142657,PGD,681,3.69390,52,-3.6939
ENSG00000241563,CORT,58,0.46499,42,-0.4649
ENSG00000160049,DFFA,58,0.20785,50,-0.2078
ENSG00000142655,PEX14,58,1.33599,23,-1.3359
ENSG00000120948,TARDBP,58,-0.5297,84,0.52974
ENSG00000116649,SRM,58,0.00625,57,-0.0062
ENSG00000171824,EXOSC10,58,0.84634,32,-0.8463
ENSG00000198793,MTOR,58,0.28405,47,-0.2840
ENSG00000116661,FBXO2,58,-1.6694,185,1.66949
ENSG00000132879,FBXO44,58,-0.7950,101,0.79506
ENSG00000011021,CLCN6,58,0.01401,57,-0.0140
ENSG00000116685,KIAA2013,58,1.05739,27,-1.0573
ENSG00000116688,MFN2,1136,3.16334,126,-3.1633
ENSG00000048707,VPS13D,58,-0.3881,76,0.38818
ENSG00000162496,DHRS3,58,1.44350,21,-1.4435
ENSG00000116731,PRDM2,58,-2.1149,252,2.11493
ENSG00000189337,KAZN,58,-0.1524,64,0.15245
ENSG00000142634,EFHD2,58,-0.7111,95,0.71114
ENSG00000116138,DNAJC16,58,0.48307,41,-0.4830
ENSG00000197312,DDI2,58,0.62524,37,-0.6252
ENSG00000116786,PLEKHM2,58,-1.0202,118,1.02021
ENSG00000065526,SPEN,58,-1.6228,179,1.62284
ENSG00000055070,SZRD1,58,1.13234,26,-1.1323
ENSG00000159363,ATP13A2,58,-0.8659,106,0.86594
ENSG00000117118,SDHB,58,-0.4465,79,0.44653
ENSG00000117115,PADI2,58,-0.1907,66,0.19070
ENSG00000179051,RCC2,58,1.20282,25,-1.2028
ENSG00000117154,IGSF21,349,2.76176,51,-2.7617
ENSG00000159423,ALDH4A1,58,1.13699,26,-1.1369
ENSG00000127481,UBR4,58,0.59242,38,-0.5924
ENSG00000127463,EMC1,58,0.63724,37,-0.6372
ENSG00000053372,MRTO4,58,0.21352,50,-0.2135
