Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-2.2027,55,0.53659,85,1.27538,43,0.14543,43,0.13501,38,-0.0856,15,-1.4426,28,-0.5536
ENSG00000188976,NOC2L,50,-0.0233,90,0.96141,44,-0.2083,69,0.58984,52,0.05507,38,-0.4881,26,-1.0322,28,-0.9011
ENSG00000188290,HES4,20,-0.8038,31,-0.1348,43,0.38136,30,-0.2427,31,-0.1327,26,-0.4528,38,0.19641,64,1.05927
ENSG00000187608,ISG15,14,-1.1302,29,-0.0007,37,0.35964,38,0.50098,24,-0.3082,22,-0.4881,28,-0.0754,40,0.51010
ENSG00000188157,AGRN,16,-0.2156,28,0.72178,17,-0.0857,16,-0.2089,13,-0.5421,18,0.02510,18,-0.0103,20,0.18511
ENSG00000078808,SDF4,54,-0.4101,79,0.19158,85,0.31659,76,0.14542,48,-0.5922,69,-0.0377,64,-0.1336,81,0.23454
ENSG00000176022,B3GALT6,11,-1.2634,25,0.03816,20,-0.2883,32,0.48725,16,-0.6719,31,0.40550,26,0.07173,22,-0.1341
ENSG00000160087,UBE2J2,33,-0.3193,57,0.55245,44,0.11983,48,0.30662,28,-0.5658,46,0.24282,21,-0.9907,34,-0.2930
ENSG00000131584,ACAP3,113,0.16669,169,0.83418,66,-0.6718,133,0.49895,72,-0.5492,82,-0.3790,69,-0.6074,100,-0.0368
ENSG00000127054,INTS11,35,-0.1148,49,0.44281,29,-0.3775,50,0.54530,32,-0.2336,37,-0.0125,33,-0.1881,21,-0.9104
ENSG00000224051,CPTP,20,-0.2771,31,0.40803,30,0.32894,32,0.49164,25,0.01896,15,-0.7900,15,-0.7016,28,0.20457
ENSG00000107404,DVL1,50,-0.2333,61,0.08244,47,-0.3455,44,-0.4944,59,0.01958,76,0.49952,74,0.39027,51,-0.2077
ENSG00000175756,AURKAIP1,87,-0.8598,113,-0.4591,140,-0.1237,149,-0.0257,197,0.42867,194,0.46096,208,0.51878,82,-0.9501
ENSG00000221978,CCNL2,107,0.66023,65,-0.1526,47,-0.6689,108,0.79013,34,-1.1612,50,-0.6268,68,-0.0907,80,0.17516
ENSG00000242485,MRPL20,124,-0.5254,156,-0.1637,286,0.83699,147,-0.2866,190,0.15544,187,0.14666,187,0.12669,116,-0.6222
ENSG00000235098,ANKRD65,21,-0.4760,16,-0.8787,31,0.15327,23,-0.3233,25,-0.2060,41,0.69678,45,0.74055,17,-0.8066
ENSG00000179403,VWA1,94,2.49854,11,-1.1160,11,-1.2075,14,-0.9057,22,-0.1391,6,-2.1429,50,1.20567,12,-0.9987
ENSG00000205090,TMEM240,16,-1.1290,44,0.48590,35,0.12523,51,0.86389,24,-0.5046,34,0.08530,12,-1.4591,24,-0.4523
ENSG00000160075,SSU72,95,-0.9907,182,0.02911,187,0.06671,206,0.26254,248,0.53149,209,0.28357,139,-0.3935,108,-0.7845
ENSG00000228594,FNDC10,9,-1.9398,65,1.05561,29,-0.2563,37,0.15957,68,1.14699,23,-0.6545,24,-0.5379,26,-0.4497
ENSG00000272106,AL691432.2,29,0.19944,17,-0.6573,24,-0.1414,23,-0.2123,13,-0.9957,38,0.72624,22,-0.2706,32,0.32730
ENSG00000197530,MIB2,43,0.30889,67,1.06637,33,-0.0839,28,-0.4243,24,-0.6005,31,-0.2215,27,-0.4045,41,0.24089
ENSG00000248333,CDK11B,76,1.29167,38,0.11175,8,-2.2402,19,-1.0073,33,-0.0816,27,-0.4878,11,-1.7021,95,1.70584
ENSG00000189339,SLC35E2B,10,-0.6942,25,0.70201,7,-1.2189,27,0.96142,13,-0.3487,15,-0.1125,16,-0.0218,7,-1.3067
ENSG00000215790,SLC35E2A,2,-3.0136,13,-0.7449,25,0.27308,18,-0.2315,27,0.41190,25,0.31495,36,0.91064,19,-0.1410
ENSG00000008130,NADK,21,-0.3919,30,0.17161,20,-0.4263,34,0.41649,26,-0.0410,31,0.26641,28,0.07663,13,-1.0596
ENSG00000078369,GNB1,227,-1.4186,588,0.05224,549,-0.0555,572,0.01056,740,0.42787,660,0.27313,715,0.37209,405,-0.5343
ENSG00000187730,GABRD,23,-3.1019,319,0.90989,247,0.47376,265,0.68791,199,0.12211,171,-0.1329,67,-1.5532,117,-0.7075
ENSG00000067606,PRKCZ,158,-0.7613,448,0.93034,243,-0.0858,292,0.24113,379,0.64339,242,-0.1055,175,-0.5967,92,-1.5728
ENSG00000162585,FAAP20,45,0.04268,71,0.77436,55,0.36084,26,-0.8641,71,0.77187,29,-0.7398,43,-0.0354,46,0.07070
ENSG00000157933,SKI,31,-0.6530,76,0.76912,23,-1.1214,36,-0.4932,35,-0.4659,34,-0.5704,60,0.37081,110,1.43655
ENSG00000157916,RER1,58,-0.0403,58,-0.0226,83,0.54633,65,0.16409,36,-0.7669,57,-0.0659,69,0.23946,45,-0.4458
ENSG00000157911,PEX10,27,0.09708,25,-0.0189,17,-0.6275,18,-0.6191,35,0.50446,23,-0.1706,57,1.34685,12,-1.0894
ENSG00000149527,PLCH2,13,-0.6159,17,-0.2189,12,-0.6983,19,0.00377,26,0.47484,25,0.48293,5,-1.8128,30,0.74949
ENSG00000197921,HES5,0,-8.6649,30,0.29216,24,-0.0307,12,-1.1202,51,1.19541,24,-0.0774,66,1.68857,5,-2.3988
ENSG00000157873,TNFRSF14,7,-1.3525,12,-0.5742,11,-0.6649,17,0.04532,33,1.10467,21,0.38161,12,-0.5517,19,0.14311
ENSG00000157870,PRXL2B,19,-2.0067,90,0.32934,73,-0.0042,83,0.22475,110,0.67161,76,0.07646,71,-0.0530,50,-0.5833
ENSG00000177133,PRDM16-DT,22,-0.3486,19,-0.6070,33,0.26769,13,-1.2179,48,0.92030,12,-1.3003,68,1.54905,35,0.36882
ENSG00000142611,PRDM16,20,0.12714,20,0.12861,7,-1.4633,9,-1.2325,48,1.58859,7,-1.5047,36,1.06144,24,0.41329
ENSG00000158109,TPRG1L,55,-2.0647,226,0.08671,230,0.11779,329,0.82796,317,0.64530,201,-0.1168,153,-0.5307,100,-1.1787
ENSG00000130764,LRRC47,43,-0.9717,74,-0.1402,96,0.28490,108,0.54504,79,-0.0409,94,0.27863,68,-0.2625,43,-0.9792
ENSG00000116198,CEP104,78,1.67852,37,0.36164,24,-0.3364,26,-0.1977,15,-1.0422,15,-1.0832,25,-0.2784,33,0.18599
ENSG00000198912,C1orf174,10,-0.8486,19,0.18244,32,0.98401,20,0.22640,9,-1.0296,16,-0.1806,9,-0.9074,24,0.49249
ENSG00000196581,AJAP1,14,-1.7179,29,-0.6125,48,0.13907,49,0.20616,42,-0.0413,69,0.88529,24,-0.8896,42,-0.0522
ENSG00000069424,KCNAB2,61,-2.1535,324,0.39732,182,-0.5196,287,0.22685,310,0.32592,287,0.22435,263,0.05810,248,-0.0368
ENSG00000116254,CHD5,89,-1.5337,568,1.47101,179,-0.4674,300,0.40754,238,-0.0212,146,-0.8501,140,-0.8443,302,0.36775
ENSG00000116251,RPL22,678,0.66161,238,-0.9992,392,-0.2310,247,-1.0279,436,-0.0615,615,0.57464,590,0.43044,473,0.06903
ENSG00000116237,ICMT,31,-0.5093,42,-0.0474,40,-0.1465,63,0.70070,51,0.24416,39,-0.1720,41,-0.0970,25,-0.8422
ENSG00000097021,ACOT7,51,-2.2669,179,-0.3720,432,1.08645,367,0.93781,251,0.16695,221,-0.0409,113,-1.0815,62,-1.9823
ENSG00000215788,TNFRSF25,4,-2.9716,21,-0.7471,11,-1.6805,55,0.92721,15,-1.2535,53,0.84798,15,-1.2144,57,0.85834
ENSG00000171680,PLEKHG5,8,-1.9123,26,-0.0912,28,0.02256,34,0.37407,27,-0.0449,41,0.71904,23,-0.2932,16,-0.8296
ENSG00000162408,NOL9,41,-0.0948,71,0.80927,54,0.33721,49,0.21321,30,-0.5691,35,-0.3889,47,0.11617,25,-0.8640
ENSG00000162413,KLHL21,33,-0.4695,46,0.04016,70,0.73104,46,0.05637,38,-0.2522,47,0.07514,50,0.17490,25,-0.9079
ENSG00000116273,PHF13,10,-0.6738,13,-0.3037,17,0.13000,26,0.94181,16,0.04888,12,-0.4400,10,-0.7387,16,-0.0267
ENSG00000007923,DNAJC11,30,-0.6266,60,0.48336,57,0.39938,50,0.20762,53,0.29924,30,-0.6658,38,-0.2428,46,0.06823
ENSG00000171735,CAMTA1,156,-1.3502,533,0.57773,589,0.74754,388,0.06458,349,-0.1139,352,-0.1122,296,-0.3727,343,-0.1410
ENSG00000049245,VAMP3,91,1.83665,11,-1.5623,31,-0.0652,13,-1.4091,22,-0.5594,18,-0.9125,61,1.07356,38,0.30517
ENSG00000049246,PER3,64,0.70856,21,-1.0342,39,-0.1130,32,-0.4568,48,0.22923,37,-0.2243,65,0.73675,42,-0.0018
ENSG00000116288,PARK7,154,-1.0771,157,-1.0547,396,0.40184,245,-0.4091,347,0.18614,505,0.95654,415,0.48166,122,-1.4323
ENSG00000116285,ERRFI1,13,-1.2376,31,0.09604,40,0.48788,42,0.68314,29,-0.0212,33,0.22775,19,-0.6895,11,-1.4916
ENSG00000162426,SLC45A1,5,-2.2978,25,-0.0861,44,0.87374,41,0.84556,27,0.03956,19,-0.5585,16,-0.7679,25,-0.0795
ENSG00000142599,RERE,188,0.43175,125,-0.2266,182,0.37980,139,-0.0571,111,-0.4098,148,0.04719,109,-0.4308,150,0.06740
ENSG00000074800,ENO1,308,-0.9417,415,-0.4818,724,0.40838,537,-0.0856,681,0.30707,475,-0.2994,1108,1.14001,372,-0.6519
ENSG00000171612,SLC25A33,16,-1.5465,41,-0.0953,47,0.10740,17,-1.5188,55,0.37433,48,0.16475,104,1.48452,44,0.00063
ENSG00000171608,PIK3CD,5,-1.4970,35,1.49681,21,0.58169,22,0.78240,15,0.08288,2,-2.5833,7,-1.1469,12,-0.2213
ENSG00000171603,CLSTN1,264,-1.5972,695,-0.1147,1052,0.56180,1198,0.91904,546,-0.4935,774,0.06610,445,-0.8088,518,-0.5751
ENSG00000178585,CTNNBIP1,35,0.01809,53,0.68635,42,0.30675,31,-0.1702,54,0.73851,17,-1.1474,51,0.64315,13,-1.4570
ENSG00000162441,LZIC,95,1.04963,47,-0.1119,23,-1.2227,34,-0.6852,45,-0.1909,49,-0.0537,77,0.68084,54,0.09042
ENSG00000130939,UBE4B,61,0.56781,40,-0.1230,42,-0.0444,65,0.77883,54,0.38452,26,-0.8503,26,-0.7832,25,-0.8132
ENSG00000054523,KIF1B,581,0.65310,424,0.13520,406,0.06175,343,-0.2286,486,0.35765,320,-0.3484,391,0.00176,288,-0.4781
ENSG00000142657,PGD,54,-0.0667,45,-0.3571,96,0.88306,78,0.61019,60,0.10627,41,-0.5567,47,-0.2848,24,-1.3304
ENSG00000241563,CORT,20,-0.6557,18,-0.7632,29,-0.0473,63,1.48807,6,-2.3278,17,-0.9718,43,0.55266,27,-0.1938
ENSG00000160049,DFFA,85,0.95728,51,0.10362,33,-0.5935,33,-0.6221,42,-0.2151,36,-0.4913,84,0.94459,44,-0.1148
ENSG00000142655,PEX14,10,-0.9516,13,-0.5321,28,0.68878,30,0.95672,10,-0.8370,20,0.22070,15,-0.3025,5,-1.8997
ENSG00000120948,TARDBP,115,0.35808,69,-0.4414,109,0.27768,109,0.30875,79,-0.2314,93,0.01621,91,-0.0102,52,-0.8801
ENSG00000271895,AL109811.2,16,-0.4685,17,-0.4378,33,0.63097,29,0.48674,22,0.03584,20,-0.1842,19,-0.2204,16,-0.4763
ENSG00000116649,SRM,44,-0.8974,76,-0.0765,88,0.15799,70,-0.2221,79,-0.0019,100,0.43590,77,-0.0499,89,0.18382
ENSG00000171824,EXOSC10,53,0.84156,19,-0.7896,28,-0.1881,34,0.11743,18,-0.8562,32,0.02063,26,-0.3334,42,0.42990
ENSG00000198793,MTOR,24,-0.7790,14,-1.5366,45,0.22331,49,0.40796,24,-0.7356,53,0.56050,45,0.21454,36,-0.1284
ENSG00000116661,FBXO2,97,-0.8697,110,-0.6755,186,0.15258,148,-0.2404,119,-0.5595,178,0.08418,348,1.21622,184,0.12774
ENSG00000132879,FBXO44,50,-1.3572,147,0.31770,112,-0.1180,187,0.84569,94,-0.3853,108,-0.1893,87,-0.5069,124,0.05023
ENSG00000116670,MAD2L2,24,0.06757,15,-0.5966,18,-0.3680,15,-0.6517,15,-0.6680,40,1.11192,14,-0.7967,31,0.48336
ENSG00000177000,MTHFR,19,-0.2495,11,-1.0633,26,0.24430,35,0.82997,28,0.35407,18,-0.4250,23,0.00176,13,-0.8356
ENSG00000011021,CLCN6,31,-1.5279,123,0.60161,113,0.46140,107,0.42879,65,-0.4093,82,-0.0598,87,0.04733,51,-0.7868
ENSG00000116685,KIAA2013,54,0.61970,28,-0.4358,38,0.06109,42,0.21012,27,-0.5108,38,0.03083,38,0.06139,26,-0.5531
ENSG00000083444,PLOD1,19,0.00608,11,-0.8146,12,-0.7225,16,-0.2636,14,-0.4466,17,-0.1743,39,1.23767,26,0.55585
ENSG00000116688,MFN2,125,-0.1527,121,-0.2150,190,0.51633,167,0.34837,142,0.03957,136,-0.0309,121,-0.2058,77,-0.8988
ENSG00000048707,VPS13D,68,0.16008,78,0.38895,56,-0.1390,87,0.65324,47,-0.4343,43,-0.6075,44,-0.5222,61,-0.0009
ENSG00000162496,DHRS3,38,0.19149,31,-0.0957,24,-0.5201,16,-1.1833,42,0.35279,12,-1.6098,99,1.91423,42,0.38876
