Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to10,Feature log2 fold change topic 3to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,39,-0.0789,46,0.69007,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,62,0.41958,51,0.19992,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,16,-1.3874,42,0.49043,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,15,-1.5865,44,0.47753,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,14,-0.4699,17,-0.2779,33,0.96944,22,0.29182
ENSG00000078808,SDF4,43,-0.4445,57,0.08926,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,21,-0.0730,23,0.21695,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,32,-0.0325,35,0.26067,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,92,0.57154,63,-0.2540,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,40,0.16681,35,-0.1416,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,17,0.08300,18,0.59861,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,29,-0.9379,54,0.19445,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,83,-0.8813,166,0.86374,114,-0.3304,85,-0.7831
ENSG00000221978,CCNL2,78,0.54202,46,-0.8055,82,0.55369,86,0.62681
ENSG00000242485,MRPL20,67,-1.0326,145,0.67257,131,0.05405,96,-0.4232
ENSG00000235098,ANKRD65,7,-1.9426,28,0.81528,27,0.16370,23,-0.0759
ENSG00000179403,VWA1,12,-1.0025,11,-1.9731,47,1.23406,107,2.84790
ENSG00000205090,TMEM240,33,0.29958,31,0.39399,8,-1.8707,18,-0.6758
ENSG00000160075,SSU72,100,-0.3475,141,0.69826,76,-0.7427,71,-0.8440
ENSG00000228594,FNDC10,19,-0.5955,31,0.66898,35,0.42035,4,-2.6906
ENSG00000272106,AL691432.2,20,0.07432,19,0.02812,13,-0.5526,22,0.23595
ENSG00000197530,MIB2,28,-0.0731,31,0.33832,30,0.05425,13,-1.2261
ENSG00000248333,CDK11B,63,0.86781,26,-1.2498,49,0.35859,80,1.18624
ENSG00000189339,SLC35E2B,23,0.40850,17,-0.1768,18,-0.0105,15,-0.3047
ENSG00000008128,CDK11A,38,0.95583,16,-1.1095,24,0.10950,41,0.95862
ENSG00000215790,SLC35E2A,31,-0.0556,30,-0.1976,48,0.65260,30,-0.1033
ENSG00000008130,NADK,20,-0.2345,25,0.26360,23,-0.0014,18,-0.3754
ENSG00000078369,GNB1,399,-0.4373,589,0.66517,446,-0.2282,242,-1.1632
ENSG00000187730,GABRD,106,-0.7705,220,1.76844,21,-3.0706,24,-2.8633
ENSG00000067606,PRKCZ,179,0.03191,192,0.42292,97,-0.9028,117,-0.6290
ENSG00000162585,FAAP20,15,-0.9245,29,0.33696,38,0.54219,23,-0.2424
ENSG00000157933,SKI,37,0.12994,26,-0.9535,78,1.33601,52,0.66178
ENSG00000157916,RER1,34,-0.6054,51,0.26949,56,0.21704,47,-0.0362
ENSG00000157911,PEX10,11,-0.9220,18,-0.2506,31,0.75034,34,0.89813
ENSG00000149527,PLCH2,5,-1.5491,13,0.06251,25,1.02710,16,0.34467
ENSG00000157881,PANK4,14,-0.1884,18,0.86521,7,-1.0738,4,-1.8461
ENSG00000157870,PRXL2B,35,-0.4638,55,0.95841,27,-0.7998,15,-1.6378
ENSG00000177133,PRDM16-DT,12,-0.7160,16,-0.6787,71,2.23342,8,-1.2609
ENSG00000158109,TPRG1L,131,-0.5730,225,1.11436,102,-0.9117,51,-1.9481
ENSG00000116213,WRAP73,12,0.10497,12,0.10591,11,-0.1128,9,-0.4436
ENSG00000130764,LRRC47,38,-1.0715,90,1.12029,44,-0.7820,44,-0.7919
ENSG00000116198,CEP104,62,0.88737,23,-1.5050,33,-0.2260,113,1.83158
ENSG00000198912,C1orf174,12,-0.2009,15,0.26327,7,-0.9731,17,0.31530
ENSG00000196581,AJAP1,72,0.67725,45,-0.3577,37,-0.4657,51,0.05749
ENSG00000069424,KCNAB2,154,-0.3524,226,0.95348,110,-0.8345,48,-2.0645
ENSG00000116254,CHD5,392,0.97061,214,-0.3136,152,-0.6501,130,-0.8844
ENSG00000116251,RPL22,350,-0.6797,524,-0.0090,849,0.77480,562,0.10620
ENSG00000116237,ICMT,22,-1.0035,51,1.19113,27,-0.6492,17,-1.3624
ENSG00000097021,ACOT7,123,-0.8999,274,1.65709,58,-1.9418,43,-2.4006
ENSG00000215788,TNFRSF25,52,1.64913,19,-0.5551,2,-3.4339,8,-1.5703
ENSG00000171680,PLEKHG5,16,-0.5931,27,0.96404,15,-0.6613,9,-1.4316
ENSG00000162408,NOL9,30,-0.0203,29,-0.2444,46,0.64565,30,-0.0110
ENSG00000162413,KLHL21,24,-0.1822,29,0.25113,22,-0.2870,25,-0.1312
