Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000237491,LINC01409,6,-0.5898,31,2.18627,4,-1.0940,7,-0.3738,4,-1.0463,8,-0.0918,4,-1.1065,13,0.69125,7,-0.2848
ENSG00000228794,LINC01128,25,-0.6582,55,0.63588,41,0.16119,46,0.32827,29,-0.3975,56,0.66800,37,0.00568,29,-0.3759,35,-0.0929
ENSG00000188976,NOC2L,31,-0.7364,49,0.01615,36,-0.4428,66,0.52018,59,0.37988,61,0.37978,52,0.12409,26,-0.9256,58,0.28786
ENSG00000188290,HES4,32,0.38700,22,-0.2266,10,-1.4403,41,0.77142,25,-0.0387,13,-1.0177,12,-1.1184,28,0.13790,41,0.78152
ENSG00000187608,ISG15,24,0.22786,15,-0.5181,11,-1.0148,15,-0.5222,28,0.44195,14,-0.6913,34,0.71475,12,-0.8626,32,0.61327
ENSG00000188157,AGRN,18,0.10970,23,0.53440,12,-0.5017,21,0.37582,18,0.15111,13,-0.4265,14,-0.2467,12,-0.4425,16,-0.0912
ENSG00000078808,SDF4,41,-0.1539,40,-0.1813,37,-0.2777,64,0.56827,38,-0.2652,47,0.09093,51,0.21507,42,-0.1044,52,0.24184
ENSG00000176022,B3GALT6,18,-0.1981,18,-0.1956,14,-0.5306,23,0.22894,21,0.04739,20,-0.0316,32,0.74741,11,-0.9314,26,0.42461
ENSG00000160087,UBE2J2,33,-0.0606,28,-0.2873,31,-0.1603,36,0.09072,28,-0.3169,43,0.35471,44,0.39573,24,-0.5662,47,0.52690
ENSG00000131584,ACAP3,61,0.11146,75,0.43505,23,-1.3940,89,0.72008,51,-0.1938,49,-0.2466,42,-0.4561,60,0.08585,66,0.22926
ENSG00000127054,INTS11,26,-0.5298,35,-0.0030,13,-1.5438,43,0.32587,42,0.30910,37,0.06400,57,0.78713,28,-0.3785,40,0.18718
ENSG00000224051,CPTP,14,-0.4205,13,-0.4707,11,-0.7012,20,0.19203,23,0.50507,20,0.20190,19,0.09373,14,-0.3082,23,0.38884
ENSG00000107404,DVL1,75,1.17299,25,-0.7446,17,-1.2914,39,-0.0766,20,-1.1450,35,-0.2078,34,-0.2803,57,0.54157,49,0.30390
ENSG00000175756,AURKAIP1,117,0.09269,59,-0.9620,66,-0.8045,140,0.37162,77,-0.6174,118,0.10572,134,0.30289,95,-0.2453,219,1.13041
ENSG00000221978,CCNL2,32,-0.8685,98,0.95539,28,-1.0286,51,-0.0948,45,-0.3479,62,0.20768,69,0.37902,57,0.06381,81,0.64031
ENSG00000242485,MRPL20,122,0.01810,83,-0.5761,77,-0.6986,149,0.34454,90,-0.4974,100,-0.2936,166,0.51588,140,0.23533,187,0.71354
ENSG00000235098,ANKRD65,31,0.62352,16,-0.5223,9,-1.3242,16,-0.4864,12,-1.0517,23,0.08594,19,-0.2611,45,1.15359,30,0.48894
ENSG00000179403,VWA1,23,0.62207,7,-1.2131,5,-1.7694,17,0.04711,28,0.97439,1,-4.0253,8,-1.0355,25,0.68540,16,-0.0772
ENSG00000197785,ATAD3A,8,-0.2968,9,-0.0987,4,-1.3878,15,0.75750,6,-0.7418,19,1.10866,13,0.47450,4,-1.2282,13,0.47950
