Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,11,-1.8872,26,-0.6745,29,-0.5528,61,0.71236,54,0.42904,51,0.34079,24,-0.8150,41,-0.0033,39,-0.0744,48,0.25706
ENSG00000188976,NOC2L,23,-0.9566,19,-1.2377,11,-2.0922,47,0.09703,40,-0.1351,61,0.52419,37,-0.2560,39,-0.2094,70,0.72689,68,0.77181
ENSG00000188290,HES4,12,-1.4835,26,-0.2751,6,-2.3464,19,-0.8075,27,-0.2158,21,-0.6395,62,1.09961,35,0.17350,17,-0.9161,66,1.42114
ENSG00000187608,ISG15,33,0.37222,35,0.48038,4,-2.5660,8,-1.8841,14,-0.9433,2,-3.2507,34,0.43792,42,0.78478,50,1.07575,40,0.77656
ENSG00000188157,AGRN,15,-0.1309,18,0.13411,11,-0.6303,12,-0.6070,25,0.58314,17,-0.0062,22,0.38884,15,-0.1354,12,-0.5064,22,0.45589
ENSG00000078808,SDF4,43,-0.2723,34,-0.6549,34,-0.6520,42,-0.3609,54,0.05772,48,-0.1069,65,0.37032,49,-0.0825,60,0.23725,75,0.66434
ENSG00000176022,B3GALT6,7,-1.5270,12,-0.7226,8,-1.3141,22,0.22493,11,-0.8265,26,0.47949,13,-0.5771,26,0.51045,22,0.21200,30,0.84176
ENSG00000160087,UBE2J2,14,-1.0981,23,-0.3619,16,-0.9381,28,-0.1259,23,-0.4104,25,-0.2820,35,0.24940,40,0.47727,36,0.29769,45,0.72964
ENSG00000131584,ACAP3,36,-0.6192,43,-0.3484,36,-0.6527,50,-0.1587,93,0.86028,62,0.21257,57,0.07974,44,-0.3183,22,-1.3826,80,0.69529
ENSG00000127054,INTS11,23,-0.5776,16,-1.0984,2,-3.7823,25,-0.4874,37,0.15795,46,0.50869,49,0.60605,46,0.49685,48,0.58622,42,0.39729
ENSG00000224051,CPTP,8,-0.6719,7,-1.0325,2,-2.3669,16,0.35950,14,0.06339,16,0.32304,15,0.16965,17,0.43146,19,0.54739,14,0.07319
ENSG00000107404,DVL1,29,-0.4715,31,-0.3898,18,-1.1751,39,-0.0066,41,0.06545,21,-0.9502,62,0.71512,56,0.53668,28,-0.5282,55,0.59002
ENSG00000175756,AURKAIP1,81,-0.8089,127,-0.1176,123,-0.1641,114,-0.3176,64,-1.1483,88,-0.6864,178,0.41546,174,0.38019,130,-0.0790,225,0.91600
ENSG00000221978,CCNL2,61,0.29803,29,-0.8394,13,-2.0517,33,-0.6911,66,0.41704,93,0.98177,86,0.84558,34,-0.6203,17,-1.6100,71,0.60958
ENSG00000242485,MRPL20,86,-0.6091,106,-0.2946,119,-0.1227,140,0.15688,90,-0.5473,79,-0.7405,164,0.39123,160,0.35574,130,0.01730,162,0.41228
ENSG00000235098,ANKRD65,18,0.39185,14,-0.0738,6,-1.2320,16,0.14451,16,0.13131,9,-0.6788,9,-0.6374,25,0.86197,3,-2.0229,20,0.59847
ENSG00000179403,VWA1,72,2.74611,14,-0.1020,6,-1.3082,4,-1.9065,16,0.01643,13,-0.2421,31,1.14234,8,-1.0116,2,-2.6985,7,-1.2545
ENSG00000205090,TMEM240,10,-1.2002,19,-0.2430,24,0.06381,22,-0.0364,19,-0.2894,12,-0.9409,30,0.40757,27,0.25517,18,-0.3655,35,0.77367
ENSG00000160075,SSU72,59,-1.4017,93,-0.7220,123,-0.2907,113,-0.4615,152,0.04168,154,0.06517,184,0.34179,196,0.44787,182,0.33145,204,0.57711
ENSG00000228594,FNDC10,3,-2.8184,15,-0.7528,12,-1.0973,22,-0.2164,21,-0.2550,12,-1.0715,27,0.13167,43,0.87708,43,0.86745,39,0.81525
ENSG00000272106,AL691432.2,7,-1.2215,7,-1.1681,4,-1.9745,21,0.43724,14,-0.2629,11,-0.6305,20,0.28971,8,-1.0299,11,-0.6216,37,1.51421
