Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000188976,NOC2L,69,1.41323,10,-1.6140,44,0.63368,13,-1.1741,39,0.51998,36,0.32940,18,-0.7761,33,0.18078,21,-0.5094,10,-1.5316
ENSG00000188290,HES4,68,-0.5568,13,-2.9441,29,-1.8071,33,-1.6348,82,-0.2881,341,2.16972,62,-0.7525,118,0.29798,122,0.35603,158,0.77293
ENSG00000187608,ISG15,21,-1.7425,40,-0.7416,18,-1.9525,74,0.19319,61,-0.1271,243,2.28326,25,-1.5340,32,-1.0748,61,-0.1063,126,1.06165
ENSG00000078808,SDF4,55,-0.0838,43,-0.4629,31,-0.9256,34,-0.8111,65,0.20075,107,1.00565,39,-0.6434,66,0.20618,103,0.93589,46,-0.3548
ENSG00000160087,UBE2J2,19,-0.7905,42,0.39594,18,-0.9284,48,0.58606,35,0.13227,20,-0.7722,34,0.06917,32,-0.0473,58,0.90446,19,-0.8658
ENSG00000131584,ACAP3,162,1.33987,58,-0.3438,36,-1.0543,15,-2.3190,52,-0.5531,92,0.39326,59,-0.3215,26,-1.5269,133,0.99661,119,0.81102
ENSG00000127054,INTS11,40,0.18661,47,0.42505,17,-1.1127,37,0.07230,29,-0.3497,48,0.46383,20,-0.9170,31,-0.2396,64,0.93489,46,0.40559
ENSG00000107404,DVL1,60,-0.2233,32,-1.1716,26,-1.4726,15,-2.2633,53,-0.4443,111,0.76985,71,0.04135,27,-1.3934,175,1.55405,134,1.08290
ENSG00000175756,AURKAIP1,87,-1.1395,63,-1.6119,141,-0.4069,157,-0.2394,213,0.26638,138,-0.4349,256,0.60500,163,-0.1846,197,0.11983,311,0.86070
ENSG00000221978,CCNL2,151,1.67973,44,-0.3618,7,-2.9600,46,-0.2728,35,-0.7362,67,0.29486,26,-1.2022,58,0.06173,75,0.48025,94,0.84236
ENSG00000242485,MRPL20,78,-1.1171,76,-1.1511,125,-0.4011,142,-0.2099,248,0.77089,105,-0.6720,227,0.60671,184,0.19750,124,-0.4165,162,-0.0037
ENSG00000179403,VWA1,11,-1.9650,144,2.15714,3,-3.6419,43,0.07705,18,-1.3118,21,-1.0317,25,-0.8004,76,0.99696,42,0.05176,66,0.76962
ENSG00000205090,TMEM240,30,0.32435,10,-1.3407,22,-0.1936,1,-4.3000,48,1.23079,11,-1.1801,36,0.69972,27,0.13099,11,-1.1425,15,-0.7397
ENSG00000160075,SSU72,82,-0.9180,50,-1.6499,120,-0.3443,111,-0.4702,222,0.71291,173,0.22356,214,0.64059,155,0.05507,108,-0.5040,127,-0.2619
ENSG00000228594,FNDC10,39,0.58563,0,-7.1171,14,-0.9382,1,-4.5775,24,-0.1482,24,-0.1672,28,0.11029,28,0.09300,66,1.48925,43,0.75688
ENSG00000272106,AL691432.2,23,-0.1996,40,0.66856,24,-0.1414,12,-1.2221,31,0.26060,17,-0.6727,34,0.44701,28,0.08474,22,-0.2976,22,-0.3066
ENSG00000197530,MIB2,40,0.10744,27,-0.4840,24,-0.6599,10,-1.9787,26,-0.5861,47,0.37380,43,0.24497,38,0.02669,46,0.31705,78,1.18995
ENSG00000248333,CDK11B,133,1.33859,78,0.42864,117,1.10662,36,-0.7516,44,-0.4977,76,0.40329,42,-0.5833,43,-0.4766,21,-1.5800,35,-0.8157
ENSG00000008128,CDK11A,143,2.34362,52,0.51599,55,0.61694,25,-0.6320,15,-1.4060,38,0.02491,17,-1.3075,28,-0.4334,33,-0.1851,11,-1.8414
ENSG00000078369,GNB1,445,-0.4928,246,-1.3904,471,-0.4064,255,-1.3355,598,-0.0390,801,0.43139,873,0.64268,443,-0.5001,800,0.42906,934,0.68223
ENSG00000187730,GABRD,107,0.34104,9,-3.2985,64,-0.4668,8,-3.5021,221,1.87387,53,-0.7638,93,0.12220,51,-0.8055,77,-0.1857,43,-1.0558
ENSG00000067606,PRKCZ,131,-0.3376,57,-1.5868,139,-0.2440,67,-1.3394,190,0.28104,227,0.53331,269,0.93363,115,-0.5271,131,-0.3280,161,-0.0161
ENSG00000162585,FAAP20,31,-0.6886,26,-0.9956,69,0.52677,3,-4.0619,34,-0.6360,93,1.02473,67,0.54635,41,-0.2842,83,0.83996,45,-0.1402
ENSG00000157933,SKI,21,-1.0468,43,0.03685,43,0.03897,11,-1.9264,25,-0.8681,56,0.46806,22,-1.0478,32,-0.4248,129,1.92101,73,0.90636
ENSG00000157916,RER1,49,-0.4344,57,-0.1876,15,-2.1786,8,-3.0589,82,0.41993,29,-1.2124,33,-1.1123,82,0.36558,107,0.80649,201,1.92803
ENSG00000157911,PEX10,25,-0.4179,20,-0.7536,13,-1.3311,10,-1.7697,29,-0.1893,40,0.28657,47,0.63759,38,0.21012,46,0.53044,50,0.67460
ENSG00000197921,HES5,15,-1.4560,1,-5.0775,3,-3.6908,0,-6.6700,10,-2.1257,27,-0.5494,27,-0.6010,202,3.03227,69,0.91459,78,1.12797
ENSG00000157870,PRXL2B,71,0.76104,15,-1.6488,10,-2.2235,25,-0.8319,55,0.40312,78,0.92985,47,0.12561,33,-0.4603,59,0.46435,32,-0.4765
ENSG00000177133,PRDM16-DT,14,-1.5442,2,-4.2253,5,-2.9199,20,-1.0969,7,-2.6627,25,-0.7513,43,0.10519,175,2.59586,68,0.81970,79,1.07207
ENSG00000158109,TPRG1L,44,-1.5695,57,-1.1791,76,-0.7427,40,-1.6890,174,0.61157,157,0.37701,192,0.80034,75,-0.7707,189,0.67967,114,-0.1227
ENSG00000130764,LRRC47,47,-0.0751,14,-1.8895,30,-0.7763,27,-0.9343,99,1.32105,69,0.54181,33,-0.6832,36,-0.4926,48,-0.0304,58,0.24967
ENSG00000116198,CEP104,67,0.76682,121,1.81365,52,0.35944,62,0.64489,12,-1.9710,36,-0.2006,13,-1.8172,63,0.67774,40,-0.0454,5,-2.9677
ENSG00000196581,AJAP1,73,1.35627,27,-0.2813,22,-0.5799,41,0.37265,63,1.25688,18,-0.8939,28,-0.2353,5,-2.5912,16,-1.0830,3,-3.5497
ENSG00000069424,KCNAB2,177,0.10959,49,-1.8352,43,-2.0107,15,-3.5726,175,0.10745,186,0.19222,278,0.96823,63,-1.4587,366,1.31519,172,0.06948
ENSG00000116254,CHD5,993,1.95840,71,-2.2462,912,1.79648,82,-2.0284,140,-1.3260,276,-0.2152,321,0.02525,268,-0.2566,123,-1.4344,150,-1.1455
ENSG00000116251,RPL22,451,-1.0434,855,-0.0648,1255,0.54886,1463,0.80273,632,-0.5759,997,0.17924,1130,0.42320,512,-0.8519,791,-0.1853,838,-0.0945
ENSG00000116237,ICMT,37,0.34159,42,0.52437,14,-1.1839,1,-4.5031,43,0.65596,12,-1.4124,22,-0.5298,18,-0.7326,54,0.95242,52,0.87393
ENSG00000097021,ACOT7,54,-0.9041,28,-1.8969,34,-1.6115,8,-3.5659,307,2.44189,49,-1.0507,95,-0.0601,58,-0.8127,39,-1.3852,102,0.06288
ENSG00000007923,DNAJC11,17,-0.7177,21,-0.3833,32,0.26224,2,-3.8240,35,0.42022,26,-0.1119,21,-0.4412,33,0.27378,53,1.07439,33,0.30487
ENSG00000171735,CAMTA1,638,1.02163,204,-0.7948,339,-0.0091,231,-0.6033,347,0.03196,283,-0.2927,384,0.20796,234,-0.5825,327,-0.0652,374,0.14603
ENSG00000049245,VAMP3,22,-1.1616,104,1.31098,15,-1.7278,73,0.70617,24,-1.1045,56,0.27381,33,-0.5603,82,0.90874,43,-0.1294,53,0.20699
ENSG00000049246,PER3,49,0.22868,28,-0.6272,29,-0.5838,15,-1.5294,29,-0.6338,73,0.86736,18,-1.3809,102,1.43761,88,1.18590,32,-0.4177
ENSG00000116288,PARK7,202,-1.2115,232,-1.0015,281,-0.7117,423,-0.0830,507,0.22424,346,-0.3943,606,0.55141,443,-0.0077,463,0.05968,733,0.80358
ENSG00000142599,RERE,285,1.22973,156,0.23123,148,0.14894,186,0.50960,89,-0.6871,109,-0.3325,101,-0.4900,122,-0.1612,112,-0.2832,121,-0.1751
ENSG00000074800,ENO1,323,-1.3471,313,-1.3909,203,-2.0370,533,-0.5892,602,-0.4385,385,-1.0825,655,-0.2967,1767,1.35478,1875,1.46057,1450,1.01051
ENSG00000171612,SLC25A33,33,-1.3315,14,-2.5812,45,-0.8821,10,-3.0349,47,-0.8822,27,-1.6392,90,0.20317,184,1.38694,167,1.20728,205,1.57591
ENSG00000171603,CLSTN1,480,0.48456,182,-1.0212,226,-0.6938,161,-1.2042,732,1.39311,208,-0.8209,227,-0.7388,381,0.11640,292,-0.3030,401,0.19798
