Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,41,0.86286,8,-2.2918,37,-0.0215
ENSG00000188976,NOC2L,50,0.24616,26,-0.9818,59,0.30668
ENSG00000188290,HES4,34,0.44068,21,-0.6652,29,-0.1667
ENSG00000187608,ISG15,40,-0.5156,107,1.52615,9,-2.3821
ENSG00000078808,SDF4,51,0.93300,33,-0.5424,21,-1.2409
ENSG00000176022,B3GALT6,22,0.66491,11,-0.8938,16,-0.3579
ENSG00000160087,UBE2J2,33,0.54442,12,-1.3775,33,0.08337
ENSG00000131584,ACAP3,66,-0.0763,43,-0.6824,96,0.59666
ENSG00000127054,INTS11,38,0.71313,12,-1.5693,33,-0.0614
ENSG00000224051,CPTP,19,0.31013,12,-0.5724,18,-0.0278
ENSG00000107404,DVL1,52,0.90194,28,-0.7821,27,-0.8699
ENSG00000175756,AURKAIP1,123,1.31568,59,-0.9478,40,-1.5399
ENSG00000221978,CCNL2,52,-0.0977,28,-0.9494,83,0.74146
ENSG00000242485,MRPL20,113,0.36798,74,-0.5910,101,-0.1058
ENSG00000235098,ANKRD65,26,2.40134,3,-2.7131,6,-1.9201
ENSG00000205090,TMEM240,29,-0.1086,17,-0.8323,46,0.70758
ENSG00000160075,SSU72,137,1.43916,54,-1.2265,46,-1.4498
ENSG00000228594,FNDC10,31,1.17414,1,-4.0085,25,-0.1179
ENSG00000272106,AL691432.2,22,2.08607,4,-2.1796,6,-1.7645
ENSG00000197530,MIB2,32,0.92134,9,-1.7976,25,-0.2464
ENSG00000248333,CDK11B,47,-1.2622,103,0.86854,126,1.22541
ENSG00000189339,SLC35E2B,32,1.13625,7,-2.1314,22,-0.4056
ENSG00000008128,CDK11A,15,-2.3578,45,0.77610,113,2.59599
ENSG00000008130,NADK,25,0.29619,22,-0.1208,18,-0.4246
ENSG00000078369,GNB1,542,1.09768,275,-0.8815,231,-1.1488
ENSG00000187730,GABRD,202,1.01259,23,-3.0783,176,-0.0443
ENSG00000067606,PRKCZ,204,0.88181,58,-1.7766,163,-0.2025
ENSG00000162585,FAAP20,39,0.51136,38,0.04431,17,-1.1906
ENSG00000157933,SKI,52,-0.3603,51,-0.1144,82,0.66607
ENSG00000157916,RER1,43,0.78549,31,-0.3903,19,-1.1235
ENSG00000157911,PEX10,18,0.64079,17,0.03323,6,-1.5692
ENSG00000157870,PRXL2B,49,0.97758,26,-0.8325,24,-0.9630
ENSG00000177133,PRDM16-DT,25,0.46710,14,-0.7774,22,-0.1282
ENSG00000158109,TPRG1L,185,1.72197,42,-2.0077,69,-1.2867
ENSG00000130764,LRRC47,73,1.41521,22,-1.6221,32,-1.0518
ENSG00000116198,CEP104,33,-1.3665,82,1.07289,88,1.19242
ENSG00000196581,AJAP1,59,0.59184,28,-1.0631,51,-0.1368
ENSG00000069424,KCNAB2,161,1.58911,51,-1.5556,56,-1.4038
ENSG00000116254,CHD5,332,-0.4307,81,-2.2527,815,1.42067
ENSG00000116251,RPL22,394,-0.0550,680,0.89276,139,-1.6087
ENSG00000116237,ICMT,37,1.24445,8,-2.0002,22,-0.5971
ENSG00000097021,ACOT7,176,1.87577,17,-3.2067,78,-1.0217
ENSG00000171680,PLEKHG5,27,1.26077,1,-4.7489,22,-0.1616
ENSG00000162408,NOL9,35,0.26975,24,-0.5587,35,0.02563
ENSG00000162413,KLHL21,31,1.46004,8,-1.7557,14,-1.0346
ENSG00000007923,DNAJC11,44,0.83312,18,-1.1905,31,-0.4208
ENSG00000171735,CAMTA1,494,0.70234,196,-1.3073,411,-0.1641
ENSG00000049245,VAMP3,15,-1.4354,77,2.46593,4,-2.2368
ENSG00000049246,PER3,36,-0.2589,41,0.12245,46,0.32751
ENSG00000116288,PARK7,213,1.31545,108,-0.8593,63,-1.6775
ENSG00000116285,ERRFI1,27,1.93415,12,-0.9444,1,-4.0165
ENSG00000162426,SLC45A1,23,1.98821,4,-2.4097,7,-1.4609
ENSG00000142599,RERE,128,-0.6251,181,0.40154,213,0.67077
ENSG00000074800,ENO1,366,1.21989,212,-0.6673,102,-1.7705
ENSG00000171612,SLC25A33,34,3.03011,5,-2.5795,3,-3.2623
ENSG00000171603,CLSTN1,681,1.43616,136,-2.2425,367,-0.7584
ENSG00000178585,CTNNBIP1,33,1.49129,16,-0.8879,7,-2.1142
ENSG00000162441,LZIC,53,-0.8890,121,1.10367,77,0.34557
ENSG00000130939,UBE4B,39,0.15647,33,-0.1978,36,-0.0838
ENSG00000054523,KIF1B,484,0.06071,483,0.00837,446,-0.1188
ENSG00000142657,PGD,49,2.11571,11,-1.9274,11,-2.0486
ENSG00000241563,CORT,36,1.02416,29,-0.1943,6,-2.3760
ENSG00000160049,DFFA,67,-0.2154,82,0.26354,75,0.11309
ENSG00000142655,PEX14,18,1.55434,5,-1.7402,7,-1.1959
ENSG00000120948,TARDBP,75,-0.0494,85,0.18110,71,-0.1046
ENSG00000116649,SRM,46,0.94206,20,-1.1073,27,-0.6507
ENSG00000171824,EXOSC10,29,-0.9460,52,0.67004,61,0.93139
ENSG00000198793,MTOR,29,-0.5078,27,-0.2327,56,0.94149
ENSG00000116661,FBXO2,127,0.81680,111,-0.0764,33,-1.8976
ENSG00000132879,FBXO44,82,0.86037,25,-1.6577,65,-0.2212
ENSG00000177000,MTHFR,30,-0.5846,35,0.10172,55,0.84262
ENSG00000011021,CLCN6,72,1.10006,20,-1.8048,47,-0.4834
ENSG00000116685,KIAA2013,29,0.38925,15,-0.9133,29,0.07195
ENSG00000116688,MFN2,128,0.36755,97,-0.3612,101,-0.3013
ENSG00000048707,VPS13D,82,0.19085,70,-0.2163,74,-0.1264
ENSG00000162496,DHRS3,19,-0.4720,30,0.68232,21,0.09606
ENSG00000116731,PRDM2,296,-0.5367,299,-0.1199,559,0.91664
ENSG00000189337,KAZN,67,0.11897,63,-0.0901,61,-0.1224
ENSG00000142634,EFHD2,104,0.56113,76,-0.3775,64,-0.6505
ENSG00000116138,DNAJC16,40,0.83200,13,-1.5115,31,-0.2465
ENSG00000197312,DDI2,51,0.69482,14,-1.8057,48,0.04717
ENSG00000116786,PLEKHM2,124,0.60693,94,-0.3302,69,-0.8047
ENSG00000065526,SPEN,154,-1.1942,372,1.09610,333,0.90232
ENSG00000116809,ZBTB17,18,-0.1911,13,-0.5331,29,0.67573
ENSG00000037637,FBXO42,20,-0.3945,14,-0.6275,38,0.98481
ENSG00000055070,SZRD1,26,-0.5598,41,0.60839,35,0.35512
ENSG00000159363,ATP13A2,91,1.86035,8,-3.3566,41,-0.9697
ENSG00000117118,SDHB,43,1.35400,17,-1.1829,16,-1.3261
ENSG00000117115,PADI2,43,-1.3073,195,2.27050,18,-1.6930
ENSG00000179051,RCC2,23,1.10550,11,-0.9335,10,-1.1051
ENSG00000074964,ARHGEF10L,19,0.54836,11,-0.7270,15,-0.2941
ENSG00000117154,IGSF21,56,1.27983,27,-0.9470,19,-1.4585
ENSG00000159423,ALDH4A1,21,1.08511,12,-0.6315,7,-1.4725
ENSG00000127481,UBR4,40,-1.4633,66,0.34417,153,1.83910
ENSG00000127463,EMC1,39,0.71008,25,-0.5658,22,-0.7310
ENSG00000053372,MRTO4,47,0.22821,13,-1.8659,67,0.62517
ENSG00000053371,AKR7A2,25,0.16567,25,-0.0050,20,-0.3039
ENSG00000077549,CAPZB,143,0.60643,116,-0.2204,72,-0.9613
ENSG00000173436,MICOS10,223,0.61964,227,0.14204,63,-1.8096
ENSG00000158747,NBL1,147,1.01086,41,-1.7761,104,-0.3743
ENSG00000169914,OTUD3,21,0.34431,5,-2.0793,28,0.53785
ENSG00000162545,CAMK2N1,1630,0.90534,1178,-0.3586,562,-1.4914
ENSG00000090432,MUL1,23,1.98894,7,-1.5375,4,-2.2786
ENSG00000158828,PINK1,398,1.01883,253,-0.5425,139,-1.4549
ENSG00000244038,DDOST,19,0.67878,19,0.12862,4,-2.0145
ENSG00000117245,KIF17,23,1.80450,6,-1.8583,7,-1.5296
ENSG00000189410,SH2D5,42,1.72573,0,-5.4232,24,-0.6138
ENSG00000127483,HP1BP3,299,-0.3947,440,0.53439,345,0.13511
ENSG00000075151,EIF4G3,254,-0.0006,261,0.04754,246,-0.0476
ENSG00000117298,ECE1,20,-0.3891,14,-0.6872,39,1.00269
ENSG00000076864,RAP1GAP,112,0.97922,35,-1.6358,79,-0.3928
ENSG00000090686,USP48,74,-0.8451,122,0.56456,146,0.86998
ENSG00000070831,CDC42,161,0.67618,108,-0.5087,94,-0.7282
ENSG00000173372,C1QA,15,-2.2374,118,2.79718,28,0.08281
ENSG00000173369,C1QB,15,-2.7408,188,3.60744,16,-1.0662
ENSG00000133216,EPHB2,16,-0.3828,9,-0.9719,33,1.09883
ENSG00000004487,KDM1A,57,0.28973,38,-0.5627,55,-0.0027
ENSG00000169641,LUZP1,216,0.58142,80,-1.4304,209,0.05628
ENSG00000125944,HNRNPR,142,0.02625,158,0.17747,121,-0.2495
ENSG00000117318,ID3,15,-0.8875,52,1.89068,4,-2.1482
ENSG00000142676,RPL11,317,0.06891,524,0.84824,81,-2.0702
ENSG00000011007,ELOA,25,-0.9834,61,1.21709,37,0.36916
ENSG00000057757,PITHD1,158,1.46865,50,-1.5683,64,-1.1804
ENSG00000011009,LYPLA2,23,1.03906,12,-0.8699,10,-1.0433
ENSG00000189266,PNRC2,56,0.64508,48,-0.1444,24,-1.1883
ENSG00000188529,SRSF10,61,-0.5165,102,0.70309,73,0.15719
ENSG00000001461,NIPAL3,127,-0.8335,312,1.26896,143,-0.0488
ENSG00000133226,SRRM1,172,-1.7321,516,1.20626,631,1.58234
ENSG00000169504,CLIC4,18,-2.1919,157,3.09575,14,-1.2024
ENSG00000117614,SYF2,122,-0.2361,164,0.43164,122,-0.0463
ENSG00000117616,RSRP1,52,0.01791,37,-0.5327,66,0.38481
ENSG00000183726,TMEM50A,54,0.54118,47,-0.1294,27,-0.9495
ENSG00000204178,MACO1,62,-0.0784,57,-0.1469,74,0.26303
ENSG00000117643,MAN1C1,33,0.26890,24,-0.4842,32,-0.0282
ENSG00000162430,SELENON,26,0.07272,32,0.34986,18,-0.6064
ENSG00000117640,MTFR1L,65,0.77641,30,-1.0301,45,-0.4387
ENSG00000117632,STMN1,1082,1.23926,451,-1.1685,465,-1.1193
ENSG00000158008,EXTL1,49,2.13380,9,-2.2790,13,-1.7717
ENSG00000142684,ZNF593,28,0.81639,14,-0.9760,18,-0.5431
ENSG00000142669,SH3BGRL3,106,0.42614,104,0.05952,53,-0.9865
ENSG00000117682,DHDDS,21,0.69009,5,-1.8329,20,0.06175
ENSG00000198830,HMGN2,162,-0.2370,296,0.94968,85,-1.0508
ENSG00000117713,ARID1A,89,-0.3080,111,0.28781,109,0.25288
ENSG00000204160,ZDHHC18,18,0.79131,9,-0.8841,11,-0.5743
ENSG00000142751,GPN2,22,-0.1477,29,0.45120,19,-0.2581
ENSG00000090273,NUDC,207,0.71466,145,-0.4287,106,-0.9067
ENSG00000253368,TRNP1,45,1.63183,13,-1.6185,15,-1.4253
ENSG00000090020,SLC9A1,19,1.68617,5,-1.7406,6,-1.4184
ENSG00000142784,WDTC1,30,0.83225,10,-1.5076,23,-0.2487
ENSG00000186501,TMEM222,43,0.87722,20,-1.0459,27,-0.5902
ENSG00000158195,WASF2,44,-1.5687,190,1.97684,76,0.31632
ENSG00000126705,AHDC1,61,0.14563,29,-1.1353,82,0.50484
ENSG00000126709,IFI6,95,-0.0088,141,0.64647,50,-0.9944
ENSG00000009780,FAM76A,25,0.04854,20,-0.3018,28,0.18266
ENSG00000117758,STX12,101,0.78082,77,-0.2952,40,-1.2716
ENSG00000117751,PPP1R8,28,0.86518,19,-0.4435,11,-1.2324
ENSG00000117748,RPA2,37,1.18641,25,-0.4492,7,-2.1931
ENSG00000126698,DNAJC8,223,-0.1694,275,0.29750,227,-0.0112
ENSG00000130770,ATP5IF1,315,1.70677,135,-1.0861,58,-2.3448
ENSG00000204138,PHACTR4,28,-1.7777,128,1.99114,65,0.72523
ENSG00000180098,TRNAU1AP,18,-0.1362,14,-0.4669,26,0.56462
ENSG00000162419,GMEB1,18,-0.2582,26,0.45244,19,-0.0290
ENSG00000198492,YTHDF2,94,1.08240,39,-1.1749,49,-0.8335
ENSG00000116329,OPRD1,24,-0.2149,2,-3.2243,52,1.28578
ENSG00000159023,EPB41,31,-0.6557,21,-0.7536,77,1.35014
ENSG00000116350,SRSF4,83,-0.9282,178,0.99169,139,0.56793
ENSG00000116353,MECR,27,0.82914,14,-0.8547,16,-0.6652
ENSG00000060656,PTPRU,19,0.59737,14,-0.3518,11,-0.7563
ENSG00000162511,LAPTM5,20,-1.6283,115,2.59999,9,-1.6827
ENSG00000162512,SDC3,107,0.00701,112,0.08094,100,-0.0978
ENSG00000134644,PUM1,204,0.18936,124,-0.7369,233,0.25850
ENSG00000121766,ZCCHC17,125,-0.1447,150,0.25629,127,-0.0100
ENSG00000121769,FABP3,59,1.73209,5,-3.4378,30,-0.8038
ENSG00000162517,PEF1,53,2.28799,4,-3.3090,16,-1.5074
ENSG00000084636,COL16A1,22,-0.0219,14,-0.7121,31,0.53816
ENSG00000121753,ADGRB2,183,1.61199,34,-2.3306,85,-0.9610
ENSG00000184007,PTP4A2,182,-1.5885,979,2.48337,117,-1.2055
ENSG00000121774,KHDRBS1,138,0.56722,113,-0.2090,73,-0.8870
ENSG00000025800,KPNA6,100,0.50267,68,-0.5204,74,-0.3914
ENSG00000084652,TXLNA,31,-0.1622,37,0.23915,33,0.04213
ENSG00000084623,EIF3I,87,0.95124,50,-0.7005,39,-1.0629
ENSG00000175130,MARCKSL1,73,-0.8110,219,1.66066,37,-1.2399
ENSG00000160058,BSDC1,58,-0.2812,48,-0.3577,92,0.70360
ENSG00000160062,ZBTB8A,27,-0.3604,26,-0.1455,44,0.68647
ENSG00000176261,ZBTB8OS,33,0.70278,18,-0.8175,23,-0.4788
ENSG00000162521,RBBP4,112,0.06895,87,-0.3720,126,0.20301
ENSG00000162522,KIAA1522,19,1.10476,0,-5.1294,17,0.01555
ENSG00000134684,YARS,97,1.27309,30,-1.6015,50,-0.8404
ENSG00000160097,FNDC5,36,1.41121,5,-2.5815,21,-0.6136
ENSG00000121905,HPCA,128,2.13178,12,-3.2868,46,-1.3164
ENSG00000121900,TMEM54,25,0.35833,29,0.28869,10,-1.2823
ENSG00000004455,AK2,26,0.24935,28,0.19157,15,-0.7700
ENSG00000160094,ZNF362,25,0.56296,20,-0.2460,14,-0.8236
ENSG00000134686,PHC2,47,0.15986,64,0.52624,20,-1.2405
ENSG00000163866,SMIM12,51,2.07263,6,-2.8733,17,-1.3720
ENSG00000116544,DLGAP3,42,1.43833,16,-1.2805,15,-1.3882
ENSG00000163867,ZMYM6,18,0.63587,17,0.01402,6,-1.5034
ENSG00000116560,SFPQ,206,-1.5896,448,0.72355,794,1.76663
ENSG00000146463,ZMYM4,62,-0.3861,107,0.80784,54,-0.2876
ENSG00000142687,KIAA0319L,70,0.36570,40,-0.8069,69,0.04396
ENSG00000020129,NCDN,409,1.80687,40,-3.2476,193,-0.9294
ENSG00000126067,PSMB2,81,1.06157,29,-1.3757,47,-0.6551
ENSG00000142686,C1orf216,94,1.41275,18,-2.2667,52,-0.7180
ENSG00000092847,AGO1,46,-0.0739,58,0.34770,40,-0.2684
ENSG00000126070,AGO3,55,-0.7932,85,0.48511,106,0.85867
ENSG00000054116,TRAPPC3,31,0.53353,22,-0.4246,21,-0.5436
ENSG00000116871,MAP7D1,182,-0.2019,193,0.05225,225,0.29581
ENSG00000054118,THRAP3,187,-0.0176,220,0.25492,159,-0.2601
ENSG00000196182,STK40,13,-1.1365,16,-0.0245,43,1.63242
ENSG00000181817,LSM10,27,1.65768,7,-1.7146,9,-1.3898
ENSG00000116898,MRPS15,34,0.83182,23,-0.4714,15,-1.1097
ENSG00000163873,GRIK3,29,-0.0668,8,-1.9077,52,0.97007
ENSG00000163875,MEAF6,102,1.14288,47,-1.0205,45,-1.0848
ENSG00000163877,SNIP1,20,0.32544,17,-0.1261,14,-0.4769
ENSG00000134697,GNL2,23,-0.3826,33,0.45414,28,0.20738
ENSG00000185090,MANEAL,20,1.78353,5,-1.8135,6,-1.5296
ENSG00000197982,C1orf122,118,0.28192,163,0.58227,31,-1.9515
ENSG00000188786,MTF1,15,-0.4830,28,0.82357,16,-0.0884
ENSG00000183431,SF3A3,45,0.03093,43,-0.0595,45,0.00395
ENSG00000183520,UTP11,39,0.47711,31,-0.2704,25,-0.6088
ENSG00000116954,RRAGC,57,1.11345,32,-0.7216,20,-1.3980
ENSG00000174574,AKIRIN1,87,0.22997,57,-0.6163,91,0.12581
ENSG00000168653,NDUFS5,534,1.58604,230,-1.0888,126,-1.9892
ENSG00000127603,MACF1,370,-1.9682,1214,1.23357,1684,1.85953
ENSG00000090621,PABPC4,64,-1.2665,188,1.41954,120,0.62681
ENSG00000116983,HPCAL4,394,0.65133,190,-1.0117,311,-0.2566
ENSG00000084072,PPIE,26,1.55280,10,-1.1909,7,-1.7437
ENSG00000131236,CAP1,132,0.41580,147,0.25748,51,-1.3935
ENSG00000131238,PPT1,131,1.00719,55,-1.1799,75,-0.7035
ENSG00000117000,RLF,28,-0.3161,31,0.06780,40,0.46609
ENSG00000084073,ZMPSTE24,37,0.11484,32,-0.2254,37,0.01243
ENSG00000084070,SMAP2,171,0.34756,84,-1.0358,184,0.19452
ENSG00000117016,RIMS3,214,1.50972,14,-3.8143,136,-0.4993
