Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,30,0.35078,20,-0.3649,52,1.31739,57,1.49549,0,-6.4921,13,-0.9303,3,-2.8618
ENSG00000188976,NOC2L,46,0.51368,42,0.42994,37,0.10888,68,1.19415,0,-6.7610,23,-0.6289,15,-1.2961
ENSG00000188290,HES4,74,1.10454,33,-0.2859,132,2.35374,15,-1.4362,7,-2.6255,6,-2.7043,10,-2.0188
ENSG00000187608,ISG15,43,0.79092,18,-0.6870,58,1.32871,15,-0.8749,31,0.22539,28,0.07745,4,-2.8188
ENSG00000188157,AGRN,35,0.77738,20,-0.2014,12,-0.9048,23,0.07695,19,-0.2042,24,0.11979,23,0.09062
ENSG00000078808,SDF4,102,1.06552,35,-0.7980,64,0.25289,61,0.18096,58,0.09995,49,-0.1854,35,-0.7213
ENSG00000176022,B3GALT6,34,1.43709,14,-0.0455,10,-0.6279,21,0.58294,0,-5.7795,6,-1.3396,19,0.41538
ENSG00000160087,UBE2J2,49,1.11794,30,0.29016,19,-0.4704,43,0.89698,6,-2.0825,25,-0.0567,3,-3.0655
ENSG00000162572,SCNN1D,24,1.12280,9,-0.5544,8,-0.7847,19,0.64652,10,-0.4141,6,-1.0063,16,0.36270
ENSG00000131584,ACAP3,133,0.80339,84,0.01561,47,-0.9023,101,0.32842,13,-2.8364,94,0.20213,110,0.46332
ENSG00000127054,INTS11,58,0.63273,29,-0.5588,24,-0.8048,35,-0.2164,41,0.05631,34,-0.2453,68,0.91467
ENSG00000224051,CPTP,26,1.05608,22,0.88015,4,-1.8318,23,0.81090,1,-3.5357,8,-0.8017,7,-1.0664
ENSG00000107404,DVL1,100,1.51125,45,0.09100,28,-0.6674,36,-0.2782,12,-1.8823,39,-0.1639,38,-0.2045
ENSG00000175756,AURKAIP1,128,0.98500,50,-0.6618,79,0.14723,70,-0.0508,96,0.47609,56,-0.4041,49,-0.6293
ENSG00000221978,CCNL2,80,0.37863,41,-0.8144,118,1.06192,76,0.27422,26,-1.4021,35,-0.9481,96,0.68487
ENSG00000242485,MRPL20,113,0.80703,45,-0.8100,81,0.22590,73,0.06258,94,0.47878,46,-0.6895,68,-0.0683
ENSG00000235098,ANKRD65,17,0.16015,11,-0.5799,26,0.92215,1,-3.4348,0,-5.8038,28,1.05501,27,1.00229
ENSG00000179403,VWA1,17,-1.6885,13,-2.1919,34,-0.6060,7,-2.8821,65,0.44023,149,2.03129,102,1.25089
ENSG00000160072,ATAD3B,13,0.42495,11,0.05848,6,-0.8665,21,1.20081,0,-5.2602,11,0.08812,10,0.01287
ENSG00000205090,TMEM240,35,0.85832,29,0.62880,6,-1.9434,53,1.66625,0,-6.2785,8,-1.5036,9,-1.2518
ENSG00000160075,SSU72,125,0.58082,72,-0.3851,77,-0.2292,134,0.71238,127,0.61288,58,-0.6617,42,-1.1574
ENSG00000228594,FNDC10,38,1.37847,30,1.12851,13,-0.4565,17,-0.0288,6,-1.5689,5,-1.8952,1,-4.2267
ENSG00000197530,MIB2,48,0.94741,35,0.47832,7,-2.1385,32,0.23099,31,0.19146,14,-1.0548,19,-0.5788
ENSG00000248333,CDK11B,24,-1.0323,56,0.40756,34,-0.4823,23,-1.0987,11,-2.1806,96,1.29647,67,0.64420
ENSG00000189339,SLC35E2B,14,-0.0047,15,0.15510,17,0.34112,15,0.16209,8,-0.7223,9,-0.7078,17,0.34407
ENSG00000008128,CDK11A,7,-2.0810,31,0.14145,2,-3.5031,18,-0.7081,8,-1.9325,56,1.14387,77,1.78335
ENSG00000215790,SLC35E2A,42,0.72016,23,-0.3245,36,0.42201,23,-0.3160,39,0.58161,8,-1.8124,27,-0.0607
ENSG00000008130,NADK,41,1.59446,8,-1.2083,19,0.22001,32,1.11102,4,-2.1105,14,-0.2373,7,-1.3241
ENSG00000078369,GNB1,414,0.68556,263,-0.0979,504,1.04161,317,0.22259,246,-0.1952,117,-1.3534,92,-1.7161
ENSG00000187730,GABRD,185,1.82020,87,0.48011,32,-1.1711,135,1.18775,0,-7.2965,17,-2.1081,5,-3.9525
ENSG00000067606,PRKCZ,156,0.88049,115,0.42581,67,-0.5397,153,0.84494,21,-2.2493,66,-0.5586,53,-0.8976
ENSG00000162585,FAAP20,38,0.29482,28,-0.2355,21,-0.6331,9,-1.8762,68,1.32900,34,0.10089,28,-0.1872
ENSG00000157933,SKI,49,-0.0748,59,0.26486,67,0.44320,30,-0.8235,82,0.80013,22,-1.3409,43,-0.2891
ENSG00000157916,RER1,88,1.40443,24,-0.9017,27,-0.6060,43,0.12108,37,-0.1170,51,0.40692,25,-0.7501
ENSG00000157911,PEX10,22,-0.1899,15,-0.8378,11,-1.2853,13,-0.9492,95,2.65037,13,-0.9949,13,-0.9793
ENSG00000149527,PLCH2,44,1.70784,12,-0.5818,12,-0.4651,25,0.64907,1,-4.1705,19,0.17349,10,-0.7913
ENSG00000197921,HES5,49,2.13577,12,-0.4344,38,1.59021,11,-0.5419,0,-5.8487,0,-7.5490,2,-2.5943
ENSG00000157873,TNFRSF14,32,2.36030,10,0.10954,5,-0.9381,9,-0.0111,0,-5.1045,3,-1.8018,5,-0.8107
ENSG00000157870,PRXL2B,46,0.32347,40,0.12820,72,1.11637,60,0.80440,14,-1.4791,19,-1.0992,10,-2.0249
ENSG00000177133,PRDM16-DT,55,0.96307,22,-0.6256,73,1.50854,9,-1.8500,66,1.32072,3,-3.5344,0,-5.9997
ENSG00000158109,TPRG1L,127,1.03109,79,0.22860,92,0.45842,128,1.03979,21,-1.8684,16,-2.2137,19,-1.9982
ENSG00000130764,LRRC47,79,1.19247,27,-0.6963,47,0.28629,53,0.46845,9,-2.2106,49,0.34811,27,-0.6015
ENSG00000116198,CEP104,21,-1.0371,30,-0.5568,30,-0.4725,27,-0.6426,36,-0.1753,56,0.53351,95,1.51104
ENSG00000196581,AJAP1,53,0.67020,40,0.22149,58,0.85392,63,0.99486,0,-6.4462,13,-1.5022,16,-1.2027
ENSG00000069424,KCNAB2,217,1.66140,105,0.37564,55,-0.7364,170,1.17919,17,-2.5020,4,-4.4923,22,-2.0864
ENSG00000116254,CHD5,289,0.38878,373,1.03467,198,-0.2402,479,1.30216,29,-3.1382,30,-3.0978,66,-1.9412
ENSG00000116251,RPL22,301,-0.3262,209,-1.0070,658,1.00979,190,-1.0456,493,0.49201,621,0.90358,262,-0.5456
ENSG00000116237,ICMT,35,0.64113,15,-0.8686,38,0.74359,33,0.54390,25,0.07897,16,-0.6096,16,-0.6906
ENSG00000097021,ACOT7,97,0.87732,64,0.18685,41,-0.5766,132,1.45932,11,-2.5566,36,-0.7624,21,-1.5592
ENSG00000215788,TNFRSF25,58,1.47588,20,-0.4114,39,0.73383,62,1.60932,0,-6.5345,3,-3.0111,0,-7.5568
ENSG00000171680,PLEKHG5,59,1.70245,24,0.06329,17,-0.4356,53,1.46746,0,-5.5787,6,-2.0967,1,-3.7789
ENSG00000162408,NOL9,29,-0.0448,34,0.25556,55,1.08131,30,0.03614,21,-0.5626,11,-1.4466,23,-0.4306
ENSG00000162413,KLHL21,38,0.59848,18,-0.7586,24,-0.1882,28,0.08439,49,1.02011,19,-0.5576,22,-0.3384
ENSG00000116273,PHF13,25,1.40184,14,0.37434,8,-0.4970,13,0.20033,0,-5.3972,11,-0.0715,6,-0.9631
ENSG00000007923,DNAJC11,28,0.34224,27,0.31661,22,-0.0557,42,1.07354,0,-5.6233,13,-0.8394,22,-0.0066
ENSG00000171735,CAMTA1,389,0.25163,393,0.31803,443,0.47454,646,1.15561,157,-1.1918,86,-2.0995,168,-1.0889
ENSG00000049245,VAMP3,31,-0.2793,13,-1.7957,20,-0.9992,5,-3.0343,82,1.39340,90,1.58344,45,0.31159
ENSG00000049246,PER3,53,0.42276,19,-1.3357,89,1.36353,42,0.05474,12,-1.8712,36,-0.2215,59,0.59908
ENSG00000116288,PARK7,226,0.80156,57,-1.5776,332,1.53105,101,-0.5439,180,0.39893,132,-0.1099,49,-1.6574
ENSG00000116285,ERRFI1,23,0.78663,14,-0.0369,4,-1.9802,20,0.52874,22,0.65785,11,-0.4318,8,-0.8906
ENSG00000162426,SLC45A1,22,1.22281,10,-0.1545,8,-0.5418,29,1.76861,1,-3.5674,1,-3.0526,6,-0.8399
ENSG00000142599,RERE,154,-0.0587,137,-0.2872,164,0.03712,165,0.04942,171,0.11095,130,-0.3295,221,0.54482
ENSG00000074800,ENO1,560,0.40561,253,-0.9882,418,-0.0843,316,-0.5332,1397,2.20218,163,-1.5505,159,-1.5907
ENSG00000171612,SLC25A33,51,0.75880,14,-1.4617,84,1.73400,10,-1.7301,64,1.20328,16,-1.0874,6,-2.5732
ENSG00000171603,CLSTN1,674,0.88132,393,-0.0542,366,-0.1638,869,1.36343,304,-0.4586,106,-2.0736,128,-1.7854
ENSG00000178585,CTNNBIP1,36,0.65794,26,0.14799,19,-0.3902,25,0.06208,35,0.60740,20,-0.3004,7,-1.9534
ENSG00000162441,LZIC,39,-0.8929,44,-0.8063,74,0.12159,35,-1.0399,121,0.97211,85,0.34801,108,0.77324
ENSG00000130939,UBE4B,22,-0.7016,27,-0.3898,9,-1.9302,52,0.73041,44,0.45027,60,0.97860,29,-0.2729
ENSG00000054523,KIF1B,274,-0.8761,456,-0.0788,396,-0.2937,569,0.30076,413,-0.2288,500,0.08535,736,0.74903
ENSG00000284642,AL139424.2,13,0.26645,12,0.10023,16,0.59121,21,1.06300,0,-5.3849,2,-2.2038,13,0.30105
ENSG00000142657,PGD,32,-0.2528,23,-0.8519,30,-0.3527,56,0.67866,83,1.40767,26,-0.6016,27,-0.5402
ENSG00000160049,DFFA,50,0.10533,35,-0.5327,49,0.06315,32,-0.6114,30,-0.7054,62,0.45745,83,0.97813
ENSG00000142655,PEX14,23,1.23605,6,-0.9389,13,0.28719,25,1.42077,3,-1.7981,9,-0.4003,3,-1.8596
ENSG00000120948,TARDBP,88,0.14046,57,-0.6296,120,0.67270,89,0.15884,41,-1.0661,90,0.18425,104,0.41664
ENSG00000116649,SRM,72,1.30668,30,-0.2697,35,0.02592,38,0.14934,38,0.15696,19,-0.9506,14,-1.3716
ENSG00000171824,EXOSC10,27,-0.3364,14,-1.5042,59,0.99499,50,0.72202,3,-3.2339,19,-0.8735,78,1.54068
ENSG00000198793,MTOR,38,0.45641,18,-0.8251,41,0.55746,39,0.47853,49,0.88810,16,-0.9760,14,-1.1311
ENSG00000116661,FBXO2,240,0.41660,135,-0.6048,201,0.11422,98,-1.0310,514,1.86708,122,-0.6890,55,-1.9014
ENSG00000132879,FBXO44,142,1.41239,60,-0.1175,55,-0.2385,122,1.12469,15,-2.1990,31,-1.1480,27,-1.3460
ENSG00000177000,MTHFR,28,0.48877,26,0.42500,14,-0.6678,26,0.30809,0,-6.2846,13,-0.7914,36,0.92167
ENSG00000011021,CLCN6,91,0.64561,60,-0.0644,55,-0.1896,109,0.95982,77,0.35039,33,-0.9960,13,-2.4230
ENSG00000116685,KIAA2013,27,-0.2155,20,-0.7947,18,-0.8895,23,-0.4690,84,1.80734,27,-0.2331,31,-0.0342
ENSG00000083444,PLOD1,24,0.10919,10,-1.3219,15,-0.5880,11,-1.0472,67,2.07687,18,-0.3596,21,-0.0513
ENSG00000116688,MFN2,83,0.15655,77,0.03418,80,0.09492,103,0.52753,44,-0.8356,84,0.17747,55,-0.4985
ENSG00000048707,VPS13D,35,-1.0772,75,0.14340,92,0.46106,111,0.78546,52,-0.4716,45,-0.6951,74,0.07878
ENSG00000162496,DHRS3,18,-1.2425,14,-1.7175,18,-1.1730,9,-2.1918,203,3.64971,14,-1.5815,23,-0.8460
ENSG00000116731,PRDM2,124,-0.5304,199,0.29191,177,0.04596,295,0.93690,66,-1.4831,122,-0.5481,191,0.17970
ENSG00000189337,KAZN,43,-0.7118,54,-0.4023,82,0.32560,73,0.13910,64,-0.0690,77,0.22646,90,0.49433
ENSG00000142634,EFHD2,21,-1.9390,119,1.02261,52,-0.5679,167,1.46572,82,0.17899,20,-2.0065,9,-3.1407
