"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006954","BP","GO:0006954","inflammatory response","20/97","440/11800",3.37423518345509e-10,7.88558762373455e-07,6.10914159530817e-07,"CX3CR1/A2M/C3/PLD4/TYROBP/AIF1/TXNIP/TREM2/HMGB2/HSPA8/CYBA/ITGB2/ALOX5AP/CSF1R/LILRB4/SERPINA3/PLP1/SYK/OLR1/CHST1",20
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","10/97","123/11800",6.13239740488812e-08,7.16570636761177e-05,5.55143344021451e-05,"MAPK3/CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/CSF1R/SYK/RIPOR2",10
"GO:0050900","BP","GO:0050900","leukocyte migration","12/97","213/11800",1.62652832274469e-07,9.40349883685917e-05,7.2851014568375e-05,"MAPK3/CX3CR1/SELPLG/AIF1/CD74/PLEC/TREM2/P2RY12/ITGB2/CSF1R/SYK/RIPOR2",12
"GO:0006935","BP","GO:0006935","chemotaxis","13/97","267/11800",2.60794302436331e-07,9.40349883685917e-05,7.2851014568375e-05,"MAPK3/CX3CR1/AIF1/CD74/PLEC/TREM2/P2RY12/HMGB2/ITGB2/ENPP2/CSF1R/SYK/RIPOR2",13
"GO:0042330","BP","GO:0042330","taxis","13/97","267/11800",2.60794302436331e-07,9.40349883685917e-05,7.2851014568375e-05,"MAPK3/CX3CR1/AIF1/CD74/PLEC/TREM2/P2RY12/HMGB2/ITGB2/ENPP2/CSF1R/SYK/RIPOR2",13
"GO:1905523","BP","GO:1905523","positive regulation of macrophage migration","5/97","18/11800",2.66331913905976e-07,9.40349883685917e-05,7.2851014568375e-05,"MAPK3/CX3CR1/TREM2/P2RY12/CSF1R",5
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","15/97","367/11800",2.81662352837031e-07,9.40349883685917e-05,7.2851014568375e-05,"MAPK3/CX3CR1/C3/TYROBP/AIF1/CD74/TREM2/P2RY12/HMGB2/HSPA8/CYBA/ALOX5AP/CSF1R/SYK/RIPOR2",15
"GO:0002687","BP","GO:0002687","positive regulation of leukocyte migration","8/97","84/11800",4.06230441053891e-07,0.000112757057041637,8.73554210803843e-05,"MAPK3/CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R/RIPOR2",8
"GO:0002252","BP","GO:0002252","immune effector process","14/97","328/11800",4.34237703626329e-07,0.000112757057041637,8.73554210803843e-05,"CX3CR1/A2M/C3/TYROBP/CD74/LAPTM5/PLEC/TREM2/ITGB2/LILRB4/C1QB/SERPING1/ITM2A/SYK",14
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","9/97","119/11800",5.4037085445646e-07,0.000115976671220069,8.9849728396063e-05,"MAPK3/CX3CR1/AIF1/CD74/PLEC/ITGB2/CSF1R/SYK/RIPOR2",9
"GO:0002697","BP","GO:0002697","regulation of immune effector process","11/97","195/11800",5.45889338220266e-07,0.000115976671220069,8.9849728396063e-05,"CX3CR1/A2M/C3/TYROBP/CD74/LAPTM5/TREM2/ITGB2/LILRB4/SERPING1/SYK",11
"GO:0050921","BP","GO:0050921","positive regulation of chemotaxis","8/97","89/11800",6.36343626899936e-07,0.000117358909788845,9.09205796170588e-05,"MAPK3/CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R/RIPOR2",8
"GO:2000147","BP","GO:2000147","positive regulation of cell motility","15/97","392/11800",6.52830905971323e-07,0.000117358909788845,9.09205796170588e-05,"MAPK3/CX3CR1/AIF1/CD74/TF/TREM2/P2RY12/AQP1/ENPP2/CSF1R/IRS2/ITGAX/PLP1/PFN1/RIPOR2",15
"GO:0040017","BP","GO:0040017","positive regulation of locomotion","15/97","400/11800",8.42601352084347e-07,0.000140654239987223,0.000108967994404893,"MAPK3/CX3CR1/AIF1/CD74/TF/TREM2/P2RY12/AQP1/ENPP2/CSF1R/IRS2/ITGAX/PLP1/PFN1/RIPOR2",15
"GO:0006956","BP","GO:0006956","complement activation","5/97","23/11800",1.01246555138559e-06,0.000148361065167849,0.000114938644726122,"A2M/C3/TREM2/C1QB/SERPING1",5
"GO:0060326","BP","GO:0060326","cell chemotaxis","10/97","166/11800",1.01573686037038e-06,0.000148361065167849,0.000114938644726122,"MAPK3/CX3CR1/AIF1/CD74/PLEC/HMGB2/ITGB2/CSF1R/SYK/RIPOR2",10
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","13/97","303/11800",1.09898251647138e-06,0.000151077772999625,0.000117043339215528,"CX3CR1/A2M/TYROBP/CD74/LAPTM5/TREM2/HSPA8/LILRB4/SERPING1/LST1/SYK/RIPOR2/TSC22D3",13
