category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,5/37,27/5745,6.101097506702287e-7,5.8570536064341954e-5,4.816655926343911e-5,A2M/C3/ITGB2/C1QB/ITGAX,5
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,6/37,91/5745,2.095377908249777e-5,7.357963478442141e-4,6.050956807929393e-4,TYROBP/TREM2/CYBA/CSF1R/LILRB4/SYK,6
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,4/37,27/5745,2.299363587013169e-5,7.357963478442141e-4,6.050956807929393e-4,C3/SELPLG/ITGB2/C1QB,4
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,5/37,87/5745,2.111447393480733e-4,0.005067473744353759,0.004167330381869868,C3/SELPLG/CYBA/ITGB2/SYK,5
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,5/37,114/5745,7.397171852460488e-4,0.014202569956724137,0.011679745030200772,C3/CD74/ITGB2/ITGAX/SYK,5
Metabolism,Lipid metabolism,hsa00565,Ether lipid metabolism,3/37,32/5745,0.0010727091552678652,0.017163346484285844,0.014114594148261385,PLD4/UGT8/ENPP2,3
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,3/37,34/5745,0.0012827581444931227,0.01759211169590568,0.01446719711834349,C3/HSPA8/ITGB2,3
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,3/37,43/5745,0.0025421908991674143,0.030506290790008973,0.02508741018915212,C3/ITGB2/C1QB,3
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,5/37,156/5745,0.002990129120425449,0.031894710617871455,0.026229202810749554,C3/SST/CORT/VGF/P2RY13,5
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,3/37,51/5745,0.004140877472095586,0.039752423732117625,0.03269113793759673,C3/CYBA/ITGB2,3
Cellular Processes,Transport and catabolism,hsa04145,Phagosome,4/37,107/5745,0.004682494114193929,0.040865403178419746,0.033606417087516244,C3/CYBA/ITGB2/OLR1,4
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,2/37,19/5745,0.0064421454686289835,0.05153716374903187,0.04238253597782226,CX3CR1/CSF1R,2
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,3/37,66/5745,0.008516712550062398,0.06289264652353771,0.05172092641738299,TYROBP/ITGB2/SYK,3
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,5/37,230/5745,0.015075043814814839,0.10337172901587317,0.08500964557226413,HSPA8/CYBA/C1QB/NDUFB9/COX5A,5
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,4/37,163/5745,0.019911934649950093,0.1274363817596806,0.1047996560523689,C3/RPS26/C1QB/SYK,4
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,2/37,41/5745,0.028272710002134008,0.16963626001280405,0.13950350330000333,C3/C1QB,2
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,2/37,47/5745,0.036386842819516374,0.20547864180432776,0.1689791462206643,CD74/HSPA8,2
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,2/37,49/5745,0.039269330769262874,0.2058565740111587,0.1692899457328608,ALOX5AP/SYK,2
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,2/37,50/5745,0.04074244693970849,0.2058565740111587,0.1692899457328608,FABP3/OLR1,2
