Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to10,Feature log2 fold change topic 6to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,39,-0.0789,57,0.70027,40,-0.0272,16,-1.4236,21,-0.9611
ENSG00000188976,NOC2L,62,0.41958,43,-0.2463,56,0.35467,22,-1.2151,32,-0.6559
ENSG00000188290,HES4,16,-1.3874,32,-0.3270,48,0.64474,70,0.99175,17,-1.1882
ENSG00000187608,ISG15,15,-1.5865,25,-0.8118,56,0.92858,76,1.04901,21,-1.0004
ENSG00000188157,AGRN,14,-0.4699,15,-0.3195,18,-0.0290,33,0.96944,22,0.29182
ENSG00000078808,SDF4,43,-0.4445,68,0.38322,51,-0.2376,71,0.36160,59,0.06798
ENSG00000176022,B3GALT6,21,-0.0730,21,-0.0428,24,0.22346,19,-0.2038,17,-0.3198
ENSG00000160087,UBE2J2,32,-0.0325,31,-0.1244,37,0.32003,25,-0.4547,27,-0.3015
ENSG00000131584,ACAP3,92,0.57154,79,0.31695,54,-0.5163,43,-0.6673,73,0.12640
ENSG00000127054,INTS11,40,0.16681,26,-0.6147,41,0.28741,43,0.24576,33,-0.1683
ENSG00000224051,CPTP,17,0.08300,17,0.10501,19,0.41544,3,-2.3759,11,-0.6102
ENSG00000107404,DVL1,29,-0.9379,65,0.45454,47,-0.2063,96,1.00754,34,-0.6426
ENSG00000175756,AURKAIP1,83,-0.8813,127,-0.1916,189,0.82479,114,-0.3304,85,-0.7831
ENSG00000221978,CCNL2,78,0.54202,37,-0.8130,52,-0.2566,82,0.55369,86,0.62681
ENSG00000242485,MRPL20,67,-1.0326,138,0.16453,149,0.42324,131,0.05405,96,-0.4232
ENSG00000235098,ANKRD65,7,-1.9426,28,0.28157,29,0.42991,27,0.16370,23,-0.0759
ENSG00000179403,VWA1,12,-1.0025,13,-0.8893,10,-1.6541,47,1.23406,107,2.84790
ENSG00000205090,TMEM240,33,0.29958,22,-0.4183,36,0.62827,8,-1.8707,18,-0.6758
ENSG00000160075,SSU72,100,-0.3475,135,0.18994,144,0.42163,76,-0.7427,71,-0.8440
ENSG00000228594,FNDC10,19,-0.5955,40,0.84487,25,-0.1825,35,0.42035,4,-2.6906
ENSG00000272106,AL691432.2,20,0.07432,17,-0.2345,21,0.19717,13,-0.5526,22,0.23595
ENSG00000197530,MIB2,28,-0.0731,41,0.69099,25,-0.3026,30,0.05425,13,-1.2261
ENSG00000248333,CDK11B,63,0.86781,21,-1.0674,30,-0.6048,49,0.35859,80,1.18624
ENSG00000189339,SLC35E2B,23,0.40850,22,0.32601,15,-0.4446,18,-0.0105,15,-0.3047
ENSG00000008128,CDK11A,38,0.95583,19,-0.3060,14,-0.9593,24,0.10950,41,0.95862
ENSG00000215790,SLC35E2A,31,-0.0556,40,0.47270,24,-0.6067,48,0.65260,30,-0.1033
ENSG00000008130,NADK,20,-0.2345,19,-0.3294,28,0.46412,23,-0.0014,18,-0.3754
ENSG00000078369,GNB1,399,-0.4373,671,0.52935,540,0.11086,446,-0.2282,242,-1.1632
ENSG00000187730,GABRD,106,-0.7705,133,-0.4334,272,1.53369,21,-3.0706,24,-2.8633
ENSG00000067606,PRKCZ,179,0.03191,198,0.23483,188,0.17616,97,-0.9028,117,-0.6290
ENSG00000162585,FAAP20,15,-0.9245,38,0.66648,24,-0.2799,38,0.54219,23,-0.2424
ENSG00000157933,SKI,37,0.12994,34,-0.0241,21,-1.0148,78,1.33601,52,0.66178
ENSG00000157916,RER1,34,-0.6054,31,-0.7944,64,0.74936,56,0.21704,47,-0.0362
ENSG00000157911,PEX10,11,-0.9220,14,-0.5607,21,0.15314,31,0.75034,34,0.89813
ENSG00000149527,PLCH2,5,-1.5491,12,-0.2393,14,0.23104,25,1.02710,16,0.34467
ENSG00000157881,PANK4,14,-0.1884,16,0.02457,20,0.66701,7,-1.0738,4,-1.8461
ENSG00000157870,PRXL2B,35,-0.4638,51,0.21248,57,0.58201,27,-0.7998,15,-1.6378
ENSG00000177133,PRDM16-DT,12,-0.7160,23,0.34563,12,-1.0393,71,2.23342,8,-1.2609
ENSG00000158109,TPRG1L,131,-0.5730,207,0.22296,236,0.67209,102,-0.9117,51,-1.9481
ENSG00000116213,WRAP73,12,0.10497,8,-0.7434,15,0.58202,11,-0.1128,9,-0.4436
ENSG00000130764,LRRC47,38,-1.0715,85,0.27067,94,0.63683,44,-0.7820,44,-0.7919
ENSG00000116198,CEP104,62,0.88737,27,-0.5991,21,-1.2334,33,-0.2260,113,1.83158
ENSG00000198912,C1orf174,12,-0.2009,11,-0.4964,17,0.57078,7,-0.9731,17,0.31530
ENSG00000196581,AJAP1,72,0.67725,42,-0.3182,47,-0.1082,37,-0.4657,51,0.05749
ENSG00000069424,KCNAB2,154,-0.3524,213,0.22278,234,0.57049,110,-0.8345,48,-2.0645
ENSG00000116254,CHD5,392,0.97061,231,-0.0092,204,-0.2951,152,-0.6501,130,-0.8844
ENSG00000116251,RPL22,350,-0.6797,675,0.50522,434,-0.4452,849,0.77480,562,0.10620
ENSG00000116237,ICMT,22,-1.0035,51,0.41890,51,0.55523,27,-0.6492,17,-1.3624
ENSG00000097021,ACOT7,123,-0.8999,177,-0.3302,332,1.40129,58,-1.9418,43,-2.4006
ENSG00000215788,TNFRSF25,52,1.64913,21,-0.1238,18,-0.4572,2,-3.4339,8,-1.5703
ENSG00000171680,PLEKHG5,16,-0.5931,20,-0.2380,32,0.92522,15,-0.6613,9,-1.4316
ENSG00000162408,NOL9,30,-0.0203,32,0.05444,27,-0.2769,46,0.64565,30,-0.0110
ENSG00000162413,KLHL21,24,-0.1822,20,-0.5168,34,0.57327,22,-0.2870,25,-0.1312
ENSG00000116273,PHF13,19,0.46132,14,-0.1377,13,-0.1846,16,0.14348,13,-0.1780
ENSG00000041988,THAP3,16,0.15541,8,-1.0675,17,0.32584,25,0.79102,13,-0.2217
ENSG00000007923,DNAJC11,33,-0.1156,50,0.71965,33,-0.1615,15,-1.2952,27,-0.4031
ENSG00000171735,CAMTA1,658,0.63499,499,0.14715,443,-0.1020,266,-0.8505,254,-0.9204
ENSG00000049245,VAMP3,20,-0.3765,19,-0.4914,12,-1.4823,49,1.05731,97,2.31966
ENSG00000049246,PER3,47,0.06546,44,-0.0445,35,-0.5830,56,0.34234,85,1.02869
ENSG00000116288,PARK7,135,-1.1885,272,-0.0563,380,0.86347,260,-0.1145,114,-1.3700
ENSG00000116285,ERRFI1,26,-0.1955,28,-0.0743,36,0.54421,16,-0.8732,18,-0.6886
ENSG00000162426,SLC45A1,24,-0.2202,25,-0.1011,38,0.99208,0,-5.1179,8,-1.7190
ENSG00000142599,RERE,149,0.23625,137,0.09741,110,-0.3971,150,0.22416,154,0.27030
ENSG00000074800,ENO1,235,-0.8404,299,-0.4953,454,0.39587,854,1.29220,195,-1.0628
ENSG00000171612,SLC25A33,13,-1.2875,29,0.01784,28,-0.0769,79,1.69686,14,-1.1050
ENSG00000171603,CLSTN1,713,0.09564,613,-0.1828,872,0.70639,230,-1.6348,245,-1.5423
ENSG00000178585,CTNNBIP1,27,-0.4129,49,0.69453,29,-0.4445,50,0.58199,23,-0.6433
ENSG00000162441,LZIC,55,-0.2376,72,0.23886,47,-0.6695,85,0.44850,117,0.98391
ENSG00000130939,UBE4B,49,0.02771,47,-0.0766,46,-0.1537,46,-0.0762,70,0.58609
ENSG00000054523,KIF1B,627,0.48843,482,0.02193,358,-0.6487,529,0.16482,701,0.61950
ENSG00000142657,PGD,40,-0.5095,54,-0.0077,68,0.63163,39,-0.5043,27,-1.0421
ENSG00000241563,CORT,142,1.93420,29,-1.0967,42,-0.5976,41,-0.4282,31,-0.8504
ENSG00000160049,DFFA,68,0.32026,44,-0.4529,38,-0.8472,81,0.57413,137,1.46792
ENSG00000142655,PEX14,14,-0.6622,29,0.61732,24,0.35343,10,-1.1580,8,-1.4056
ENSG00000120948,TARDBP,90,0.05659,83,-0.0808,86,-0.0365,74,-0.2513,111,0.39383
ENSG00000271895,AL109811.2,17,0.14312,10,-0.6709,17,0.23519,21,0.48244,14,-0.1335
ENSG00000116649,SRM,28,-0.9121,53,0.16078,58,0.42392,52,0.08835,32,-0.6439
