Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,5,-3.1851,56,0.46174,65,0.69616,21,-1.0125,24,-0.8577,52,0.33755,43,0.05154,49,0.25953,43,0.02488,48,0.27648
ENSG00000188976,NOC2L,30,-1.0680,45,-0.4396,59,-0.0212,32,-0.9365,23,-1.4204,76,0.38004,41,-0.5868,74,0.32440,80,0.45573,87,0.75048
ENSG00000188290,HES4,10,-1.7147,17,-0.9121,12,-1.3749,31,-0.0077,92,1.83223,32,0.04020,24,-0.4175,38,0.32030,6,-2.3476,37,0.34142
ENSG00000187608,ISG15,17,-0.9381,8,-1.9726,12,-1.4372,35,0.13276,64,1.08402,16,-1.0269,14,-1.2129,25,-0.4250,2,-3.5883,65,1.56190
ENSG00000188157,AGRN,13,-1.1677,43,0.62770,7,-2.1126,30,0.04379,17,-0.7968,47,0.77212,61,1.21825,36,0.35906,8,-1.9191,28,-0.0381
ENSG00000078808,SDF4,26,-1.1431,62,0.17059,36,-0.6831,87,0.71997,47,-0.2744,81,0.60276,50,-0.1727,50,-0.1683,87,0.72361,47,-0.3039
ENSG00000176022,B3GALT6,17,-0.4368,11,-1.0208,11,-1.0448,12,-0.8746,17,-0.4345,36,0.75500,24,0.08497,34,0.63796,12,-0.8778,32,0.68991
ENSG00000160087,UBE2J2,12,-1.5407,15,-1.2300,21,-0.7216,33,-0.0645,32,-0.1348,50,0.57954,62,0.94074,37,0.10148,44,0.37786,36,0.08347
ENSG00000131584,ACAP3,74,-0.1342,82,0.03326,21,-2.0104,52,-0.6639,70,-0.2188,113,0.53616,97,0.29557,170,1.22021,94,0.23834,65,-0.4049
ENSG00000127054,INTS11,52,0.28044,22,-1.0471,21,-1.0792,37,-0.2666,39,-0.1796,47,0.11063,40,-0.1266,58,0.43712,50,0.20927,53,0.37399
ENSG00000224051,CPTP,19,0.05092,3,-2.5737,18,-0.0274,12,-0.6121,19,0.00797,38,1.16144,28,0.63934,23,0.37358,14,-0.3738,16,-0.2991
ENSG00000107404,DVL1,75,0.68249,17,-1.5801,21,-1.3047,65,0.45218,88,0.94791,74,0.64352,71,0.58328,24,-1.0781,33,-0.6037,40,-0.3623
ENSG00000175756,AURKAIP1,87,-0.9399,58,-1.5454,53,-1.6812,115,-0.5178,210,0.42178,173,0.11424,169,0.07329,169,0.07957,239,0.63579,219,0.63078
ENSG00000221978,CCNL2,51,-0.3542,78,0.31032,27,-1.3105,72,0.19432,38,-0.7962,55,-0.2230,56,-0.1916,114,0.94465,95,0.64117,60,-0.1266
ENSG00000242485,MRPL20,96,-0.5813,59,-1.3182,80,-0.8559,115,-0.3020,238,0.86082,150,0.10949,118,-0.2581,180,0.40168,142,0.03181,166,0.34280
ENSG00000235098,ANKRD65,25,0.13716,8,-1.5588,5,-2.0826,22,-0.0290,34,0.64178,24,0.08825,43,1.04638,34,0.67590,10,-1.1447,22,-0.0810
ENSG00000179403,VWA1,106,2.85828,7,-1.6424,1,-3.8525,35,0.76527,21,-0.0429,26,0.24998,8,-1.4359,4,-2.3639,19,-0.1803,11,-1.1381
ENSG00000205090,TMEM240,16,-0.8796,16,-0.9357,9,-1.7240,14,-1.1343,27,-0.1461,55,1.01179,42,0.58617,69,1.41331,29,0.00689,25,-0.3138
ENSG00000160075,SSU72,83,-0.9215,90,-0.7935,60,-1.4082,115,-0.4239,165,0.13320,128,-0.2577,147,-0.0438,219,0.59232,209,0.51769,200,0.56146
ENSG00000228594,FNDC10,8,-2.0470,10,-1.6747,22,-0.5294,22,-0.4838,42,0.48246,46,0.63560,45,0.60436,38,0.33426,32,0.05529,35,0.24723
ENSG00000272106,AL691432.2,18,-0.1901,18,-0.1891,7,-1.5542,35,0.84842,43,1.21183,19,-0.1531,11,-0.9864,35,0.84955,3,-2.8982,19,-0.1141
ENSG00000197530,MIB2,25,-0.2496,17,-0.8446,12,-1.3892,40,0.44001,23,-0.3870,48,0.73857,34,0.19771,40,0.47197,45,0.63143,25,-0.3185
ENSG00000248333,CDK11B,92,1.31390,97,1.42067,91,1.29548,23,-0.8830,40,-0.0351,32,-0.3928,39,-0.0729,9,-2.1618,9,-2.1915,20,-1.2186
ENSG00000189339,SLC35E2B,7,-1.4360,37,1.09616,17,-0.1692,20,0.11020,24,0.36518,21,0.20891,20,0.15017,7,-1.3688,12,-0.6634,19,0.08185
ENSG00000008128,CDK11A,53,0.97653,117,2.47795,17,-0.8134,17,-0.7475,11,-1.4602,25,-0.1772,25,-0.2149,25,-0.2177,14,-1.0442,13,-1.3204
ENSG00000215790,SLC35E2A,29,0.52676,28,0.49331,18,-0.2177,23,0.17169,26,0.34849,21,0.04104,20,-0.0459,13,-0.6624,7,-1.5823,21,0.01048
ENSG00000008130,NADK,24,-0.0685,22,-0.1803,20,-0.3788,19,-0.4370,25,-0.0328,34,0.46765,37,0.63327,21,-0.2476,36,0.55578,21,-0.3107
ENSG00000078369,GNB1,287,-0.9134,295,-0.8731,431,-0.2925,563,0.12657,820,0.73474,643,0.33816,607,0.24507,441,-0.2554,555,0.10429,532,0.04397
ENSG00000187730,GABRD,6,-5.1381,59,-1.7920,122,-0.7092,92,-1.1358,99,-1.0284,166,-0.2408,335,0.88764,256,0.44664,185,-0.0702,335,1.18680
ENSG00000067606,PRKCZ,139,-0.7409,123,-0.9246,149,-0.6337,154,-0.5904,142,-0.7123,357,0.74310,334,0.63100,164,-0.4911,348,0.70055,264,0.31350
ENSG00000162585,FAAP20,29,0.15598,9,-1.6336,4,-2.7407,33,0.32565,72,1.67361,47,0.92589,28,0.09733,5,-2.4935,12,-1.1483,26,-0.0165
ENSG00000157933,SKI,80,1.12749,34,-0.2679,44,0.15086,53,0.44280,56,0.53656,46,0.21349,71,0.91762,22,-0.9164,18,-1.1725,19,-1.2990
ENSG00000157916,RER1,48,-0.2001,18,-1.6680,19,-1.5781,75,0.50527,63,0.21621,32,-0.8103,42,-0.4031,52,-0.0948,57,0.06546,84,0.88224
ENSG00000157870,PRXL2B,19,-1.3101,11,-2.1565,29,-0.7011,45,-0.0013,61,0.47261,32,-0.5372,94,1.18603,60,0.43900,40,-0.2114,52,0.24772
ENSG00000158109,TPRG1L,75,-1.5132,53,-2.0336,142,-0.5618,101,-1.0702,187,-0.1361,326,0.75521,222,0.13216,230,0.18707,186,-0.1474,309,0.86781
ENSG00000130764,LRRC47,50,-0.8379,46,-0.9753,52,-0.7770,56,-0.6652,74,-0.2445,104,0.28337,90,0.05023,109,0.35772,125,0.57570,112,0.51231
ENSG00000116198,CEP104,101,1.58614,95,1.47450,47,0.28015,27,-0.5412,44,0.17784,27,-0.5586,8,-2.2707,27,-0.5771,28,-0.5150,21,-1.0512
ENSG00000196581,AJAP1,26,-1.0445,84,0.76886,72,0.52599,55,0.08246,53,0.03811,12,-2.1662,69,0.44445,143,1.70906,30,-0.8204,26,-1.1999
ENSG00000069424,KCNAB2,46,-2.1194,66,-1.5666,115,-0.7406,175,-0.1012,198,0.08998,220,0.25709,241,0.40886,198,0.09110,236,0.36903,249,0.58104
ENSG00000116254,CHD5,105,-1.4510,493,0.95402,492,0.95350,145,-0.9725,203,-0.4611,300,0.14475,517,1.03642,120,-1.2550,255,-0.1145,218,-0.4194
ENSG00000116251,RPL22,723,0.73053,281,-0.7614,344,-0.4508,535,0.23906,1021,1.31884,646,0.54439,469,0.03179,304,-0.6389,230,-1.0646,322,-0.6520
ENSG00000116237,ICMT,25,-0.7792,12,-1.9129,38,-0.1421,44,0.05594,45,0.10883,41,-0.0427,45,0.10798,33,-0.3515,30,-0.5113,64,0.86392
ENSG00000097021,ACOT7,46,-2.3654,80,-1.5584,155,-0.5769,52,-2.1828,133,-0.8013,140,-0.7276,157,-0.5516,302,0.47298,429,1.05824,399,1.26285
ENSG00000171680,PLEKHG5,3,-2.9713,19,-0.4243,17,-0.5895,18,-0.5066,35,0.47254,17,-0.5951,42,0.79643,67,1.58562,14,-0.9175,25,-0.0577
ENSG00000162408,NOL9,36,-0.0105,53,0.58860,19,-0.9479,35,-0.0443,37,0.00608,49,0.45579,36,-0.0006,18,-1.0732,54,0.61285,33,-0.1611
ENSG00000162413,KLHL21,45,0.69602,10,-1.6178,14,-1.1101,25,-0.2612,31,0.10154,26,-0.1625,38,0.41232,42,0.57812,19,-0.6252,33,0.25711
ENSG00000007923,DNAJC11,28,-0.7085,49,0.16004,36,-0.3146,22,-1.0522,38,-0.2434,52,0.24973,86,1.08197,34,-0.4097,41,-0.0947,48,0.16627
ENSG00000171735,CAMTA1,282,-0.8479,713,0.60424,953,1.09084,303,-0.7405,444,-0.1522,520,0.09793,540,0.15594,243,-1.0697,485,-0.0118,462,-0.1081
ENSG00000049245,VAMP3,99,2.53567,5,-2.1398,0,-4.7752,43,0.98600,33,0.54791,23,-0.0482,1,-3.7210,19,-0.2956,12,-0.9721,15,-0.8020
ENSG00000049246,PER3,79,1.15332,69,0.93780,31,-0.3246,105,1.67198,32,-0.3144,26,-0.6336,24,-0.7414,44,0.18834,12,-1.7635,15,-1.6468
ENSG00000116288,PARK7,145,-0.8576,98,-1.4416,121,-1.1348,281,0.16510,457,0.95919,272,0.11448,159,-0.7193,315,0.34576,201,-0.3599,330,0.53541
ENSG00000116285,ERRFI1,19,-0.6951,11,-1.5111,14,-1.1904,15,-1.0471,15,-1.0508,42,0.47586,15,-1.0736,27,-0.2015,42,0.47713,56,1.31997
ENSG00000162426,SLC45A1,1,-4.9571,9,-1.8415,10,-1.6380,23,-0.4788,23,-0.4960,40,0.35885,37,0.23337,51,0.75912,55,0.87513,44,0.65974
ENSG00000142599,RERE,176,0.49610,173,0.46905,175,0.48766,153,0.26826,172,0.45901,103,-0.3462,151,0.24465,130,0.00663,78,-0.7679,79,-0.8792
ENSG00000074800,ENO1,200,-1.1927,122,-1.9269,149,-1.6334,1057,1.47115,541,0.33682,338,-0.3982,208,-1.1403,425,-0.0462,614,0.54371,531,0.38702
ENSG00000171612,SLC25A33,23,-0.5793,8,-2.0052,11,-1.6814,109,2.04451,56,0.83464,17,-0.9876,9,-1.8763,30,-0.1291,28,-0.2597,35,0.11598
ENSG00000171603,CLSTN1,239,-1.7996,419,-0.9612,852,0.13138,392,-1.0632,402,-1.0251,749,-0.0719,1238,0.73740,1037,0.44646,1290,0.80537,929,0.33773
ENSG00000178585,CTNNBIP1,35,0.24486,16,-0.9356,13,-1.2671,31,0.09026,36,0.32237,44,0.61396,35,0.27491,9,-1.7790,29,-0.0226,36,0.37282
