Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,43,0.23941,17,-1.1644,46,0.34444,23,-0.7581,50,0.76224,8,-2.2918,37,-0.0215
ENSG00000188976,NOC2L,59,0.30325,19,-1.4184,31,-0.7257,35,-0.5379,65,0.76631,26,-0.9818,59,0.30668
ENSG00000188290,HES4,34,0.07582,25,-0.4122,20,-0.7833,45,0.50474,38,0.38694,21,-0.6652,29,-0.1667
ENSG00000187608,ISG15,33,-0.4593,20,-1.1660,14,-1.7505,55,0.38477,50,0.33090,107,1.52615,9,-2.3821
ENSG00000078808,SDF4,34,-0.4925,32,-0.5940,44,-0.0692,75,0.78151,57,0.50612,33,-0.5424,21,-1.2409
ENSG00000176022,B3GALT6,22,0.12848,8,-1.3830,16,-0.3643,16,-0.3125,28,0.89227,11,-0.8938,16,-0.3579
ENSG00000160087,UBE2J2,36,0.22703,29,-0.1249,28,-0.1796,28,-0.1772,36,0.39602,12,-1.3775,33,0.08337
ENSG00000131584,ACAP3,55,-0.2863,58,-0.2109,76,0.21004,51,-0.4240,71,0.17798,43,-0.6824,96,0.59666
ENSG00000127054,INTS11,24,-0.5580,26,-0.4607,24,-0.5613,41,0.26925,47,0.78543,12,-1.5693,33,-0.0614
ENSG00000224051,CPTP,25,0.53870,13,-0.4590,7,-1.2976,33,1.00821,18,-0.0450,12,-0.5724,18,-0.0278
ENSG00000107404,DVL1,33,-0.5466,78,0.83826,46,-0.0210,67,0.57013,48,0.03164,28,-0.7821,27,-0.8699
ENSG00000175756,AURKAIP1,52,-1.1253,113,0.07393,58,-0.9789,133,0.32650,157,1.05007,59,-0.9478,40,-1.5399
ENSG00000221978,CCNL2,36,-0.5756,40,-0.4289,71,0.47365,57,0.11773,53,0.01233,28,-0.9494,83,0.74146
ENSG00000242485,MRPL20,107,-0.0092,104,-0.0620,63,-0.8320,137,0.38263,123,0.33516,74,-0.5910,101,-0.1058
ENSG00000235098,ANKRD65,2,-3.0660,31,0.58354,6,-1.9575,39,0.98850,32,1.11326,3,-2.7131,6,-1.9201
ENSG00000205090,TMEM240,27,-0.1703,25,-0.2837,37,0.35591,24,-0.3537,30,0.05799,17,-0.8323,46,0.70758
ENSG00000160075,SSU72,60,-1.0560,108,-0.1617,96,-0.3414,121,0.01694,177,1.12690,54,-1.2265,46,-1.4498
ENSG00000228594,FNDC10,28,0.04179,30,0.16518,7,-1.9873,24,-0.2141,39,1.00436,1,-4.0085,25,-0.1179
ENSG00000272106,AL691432.2,24,0.42794,6,-1.6391,25,0.49488,27,0.58463,24,0.59477,4,-2.1796,6,-1.7645
ENSG00000197530,MIB2,25,-0.2498,29,0.01437,31,0.10894,35,0.30285,34,0.40865,9,-1.7976,25,-0.2464
ENSG00000248333,CDK11B,83,0.51212,29,-1.1350,77,0.39037,22,-1.5607,42,-0.8008,103,0.86854,126,1.22541
ENSG00000189339,SLC35E2B,15,-0.9314,24,-0.2727,31,0.14575,31,0.12373,39,0.82295,7,-2.1314,22,-0.4056
ENSG00000008128,CDK11A,22,-0.3831,13,-1.1052,26,-0.0945,16,-0.8779,11,-1.8136,45,0.77610,113,2.59599
