Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,126,1.83797,9,-2.3348,18,-1.4095,38,-0.2936,30,-0.6153,42,-0.1012,35,-0.3825,67,0.66787
ENSG00000188976,NOC2L,126,1.41654,23,-1.3344,23,-1.3509,59,0.09760,24,-1.3049,38,-0.6216,59,0.09067,91,0.82177
ENSG00000188290,HES4,126,2.26239,3,-3.4301,25,-0.5914,27,-0.5335,54,0.60804,18,-1.1513,30,-0.3371,23,-0.7576
ENSG00000187608,ISG15,126,2.11327,10,-2.0356,25,-0.7020,19,-1.2226,41,0.05121,43,0.12298,42,0.10683,30,-0.4123
ENSG00000078808,SDF4,126,1.25352,31,-1.0412,41,-0.6171,47,-0.4470,48,-0.3628,96,0.77006,66,0.12431,44,-0.5175
ENSG00000160087,UBE2J2,126,1.78577,10,-2.2292,19,-1.3517,50,0.16120,38,-0.3208,27,-0.8225,40,-0.2236,54,0.26186
ENSG00000131584,ACAP3,126,0.54795,62,-0.6039,71,-0.3878,131,0.72788,41,-1.2358,86,-0.0801,65,-0.5349,102,0.19947
ENSG00000127054,INTS11,126,1.52639,21,-1.4294,52,-0.0163,32,-0.8465,30,-0.8671,74,0.56173,41,-0.3819,65,0.33713
ENSG00000107404,DVL1,126,1.42615,18,-1.7188,48,-0.2396,41,-0.5200,78,0.55443,33,-0.8309,50,-0.1815,65,0.25814
ENSG00000175756,AURKAIP1,126,0.31902,39,-1.5274,60,-0.8524,45,-1.3982,187,0.99942,128,0.34657,236,1.42934,67,-0.6868
ENSG00000221978,CCNL2,126,0.93275,64,-0.2121,99,0.51847,63,-0.2522,37,-1.0406,52,-0.5268,67,-0.1219,81,0.18563
