Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,12,-1.3749,10,-1.6697,28,-0.1312,36,0.40027,34,0.18912,38,0.43864
ENSG00000188976,NOC2L,21,-1.0031,28,-0.6038,17,-1.4188,54,0.66936,56,0.49572,49,0.29578
ENSG00000188290,HES4,11,-2.0692,38,-0.2318,53,0.32178,53,0.45184,54,0.33041,32,-0.5664
ENSG00000187608,ISG15,29,-0.0682,24,-0.3800,34,0.15916,41,0.72701,46,0.63357,3,-3.2794
ENSG00000188157,AGRN,25,0.11739,24,0.10059,12,-0.9903,20,-0.2982,52,1.37404,23,-0.0022
ENSG00000078808,SDF4,64,0.36065,67,0.45500,33,-0.7001,52,0.04085,62,0.33170,45,-0.1868
ENSG00000176022,B3GALT6,9,-1.0724,13,-0.5820,14,-0.4786,28,0.96368,7,-1.3869,20,0.08316
ENSG00000160087,UBE2J2,24,-0.3983,21,-0.6184,19,-0.7899,39,0.55583,50,0.76818,26,-0.3058
ENSG00000131584,ACAP3,64,0.30616,24,-1.2114,58,0.16944,37,-0.7028,109,1.20538,58,0.18248
ENSG00000127054,INTS11,44,0.39815,24,-0.5590,25,-0.5081,44,0.61266,37,0.11724,23,-0.6949
ENSG00000224051,CPTP,9,-0.4635,2,-2.3469,10,-0.3488,16,0.70891,13,0.09534,12,0.03133
ENSG00000107404,DVL1,37,0.06854,34,-0.0648,55,0.82212,23,-0.8511,76,1.26869,19,-0.9835
ENSG00000175756,AURKAIP1,131,-0.4261,113,-0.6455,184,0.12469,236,0.80709,124,-0.5113,104,-0.8448
ENSG00000221978,CCNL2,69,0.50355,32,-0.6998,31,-0.8372,47,-0.1665,105,1.21431,50,-0.0028
ENSG00000242485,MRPL20,121,-0.3462,100,-0.6469,166,0.17293,191,0.57770,103,-0.5894,120,-0.4004
ENSG00000235098,ANKRD65,50,0.97174,11,-1.3354,31,0.21379,35,0.59204,28,0.01190,5,-2.4663
ENSG00000179403,VWA1,216,4.14017,50,0.81512,14,-1.2008,4,-3.4796,10,-1.6823,7,-2.2316
ENSG00000205090,TMEM240,5,-2.1568,0,-6.2490,21,-0.0549,29,0.67005,30,0.45882,25,0.20104
ENSG00000160075,SSU72,75,-0.9251,40,-1.8425,150,0.17384,194,0.90890,99,-0.4908,104,-0.4684
ENSG00000228594,FNDC10,3,-2.5499,5,-1.9514,32,1.05004,20,0.21293,31,0.83637,9,-1.1168
ENSG00000272106,AL691432.2,24,0.92036,9,-0.6465,11,-0.2670,16,0.40164,18,0.49342,5,-1.5317
ENSG00000197530,MIB2,23,-0.3076,14,-1.0397,32,0.18048,27,-0.1088,65,1.36101,20,-0.6119
ENSG00000248333,CDK11B,57,0.48488,29,-0.5928,30,-0.5563,42,-0.0106,36,-0.2548,57,0.54242
ENSG00000189339,SLC35E2B,12,-0.2756,7,-1.0118,16,0.09727,13,-0.2760,24,0.75806,18,0.33649
ENSG00000008128,CDK11A,41,1.06927,26,0.27881,14,-0.7332,14,-0.8086,28,0.42791,28,0.47420
ENSG00000215790,SLC35E2A,9,-1.4524,24,0.09769,22,-0.0609,25,0.21133,43,1.00663,16,-0.6111
ENSG00000008130,NADK,14,-0.4194,8,-1.2157,19,0.08953,19,0.04882,33,0.96426,16,-0.1886
ENSG00000078369,GNB1,225,-0.9585,231,-0.9170,577,0.58994,442,0.12383,424,0.02045,401,-0.0740
ENSG00000187730,GABRD,7,-4.2016,6,-4.4700,86,-0.7503,234,1.61860,163,0.32282,92,-0.6340
ENSG00000067606,PRKCZ,101,-0.7908,64,-1.4683,195,0.25566,207,0.49674,197,0.24862,137,-0.3527
ENSG00000162585,FAAP20,28,0.02240,27,-0.0289,44,0.83711,24,-0.3251,32,0.19543,18,-0.7269
ENSG00000157933,SKI,15,-0.6536,51,1.31008,29,0.44528,13,-1.0486,41,0.93631,17,-0.5449
ENSG00000157916,RER1,57,0.16720,35,-0.6008,36,-0.6053,64,0.52162,52,0.02398,47,-0.1506
ENSG00000157911,PEX10,31,0.54536,29,0.46984,27,0.40162,21,-0.1383,25,0.23647,9,-1.4150
ENSG00000149527,PLCH2,23,0.99057,13,0.11886,14,0.14578,12,-0.1581,21,0.86677,3,-2.2029
ENSG00000157881,PANK4,5,-1.3149,13,-0.0785,6,-1.2626,20,0.97908,7,-1.0377,16,0.29230
ENSG00000157870,PRXL2B,7,-1.9640,12,-1.2355,31,0.23643,35,0.62521,37,0.48029,20,-0.4988
ENSG00000177133,PRDM16-DT,0,-4.4892,26,0.68758,35,1.45523,4,-2.3374,57,2.15293,6,-1.5883
ENSG00000158109,TPRG1L,34,-2.1128,43,-1.7508,147,0.12957,175,0.61631,116,-0.2519,157,0.24601
ENSG00000116213,WRAP73,14,0.29223,12,0.11178,5,-1.3865,13,0.23555,23,1.13349,8,-0.5354
ENSG00000130764,LRRC47,35,-0.4722,20,-1.3603,36,-0.4854,61,0.57450,58,0.28316,50,0.07866
ENSG00000116198,CEP104,81,1.93453,33,0.37923,11,-1.3645,15,-1.1319,43,0.80680,25,-0.0851
