Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,23,-0.9210,46,0.35246,45,0.15674,38,-0.1445
ENSG00000188976,NOC2L,26,-1.1489,68,0.70408,60,0.16160,40,-0.5826
ENSG00000188290,HES4,67,1.06943,38,0.16308,18,-1.1146,26,-0.6102
ENSG00000187608,ISG15,48,0.41468,49,0.92124,18,-1.1269,18,-1.2328
ENSG00000188157,AGRN,22,0.04081,29,0.99238,14,-0.6989,11,-1.2158
ENSG00000078808,SDF4,69,0.25608,67,0.34094,59,-0.0078,41,-0.6919
ENSG00000176022,B3GALT6,17,-0.5928,31,0.73871,22,-0.1860,17,-0.6358
ENSG00000160087,UBE2J2,32,-0.2894,48,0.68979,26,-0.6048,29,-0.4866
ENSG00000131584,ACAP3,65,-0.3780,98,0.52900,103,0.36731,51,-0.8649
ENSG00000127054,INTS11,41,0.02952,45,0.31346,45,0.15274,29,-0.5871
ENSG00000224051,CPTP,19,-0.1925,27,0.63738,12,-0.9192,18,-0.3268
ENSG00000107404,DVL1,82,0.61828,64,0.38136,50,-0.1996,32,-0.9887
ENSG00000175756,AURKAIP1,188,0.29480,200,0.78311,71,-1.2450,102,-0.7905
ENSG00000221978,CCNL2,35,-0.6300,56,0.19786,101,1.15141,29,-1.0295
ENSG00000242485,MRPL20,199,0.51530,156,0.19573,105,-0.5274,121,-0.3580
ENSG00000235098,ANKRD65,41,0.58134,31,0.21907,30,0.03968,18,-0.8293
ENSG00000179403,VWA1,52,1.34779,19,-0.5866,28,0.23015,18,-0.5058
ENSG00000205090,TMEM240,10,-1.2941,29,0.53920,10,-1.3135,29,0.35044
ENSG00000160075,SSU72,139,-0.0314,182,0.84382,92,-0.6925,87,-0.8732
ENSG00000228594,FNDC10,26,-0.3686,35,0.16430,30,-0.1659,34,0.06830
ENSG00000197530,MIB2,29,-0.1740,43,1.06396,15,-1.2177,19,-0.8805
ENSG00000248333,CDK11B,35,-0.5623,33,-1.0535,89,0.96784,75,0.80633
ENSG00000189339,SLC35E2B,23,0.11449,18,-0.3800,16,-0.4744,29,0.61713
ENSG00000008128,CDK11A,13,-1.1059,18,-0.9116,46,0.93594,40,0.85437
ENSG00000215790,SLC35E2A,30,0.34211,28,0.43257,18,-0.4643,17,-0.6178
ENSG00000008130,NADK,28,0.14138,32,0.64654,6,-2.1849,23,-0.2140
ENSG00000078369,GNB1,579,0.18541,579,0.34424,319,-0.7754,463,-0.2088
ENSG00000187730,GABRD,53,-2.1686,300,1.16015,120,-0.9381,182,-0.3356
ENSG00000067606,PRKCZ,125,-1.0036,281,0.56168,187,-0.3700,224,-0.0951
ENSG00000162585,FAAP20,58,0.71772,41,0.20933,30,-0.3924,27,-0.6481
ENSG00000157933,SKI,50,0.18615,43,-0.0708,57,0.40841,38,-0.2999
ENSG00000157916,RER1,69,0.55773,59,0.56118,36,-0.5266,28,-1.0339
ENSG00000157911,PEX10,42,1.20105,20,-0.0422,24,0.21161,10,-1.3151
ENSG00000157870,PRXL2B,33,-0.3440,52,0.77466,23,-0.9405,33,-0.4289
ENSG00000158109,TPRG1L,112,-0.9898,258,0.68528,121,-0.8654,203,-0.0495
ENSG00000130764,LRRC47,57,-0.6605,111,0.82186,64,-0.4845,64,-0.5468
ENSG00000116198,CEP104,31,-0.3419,33,-0.4536,57,0.65763,45,0.31250
ENSG00000196581,AJAP1,24,-1.1960,52,0.09077,53,0.06011,60,0.33466
ENSG00000069424,KCNAB2,159,-0.2622,242,0.88678,82,-1.2960,141,-0.5108
ENSG00000116254,CHD5,128,-1.4625,277,-0.4329,410,0.38903,478,0.80225
ENSG00000116251,RPL22,862,0.86110,492,-0.1737,359,-0.6042,498,-0.0927
ENSG00000116237,ICMT,40,0.06198,42,0.32127,19,-1.0885,38,0.01407
ENSG00000097021,ACOT7,61,-1.9382,281,0.97124,140,-0.6635,186,-0.2484
ENSG00000215788,TNFRSF25,6,-2.2174,26,0.04086,71,1.82244,13,-1.1902
ENSG00000171680,PLEKHG5,19,-0.3966,31,0.73919,23,-0.1253,16,-0.7972
ENSG00000162408,NOL9,34,0.03119,34,0.03701,62,1.06592,18,-1.0826
ENSG00000162413,KLHL21,17,-1.0366,44,0.90144,22,-0.7005,27,-0.3901
ENSG00000041988,THAP3,11,-0.7693,23,0.84555,14,-0.3429,13,-0.6127
ENSG00000007923,DNAJC11,31,-0.3197,47,0.63966,25,-0.6837,32,-0.3566
ENSG00000171735,CAMTA1,294,-0.8770,476,-0.1945,575,0.19986,654,0.50111
ENSG00000049245,VAMP3,56,1.66958,16,-0.8526,27,0.31528,16,-0.6006
ENSG00000049246,PER3,65,0.59245,40,-0.3372,61,0.46730,40,-0.2746
ENSG00000116288,PARK7,395,0.70257,306,0.49625,134,-1.0602,169,-0.7849
ENSG00000116285,ERRFI1,20,-0.5145,33,0.49750,21,-0.4549,26,-0.1635
ENSG00000162426,SLC45A1,22,-0.2778,33,0.76787,17,-0.6955,19,-0.5685
ENSG00000142599,RERE,141,-0.2512,150,-0.2449,231,0.58040,170,0.06969
ENSG00000074800,ENO1,938,1.36996,445,0.07273,263,-0.8023,247,-1.0098
ENSG00000171612,SLC25A33,107,2.27491,23,-0.8800,10,-1.7920,26,-0.4190
ENSG00000171603,CLSTN1,387,-1.0530,893,0.54580,529,-0.5666,765,0.03171
ENSG00000178585,CTNNBIP1,54,0.81462,29,-0.3669,27,-0.3169,34,0.07263
ENSG00000162441,LZIC,97,0.90790,48,-0.4378,56,-0.0421,55,-0.0616
ENSG00000130939,UBE4B,26,-0.6898,40,-0.0459,54,0.46831,42,0.08773
ENSG00000054523,KIF1B,359,-0.5698,395,-0.6683,690,0.50399,732,0.73938
ENSG00000142657,PGD,57,-0.0390,70,0.56061,48,-0.3103,42,-0.6155
ENSG00000241563,CORT,38,0.25208,37,0.32635,14,-1.2915,32,-0.0531
ENSG00000160049,DFFA,58,-0.1277,50,-0.5935,109,0.95544,68,0.14172
ENSG00000142655,PEX14,13,-0.5373,26,1.04227,6,-1.8049,15,-0.4334
ENSG00000120948,TARDBP,81,-0.1637,98,0.28022,92,0.06095,74,-0.3370
ENSG00000116649,SRM,73,0.63888,60,0.59046,20,-1.3922,33,-0.7490
ENSG00000171824,EXOSC10,34,0.28429,27,-0.1342,47,0.84314,19,-0.6918
ENSG00000198793,MTOR,41,-0.0996,46,0.20150,37,-0.2641,42,-0.0685
ENSG00000116661,FBXO2,457,2.03900,142,-0.2288,43,-1.9827,83,-1.0974
ENSG00000132879,FBXO44,51,-0.9868,128,1.02315,34,-1.6132,83,-0.2584
ENSG00000116670,MAD2L2,35,1.41018,15,-0.0966,12,-0.3926,9,-0.9935
ENSG00000177000,MTHFR,30,0.23856,21,-0.5882,30,0.22800,33,0.45065
ENSG00000011021,CLCN6,53,-0.7006,101,0.66530,47,-0.8953,77,-0.1211
ENSG00000116685,KIAA2013,33,-0.1120,41,0.42739,22,-0.7456,33,-0.1483
ENSG00000083444,PLOD1,29,0.54320,26,0.65509,18,-0.2682,9,-1.4306
ENSG00000116688,MFN2,74,-0.8951,154,0.53173,75,-0.8851,139,0.11882
ENSG00000048707,VPS13D,57,-0.4798,65,-0.4459,125,0.83991,86,0.22321
ENSG00000162496,DHRS3,86,2.98414,9,-1.7620,12,-0.8107,13,-0.7397
ENSG00000116731,PRDM2,92,-1.6466,185,-0.8856,358,0.51453,460,1.21185
ENSG00000189337,KAZN,61,-0.2111,63,-0.2707,83,0.29739,80,0.27630
ENSG00000142634,EFHD2,33,-1.6799,118,0.63159,57,-0.8387,107,0.19089
ENSG00000116138,DNAJC16,21,-1.1332,47,0.29132,38,-0.1962,48,0.20573
ENSG00000197312,DDI2,15,-1.8190,51,0.16771,58,0.29555,55,0.24293
ENSG00000116786,PLEKHM2,102,-0.4280,145,0.27566,112,-0.2684,133,0.00272
ENSG00000065526,SPEN,132,-0.6003,95,-1.5921,422,1.40896,299,0.93840
ENSG00000116809,ZBTB17,35,0.61530,25,0.17312,17,-0.4920,19,-0.4306
