Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"FLYWCH1"	"22.0"	"ARCHS4 Coexpression,10;GTEx Coexpression,34"	"MECP2,TNRC6C,PHF2,CTIF,REXO1,DENND4B,PCBP4,SNPH,OGA,LENG8,RALGDS,SLC2A4RG"
"gene_set_query"	"2"	"KLF9"	"42.0"	"ARCHS4 Coexpression,83;Enrichr Queries,25;ReMap ChIP-seq,58;GTEx Coexpression,2"	"IFITM3,PHF2,PLXND1,CALCOCO2,TOB2,PTGS2,SNHG19,STK3,AQP1,CTIF,MT2A,PCBP4,DEAF1,GATD3A,RALGDS,TGIF1,REXO1,ZHX3,ZBTB16,TSC22D3,LIX1L,ARRDC3,BAIAP3,CDK9,DDIT4,SERPING1,CDC42EP1,TXNIP,NUPR1,VIM,FBXL7,FKBP5,PLEC"
"gene_set_query"	"3"	"ZNF853"	"51.0"	"ARCHS4 Coexpression,31;GTEx Coexpression,71"	"CTIF,NUDCD3,NORAD,DEAF1,SNPH,DPYSL3,PIP4K2B,FGF1,B4GALNT4,GFAP"
"gene_set_query"	"4"	"KMT2A"	"51.0"	"ARCHS4 Coexpression,3;ReMap ChIP-seq,127;GTEx Coexpression,23"	"PHF2,CAMK2D,OGA,RHOBTB3,LENG8,CASC3,PPM1K,MTRNR2L8,MTRNR2L1,PUM2,STK3,GABPB1-AS1,CIT,MECP2,TNRC6C,CDK9,PCNX1,ASPH,ADAMTSL3,KDSR,FSIP2"
"gene_set_query"	"5"	"PCGF2"	"63.5"	"ARCHS4 Coexpression,61;ReMap ChIP-seq,66"	"HRK,CADM1,ZBTB16,MT1M,MT1X,IL17RD,CXXC4,GOLGA8B,VANGL2,SNPH,PPP1R1B,DPYSL3,SH3BGRL2,PIP4K2B,RHBDL3,SLC2A4RG,MT1E,B4GALNT4"
"gene_set_query"	"6"	"C11ORF95"	"87.0"	"GTEx Coexpression,87"	"CTIF,PHF2,IL17RD,FBXL7,GSTM5"
"gene_set_query"	"7"	"ATF3"	"87.83"	"Literature ChIP-seq,101;ARCHS4 Coexpression,105;ENCODE ChIP-seq,78;Enrichr Queries,58;ReMap ChIP-seq,108;GTEx Coexpression,77"	"IFITM3,SERPINA3,ZNF770,PDXK,CAMK2D,PLXND1,GSTCD,MT1M,LENG8,CASC3,PTGS2,SMG7,TOB2,LITAF,MT2A,PCBP4,DEAF1,GATD3A,IP6K1,GBP1,RALGDS,TGIF1,SMAD1,REXO1,DENND4B,FEM1B,TSC22D3,ARRDC3,OGA,P2RX7,ASPH,DDIT4,CDC42EP1,TXNIP,SERPING1,CHI3L1,UBAP1,NUPR1,VIM,ZP3,MT1E,GSTM5"
"gene_set_query"	"8"	"THRA"	"91.5"	"Literature ChIP-seq,154;ARCHS4 Coexpression,194;Enrichr Queries,15;GTEx Coexpression,3"	"PLXND1,FGF1,CTIF,NUDCD3,DEAF1,DPYSL3,GATD3A,RALGDS,B4GALNT4,MAPK3,NORAD,CADM1,GABRA5,ZBTB16,TSC22D3,CIT,GFAP,SLC9A6,SNPH,DDIT4,TXNIP,VIM,FKBP5,PLEC"
"gene_set_query"	"9"	"SKI"	"93.0"	"ARCHS4 Coexpression,93;GTEx Coexpression,93"	"MECP2,TNRC6C,PHF2,CTIF,NPFFR1,REXO1,PLXND1,PCBP4,LENG8,PLEC"
"gene_set_query"	"10"	"FOSB"	"93.33"	"ARCHS4 Coexpression,50;Enrichr Queries,52;GTEx Coexpression,178"	"TGIF1,IFITM3,REXO1,DENND4B,ZBTB16,TSC22D3,MT1M,ARRDC3,LENG8,PTGS2,TOB2,MT2A,DDIT4,TXNIP,NUPR1,GATD3A,VIM,RALGDS,MT1E,FKBP5"
"gene_set_query"	"11"	"FOSL2"	"97.4"	"ARCHS4 Coexpression,155;ENCODE ChIP-seq,34;Enrichr Queries,9;ReMap ChIP-seq,99;GTEx Coexpression,190"	"IFITM3,SERPINA3,PLXND1,LENG8,PTGS2,CXXC4,SNHG19,LITAF,STK3,MT2A,DEAF1,GATD3A,TGIF1,REXO1,CADM1,TSC22D3,ARRDC3,GFAP,ASPH,DDIT4,CDC42EP1,TXNIP,COQ8B,VIM,NUPR1,MT1E,PLEC,FKBP5"
"gene_set_query"	"12"	"NR2F1"	"106.5"	"ARCHS4 Coexpression,45;Enrichr Queries,214;ReMap ChIP-seq,93;GTEx Coexpression,74"	"PLXND1,ITGB4,PTGS2,SNHG19,CNN3,CTIF,DEAF1,DPYSL3,GATD3A,RHBDL3,RALGDS,B4GALNT4,REXO1,CADM1,ZBTB16,ARRDC3,BAIAP3,CDK9,VANGL2,TMEM98,DDIT4,TXNIP,PRKD2,VIM,GSTM5,PLEC"
"gene_set_query"	"13"	"ZNF580"	"107.7"	"ARCHS4 Coexpression,112;Enrichr Queries,146;GTEx Coexpression,65"	"IFITM3,REXO1,TSC22D3,LENG8,SNHG19,CDK9,MECP2,MT2A,DDIT4,TXNIP,CDC42EP1,COQ8B,PRKD2,GATD3A,VIM,SLC2A4RG,PLEC"
"gene_set_query"	"14"	"MAFF"	"108.2"	"ARCHS4 Coexpression,198;ENCODE ChIP-seq,103;Enrichr Queries,29;ReMap ChIP-seq,145;GTEx Coexpression,66"	"IFITM3,PDXK,MAST4,KCNE4,GSTCD,CASC3,PTGS2,SMG7,LITAF,STK3,CTIF,MT2A,ADAMTSL3,PIP4K2B,GATD3A,RALGDS,TGIF1,DENND4B,CADM1,ZBTB16,TSC22D3,ARRDC3,BLCAP,CDK9,DDIT4,SERPING1,TXNIP,COQ8B,VIM,NUPR1,ZP3,PLEC,FKBP5"
"gene_set_query"	"15"	"SGSM2"	"111.0"	"ARCHS4 Coexpression,8;GTEx Coexpression,214"	"CTIF,REXO1,DENND4B,DEAF1,SNPH,LENG8,RALGDS,B4GALNT4,BAIAP3"
"gene_set_query"	"16"	"ZHX3"	"112.0"	"ARCHS4 Coexpression,246;Enrichr Queries,61;GTEx Coexpression,29"	"CADM1,MAST4,ZBTB16,TSC22D3,RHOBTB3,TOB2,FGF1,GFAP,TNRC6C,CTIF,MT2A,ZNRF3,ASPH,SNPH,DPYSL3,DDIT4,TXNIP,PRKD2,VIM,FKBP5,PLEC"
"gene_set_query"	"17"	"EBF2"	"123.5"	"ARCHS4 Coexpression,72;GTEx Coexpression,175"	"VANGL2,PLXND1,PCBP4,PKIA,DPYSL3,SERPING1,VIM,RHBDL3,IL17RD,FBXL7"
