Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"ZBED6"	"6.0"	"ARCHS4 Coexpression,6"	"INVS,TRIO,DSCAM,ATP2B4,MTRNR2L8,MTRNR2L1,CHD2,USF3,EFR3A,PCNX1,CLIP1,RNF169,PDK4,RLIM,ABL2"
"gene_set_query"	"2"	"CSRNP2"	"10.5"	"ARCHS4 Coexpression,12;GTEx Coexpression,9"	"PDXK,TRIO,CSRNP3,ICA1L,ACVR1B,CTIF,PEG10,ENC1,PSD3,CCDC181,KIF1A,KIF3C,BTRC,CIC,LRRC4B,TSPYL2,GRID2,PNMA2,ATG13,PRRC2B,PRRC2A,TNRC6C,TMX4,TRIM17,PKIA,ADGRL1,ARHGEF7,DZIP3,CDH18,TSPYL5"
"gene_set_query"	"3"	"HIVEP2"	"18.0"	"ARCHS4 Coexpression,9;Enrichr Queries,33;GTEx Coexpression,12"	"RERE,TRIO,IRS2,FOXO3,PHYHIP,AKAP12,NUDCD3,DSTYK,MT2A,PCNX1,SBNO2,CCND2,OIP5-AS1,PSD3,ENC1,KIF5A,LONP1,KIF3C,GATD3A,KIF1A,JARID2,CIC,LZTS3,TSPYL2,TSPYL1,GABRA4,SECISBP2L,ARRDC3,ATP2B4,SCAMP1,SOD2,TERF2,CCSAP,CNKSR2,RNF169,SNPH,SCN8A,DDIT4,REL,TXNIP,LINC00641,CDH18,CPEB4"
"gene_set_query"	"4"	"TEF"	"21.33"	"ARCHS4 Coexpression,46;Enrichr Queries,16;GTEx Coexpression,2"	"GABRB3,IGSF8,PDXK,ICA1L,IRS2,FOXO3,PHYHIP,AKAP12,CTIF,NUDCD3,DSTYK,MT2A,CCND2,SESN1,PSD3,ENC1,KIF5A,PDK4,KIF3C,GATD3A,KIF1A,LZTS3,LRRC4B,SRRM4,TSPYL1,ZBTB16,TNK2,ARRDC3,NR1D1,BAIAP2,CCSAP,GADD45G,CNKSR2,SNPH,DDIT4,ADGRL1,TXNIP,LINC00641,CDH18,FKBP5"
"gene_set_query"	"5"	"CSRNP3"	"26.0"	"ARCHS4 Coexpression,42;GTEx Coexpression,10"	"GABRB3,TSPYL1,DSCAM,GABRA4,PNMA2,SCAMP1,TMEM130,SHISA7,CNKSR2,SNPH,PKIA,SCN8A,KIF5A,PSD3,KIF1A,CSMD3,KIF3C,BTRC,ANKS1B,LRRC4B"
"gene_set_query"	"6"	"PURG"	"27.5"	"ARCHS4 Coexpression,16;GTEx Coexpression,39"	"GABRB3,CCDC112,MAGI1,IGSF8,SRRM4,CSRNP3,ICA1L,PNMA2,CCSAP,PHYHIP,BLCAP,CNKSR2,FGF17,PKIA,SCN8A,PSD3,ENC1,ADGRL1,KIF3C,LINC00641,CDH18,LZTS3,LRRC4B,ANKS1B"
"gene_set_query"	"7"	"PEG3"	"28.0"	"ARCHS4 Coexpression,24;GTEx Coexpression,32"	"DIRAS3,GABRB3,SLC23A2,TSPYL1,CSRNP3,GABRA4,SECISBP2L,PNMA2,SCAMP1,TMEM130,PHYHIP,ANO3,CNKSR2,PEG10,SCN8A,KIF5A,PSD3,CSMD3,KIF1A,KIF3C,BTRC,DZIP3,LRRC4B"
"gene_set_query"	"8"	"SGSM2"	"35.0"	"ARCHS4 Coexpression,4;GTEx Coexpression,66"	"GABRB3,RERE,IGSF8,CSRNP3,DSCAM,TNK2,TMEM130,PHYHIP,SHISA7,PRRC2B,BAIAP3,SYT17,PRRC2A,CTIF,DEAF1,SNPH,KIF5A,ADGRL1,KIF1A,CIC,RALGDS,LRRC4B,DGCR2"
"gene_set_query"	"9"	"ZNF483"	"40.67"	"ARCHS4 Coexpression,1;Enrichr Queries,26;GTEx Coexpression,95"	"GABRB3,CCDC122,CSRNP3,ICA1L,CEP164,IRS2,ADCY2,HIF3A,PPM1K,AKAP12,CCND2,ZNF529,PEG10,KIF5A,PSD3,CCDC181,PDK4,KIF1A,CSMD3,CIC,ANKS1B,TSPYL2,GRID2,TSPYL1,KCNB1,ZBTB16,GABRA4,SYT14,PNMA2,MPP6,ANO3,TNRC6C,CNKSR2,SCN8A,DDIT4,TXNIP,ARHGEF7,DZIP3,TNRC6A"
"gene_set_query"	"10"	"CAMTA1"	"41.0"	"ARCHS4 Coexpression,34;Enrichr Queries,44;GTEx Coexpression,45"	"GABRB3,RERE,TRIO,CSRNP3,ICA1L,IRS2,FOXO3,PHYHIP,CCND2,RPS6KA2,PSD3,ENC1,KIF5A,PHACTR1,KIF1A,KIF3C,JARID2,LZTS3,LRRC4B,ANKS1B,TSPYL1,KCNB1,ZBTB16,ATP2B4,PNMA2,SCAMP1,CNKSR2,DAAM1,SNPH,SCN8A,TXNIP,LINC00641,CDH18,CPEB4"
