Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"SNAPC5"	"4.0"	"ARCHS4 Coexpression,3;GTEx Coexpression,5"	"NDUFA11,NDUFA12,PDCD5,CISD1,HDLBP,COX6A1,TXNDC17,ATP5IF1,CHCHD3,MPC2,ENDOG,TRAPPC2L,CMC2,ACYP2,CNPY2,MRPS18C,RBX1,COX6B1,BOLA3,TMEM126A,SNRNP25,FKBP3,ATP5MD,UQCRB,NDUFB10,COX16,COX17,COX7A2,EBP,COX14,NDUFV3,ATP5MG,DNAJC19,UROS,MRPL27,MRPL21,COPS6,COPS5,UQCRQ,NDUFAF4,NOP10,HBS1L,MOCS2,COX7B,COX4I1,MRPL36,MRPL33,HINT1,MRPL40,UQCRFS1,ELOC,PLA2G4C,VPS37A,CACYBP,MRPS7,MRPL46,MRPS9,HAX1,PSMA4,RILPL1,DAD1,NDUFS4,NDUFS3,CCDC43,PFDN2,EEF1E1,NDUFB9,NDUFB8,NDUFB6,MRPS36,CIPC,NDUFB4,MRPS33,NDUFB3,POMP,NDUFB2,NEDD8,COX5B,MRPL57,COX5A,PSMA7,PSMB6,PSMB1,SH3BGR,TIMM8B,NDUFA8,ATP5PF,NDUFA4,ATP5PB,COX6C,ATP5F1C,HSPE1,LYRM2,SUCLA2,PSMC3,DNAJA2,NDUFAB1,ATP5PO,SLIRP"
"gene_set_query"	"2"	"GTF3A"	"7.667"	"ARCHS4 Coexpression,21;Enrichr Queries,1;GTEx Coexpression,1"	"NDUFA12,CISD1,GIMAP6,CHCHD2,CHCHD3,PTTG1,RPL36AL,TRBC2,ENDOG,NOSIP,CNPY2,CYBA,COX6B1,MYL6,BOLA3,TMEM126A,PSME1,JTB,VDAC1,ERH,UQCRC2,SNRNP25,RPL29,PFN1,AURKAIP1,FKBP3,ATP5MD,UQCRB,NDUFB10,NDUFB11,COX17,COX7A2,MRPL12,COX7A1,OAZ1,UQCRH,LDHB,COX14,NDUFV3,CYC1,ATP5MG,DNAJC19,EGR1,HSPA8,GOT1,TRAPPC5,MRPL21,RPS26,LSM7,COPS5,ARPC2,UQCRQ,ARPC3,NDUFAF4,CYCS,CALM2,NOP10,COX7B,SH3KBP1,COX4I1,ARPC1B,MCUB,ETFA,MRPL2,HINT1,MRPL40,TUBA1A,HINT2,TMSB4X,UQCRFS1,COX8A,ACTR3,CD53,NME2,RPS3A,MRPS7,MRPL46,COMMD7,MRPS9,SMDT1,HAX1,PSMA4,RILPL1,DAD1,NDUFS4,NDUFS3,CCDC43,SLC25A4,SLC25A11,DCTPP1,NDUFB9,NDUFB6,MRPS36,NDUFB4,MRPS33,NDUFB3,POMP,SRSF1,NDUFB2,MTIF3,COX5B,COX5A,MRPL57,LAGE3,PSMA7,PSMB6,ATP5F1A,ATP5F1B,PSMB1,SAP18,RALY,SH3BGR,CCT5,TIMM8B,NDUFA8,ATP5PF,RANBP1,TIMMDC1,ATP5PD,MDH2,NDUFA4,ATP5PB,IMMT,RPL35A,COX6C,ATP5F1C,HSPE1,FABP3,EIF3K,NDUFAB1,ATP5PO,SLIRP,TPT1"
"gene_set_query"	"3"	"CHCHD3"	"12.5"	"ARCHS4 Coexpression,4;GTEx Coexpression,21"	"COX7B,NDUFA11,NDUFA12,COX4I1,HSPB2,CISD1,OLA1,ETFA,MRPL36,MRPL33,TXNDC17,MRPL2,HINT1,UQCRFS1,COX8A,ENDOG,RPS3A,MRPS7,MRPL46,COX6B1,VWA8,MRPS9,TMEM256,PSMA4,RILPL1,DAD1,BOLA3,NDUFS4,TMEM126A,VDAC2,CCDC43,VDAC1,SNRPE,UQCRC2,EEF1E1,PFDN4,SLC25A4,SLC25A11,FKBP3,ATP5MD,NDUFB9,BEX3,RWDD2B,NDUFB10,UQCRB,NDUFB6,COX16,MRPS36,NDUFB4,MRPS33,NDUFB3,TIMM13,NEDD8,COX7A2,COX5B,COX5A,COX7A1,UQCRH,PSMB6,TCEAL8,LDHB,PSMB1,NDUFV3,CYC1,ATP5MG,SH3BGR,DNAJC19,TIMM8B,ATP5PF,NDUFA8,TIMMDC1,ATP5PD,PET100,MDH2,NDUFA4,ATP5PB,IMMT,RPL35A,ATP5F1C,COX6C,HSPE1,DHFR,GGCT,RPS26,AIMP2,COPS5,SUCLA2,LSM6,EIF3K,NDUFAB1,ATP5PO,CYCS,NOP10"
"gene_set_query"	"4"	"ZNF511"	"16.67"	"ARCHS4 Coexpression,5;Enrichr Queries,19;GTEx Coexpression,26"	"NDUFA11,NDUFA12,COX4I1,PDCD5,ETFA,MRPL36,COX6A1,MEA1,TOMM22,MRPL2,CHCHD2,CHCHD3,HINT2,PTTG1,GUK1,MPC2,UQCRFS1,CHCHD1,COX8A,ENDOG,TRAPPC2L,NME2,CNPY2,FOS,MRPS7,MRPL46,COX6B1,MRPS9,HAX1,PSMA4,SAPCD2,BOLA3,JTB,PFDN2,SNRNP25,FKBP4,PFN1,AURKAIP1,RPL29,SLC25A11,DCTPP1,ZNF593,NDUFB8,NDUFB10,NDUFB6,MRPS36,NDUFB11,NDUFB4,INSIG1,COX17,TIMM13,MRPL12,COX7A1,OAZ1,MRPL57,LAGE3,COX5A,PSMA7,PSMB6,EBP,ATP5F1B,DDT,PSMB1,AP2S1,COX14,NDUFV3,CYC1,NDUFV1,SH3BGR,DNAJC19,TIMM8B,ATP5PF,EGR1,RANBP1,HSPA8,NDUFA8,MDH2,FUCA2,SNF8,HSPE1,MRPL21,BCKDK,LSM7,COPS6,PSMC3,UQCRQ,ID2,NDUFAB1,ATP5PO,SLIRP"
"gene_set_query"	"5"	"MTERF3"	"24.0"	"ARCHS4 Coexpression,28;GTEx Coexpression,20"	"NDUFA12,PDCD5,CISD1,MRPL36,ETFA,TXNDC17,MRPL2,HPF1,MRPL40,CHCHD3,UQCRFS1,TSFM,ENDOG,TIMM23,CACYBP,MRPS7,MRPL46,MRPS18C,VWA8,MRPS9,PSMA4,BOLA3,NDUFS4,TMEM126A,VDAC2,CCDC43,VDAC1,SNRPE,SNRPA1,UQCRC2,EEF1E1,PFDN4,SLC25A4,FKBP3,NDUFB9,RWDD2B,NDUFB10,NDUFB6,MRPS36,NDUFB4,MRPS33,NDUFB3,COX17,POMP,MRPL12,COX5A,PSMA7,LDHB,PSMB1,METTL5,NDUFV3,POLR2K,CCT5,DNAJC19,TIMM8B,SF3A3,ATP5PF,TIMMDC1,MDH2,ATP5PB,IMMT,ATP5F1C,HSPE1,GGCT,AIMP2,SPCS2,COPS5,SUCLA2,NDUFAF4,NDUFAB1,ATP5PO,CYCS,SLIRP,CALM2"
"gene_set_query"	"6"	"MLX"	"32.0"	"ARCHS4 Coexpression,42;Enrichr Queries,21;GTEx Coexpression,33"	"ARPC1B,COX4I1,ITGB2,CISD1,ETFA,MED18,CISD3,CYB561D2,TOMM22,HINT1,CHCHD3,PSMD3,UQCRFS1,NANS,CHCHD1,SOX4,KLF10,CD53,ACTR2,FCER1G,SDHC,CYBA,FOS,MRPS7,MRPL46,NT5C3B,HAX1,TYROBP,PSME1,PFDN2,UQCRC2,FKBP4,AURKAIP1,DCTPP1,VAMP3,MRPS36,INSIG1,DTX3,MRPL12,OAZ1,PSMA7,TYMP,PRDX5,ATP5F1B,CYTH4,GRPEL1,AP2S1,GPAT3,CYC1,BID,ATP6V1F,CLASP2,EGR1,HSPA8,FDPS,DYNC1H1,CADM4,MDH2,LAPTM5,IMMT,HSPE1,TMEM60,BCKDK,VMP1,AIMP2,EIF3K,ARPC2,ARPC3,ID2,ALOX5AP,CFAP36,CALM2,ZNF135,NOP10"
"gene_set_query"	"7"	"CENPX"	"49.0"	"GTEx Coexpression,49"	"TRIR,NAPA,TMEM183A,BAD,MRPL27,TIMM13,COX6A1,ALKBH6,ATOX1,TXNDC17,TOMM22,LSM7,HINT1,TMEM256,EBP,ZNHIT1,SAPCD2,DDT,ZFYVE19,AP2S1,NANS,DCTPP1,CHCHD1"
"gene_set_query"	"8"	"HMGN3"	"59.75"	"ARCHS4 Coexpression,8;ENCODE ChIP-seq,85;ReMap ChIP-seq,139;GTEx Coexpression,7"	"NDUFA11,NDUFA12,PDCD5,ARPC5L,CISD1,HDLBP,COX6A1,TXNDC17,ATP5IF1,NARS,CHCHD2,ABHD11,PTTG1,MPC1,PSMD2,TNFSF10,PHLDA2,TXNL4A,CHCHD1,TRAPPC2L,MECR,FIBCD1,NOSIP,CYBA,CNPY2,EML2,COX6B1,RBX1,MRPS18C,TMEM256,TYROBP,BOLA3,SELENOW,FSCN1,TMEM126A,PSME1,JTB,PRTN3,SNRPE,TMEM126B,SNRNP25,UQCRC2,PFN1,AURKAIP1,FKBP3,OPTN,JCAD,ATP5MD,BEX3,UQCRB,NDUFB10,COX16,NDUFB11,INSIG1,COX17,GLT8D1,ATP5MC3,COX7A2,MRPL12,OAZ1,UQCRH,ACAT2,LDHB,PRDX5,EBP,COX14,CYC1,NDUFV3,NDUFV1,ATP5MG,ATP6V1F,ASIC1,FN3K,DNAJC19,HEXIM1,EGR1,EGR4,MRPL27,DRAP1,NR4A2,GGCT,SQLE,AIMP2,COPS6,LSM7,UQCRQ,ID2,NDUFAF4,CYCS,NOP10,COX20,MOCS2,COX7B,CUEDC2,COX4I1,MCUB,BICDL2,MRPL33,HINT1,HINT2,DUSP10,GPR137,COX8A,KLF10,CAP1,ABHD14A,VPS37A,TMC6,MRPS7,ARL4C,VWA8,ARL4D,INF2,PSMA4,SAPCD2,VGF,RILPL1,DAD1,EHHADH,NDUFS4,NDUFS3,KXD1,SNRPA1,PFDN2,IFT46,EEF1E1,PFDN4,SLC25A4,SLC25A11,VAMP2,VAMP3,NDUFB9,NDUFB8,NDUFB6,MRPS36,NDUFB4,MRPS33,NDUFB3,POMP,NDUFB2,TIMM13,ATP1A3,NEDD8,MTIF3,COX5B,MRPL57,LAGE3,COX5A,PSMB6,TCEAL8,ATP5F1A,RAB40B,CYTH4,MCRIP1,PSMB1,SAP18,NRIP3,STX4,FSD1,ZNF467,LNPK,HES4,SF3A3,TIMM8B,NDUFA8,ATP5PF,RANBP1,STN1,TIMMDC1,ATP5PD,MDH1,PET100,NDUFA4,ATP5PB,BAD,EFL1,ATP5F1C,COX6C,ELP5,HSPE1,ATP5F1E,SPCS2,SGSM3,NDUFAB1,ATP5PO,SLIRP,FAM50A"
"gene_set_query"	"9"	"SPI1"	"61.0"	"Literature ChIP-seq,8;ARCHS4 Coexpression,114;ENCODE ChIP-seq,65;Enrichr Queries,13;ReMap ChIP-seq,51;GTEx Coexpression,115"	"SLC4A1AP,CCNI,LST1,ARPC5L,ALKBH6,SMC2,RPL36AL,PSMD3,RNASE1,MRPS18C,RUFY1,MYL6,JTB,PCBP1-AS1,PFN1,AURKAIP1,OPTN,RWDD2B,IGSF6,MTMR9,MRPL12,OAZ1,ARPP19,MYL12B,C3,SNX3,LDHB,PRDX5,ZNHIT1,GRPEL1,BLOC1S1,PDCD10,INPP5D,HLTF,VTI1B,HEXIM1,MCTS1,EGR1,MRPL27,SNF8,RPS26,AIMP2,CALM2,ITM2A,HERPUD2,ARPC1B,MED18,CYB561D2,MRPL40,TMSB4X,GPR137,ELOC,JAK1,CD53,CAP1,COX8A,FCER1G,DUSP1,TIMM23,CACYBP,TMC6,FOS,TMEM173,IL17RA,APBB1IP,PSMA4,HCLS1,KXD1,ERGIC2,VAMP2,C1QB,SELPLG,MRPS33,TIMM13,NEDD8,COX5B,AIF1,PTS,TYMP,PPP1R7,EXOSC9,AP2S1,METTL5,ZSWIM6,ZNF467,SH3BGR,CCT5,SF3A3,P2RY13,CD74,EGLN2,YTHDF3,UTP3,MDH2,LAPTM5,ELP5,ATP5F1C,ATP5F1E,LYRM2,OSTM1,CAPZA2,RAD1,SIPA1,C1QC,COX6A1,NARS,RGS5,CHCHD2,ABHD11,STK16,SLC39A8,PHLDA2,DIMT1,LMO2,NOSIP,CYBA,SDHC,ACYP2,TYROBP,SNRPE,PRTN3,STAM2,KPNB1,ABCG1,ATP5MD,CSF1R,COX16,COX17,GLT8D1,PLD4,ATP5MC3,KRCC1,COX7A1,RTN4,ACAT1,RAB6A,NDUFV1,ASIC1,UBE2F,AKIRIN2,TRAPPC4,UROS,TRAPPC5,KLHL23,ARPC2,ARPC3,BAMBI,NABP1,PIN1,NOP10,CUEDC2,MCUR1,ITGB2,TREM2,USE1,DUSP10,CAPZB,ACP6,ITGAX,MDP1,ACTR3,CHUK,RPS3A,UTP18,HAX1,NDUFS4,PFDN2,LCP1,SLC25A11,DCTPP1,BIRC2,CX3CR1,NDUFB9,RAB1A,MTIF3,CYTH4,PPP2R3C,NRIP3,TIMM8B,GALNT6,STN1,CHURC1,TAF13,TXNL1,HSPE1,KLF2,ATOX1,BCKDK,RSPH3,EIF3K,ALOX5AP,RGS10,MNDA"
"gene_set_query"	"10"	"FLI1"	"62.17"	"Literature ChIP-seq,17;ARCHS4 Coexpression,105;ENCODE ChIP-seq,27;Enrichr Queries,46;ReMap ChIP-seq,85;GTEx Coexpression,93"	"SCOC,SLC4A1AP,CCNI,LST1,ARPC5L,SMC4,SMC2,TXNDC17,PSMD2,AP1S2,SOX4,STARD4,SLC35C1,HDHD2,RNASE1,EML2,MRPS18C,RUFY1,ZFYVE19,HECW2,BOLA3,PSME1,TMEM126A,JTB,HECA,MAML3,RPL29,PFN1,AURKAIP1,ASTN2,OPTN,BEX3,RWDD2B,RTF2,LPAR1,MTMR9,MRPL12,OAZ1,ARPP19,MYL12B,C3,SNX3,PRDX5,ZNHIT1,GRPEL1,BLOC1S1,PDCD10,INPP5D,GSE1,HEXIM1,EGR1,FUCA2,MRPL27,SNF8,MRPL21,THAP10,MLLT11,RPS26,AIMP2,ADI1,ID2,PKIG,HERPUD2,ACY3,HIP1,CAB39L,SH3KBP1,ARPC1B,MCUB,PIGP,AKR1B1,BICDL2,GRIK1,MED18,CYB561D2,MRPL33,MRPL40,HINT2,CRTAC1,GUK1,TMSB4X,GPR137,ELOC,CD53,DUSP4,COX8A,CAP1,FCER1G,DUSP1,MRPS25,TIMM23,CACYBP,TMC6,FOS,MRPS7,TMEM173,IL17RA,APBB1IP,VWA8,INF2,CSDE1,HCLS1,KXD1,ERGIC2,GAS5,VAMP2,VAMP3,C1QB,ZNF593,SELPLG,RAMP3,MRPS33,TIMM13,COX5B,AIF1,MRPL57,PSMA7,TMEM168,PSMB1,AP2S1,METTL5,GPAT3,ZSWIM6,STX4,BID,CCT5,SF3A3,TSNAX,CD74,RANBP1,ATP5PF,P2RY13,DYNC1H1,TIMMDC1,EGLN2,ATP5PD,PET100,YTHDF3,MDH1,UTP3,MDH2,LAPTM5,ELP5,ATP5F1C,TMEM60,VMP1,ZNF33A,LYRM2,OSTM1,NDUFAB1,ATP5PO,RAD1,LAMTOR1,SIPA1,GOLT1B,NDUFA12,HDLBP,GIMAP6,COX6A1,TOMM22,NARS,CHCHD2,CHCHD3,PTTG1,MPC2,STK16,TXNL4A,PHLDA2,NUDT14,TRAPPC2L,DIMT1,LMO2,NOSIP,CYBA,SDHC,ACYP2,RBX1,COX6B1,TYROBP,FSCN1,ERH,SNRPE,PPIH,ERG,FKBP4,STAM2,PVALB,KPNB1,ABCG1,JCAD,ATP5MD,CSF1R,COPB2,COX16,TUBGCP2,INSIG1,COX17,GLT8D1,COX7A2,KRCC1,UQCRH,BAG1,CYC1,RAB6A,ATP6V1D,NDUFV1,ATP5MG,IVNS1ABP,YARS,UBE2F,AKIRIN2,TRAPPC4,TRAPPC5,PHKB,KLHL23,DRAP1,NR4A2,NR4A1,COPS6,LSM7,COPS5,GNAL,NR4A3,ARPC2,ARPC3,UQCRQ,UST,NABP1,NOP10,B4GALT2,MCUR1,COX4I1,ITGB2,ETFA,USE1,RBM3,MRPL2,LBH,DUSP10,ITGAX,UQCRFS1,ACTR3,KLF10,ACTR2,CHUK,COL25A1,VPS13D,MSL3,ABHD14A,PEX2,RPS3A,UTP18,ARL4C,LMBRD1,HAX1,SAPCD2,DAD1,EHHADH,NDUFS3,PFDN2,ITGB1BP1,MTFR1,SNRPA1,LCP1,SLC25A11,BIRC2,CX3CR1,NDUFB9,NDUFB6,NDUFB4,SRSF1,NDUFB3,POMP,USP12,MFF,CYTH4,RAB40B,MCRIP1,RALY,POLR2K,HES4,TIMM8B,NDUFA8,STN1,CHURC1,BAD,TAF13,EFL1,TXNL1,DTNBP1,IMMT,CCK,KLF2,ATOX1,BCKDK,EIF3K,ALOX5AP,DNAJA2,RGS10,CFAP36,SPRY2,CDK2AP1,CD9,MNDA,CCDC173,TPT1"
