Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"TFEC"	"9.333"	"ARCHS4 Coexpression,21;Enrichr Queries,6;GTEx Coexpression,1"	"CD84,GMFG,ARPC1B,DOCK8,ITGB2,LST1,SLC40A1,SNX10,TREM2,GIMAP7,IFI44L,CXCL16,RGS1,STAB1,MRC1,TNFSF10,OLR1,CD38,B2M,HAVCR2,HLA-DPA1,CD53,FCER1G,GPR34,SYK,RSAD2,IFNGR1,ACSL1,HLA-B,CYBB,CYBA,FOS,TAPBP,TYROBP,MAF,NPC2,LCP2,LCP1,KCTD12,CSF1R,C1QA,GRN,RGS19,IGSF6,SELPLG,PTAFR,ADCY7,AIF1,C3,OGFRL1,HLA-DMB,ADAP2,CYTH4,CCL2,NCKAP1L,BID,GBP3,CD74,P2RY13,EGR1,EGR2,VCAM1,CMTM6,LAPTM5,LY86,LILRB1,KLF4,LILRB4,DAB2,EVI2A,TCN2,ATG16L2,ALOX5AP,MAN2B1,MNDA,CD68,EVI2B,SIPA1,C1QC"
"gene_set_query"	"2"	"SPI1"	"14.5"	"Literature ChIP-seq,4;ARCHS4 Coexpression,31;ENCODE ChIP-seq,17;Enrichr Queries,3;ReMap ChIP-seq,4;GTEx Coexpression,28"	"PGAP2,RNASEH1-AS1,WDSUB1,WIPF1,GMFG,POP4,LST1,TESK2,FRAT2,TNFSF10,CYP1B1,RTTN,B2M,GOLGA7,ACSL1,HLA-B,RNASE1,CPED1,KCTD12,PFN1,ADPRM,IGSF6,GYPC,PIK3R4,OMA1,AAAS,MRPL11,C3,OLMALINC,ZNF708,BLOC1S1,NCKAP1L,VASP,EGR1,EGR2,STARD10,BBIP1,BTBD10,UBAC2,PPFIBP2,ARL2BP,LPAR6,ID3,NDUFAF3,CD22,ITM2B,GMEB1,CCDC126,PHF23,ARPC1B,ARPC1A,SNX10,ING4,MRC2,ZCWPW1,TMSB4X,STAB1,UBXN8,RPARP-AS1,HAVCR2,CD53,LRRC45,FCER1G,PRMT7,SYK,DUSP1,IFNGR1,AKR1A1,COMMD3,FOS,TMEM173,LAT2,SLC7A8,RHOQ,JDP2,LYPLAL1,C1QA,GRN,SELPLG,PELI3,NIP7,PTAFR,GBA,AIF1,TANK,CHRAC1,BID,MICA,P2RY13,CD74,MAP3K1,LAPTM5,LILRB1,ELP5,LYVE1,LILRB4,ATP5F1E,LYRM1,SHKBP1,LPCAT2,COPG2,CD68,SIPA1,C1QC,CD84,LRRC8C-DT,CSE1L,CXCL16,ZFP36,RGS1,STK16,KPNA2,CYBB,CYBA,CNPY3,ATAD3B,PLA2G15,TYROBP,DNAJB11,NHP2,TBC1D25,SCG3,ZNF674,CSF1R,RPS19BP1,PLD4,FBLN2,ZFP36L2,GTF2E2,TMEM123,SNN,FUT8,ADAP2,BAG1,IGFBP7,TSNAXIP1,ATP6V1D,AKIRIN2,HSPA8,TRAPPC5,LY86,TRAPPC9,LSM4,TDRD3,ATG16L2,UBLCP1,TMEM119,PYROXD2,MAN2B1,CCDC22,CUEDC2,ALAS1,CPQ,DOCK8,ITGB2,DYSF,ATP2A3,TREM2,LRMP,SPRED2,LYL1,ADGRE5,MFSD5,GAL3ST4,SLC36A1,EED,ARAP2,VPS13B,OLIG1,DDX50,TGFBR1,TGFBR2,KANSL1-AS1,CREB3,SLC25A15,DALRD3,LCP2,LCP1,ZNF512,NEMP1,CX3CR1,NLGN3,BECN1,NDUFB9,GTF2A2,RGS19,TM2D1,PNKP,RAB1B,LTC4S,PPOX,PSMB10,ABLIM1,CYTH4,SLC2A1-AS1,MAT2A,MSTO1,U2AF2,SAP30L,E2F1,CCL2,FCGR1A,AAMP,GBP3,KCNIP1,TAF13,CMTM6,KLF4,KLF2,FMNL3,RAD52,EVI2A,APOC2,ALOX5AP,RGS10,MNDA,EVI2B,SLC25A33"
"gene_set_query"	"3"	"SP110"	"19.0"	"ARCHS4 Coexpression,23;Enrichr Queries,26;GTEx Coexpression,8"	"WIPF1,GMFG,ARPC1B,DOCK8,ITGB2,LST1,TMEM140,IFI44L,CXCL16,ZFP36,ADGRE5,RGS1,TNFSF10,CD38,B2M,CD53,FCER1G,SYK,RSAD2,HLA-B,CYBB,CYBA,CNPY3,FOS,TMEM173,TAPBP,LAT2,TYROBP,RUBCNL,LCP2,LCP1,IGSF6,SELPLG,RGS19,PTAFR,ADCY7,PSMB10,RASGRP3,C3,CYTH4,CCL2,NCKAP1L,GBP3,VASP,EGR1,CD74,P2RY13,SEMA4D,LAPTM5,LY86,LILRB1,KLF4,KLF2,ATG16L2,SHKBP1,ALOX5AP,MNDA,EVI2B,CD68,SIPA1"
"gene_set_query"	"4"	"FLI1"	"23.67"	"Literature ChIP-seq,29;ARCHS4 Coexpression,14;ENCODE ChIP-seq,70;Enrichr Queries,5;ReMap ChIP-seq,22;GTEx Coexpression,2"	"WIPF1,GMFG,LST1,HGH1,ZDHHC4,LSM10,FRAT2,CYP1B1,CCDC97,RTTN,B2M,VPS18,ENTPD1,HLA-B,RECQL,SLC6A12,EML4,GNPAT,RBCK1,KCTD12,PFN1,ADPRM,RWDD2B,GYPC,PIK3R4,AAAS,SMIM7,C3,SMIM11A,PRDX5,CYB5R3,BLOC1S1,PTPMT1,NCKAP1L,VASP,EGR1,SURF1,EGR2,BBIP1,MRPL21,UBAC2,UCK1,ID2,ID3,ITM2B,ECM1,MRPS14,CCDC126,ARPC1B,PHF23,MRPL33,ING4,ZCWPW1,SEC61G,TMSB4X,STAB1,CD38,TMED2,HAVCR2,CD53,DUSP4,LRRC45,FCER1G,SYK,IFNGR1,NCOA4,AEN,FOS,TMEM173,NME1,LAT2,ARHGEF4,RHOQ,ENG,C1QA,SELPLG,NIP7,GBA,PTAFR,TIMM13,UQCR11,SNX33,AIF1,ADCY7,TANK,ZNF7,SERTAD3,HLA-DMB,SERTAD1,TSNAX,CD74,RANBP1,P2RY13,MTX2,LAPTM5,LILRB1,TRMT1,ELP5,LILRB4,YIF1A,RPA3,SHKBP1,LYRM7,LPCAT2,LAMTOR1,CD68,SIPA1,TOMM5,DCLRE1A,CD84,RTKN,MPG,TMEM140,GIMAP7,BEST1,FADS2,ZFP36,POFUT2,TATDN1,STK16,LZTS2,KPNA2,NANOS3,CYBB,CYBA,ALG12,ST7L,PLA2G15,TYROBP,MAF,SYPL1,TMEM138,DNAJB11,FSCN1,ERG,CSF1R,ISYNA1,RPS19BP1,CCDC25,CLEC16A,PLD4,ZFP36L2,GTF2E2,RASGRP3,TIMM50,TMEM123,ADAP2,BAG1,TCTEX1D2,CDH24,IGFBP7,ATP6V1D,UBE2F,OST4,VCAM1,EIF2B2,UROS,OSBPL3,TRAPPC5,LY86,TRAPPC9,LSM4,DRAP1,DAB2,ATG16L2,UBLCP1,IFT27,PIN1,MAN2B1,PYROXD2,TUBGCP4,DIDO1,DOCK8,ITGB2,DYSF,ATP2A3,UFSP2,LRMP,MHENCR,LYL1,SPRED2,LBH,ADGRE5,ZNF524,GAL3ST4,EGFL7,MARS2,TTC31,DDX50,TGFBR1,TGFBR2,CREB3,DALRD3,SAPCD2,LCP2,SLC25A10,USP40,LCP1,NEMP1,NDUFB9,RGS19,RAB1B,PNKP,LTC4S,PPOX,CLCN2,PSMB10,TFPT,CYTH4,U2AF2,E2F1,CCL2,HES1,PTCD2,SEMA4D,BAD,TAF13,CMTM6,KLF4,KLF2,EVI2A,ALOX5AP,RGS10,MNDA,EVI2B,TPT1"
"gene_set_query"	"5"	"IRF8"	"28.25"	"Literature ChIP-seq,14;ARCHS4 Coexpression,16;Enrichr Queries,1;GTEx Coexpression,82"	"DIDO1,CD84,WIPF1,ARPC1B,DOCK8,GMFG,ITGB2,LST1,ATP2A3,LRMP,SNX10,TREM2,IFI44L,CXCL16,ZFP36,RGS1,TMSB4X,STAB1,TNFSF10,CD38,B2M,HLA-DPA1,HAVCR2,CD53,ENTPD1,FCER1G,SYK,RSAD2,CYBB,CYBA,FOS,CNPY3,TMEM173,TAPBP,LAT2,TYROBP,RUBCNL,LCP2,KCTD12,LCP1,JDP2,CX3CR1,CSF1R,C1QA,GRN,IGSF6,SELPLG,PLD4,AIF1,ADCY7,PSMB10,C3,GGA2,HLA-DMB,CYTH4,CCL2,NCKAP1L,GBP3,CD74,EGR1,EGR2,VCAM1,OSBPL3,LY86,LAPTM5,LILRB1,KLF4,LILRB4,KLF2,FMNL3,EVI2A,ID2,ALOX5AP,RGS10,MAN2B1,MNDA,EVI2B,CD68,TMEM18,CD22,SIPA1,C1QC"
"gene_set_query"	"6"	"ELF4"	"33.33"	"ARCHS4 Coexpression,56;Enrichr Queries,27;GTEx Coexpression,17"	"WIPF1,GMFG,ARPC1B,DOCK8,ITGB2,LST1,FHL2,DYSF,ATP2A3,ZFP36,FRAT2,ADGRE5,CYP1B1,TNS3,B2M,CD53,SYK,HLA-B,CYBB,CYBA,FOS,TMEM173,TGFBR2,LAT2,TYROBP,RUBCNL,FSCN1,LCP2,LCP1,CSF1R,GRN,SELPLG,RGS19,PTAFR,ADCY7,ZFP36L2,CYTH4,CCL2,NCKAP1L,VASP,EGR1,CD74,P2RY13,LAPTM5,KLF4,KLF2,DAB2,ATG16L2,SHKBP1,ALOX5AP,ID3,MAN2B1,MNDA,EVI2B,CD68,SIPA1"
"gene_set_query"	"7"	"AKNA"	"42.67"	"ARCHS4 Coexpression,71;Enrichr Queries,16;GTEx Coexpression,41"	"CD84,WIPF1,DOCK8,ITGB2,LST1,ATP2A3,DYSF,ZFP36,FRAT2,ADGRE5,RGS1,B2M,HAVCR2,CD53,ST6GAL1,FCER1G,SYK,HLA-B,THEMIS,CYBB,CYBA,CNPY3,FOS,TMEM173,TGFBR2,TYROBP,RUBCNL,LCP2,LCP1,CSF1R,RGS19,SELPLG,PTAFR,ADCY7,ZFP36L2,C3,CYTH4,NCKAP1L,VASP,EGR1,CD74,P2RY13,SEMA4D,LAPTM5,LY86,KLF4,KLF2,ATG16L2,ID2,SHKBP1,ALOX5AP,ID3,MNDA,CD68,EVI2B,SIPA1"
"gene_set_query"	"8"	"HLX"	"42.67"	"ARCHS4 Coexpression,24;Enrichr Queries,24;GTEx Coexpression,80"	"GMFG,ARPC1B,ITGB2,LST1,DYSF,SLC40A1,TMEM140,ZFP36,FRAT2,ADGRE5,RGS1,STAB1,CYP1B1,TNS3,FCER1G,ACSL1,HLA-B,CYBB,CYBA,FOS,TGFBR2,TYROBP,MAF,FSCN1,LCP2,KCTD12,LCP1,JDP2,ENG,CSF1R,C1QA,GRN,IGSF6,SELPLG,RGS19,PTAFR,AIF1,ZFP36L2,C3,SOCS2,SERTAD3,ADAP2,CYTH4,CCL2,IGFBP7,VASP,EGR1,CD74,P2RY13,EGR2,VCAM1,LAPTM5,LILRB1,KLF4,LILRB4,KLF2,NR4A2,DAB2,ATG16L2,SHKBP1,ID2,ALOX5AP,ID3,MNDA,MAN2B1,EVI2B,CD68,SIPA1"
"gene_set_query"	"9"	"SP140"	"43.0"	"ARCHS4 Coexpression,32;Enrichr Queries,14;GTEx Coexpression,83"	"CD84,WIPF1,DOCK8,GMFG,ITGB2,LRMP,TMEM140,IFI44L,ADGRE5,RGS1,TMSB4X,TNFSF10,CD38,B2M,HLA-DPA1,CD53,ENTPD1,FCER1G,SYK,RSAD2,HLA-B,CYBB,CYBA,FOS,LAT2,TYROBP,RUBCNL,LCP2,LCP1,CSF1R,C1QA,IGSF6,SELPLG,AIF1,PSMB10,RASGRP3,C3,HLA-DMB,CYTH4,CCL2,NCKAP1L,GBP3,CD74,EGR1,SEMA4D,LAPTM5,LY86,LILRB1,LILRB4,KLF2,EVI2A,SHKBP1,ALOX5AP,MNDA,EVI2B,CD68,CD22,SIPA1"
"gene_set_query"	"10"	"NFE2"	"44.8"	"ARCHS4 Coexpression,44;ENCODE ChIP-seq,26;Enrichr Queries,77;ReMap ChIP-seq,35;GTEx Coexpression,42"	"WDSUB1,MPG,WIPF1,GMFG,LST1,TESK2,ENO1,TMEM140,BEST1,LSM10,ATP5IF1,ZFP36,AKR7A2,FRAT2,RPL36AL,RGS1,STK16,TNFSF10,CYP1B1,LZTS2,EARS2,ZNF322,WASHC3,VPS18,RSAD2,WSB2,NANOS3,HLA-B,CYBB,CYBA,LIG3,RBX1,FAM118B,EML4,ST7L,TYROBP,ZW10,DNAJB11,FSCN1,ORAI1,RBCK1,PFN1,PFKFB2,ISYNA1,IGSF6,GYPC,BRI3,SDR39U1,GTF2E1,ZFP36L2,GTF2E2,WDR66,C3,OLMALINC,PRDX5,EBP,BLOC1S1,BLOC1S2,XRRA1,SSR1,HBQ1,ATP6V1D,VASP,AKIRIN2,OST4,EGR1,EGR2,STARD10,BBIP1,LSM4,NMRAL1,DRAP1,PPFIBP2,TCN2,ATG16L2,ADCK1,ID2,NDUFAF3,ID3,COPE,MIPEP,DIDO1,PTPRS,PHF23,ARPC1B,ITGB2,ZFAND2B,DYSF,SLC40A1,LRMP,ING4,ZCWPW1,LYL1,ADGRE5,HYAL3,TMED1,CD53,DUSP4,SLC36A1,EGFL7,FCER1G,HSDL1,SYK,DUSP1,MARS2,NCOA4,AKR1A1,COMMD3,DDX54,AEN,FOS,NME1,LAT2,SLC25A25-AS1,DUSP23,DALRD3,SAPCD2,VGF,ALDH1A1,LCP2,LCP1,ZNF512,NEMP1,LYPLAL1,ATG4D,GRN,SELPLG,RGS19,PNKP,PTAFR,TIMM13,SEMA3G,UQCR11,LTC4S,PPOX,COX5A,HDAC6,GGA2,SERTAD3,CYTH4,SLC2A1-AS1,MIEN1,SERTAD1,MAT2A,U2AF2,E2F1,LEO1,CCL2,FCGR1A,P2RY13,CD74,PTCD2,BAD,LAPTM5,TRMT1,LILRB1,ELP5,KLF4,YIF1A,KLF2,LRPPRC,SHKBP1,ALOX5AP,LYRM7,RGS10,MNDA,MITD1,LAMTOR1,EVI2B,CD68,SLC25A33,SIPA1"
