Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to12,Feature log2 fold change topic 4to12
ENSG00000228794,LINC01128,22,-0.7122,36,0.71225
ENSG00000188976,NOC2L,26,-1.1667,58,1.16670
ENSG00000188290,HES4,52,0.38333,40,-0.3833
ENSG00000187608,ISG15,43,0.16350,38,-0.1635
ENSG00000188157,AGRN,25,0.05787,24,-0.0578
ENSG00000078808,SDF4,51,-0.0456,53,0.04569
ENSG00000176022,B3GALT6,18,-0.0279,19,0.02798
ENSG00000160087,UBE2J2,29,-0.2242,33,0.22424
ENSG00000131584,ACAP3,60,-0.2155,70,0.21551
ENSG00000127054,INTS11,30,-0.4828,41,0.48280
ENSG00000224051,CPTP,15,-0.2090,17,0.20905
ENSG00000107404,DVL1,77,1.11141,36,-1.1114
ENSG00000175756,AURKAIP1,194,0.05047,188,-0.0504
ENSG00000221978,CCNL2,34,-0.7799,59,0.77992
ENSG00000242485,MRPL20,176,0.17262,156,-0.1726
ENSG00000235098,ANKRD65,28,0.48632,20,-0.4863
ENSG00000179403,VWA1,28,1.41159,10,-1.4115
ENSG00000205090,TMEM240,15,-0.5682,23,0.56828
ENSG00000160075,SSU72,135,-0.1719,152,0.17191
ENSG00000228594,FNDC10,35,0.82138,19,-0.8213
ENSG00000197530,MIB2,31,0.07639,30,-0.0763
ENSG00000248333,CDK11B,44,-0.3761,57,0.37612
ENSG00000008128,CDK11A,25,-0.5252,36,0.52522
ENSG00000215790,SLC35E2A,27,0.49109,19,-0.4910
ENSG00000008130,NADK,22,0.06094,21,-0.0609
ENSG00000078369,GNB1,538,0.20420,467,-0.2042
ENSG00000187730,GABRD,92,-0.8575,168,0.85756
ENSG00000067606,PRKCZ,197,0.03374,192,-0.0337
ENSG00000162585,FAAP20,58,1.16711,26,-1.1671
ENSG00000157933,SKI,39,0.60199,26,-0.6019
ENSG00000157916,RER1,46,-0.1870,52,0.18703
ENSG00000157911,PEX10,29,0.66448,18,-0.6644
ENSG00000149527,PLCH2,21,0.65060,13,-0.6506
ENSG00000157881,PANK4,9,-0.6413,15,0.64136
ENSG00000157870,PRXL2B,39,-0.0376,40,0.03765
ENSG00000177133,PRDM16-DT,36,2.26703,7,-2.2670
ENSG00000158109,TPRG1L,138,-0.4438,188,0.44382
ENSG00000130764,LRRC47,47,-0.8184,83,0.81841
ENSG00000116198,CEP104,29,0.20486,25,-0.2048
ENSG00000198912,C1orf174,11,-0.3962,15,0.39628
ENSG00000196581,AJAP1,32,-0.8096,56,0.80967
ENSG00000069424,KCNAB2,195,0.15615,175,-0.1561
ENSG00000116254,CHD5,214,-0.2150,249,0.21507
ENSG00000116251,RPL22,808,0.94756,419,-0.9475
ENSG00000116237,ICMT,27,-0.6643,44,0.66432
ENSG00000097021,ACOT7,118,-1.3612,304,1.36124
ENSG00000171680,PLEKHG5,17,-0.3911,22,0.39117
ENSG00000162408,NOL9,19,-0.2425,23,0.24258
ENSG00000162413,KLHL21,23,-0.1648,26,0.16488
ENSG00000041988,THAP3,16,-0.0136,17,0.01369
ENSG00000007923,DNAJC11,27,-0.2352,31,0.23524
ENSG00000171735,CAMTA1,286,-0.5699,425,0.56990
ENSG00000049245,VAMP3,33,1.27551,13,-1.2755
ENSG00000049246,PER3,40,0.91162,21,-0.9116
ENSG00000116288,PARK7,322,-0.0496,333,0.04968
ENSG00000116285,ERRFI1,17,-0.6962,28,0.69624
ENSG00000162426,SLC45A1,16,-1.2883,39,1.28839
ENSG00000142599,RERE,144,0.28370,118,-0.2837
ENSG00000074800,ENO1,518,0.02279,510,-0.0227
ENSG00000171612,SLC25A33,55,1.23659,23,-1.2365
ENSG00000171603,CLSTN1,394,-1.0388,810,1.03882
ENSG00000178585,CTNNBIP1,41,0.61608,26,-0.6160
ENSG00000162441,LZIC,61,0.31793,49,-0.3179
ENSG00000130939,UBE4B,31,-0.4930,44,0.49306
ENSG00000054523,KIF1B,341,-0.0440,351,0.04408
ENSG00000142657,PGD,31,-1.0412,65,1.04124
ENSG00000241563,CORT,37,-0.7991,65,0.79914
ENSG00000160049,DFFA,56,0.56681,38,-0.5668
ENSG00000142655,PEX14,12,-0.9595,23,0.95956
ENSG00000120948,TARDBP,62,-0.4468,85,0.44684
ENSG00000116649,SRM,56,-0.1808,64,0.18082
ENSG00000171824,EXOSC10,16,-1.1954,37,1.19543
ENSG00000198793,MTOR,33,-0.6712,53,0.67127
ENSG00000116661,FBXO2,247,0.53793,170,-0.5379
ENSG00000132879,FBXO44,60,-0.6694,96,0.66940
ENSG00000177000,MTHFR,10,-0.8142,18,0.81425
ENSG00000011021,CLCN6,56,-0.2179,65,0.21796
ENSG00000116685,KIAA2013,26,-0.3222,33,0.32223
ENSG00000083444,PLOD1,22,0.19281,19,-0.1928
ENSG00000116688,MFN2,82,-0.4686,113,0.46864
ENSG00000048707,VPS13D,51,-0.6654,82,0.66541
ENSG00000162496,DHRS3,24,0.91799,13,-0.9179
ENSG00000116731,PRDM2,180,-0.5357,262,0.53578
ENSG00000189337,KAZN,64,-0.1391,71,0.13911
ENSG00000142634,EFHD2,54,-1.1199,118,1.11992
ENSG00000116138,DNAJC16,23,-0.6390,36,0.63909
ENSG00000197312,DDI2,28,-0.6807,46,0.68074
ENSG00000116786,PLEKHM2,164,0.85509,90,-0.8550
ENSG00000065526,SPEN,156,-0.0429,161,0.04297
ENSG00000116809,ZBTB17,21,0.13010,19,-0.1301
ENSG00000037637,FBXO42,15,-0.6503,23,0.65039
ENSG00000055070,SZRD1,39,1.48610,14,-1.4861
ENSG00000159363,ATP13A2,82,-0.7682,139,0.76820
ENSG00000117118,SDHB,58,-0.4329,78,0.43296
ENSG00000117115,PADI2,80,2.69486,12,-2.6948
ENSG00000179051,RCC2,23,0.17221,20,-0.1722
ENSG00000117154,IGSF21,41,-1.0229,84,1.02298
ENSG00000159423,ALDH4A1,41,2.35425,8,-2.3542
ENSG00000127481,UBR4,22,-0.8524,40,0.85241
ENSG00000127463,EMC1,22,-0.7849,38,0.78497
ENSG00000053372,MRTO4,36,-0.1525,40,0.15250
ENSG00000053371,AKR7A2,40,0.65068,25,-0.6506
ENSG00000077549,CAPZB,131,-0.6648,209,0.66481
ENSG00000173436,MICOS10,459,0.63521,295,-0.6352
ENSG00000158747,NBL1,142,-0.0951,152,0.09512
ENSG00000169914,OTUD3,14,-0.5496,20,0.54966
ENSG00000162545,CAMK2N1,2567,1.09303,1203,-1.0930
ENSG00000090432,MUL1,17,-0.2329,20,0.23291
ENSG00000183114,FAM43B,11,-1.1379,25,1.13798
ENSG00000158828,PINK1,452,-0.0998,484,0.09981
ENSG00000244038,DDOST,16,-1.0903,34,1.09036
ENSG00000117245,KIF17,10,-1.5705,32,1.57051
ENSG00000189410,SH2D5,26,-0.3908,35,0.39087
ENSG00000127483,HP1BP3,236,0.10346,220,-0.1034
ENSG00000075151,EIF4G3,187,-1.0396,385,1.03963
ENSG00000117298,ECE1,28,0.91882,14,-0.9188
ENSG00000076864,RAP1GAP,77,-0.9728,151,0.97287
ENSG00000090686,USP48,53,-0.7914,92,0.79147
ENSG00000070831,CDC42,111,-0.8326,198,0.83268
ENSG00000133216,EPHB2,12,-0.3695,15,0.36959
ENSG00000004487,KDM1A,49,-0.8109,86,0.81090
ENSG00000169641,LUZP1,146,-0.6336,227,0.63362
ENSG00000125944,HNRNPR,95,-0.5811,142,0.58119
ENSG00000142676,RPL11,584,0.97377,297,-0.9737
ENSG00000011007,ELOA,30,0.30929,24,-0.3092
ENSG00000057757,PITHD1,117,-0.4288,158,0.42888
ENSG00000011009,LYPLA2,21,-0.1888,24,0.18885
ENSG00000117308,GALE,10,-0.9074,19,0.90744
ENSG00000189266,PNRC2,54,-0.2603,65,0.26031
ENSG00000188529,SRSF10,53,-0.4479,72,0.44790
ENSG00000001461,NIPAL3,94,-0.5955,142,0.59557
ENSG00000133226,SRRM1,215,-0.0044,216,0.00444
ENSG00000169504,CLIC4,47,2.12457,10,-2.1245
ENSG00000117614,SYF2,150,0.35671,117,-0.3567
ENSG00000117616,RSRP1,27,-1.7079,89,1.70799
ENSG00000183726,TMEM50A,59,-0.1834,67,0.18347
ENSG00000204178,MACO1,45,-0.8733,83,0.87338
ENSG00000117643,MAN1C1,24,-0.9465,46,0.94657
ENSG00000162430,SELENON,39,1.23304,16,-1.2330
ENSG00000117640,MTFR1L,58,-0.0567,61,0.05670
ENSG00000117632,STMN1,802,-0.9396,1539,0.93967
ENSG00000158008,EXTL1,43,0.27126,36,-0.2712
ENSG00000175087,PDIK1L,12,-0.4952,17,0.49528
ENSG00000142684,ZNF593,37,-0.3834,48,0.38346
ENSG00000142669,SH3BGRL3,175,0.22196,150,-0.2219
ENSG00000158062,UBXN11,24,0.21498,20,-0.2149
ENSG00000117682,DHDDS,15,-0.5493,22,0.54931
ENSG00000198830,HMGN2,201,0.61598,131,-0.6159
ENSG00000117713,ARID1A,81,0.30077,66,-0.3007
ENSG00000204160,ZDHHC18,15,-0.6952,25,0.69529
ENSG00000142751,GPN2,17,-0.2687,21,0.26872
ENSG00000090273,NUDC,244,-0.0007,244,0.00072
ENSG00000253368,TRNP1,51,-0.0364,52,0.03644
ENSG00000090020,SLC9A1,16,-0.5819,24,0.58193
ENSG00000142784,WDTC1,31,0.59693,21,-0.5969
ENSG00000186501,TMEM222,32,0.00574,32,-0.0057
ENSG00000158195,WASF2,76,1.80262,21,-1.8026
ENSG00000126705,AHDC1,39,-0.6340,60,0.63409
ENSG00000126709,IFI6,76,-0.4538,105,0.45387
ENSG00000009780,FAM76A,15,-0.4124,20,0.41246
ENSG00000117758,STX12,87,-0.3390,110,0.33904
ENSG00000117751,PPP1R8,28,0.10434,26,-0.1043
ENSG00000117748,RPA2,23,-1.0780,50,1.07802
ENSG00000126698,DNAJC8,253,0.16404,226,-0.1640
ENSG00000130770,ATP5IF1,466,-0.2711,562,0.27117
ENSG00000204138,PHACTR4,37,1.08409,17,-1.0840
ENSG00000180098,TRNAU1AP,18,-0.0149,18,0.01490
ENSG00000120656,TAF12,20,0.39339,15,-0.3933
ENSG00000198492,YTHDF2,51,-1.0701,109,1.07011
ENSG00000116329,OPRD1,12,-0.3112,15,0.31129
ENSG00000159023,EPB41,14,-0.5839,21,0.58392
ENSG00000116350,SRSF4,74,-0.5106,106,0.51064
ENSG00000116353,MECR,36,0.12480,33,-0.1248
ENSG00000162512,SDC3,187,0.86743,102,-0.8674
ENSG00000134644,PUM1,108,-0.5800,161,0.58000
ENSG00000060688,SNRNP40,12,-1.0041,24,1.00412
ENSG00000121766,ZCCHC17,131,-0.3233,165,0.32330
ENSG00000121769,FABP3,91,-0.7525,153,0.75258
ENSG00000162517,PEF1,62,-0.4340,83,0.43404
ENSG00000084636,COL16A1,26,-0.3005,32,0.30051
ENSG00000121753,ADGRB2,166,-0.4042,220,0.40423
ENSG00000184007,PTP4A2,359,0.67449,225,-0.6744
ENSG00000121774,KHDRBS1,83,-0.5884,125,0.58841
ENSG00000025800,KPNA6,74,-0.5501,109,0.55014
ENSG00000084652,TXLNA,20,-0.1595,23,0.15958
ENSG00000160050,CCDC28B,21,0.31999,17,-0.3199
ENSG00000084623,EIF3I,70,-0.7611,119,0.76118
ENSG00000175130,MARCKSL1,326,1.41491,122,-1.4149
ENSG00000160058,BSDC1,55,-0.2955,67,0.29556
ENSG00000160062,ZBTB8A,19,0.22304,16,-0.2230
ENSG00000176261,ZBTB8OS,40,-0.1199,44,0.11995
ENSG00000162521,RBBP4,97,-0.2772,118,0.27725
ENSG00000162522,KIAA1522,26,1.25757,11,-1.2575
ENSG00000134684,YARS,68,-1.0530,142,1.05305
ENSG00000160097,FNDC5,32,-0.2950,39,0.29503
ENSG00000121905,HPCA,131,-0.6273,203,0.62733
ENSG00000121900,TMEM54,69,1.02545,34,-1.0254
ENSG00000116514,RNF19B,15,-0.4320,21,0.43205
ENSG00000004455,AK2,29,0.30184,23,-0.3018
ENSG00000142920,AZIN2,13,-0.9320,25,0.93205
ENSG00000160094,ZNF362,25,0.63162,16,-0.6316
ENSG00000134686,PHC2,38,-0.3298,48,0.32982
ENSG00000163866,SMIM12,41,-0.4634,57,0.46345
ENSG00000116544,DLGAP3,71,1.01959,35,-1.0195
ENSG00000163867,ZMYM6,12,-0.9104,23,0.91045
ENSG00000116560,SFPQ,193,-0.5634,285,0.56345
ENSG00000146463,ZMYM4,61,-0.1079,66,0.10797
ENSG00000142687,KIAA0319L,56,-0.1390,62,0.13908
ENSG00000020129,NCDN,227,-1.3019,561,1.30196
ENSG00000126067,PSMB2,65,-0.7064,106,0.70642
ENSG00000142686,C1orf216,50,-1.1224,110,1.12249
ENSG00000092847,AGO1,33,-0.3271,42,0.32715
ENSG00000126070,AGO3,39,-0.2234,45,0.22347
ENSG00000116863,ADPRHL2,9,-1.0980,19,1.09808
ENSG00000054116,TRAPPC3,28,-0.6637,45,0.66372
ENSG00000116871,MAP7D1,184,-0.0030,185,0.00306
ENSG00000054118,THRAP3,129,-0.4754,179,0.47543
ENSG00000196182,STK40,22,0.72312,13,-0.7231
ENSG00000181817,LSM10,40,-0.0220,41,0.02200
ENSG00000116885,OSCP1,10,-1.3795,27,1.37954
ENSG00000116898,MRPS15,51,-0.3503,66,0.35037
ENSG00000163873,GRIK3,5,-2.2104,23,2.21047
ENSG00000163875,MEAF6,86,-0.4322,117,0.43224
ENSG00000134697,GNL2,21,-0.7695,35,0.76955
ENSG00000116922,C1orf109,9,-0.7962,15,0.79629
ENSG00000185090,MANEAL,11,-1.2762,28,1.27621
ENSG00000197982,C1orf122,231,0.90538,123,-0.9053
ENSG00000188786,MTF1,17,0.66507,11,-0.6650
ENSG00000183431,SF3A3,36,-0.6018,55,0.60186
