Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,28,-0.3629,9,-1.9910,24,-0.6333,36,-0.0213,68,1.02373,43,0.28483,51,0.68731,21,-0.8059,23,-0.6696,31,-0.2364
ENSG00000188976,NOC2L,57,-0.0154,51,-0.1882,84,0.60368,91,0.72380,96,0.81900,44,-0.4147,36,-0.7959,45,-0.3870,19,-1.6610,76,0.48083
ENSG00000188290,HES4,111,2.51909,7,-1.8958,10,-1.4233,13,-1.0137,25,-0.0352,32,0.32328,13,-1.1661,10,-1.4229,18,-0.5364,36,0.57431
ENSG00000187608,ISG15,31,0.73940,13,-0.6037,1,-4.0644,8,-1.2873,12,-0.7427,20,0.05690,9,-1.1932,18,-0.1181,21,0.16366,49,1.80220
ENSG00000188157,AGRN,9,-0.8277,17,0.03333,1,-3.2201,22,0.44818,6,-1.4927,27,0.82102,20,0.40075,18,0.16776,18,0.14346,16,0.01221
ENSG00000078808,SDF4,52,-0.3962,52,-0.3798,77,0.21001,81,0.30594,84,0.35586,53,-0.3743,54,-0.3809,53,-0.3508,74,0.15676,91,0.53573
ENSG00000176022,B3GALT6,7,-1.3432,11,-0.7376,28,0.63411,26,0.52260,25,0.46692,8,-1.2583,20,0.12562,24,0.38966,9,-1.0211,22,0.24983
ENSG00000160087,UBE2J2,48,0.22401,30,-0.4896,46,0.15308,37,-0.1757,34,-0.3170,41,-0.0239,28,-0.6712,55,0.44560,23,-0.8815,71,0.94730
ENSG00000131584,ACAP3,31,-1.6370,85,-0.1071,147,0.76556,189,1.18641,111,0.31197,50,-0.9025,77,-0.2961,99,0.12855,48,-0.9576,95,0.07966
ENSG00000127054,INTS11,86,1.00553,49,0.10717,44,-0.0734,44,-0.0728,52,0.20530,18,-1.4144,33,-0.5824,39,-0.2256,34,-0.4376,65,0.61781
ENSG00000224051,CPTP,43,0.91437,20,-0.3348,46,0.99557,23,-0.1100,35,0.58666,5,-2.4027,19,-0.4304,30,0.33622,7,-1.8855,26,0.08901
ENSG00000107404,DVL1,67,0.11917,49,-0.3618,85,0.49488,56,-0.1652,39,-0.7132,75,0.28604,43,-0.6349,95,0.67227,58,-0.1047,77,0.36909
ENSG00000175756,AURKAIP1,23,-2.2635,113,0.09049,76,-0.5232,47,-1.2360,83,-0.3896,115,0.11757,108,0.03286,119,0.18192,159,0.63675,162,0.74727
ENSG00000221978,CCNL2,99,0.74643,74,0.28104,78,0.36804,109,0.90873,60,-0.0565,39,-0.6959,48,-0.4482,55,-0.1904,36,-0.8104,55,-0.2052
ENSG00000242485,MRPL20,138,0.01388,128,-0.0959,101,-0.4643,106,-0.3833,106,-0.3900,181,0.44902,126,-0.1420,121,-0.1832,170,0.34519,172,0.39785
ENSG00000235098,ANKRD65,0,-5.9356,24,0.29708,22,0.11556,10,-0.9566,15,-0.4733,27,0.45655,26,0.49870,15,-0.3935,28,0.53542,20,0.03928
ENSG00000179403,VWA1,28,-0.2319,98,1.82041,117,2.15635,11,-1.6098,11,-1.6350,4,-3.0006,9,-2.0482,27,-0.2781,33,0.03219,35,0.08871
ENSG00000205090,TMEM240,38,0.02055,13,-1.6188,34,-0.1369,63,0.81682,70,1.00686,7,-2.3930,29,-0.4366,43,0.22359,17,-1.1958,57,0.73988
ENSG00000160075,SSU72,95,-0.7034,77,-1.0304,178,0.25888,94,-0.7214,182,0.29255,197,0.42123,139,-0.1538,148,-0.0300,134,-0.1875,221,0.66943
ENSG00000228594,FNDC10,0,-5.9497,1,-4.4258,7,-1.8972,12,-1.1932,65,1.43071,20,-0.4516,22,-0.3280,62,1.34597,36,0.45224,40,0.69030
ENSG00000272106,AL691432.2,0,-5.8538,26,0.48004,31,0.76011,11,-0.8172,11,-0.8286,15,-0.3839,21,0.24196,19,-0.0191,16,-0.2443,27,0.60950
ENSG00000197530,MIB2,26,-0.0799,23,-0.2871,31,0.14690,22,-0.3481,24,-0.1962,18,-0.6696,27,-0.0684,44,0.72264,25,-0.1353,34,0.32610
ENSG00000248333,CDK11B,209,1.46141,154,0.93814,33,-1.4441,78,-0.1395,79,-0.1209,82,-0.0696,96,0.21913,54,-0.6985,55,-0.6748,41,-1.1944
ENSG00000189339,SLC35E2B,17,-0.8446,18,-0.8040,19,-0.7127,37,0.28629,32,0.08911,28,-0.1363,31,0.00283,45,0.61490,35,0.22265,37,0.31677
ENSG00000008128,CDK11A,241,2.64383,169,1.92152,25,-1.1416,60,0.16882,36,-0.6084,36,-0.6303,25,-1.2723,14,-1.9529,17,-1.7164,12,-2.2687
ENSG00000215790,SLC35E2A,1,-3.3936,2,-2.9036,0,-6.7988,18,0.13262,14,-0.2420,13,-0.3776,22,0.51972,25,0.65395,21,0.36867,28,0.92593
ENSG00000008130,NADK,14,-0.8136,17,-0.5084,6,-2.0319,45,1.02082,29,0.29922,16,-0.6053,18,-0.5368,22,-0.1223,25,0.08376,42,0.99685
ENSG00000078369,GNB1,165,-1.2712,135,-1.5629,244,-0.6785,240,-0.7037,300,-0.3628,538,0.55323,448,0.31831,515,0.48126,557,0.60736,450,0.29247
ENSG00000187730,GABRD,46,-1.2596,14,-2.9968,59,-0.9040,121,0.19658,239,1.31238,60,-0.8792,143,0.56630,99,-0.1172,60,-0.8798,132,0.35961
ENSG00000067606,PRKCZ,29,-2.5533,111,-0.5549,203,0.38193,142,-0.1857,232,0.59303,203,0.37482,140,-0.2349,204,0.38967,99,-0.7283,215,0.52585
ENSG00000162585,FAAP20,27,-0.3164,50,0.62677,21,-0.7490,29,-0.2356,25,-0.4850,12,-1.5561,19,-0.9876,74,1.26660,42,0.34925,51,0.73076
