Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,19,-0.8413,43,0.39796,28,-0.2517,45,0.56159,19,-0.9508,38,0.29426
ENSG00000188976,NOC2L,38,-0.3453,23,-1.0675,54,0.23862,32,-0.6244,37,-0.3929,71,0.95533
ENSG00000188290,HES4,17,-0.6460,15,-0.8118,7,-1.8162,21,-0.3123,51,1.41396,23,-0.1676
ENSG00000187608,ISG15,26,-0.0122,13,-1.0471,15,-0.8200,29,0.17936,45,1.00223,21,-0.4707
ENSG00000188157,AGRN,17,-0.5784,14,-0.8701,36,0.60877,15,-0.7754,26,0.09970,32,0.57597
ENSG00000078808,SDF4,41,-0.3646,29,-0.8975,44,-0.2363,41,-0.3730,51,0.01127,71,0.72721
ENSG00000176022,B3GALT6,14,-0.6703,12,-0.8416,15,-0.5206,18,-0.3009,21,0.00410,31,0.84704
ENSG00000160087,UBE2J2,29,-0.2852,10,-1.8436,30,-0.2174,28,-0.3547,35,0.03938,50,0.82314
ENSG00000131584,ACAP3,33,-1.0746,18,-1.9583,127,1.08963,32,-1.2122,68,0.04177,95,0.80861
ENSG00000127054,INTS11,15,-1.3957,11,-1.8421,55,0.56773,35,-0.2029,40,0.04516,53,0.66462
ENSG00000224051,CPTP,20,0.16879,14,-0.4512,18,-0.0415,8,-1.4190,19,0.11571,26,0.74328
ENSG00000107404,DVL1,53,0.32674,26,-0.8046,36,-0.2827,26,-0.8611,74,1.05670,39,-0.2045
ENSG00000175756,AURKAIP1,100,-0.7005,150,-0.0685,88,-0.9011,129,-0.3432,240,0.81978,163,0.08989
ENSG00000221978,CCNL2,32,-0.8629,25,-1.2694,92,0.78828,27,-1.2161,44,-0.4399,92,1.13350
ENSG00000242485,MRPL20,113,-0.4471,171,0.21199,101,-0.6104,110,-0.5327,211,0.64846,157,0.09417
ENSG00000235098,ANKRD65,34,0.08095,33,0.04361,20,-0.7195,23,-0.5944,45,0.66174,32,0.02330
ENSG00000179403,VWA1,101,2.19801,17,-0.8608,9,-1.7522,4,-2.9835,22,-0.4816,39,0.57857
ENSG00000205090,TMEM240,15,-0.8887,24,-0.1193,41,0.71529,18,-0.6547,29,0.14201,30,0.28509
ENSG00000160075,SSU72,107,-0.4283,107,-0.4356,102,-0.5161,110,-0.4411,193,0.59211,163,0.30711
ENSG00000228594,FNDC10,11,-1.0246,13,-0.7501,26,0.35740,13,-0.8440,27,0.48230,27,0.51948
ENSG00000272106,AL691432.2,12,-0.6570,10,-0.9395,10,-0.9273,27,0.72480,17,-0.0583,20,0.25411
ENSG00000197530,MIB2,24,-0.3887,22,-0.5003,30,-0.0174,15,-1.1692,39,0.42021,41,0.63329
ENSG00000248333,CDK11B,60,0.54708,87,1.17255,58,0.47091,55,0.45115,22,-1.1425,24,-1.0637
ENSG00000189339,SLC35E2B,22,-0.2617,32,0.35095,24,-0.1329,14,-1.0688,24,-0.1576,36,0.69421
ENSG00000008128,CDK11A,32,0.88327,23,0.33817,36,1.11931,17,-0.1171,14,-0.4156,10,-1.0946
ENSG00000008130,NADK,24,0.04543,17,-0.4931,13,-0.8685,15,-0.6950,32,0.64115,27,0.34396
ENSG00000078369,GNB1,342,-0.5612,522,0.10726,358,-0.4872,466,-0.0846,635,0.49188,486,-0.0086
ENSG00000187730,GABRD,32,-2.3657,51,-1.6714,158,0.04890,184,0.33832,142,-0.1356,213,0.73634
ENSG00000067606,PRKCZ,123,-0.7897,158,-0.4018,189,-0.1161,170,-0.3147,253,0.40240,240,0.35037
ENSG00000162585,FAAP20,44,0.52647,32,0.03118,12,-1.4601,15,-1.2063,49,0.81801,34,0.11893
ENSG00000157933,SKI,50,0.75538,21,-0.5922,47,0.67486,25,-0.4117,35,0.20354,25,-0.4324
ENSG00000157916,RER1,33,-0.6395,25,-1.0461,38,-0.4209,41,-0.3539,44,-0.2155,78,1.01986
ENSG00000157911,PEX10,23,0.40136,10,-0.8007,8,-1.1952,11,-0.8009,31,1.09239,17,-0.0512
ENSG00000157870,PRXL2B,18,-1.3623,17,-1.4341,39,-0.1573,39,-0.1676,67,0.84760,48,0.24059
ENSG00000177133,PRDM16-DT,12,-0.1619,7,-0.9305,4,-1.7534,5,-1.7252,33,1.79124,13,-0.0799
ENSG00000158109,TPRG1L,113,-1.2182,218,-0.2058,199,-0.3561,266,0.12187,257,0.06268,303,0.42832
ENSG00000130764,LRRC47,43,-1.0590,64,-0.4674,86,-0.0128,85,-0.0201,66,-0.4582,122,0.78078
ENSG00000116198,CEP104,72,1.18831,25,-0.5532,42,0.28676,34,-0.0546,22,-0.7675,34,-0.0965
ENSG00000196581,AJAP1,31,-0.8960,76,0.54019,100,1.00647,71,0.48626,35,-0.7677,43,-0.4831
ENSG00000069424,KCNAB2,69,-1.4370,123,-0.5731,119,-0.6187,181,0.04359,220,0.40891,218,0.45164
ENSG00000116254,CHD5,186,-0.5464,306,0.24066,467,0.95172,332,0.42776,224,-0.2833,188,-0.6520
ENSG00000116251,RPL22,1019,0.86346,944,0.73195,389,-0.6922,443,-0.5423,857,0.65907,367,-0.9442
ENSG00000116237,ICMT,22,-0.8084,17,-1.2044,38,0.03220,36,-0.0508,37,-0.0245,50,0.64108
ENSG00000097021,ACOT7,97,-1.4091,143,-0.8190,150,-0.7466,248,0.04605,201,-0.3279,377,1.03307
ENSG00000215788,TNFRSF25,2,-3.3717,6,-2.2154,69,1.73923,11,-1.3955,16,-0.8033,41,1.12628
ENSG00000171680,PLEKHG5,9,-1.4059,4,-2.5758,30,0.41130,21,-0.1856,32,0.55192,29,0.41921
