Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,6,-2.3731,6,-2.4218,37,0.28257,24,-0.4181,35,0.15845,43,0.51857,35,0.18512,30,-0.0596,63,1.15187,32,0.05468
ENSG00000188976,NOC2L,6,-2.8383,26,-0.7853,29,-0.6027,22,-1.0211,48,0.15401,68,0.74602,90,1.21136,54,0.36596,60,0.51613,36,-0.3147
ENSG00000188290,HES4,14,-0.7503,4,-2.4179,46,1.11218,29,0.35086,42,0.97017,16,-0.6005,16,-0.5484,42,0.98839,15,-0.6841,15,-0.6931
ENSG00000187608,ISG15,6,-2.2022,20,-0.5364,19,-0.6151,42,0.65664,71,1.58921,51,0.98216,9,-1.7037,21,-0.4116,24,-0.2514,22,-0.4095
ENSG00000188157,AGRN,6,-1.7064,27,0.49317,40,1.13809,13,-0.6503,21,0.12890,12,-0.7338,25,0.39810,24,0.29105,22,0.18065,13,-0.6498
ENSG00000078808,SDF4,6,-2.8772,49,0.17420,63,0.57512,36,-0.3360,56,0.36885,44,-0.0180,91,1.19821,47,0.11155,31,-0.5557,31,-0.5721
ENSG00000176022,B3GALT6,86,1.93386,8,-1.8597,11,-1.4492,22,-0.3907,18,-0.6679,25,-0.1486,20,-0.4925,61,1.28483,15,-0.9587,21,-0.4807
ENSG00000160087,UBE2J2,271,3.06918,19,-1.5600,23,-1.2586,43,-0.3231,37,-0.5515,26,-1.0997,63,0.26048,51,-0.0771,16,-1.8103,19,-1.6293
ENSG00000131584,ACAP3,82,0.38396,42,-0.6614,97,0.67617,72,0.18495,41,-0.6833,31,-1.1235,138,1.27866,88,0.51430,66,0.03701,24,-1.5736
ENSG00000127054,INTS11,93,1.11683,43,-0.1341,43,-0.1371,21,-1.2357,42,-0.1847,51,0.12241,75,0.76189,60,0.38167,35,-0.4456,27,-0.8988
ENSG00000224051,CPTP,6,-1.2306,11,-0.3198,10,-0.5514,13,-0.1904,10,-0.4682,18,0.39860,27,1.04071,22,0.68754,14,0.00745,12,-0.2662
ENSG00000107404,DVL1,6,-2.7066,26,-0.6249,47,0.27496,87,1.32637,38,-0.0390,18,-1.1633,79,1.15344,52,0.43316,28,-0.5262,25,-0.7279
ENSG00000175756,AURKAIP1,95,-0.6233,79,-0.8968,87,-0.7651,136,-0.0719,255,0.96329,194,0.50125,170,0.28840,233,0.80636,84,-0.8153,115,-0.3665
ENSG00000221978,CCNL2,6,-3.1015,60,0.23949,104,1.16191,27,-1.0001,32,-0.7529,50,-0.0433,85,0.81675,73,0.54653,60,0.24976,35,-0.6441
ENSG00000242485,MRPL20,39,-1.7267,89,-0.4926,60,-1.0816,116,-0.0745,272,1.34545,152,0.34999,178,0.61464,104,-0.2527,84,-0.5778,123,0.01916
ENSG00000235098,ANKRD65,6,-2.0504,50,1.13028,10,-1.3533,19,-0.3894,42,0.85678,12,-1.0675,33,0.43818,38,0.69050,23,-0.1528,20,-0.3488
ENSG00000179403,VWA1,6,-2.2545,181,3.69209,22,-0.3898,24,-0.2983,17,-0.7805,14,-1.0676,21,-0.4469,3,-3.0741,9,-1.7386,9,-1.8036
ENSG00000205090,TMEM240,6,-1.8894,3,-2.7323,4,-2.4780,18,-0.3108,27,0.27488,37,0.81657,32,0.56375,56,1.55114,14,-0.7192,24,0.13640
ENSG00000160075,SSU72,307,1.27244,62,-1.2763,73,-1.0408,123,-0.2414,186,0.41601,191,0.46090,171,0.28446,145,0.02136,100,-0.5542,109,-0.4698
ENSG00000228594,FNDC10,20,-0.1205,4,-2.2802,5,-2.0170,36,0.81062,29,0.45514,52,1.47312,18,-0.2777,37,0.84913,20,-0.0916,8,-1.5671
ENSG00000272106,AL691432.2,6,-1.4163,20,0.32334,14,-0.2273,10,-0.7685,17,0.07082,8,-0.9908,45,1.71287,16,-0.0120,8,-1.0101,17,0.08895
ENSG00000197530,MIB2,6,-1.9944,13,-0.9511,32,0.47479,26,0.09491,33,0.52009,11,-1.2034,46,1.04840,36,0.63698,22,-0.1537,20,-0.3060
ENSG00000248333,CDK11B,6,-3.0854,64,0.34981,59,0.22656,64,0.35162,26,-1.0415,62,0.31382,33,-0.6593,19,-1.4545,79,0.70853,75,0.70051
ENSG00000189339,SLC35E2B,6,-1.3170,10,-0.6756,18,0.25561,29,1.06788,10,-0.6568,13,-0.1683,31,1.18520,12,-0.3143,22,0.57069,7,-1.1302
ENSG00000008128,CDK11A,6,-1.4599,28,0.85391,37,1.32626,10,-0.8023,14,-0.2919,2,-2.9202,4,-2.0974,6,-1.4342,43,1.58701,16,-0.0269
ENSG00000008130,NADK,218,3.20955,20,-1.0723,12,-1.8491,29,-0.5298,34,-0.3011,15,-1.5076,38,-0.1123,33,-0.3318,21,-0.9889,15,-1.6297
ENSG00000078369,GNB1,302,-0.6695,227,-1.1047,376,-0.3337,648,0.53524,652,0.54503,496,0.10400,428,-0.1304,660,0.56719,341,-0.4848,492,0.10140
ENSG00000187730,GABRD,6,-4.2211,1,-6.3744,52,-1.1882,63,-0.8818,141,0.36303,279,1.54717,107,-0.0770,152,0.49188,157,0.54903,137,0.36342
ENSG00000067606,PRKCZ,7,-4.6122,86,-0.9702,88,-0.9410,233,0.59111,186,0.22077,191,0.26064,198,0.32273,347,1.27103,205,0.37715,120,-0.5091
ENSG00000162585,FAAP20,6,-2.1014,40,0.71143,15,-0.8458,53,1.19432,58,1.34504,32,0.31907,26,0.02902,15,-0.7999,15,-0.8533,12,-1.2628
ENSG00000157933,SKI,6,-2.0482,35,0.54631,55,1.30002,47,1.02251,12,-1.1287,11,-1.2226,12,-1.1116,32,0.40828,21,-0.2908,22,-0.2142
ENSG00000157916,RER1,6,-2.7718,69,0.83837,41,-0.0103,26,-0.7223,43,0.06927,84,1.17920,59,0.58688,30,-0.4829,26,-0.6836,34,-0.3228
ENSG00000157911,PEX10,6,-1.5697,27,0.65455,23,0.38015,15,-0.2409,41,1.34625,15,-0.2223,27,0.64690,14,-0.3573,8,-1.1709,10,-0.9024
ENSG00000157870,PRXL2B,6,-2.5190,6,-2.4572,31,-0.1670,37,0.11906,39,0.17808,51,0.61977,53,0.68898,42,0.32091,29,-0.2446,42,0.36637
ENSG00000158109,TPRG1L,90,-0.9383,34,-2.3509,73,-1.2418,179,0.12958,179,0.13452,269,0.79936,231,0.54715,287,0.91295,154,-0.1064,157,-0.0780
ENSG00000130764,LRRC47,6,-3.4523,52,-0.3533,54,-0.3182,46,-0.5684,67,0.03517,95,0.58389,89,0.47699,95,0.58631,66,0.00738,77,0.28939
ENSG00000116198,CEP104,6,-2.5096,91,1.64683,67,1.10617,27,-0.3597,26,-0.4447,16,-1.1381,27,-0.3572,5,-2.8948,42,0.33365,35,0.03388
ENSG00000196581,AJAP1,93,0.99211,15,-1.8428,44,-0.2199,23,-1.1752,15,-1.7772,24,-1.1068,64,0.36622,60,0.26219,44,-0.2029,87,1.02620
ENSG00000069424,KCNAB2,6,-4.3599,6,-4.3608,106,-0.2410,165,0.47196,118,-0.0743,228,1.01005,218,0.93072,161,0.42984,113,-0.1404,118,-0.0759
ENSG00000116254,CHD5,500,1.00801,12,-4.5492,227,-0.2797,344,0.38361,124,-1.1975,213,-0.3817,200,-0.4750,302,0.16994,487,0.96437,287,0.09883
ENSG00000116251,RPL22,488,-0.0437,862,0.88709,264,-0.9927,812,0.78595,847,0.85700,327,-0.6654,375,-0.4569,354,-0.5456,249,-1.0791,471,-0.1105
ENSG00000116237,ICMT,6,-2.4357,16,-1.0521,18,-0.8730,38,0.24220,36,0.17933,51,0.72357,46,0.54745,60,0.98460,25,-0.3828,31,-0.1082
ENSG00000097021,ACOT7,484,1.41525,37,-2.5927,61,-1.8752,45,-2.2939,129,-0.7441,450,1.28484,364,0.91272,204,-0.0341,142,-0.6007,190,-0.1683
ENSG00000215788,TNFRSF25,6,-1.2406,0,-8.6146,22,0.68475,4,-1.8849,12,-0.2922,11,-0.4572,44,1.90767,16,0.17502,28,1.06571,8,-0.9441
ENSG00000171680,PLEKHG5,6,-1.4858,0,-8.8506,18,0.12833,16,-0.0692,23,0.48222,20,0.22336,21,0.32273,21,0.35590,22,0.42129,20,0.25783
ENSG00000162408,NOL9,6,-2.1059,23,-0.2096,41,0.72013,19,-0.4892,31,0.28963,28,0.12642,34,0.45160,23,-0.1872,31,0.27875,25,-0.0851
ENSG00000162413,KLHL21,6,-2.1135,26,0.00963,35,0.46771,24,-0.1562,30,0.20688,20,-0.3791,33,0.36810,39,0.65179,13,-1.0115,30,0.25751
ENSG00000116273,PHF13,6,-1.4426,14,-0.2587,19,0.19964,12,-0.4527,17,0.06021,10,-0.6926,20,0.30785,28,0.82539,20,0.32692,17,0.09173
ENSG00000041988,THAP3,6,-1.3116,17,0.22716,0,-5.1567,13,-0.2289,7,-1.1506,30,1.13839,22,0.64122,23,0.66204,12,-0.3355,17,0.22860
ENSG00000007923,DNAJC11,6,-2.3768,24,-0.4112,14,-1.1706,37,0.28136,35,0.15609,35,0.19449,31,0.00524,78,1.54362,33,0.08899,25,-0.3984
ENSG00000171735,CAMTA1,705,0.64437,140,-1.8518,458,-0.0534,414,-0.2115,363,-0.4176,338,-0.5263,309,-0.6681,493,0.06377,856,0.97235,569,0.32747
ENSG00000049245,VAMP3,6,-2.3011,166,3.33763,21,-0.5518,21,-0.5127,50,0.86011,10,-1.5456,24,-0.3573,10,-1.5888,6,-2.2486,5,-2.5692
ENSG00000049246,PER3,134,1.63820,60,0.24470,129,1.56353,46,-0.1657,34,-0.6373,9,-2.5427,36,-0.5442,16,-1.7832,22,-1.2800,38,-0.4797
ENSG00000116288,PARK7,106,-1.3538,165,-0.6807,169,-0.6466,240,-0.1000,512,1.15299,334,0.42888,412,0.77700,227,-0.1888,106,-1.3450,271,0.10469
ENSG00000116285,ERRFI1,6,-1.8870,17,-0.4583,34,0.69265,12,-0.9925,35,0.74397,18,-0.3437,24,0.13597,31,0.53260,22,-0.0518,23,0.06844
ENSG00000162426,SLC45A1,187,2.80067,7,-2.5683,19,-1.1926,14,-1.6569,21,-1.0055,58,0.55768,40,-0.0383,41,0.00567,21,-1.0378,22,-1.0330
ENSG00000142599,RERE,128,0.10336,127,0.08534,123,0.02808,159,0.44253,90,-0.4481,70,-0.8319,81,-0.6198,139,0.23525,145,0.29909,131,0.14684
ENSG00000074800,ENO1,141,-1.5233,285,-0.4557,389,0.03027,339,-0.1863,645,0.85827,556,0.60956,805,1.24425,217,-0.8770,196,-1.0258,313,-0.3421
ENSG00000171612,SLC25A33,6,-2.0720,10,-1.3779,41,0.78048,54,1.26153,76,1.88117,20,-0.3994,8,-1.6801,15,-0.7869,10,-1.4193,19,-0.4612
ENSG00000171603,CLSTN1,995,0.50406,122,-2.6926,362,-1.0770,391,-0.9613,393,-0.9539,1081,0.64197,1199,0.81609,976,0.47223,669,-0.1324,910,0.40422
ENSG00000178585,CTNNBIP1,6,-1.8959,25,0.15382,4,-2.5031,29,0.40746,47,1.22787,35,0.69174,8,-1.4866,63,1.74078,8,-1.5252,11,-1.1343
ENSG00000162441,LZIC,99,0.76760,138,1.33742,33,-0.9501,72,0.23275,46,-0.4777,37,-0.8033,30,-1.0955,42,-0.5927,43,-0.5820,71,0.23870
ENSG00000130939,UBE4B,6,-2.7382,46,0.22983,49,0.31310,28,-0.5789,41,0.04102,42,0.07952,60,0.64483,55,0.49753,49,0.32783,33,-0.3585
ENSG00000054523,KIF1B,862,0.81697,804,0.69905,554,0.09158,554,0.09104,281,-0.9582,357,-0.5961,280,-0.9647,450,-0.2368,608,0.23966,502,-0.0727
ENSG00000142657,PGD,113,1.10707,55,-0.0817,45,-0.3912,26,-1.1994,45,-0.3779,115,1.13278,49,-0.2544,59,0.03692,39,-0.6004,45,-0.4453
