Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,29,0.04949,8,-1.9365,33,0.26039,26,-0.1351,7,-2.1431,18,-0.6945,54,1.29197,18,-0.6860,36,0.37869
ENSG00000188976,NOC2L,4,-2.9411,7,-2.0777,70,1.44280,48,0.79056,36,0.28727,28,-0.0992,28,-0.0781,18,-0.7438,30,-0.0028
ENSG00000188290,HES4,259,2.47847,31,-1.1897,31,-1.2136,38,-0.8849,90,0.47561,38,-0.8749,39,-0.9179,53,-0.3791,55,-0.3120
ENSG00000187608,ISG15,46,0.60642,40,0.36185,9,-1.8281,12,-1.4250,37,0.27604,14,-1.2453,56,1.11887,23,-0.5002,23,-0.5134
ENSG00000078808,SDF4,12,-1.8309,37,-0.1819,64,0.71015,23,-0.8902,53,0.37377,52,0.35917,67,0.90583,26,-0.7093,15,-1.5352
ENSG00000160087,UBE2J2,4,-2.6938,1,-4.3225,34,0.50001,32,0.38327,28,0.17457,42,0.82728,31,0.36691,21,-0.2555,28,0.15601
ENSG00000131584,ACAP3,4,-3.7389,12,-2.1903,63,0.31226,134,1.64122,41,-0.3450,84,0.80375,35,-0.6543,53,0.04837,55,0.09894
ENSG00000127054,INTS11,163,2.55303,16,-1.4005,43,0.09068,26,-0.7171,24,-0.8100,41,0.01854,24,-0.8986,27,-0.6417,20,-1.0684
ENSG00000107404,DVL1,4,-3.5602,25,-0.9397,30,-0.6703,26,-0.8777,33,-0.4887,105,1.40798,56,0.36422,75,0.81940,48,0.08098
ENSG00000175756,AURKAIP1,37,-1.8213,61,-1.0661,167,0.52057,77,-0.7028,102,-0.2697,279,1.42317,133,0.16525,131,0.11882,94,-0.4098
ENSG00000221978,CCNL2,18,-0.9944,17,-1.0342,62,1.01336,51,0.67768,57,0.86768,34,0.01135,25,-0.5193,33,-0.0495,16,-1.1765
ENSG00000242485,MRPL20,204,0.79952,64,-1.0382,130,0.05246,60,-1.1374,137,0.13174,166,0.44900,129,0.04988,135,0.11422,103,-0.3138
ENSG00000235098,ANKRD65,4,-2.7619,14,-0.9863,10,-1.4989,16,-0.7825,68,1.62619,54,1.20676,22,-0.3345,40,0.70068,14,-0.9510
ENSG00000179403,VWA1,4,-3.3248,37,-0.0647,9,-2.0966,11,-1.9103,137,2.28101,35,-0.1479,58,0.76045,32,-0.3186,7,-2.6113
ENSG00000160075,SSU72,171,0.40133,64,-1.1236,189,0.57375,70,-0.9866,127,-0.0694,214,0.78085,125,-0.1147,130,-0.0356,116,-0.2200
ENSG00000228594,FNDC10,4,-2.0920,0,-7.5939,13,-0.3399,19,0.20767,11,-0.6353,32,1.09328,21,0.44412,30,0.97812,14,-0.2064
ENSG00000197530,MIB2,4,-2.5420,13,-0.8488,30,0.45649,31,0.50763,23,0.05818,50,1.34783,18,-0.4008,22,-0.0144,16,-0.5182
ENSG00000248333,CDK11B,9,-2.3934,96,1.34001,41,-0.1155,67,0.69724,5,-3.0150,21,-1.1509,45,0.05548,24,-0.9262,84,1.09118
ENSG00000189339,SLC35E2B,4,-2.4352,18,-0.2694,16,-0.4165,29,0.54593,4,-2.3481,26,0.33112,33,0.83584,15,-0.4620,32,0.68845
ENSG00000008128,CDK11A,4,-2.6518,63,1.64688,19,-0.4172,54,1.35973,7,-1.7828,13,-0.9124,11,-1.3108,17,-0.5790,44,0.96271
ENSG00000008130,NADK,47,1.11907,10,-1.3656,31,0.40100,11,-1.1642,30,0.35501,14,-0.8164,29,0.37492,14,-0.8079,24,0.01262
ENSG00000078369,GNB1,223,-1.0995,162,-1.5806,469,0.05569,351,-0.4049,344,-0.4342,729,0.78809,611,0.56428,588,0.42361,441,-0.0424
ENSG00000187730,GABRD,4,-4.5332,0,-6.9861,176,1.12678,166,1.02286,11,-3.1544,121,0.48586,148,0.97922,66,-0.4828,57,-0.6972
ENSG00000067606,PRKCZ,89,-0.7440,57,-1.4146,230,0.78140,170,0.28281,62,-1.2871,232,0.79956,170,0.32234,143,0.00377,106,-0.4679
ENSG00000162585,FAAP20,38,0.21449,30,-0.1512,20,-0.7739,7,-2.2865,56,0.85372,32,-0.0744,43,0.44632,40,0.27638,25,-0.4298
