Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,51,0.45791,40,0.04075,41,0.05290,25,-0.7424
ENSG00000188976,NOC2L,49,-0.0525,62,0.57170,46,-0.1727,29,-0.9127
ENSG00000188290,HES4,18,-1.0728,29,-0.3570,48,0.64952,47,0.59877
ENSG00000187608,ISG15,7,-2.4795,34,0.03383,49,0.67469,45,0.50279
ENSG00000188157,AGRN,16,-0.6811,28,0.47214,24,0.04773,20,-0.2733
ENSG00000078808,SDF4,34,-0.9362,55,-0.1927,58,-0.0352,97,0.92046
ENSG00000176022,B3GALT6,22,-0.2473,31,0.50608,26,0.05395,16,-0.8049
ENSG00000160087,UBE2J2,34,-0.1855,39,0.06734,44,0.24017,34,-0.1958
ENSG00000131584,ACAP3,79,0.05227,81,0.13399,72,-0.0987,69,-0.1881
ENSG00000127054,INTS11,36,-0.3781,48,0.15993,34,-0.4939,59,0.47151
ENSG00000224051,CPTP,19,-0.1872,23,0.24906,20,-0.1038,20,-0.1406
ENSG00000107404,DVL1,36,-0.6342,37,-0.8359,78,0.72188,84,0.86607
ENSG00000175756,AURKAIP1,93,-0.9339,187,0.38616,192,0.29468,143,-0.2193
ENSG00000221978,CCNL2,65,0.17569,62,0.12897,41,-0.6208,64,0.13641
ENSG00000242485,MRPL20,98,-0.7370,162,0.18249,175,0.26443,154,0.03659
ENSG00000235098,ANKRD65,11,-1.6102,31,0.04180,45,0.72884,34,0.18118
ENSG00000179403,VWA1,8,-1.3848,9,-1.6240,17,-0.1981,59,2.43898
ENSG00000205090,TMEM240,33,0.04866,36,0.34292,29,-0.1731,24,-0.5144
ENSG00000160075,SSU72,112,-0.5542,157,0.03205,197,0.43651,151,-0.0443
ENSG00000228594,FNDC10,22,-0.5296,35,0.37483,40,0.45593,19,-0.7936
ENSG00000197530,MIB2,26,-0.5186,44,0.65152,37,0.06572,21,-0.8448
ENSG00000248333,CDK11B,78,1.11769,33,-0.6441,31,-0.5515,47,0.12643
ENSG00000008128,CDK11A,46,1.25140,13,-1.3304,17,-0.5269,36,0.74589
ENSG00000215790,SLC35E2A,27,-0.6803,44,0.23099,45,0.19300,40,-0.0060
ENSG00000008130,NADK,25,-0.1548,30,0.21560,19,-0.6189,33,0.30512
ENSG00000078369,GNB1,312,-0.8130,489,-0.0874,711,0.62617,537,0.10374
ENSG00000187730,GABRD,183,-0.3439,293,0.81655,159,-0.5802,156,-0.6133
ENSG00000067606,PRKCZ,181,-0.4253,248,0.18060,307,0.51124,168,-0.5503
ENSG00000162585,FAAP20,18,-0.9368,33,-0.0076,54,0.92193,26,-0.3728
ENSG00000157933,SKI,47,0.13862,30,-0.8564,40,-0.1531,77,1.09376
ENSG00000157916,RER1,44,-0.5049,65,0.24932,34,-0.9325,86,0.68107
ENSG00000157911,PEX10,8,-1.4323,17,-0.3780,30,0.74995,29,0.66964
ENSG00000157870,PRXL2B,26,-0.8471,52,0.51921,46,0.10768,36,-0.3034
ENSG00000158109,TPRG1L,175,-0.4682,266,0.40419,242,0.09258,184,-0.3829
ENSG00000130764,LRRC47,71,-0.3323,106,0.57928,73,-0.2937,67,-0.4260
ENSG00000116198,CEP104,44,0.42785,27,-0.5611,26,-0.4675,52,0.73834
ENSG00000196581,AJAP1,71,0.31524,68,0.37197,28,-1.2507,59,-0.0263
ENSG00000069424,KCNAB2,156,-0.6436,262,0.38680,259,0.22897,185,-0.3621
ENSG00000116254,CHD5,530,1.12906,239,-0.5126,285,-0.0581,207,-0.5944
ENSG00000116251,RPL22,290,-0.9672,400,-0.6168,942,1.15751,609,0.29664
ENSG00000116237,ICMT,37,-0.4920,64,0.81287,34,-0.5946,38,-0.4353
ENSG00000097021,ACOT7,235,-0.2942,401,1.19133,189,-0.6541,103,-1.6226
ENSG00000215788,TNFRSF25,34,0.15802,28,-0.2786,25,-0.3498,42,0.55099
ENSG00000171680,PLEKHG5,19,-0.3984,26,0.21633,31,0.50974,16,-0.6576
ENSG00000162408,NOL9,35,0.12654,28,-0.3462,45,0.57466,29,-0.2207
ENSG00000162413,KLHL21,22,-0.9358,46,0.49796,41,0.07975,35,-0.1681
ENSG00000116273,PHF13,16,-0.4960,19,-0.2526,22,0.05547,31,0.69589
ENSG00000041988,THAP3,12,-0.7258,23,0.49773,18,-0.1373,18,-0.0882
ENSG00000007923,DNAJC11,52,0.61409,33,-0.2732,42,0.19567,28,-0.5074
ENSG00000171735,CAMTA1,651,0.73428,409,-0.1792,372,-0.2847,366,-0.3116
ENSG00000049245,VAMP3,12,-0.8230,13,-0.9018,21,0.15693,41,1.47225
ENSG00000049246,PER3,32,0.02599,19,-1.1507,31,-0.0267,63,1.36174
ENSG00000116288,PARK7,130,-1.3741,352,0.45132,356,0.30716,286,-0.0891
ENSG00000116285,ERRFI1,39,0.31237,38,0.40198,26,-0.4289,21,-0.7321
ENSG00000162426,SLC45A1,17,-0.7773,35,0.79407,21,-0.4076,22,-0.3241
ENSG00000142599,RERE,171,0.31142,112,-0.6118,157,0.14859,185,0.45363
ENSG00000074800,ENO1,244,-1.0483,476,0.10064,400,-0.2375,687,0.75316
ENSG00000171612,SLC25A33,12,-1.3285,23,-0.4603,36,0.47961,47,0.98132
ENSG00000171603,CLSTN1,734,-0.2266,1055,0.69119,540,-0.7395,686,-0.3407
ENSG00000178585,CTNNBIP1,17,-0.9994,31,0.01239,41,0.50342,35,0.20335
ENSG00000162441,LZIC,54,0.07209,40,-0.6320,48,-0.1330,84,0.89522
ENSG00000130939,UBE4B,46,-0.0298,55,0.42176,43,-0.1433,33,-0.6208
ENSG00000054523,KIF1B,751,0.89738,355,-0.6564,469,0.00866,458,-0.0305
ENSG00000142657,PGD,41,-0.8919,94,0.93990,45,-0.7503,62,-0.2098
ENSG00000241563,CORT,13,-2.1921,23,-1.7546,21,-1.4668,200,3.26516
ENSG00000160049,DFFA,52,-0.0540,40,-0.7086,58,0.12757,86,0.88267
ENSG00000142655,PEX14,14,-0.7277,23,0.15638,24,0.16197,24,0.17928
ENSG00000120948,TARDBP,79,-0.2262,106,0.47957,70,-0.4199,79,-0.2173
ENSG00000116649,SRM,28,-0.9446,55,0.34097,46,-0.0967,57,0.26662
ENSG00000171824,EXOSC10,44,0.54050,25,-0.6014,31,-0.1179,42,0.43675
ENSG00000198793,MTOR,38,-0.4501,57,0.41007,38,-0.4468,52,0.11945
ENSG00000116661,FBXO2,42,-2.0887,165,0.19926,174,0.21679,217,0.63191
ENSG00000132879,FBXO44,78,-0.4388,111,0.24770,93,-0.1487,108,0.12283
ENSG00000177000,MTHFR,30,0.53013,18,-0.4910,26,0.27412,21,-0.0869
ENSG00000011021,CLCN6,59,-0.4644,92,0.49539,80,0.04898,57,-0.5199
ENSG00000116685,KIAA2013,30,-0.0677,35,0.32322,19,-0.8017,35,0.18404
