Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to11,Feature log2 fold change topic 8to11
ENSG00000228794,LINC01128,11,-1.7078,19,-0.6574,15,-1.0288,48,0.92066,40,0.77608
ENSG00000188976,NOC2L,32,-0.5628,18,-1.3408,27,-0.7093,41,-0.0910,64,0.97661
ENSG00000188290,HES4,12,-1.4713,32,0.22265,17,-0.7676,29,0.03504,42,1.01216
ENSG00000187608,ISG15,21,-0.6762,39,0.42163,0,-6.6097,27,-0.1691,43,0.95617
ENSG00000188157,AGRN,25,0.34210,18,-0.2483,2,-2.9843,23,0.14235,23,0.16637
ENSG00000078808,SDF4,61,-0.0460,54,-0.2183,122,1.11379,40,-0.7420,62,-0.0276
ENSG00000176022,B3GALT6,15,-0.6187,26,0.34009,7,-1.6001,16,-0.4171,30,0.90404
ENSG00000160087,UBE2J2,29,-0.8942,19,-1.3827,171,2.30462,32,-0.6450,44,-0.1490
ENSG00000131584,ACAP3,69,-0.1698,69,-0.1267,78,0.06260,68,-0.1643,84,0.25864
ENSG00000127054,INTS11,48,0.36343,32,-0.3632,17,-1.2809,32,-0.3837,46,0.32614
ENSG00000224051,CPTP,14,-0.5463,18,-0.0784,24,0.33398,17,-0.1793,23,0.41942
ENSG00000107404,DVL1,43,0.01325,64,0.66183,1,-4.8447,37,-0.2554,50,0.39152
ENSG00000175756,AURKAIP1,106,-0.5413,161,0.20958,111,-0.3706,96,-0.6547,193,0.78421
ENSG00000221978,CCNL2,61,0.22320,29,-0.9681,8,-2.7762,59,0.14732,65,0.43017
ENSG00000242485,MRPL20,133,-0.0577,195,0.57475,104,-0.4327,93,-0.6434,155,0.29412
ENSG00000235098,ANKRD65,49,1.06630,37,0.32634,11,-1.5159,5,-2.7300,32,0.11656
ENSG00000179403,VWA1,176,2.68934,25,-1.5315,108,0.75287,10,-2.9649,16,-2.5809
ENSG00000205090,TMEM240,6,-2.1666,19,-0.1976,47,1.24778,16,-0.5028,31,0.89534
ENSG00000160075,SSU72,65,-1.2163,124,-0.0483,264,1.20122,86,-0.6815,164,0.60053
ENSG00000228594,FNDC10,8,-1.8479,31,0.36147,10,-1.3934,28,0.20369,38,1.10486
ENSG00000197530,MIB2,24,-0.5542,48,0.60572,74,1.34557,26,-0.4019,29,-0.2941
ENSG00000248333,CDK11B,53,0.14383,61,0.33548,48,-0.0614,67,0.55221,36,-0.6882
ENSG00000008128,CDK11A,26,0.17948,9,-1.4230,30,0.39812,37,0.84080,17,-0.6656
ENSG00000215790,SLC35E2A,20,-0.5303,48,0.91169,1,-4.5056,17,-0.7996,39,0.91092
ENSG00000008130,NADK,19,-0.4933,19,-0.4168,22,-0.2420,30,0.26616,30,0.40726
ENSG00000078369,GNB1,263,-0.7651,684,0.88886,216,-0.9448,328,-0.3348,507,0.59819
ENSG00000187730,GABRD,11,-4.1132,80,-0.9795,52,-1.6045,158,0.08566,293,2.08423
ENSG00000067606,PRKCZ,101,-1.2415,233,0.22385,268,0.45283,179,-0.2097,265,0.67434
ENSG00000162585,FAAP20,32,0.02268,51,0.77837,13,-1.3691,23,-0.5341,35,0.26688
ENSG00000157933,SKI,45,0.65033,40,0.29031,0,-6.7733,35,0.08905,30,-0.2245
ENSG00000157916,RER1,64,0.10177,49,-0.3364,155,1.57934,26,-1.3559,55,-0.2162
ENSG00000157911,PEX10,30,0.70628,23,0.06176,31,0.57499,2,-3.2471,22,0.06036
ENSG00000149527,PLCH2,27,1.16408,7,-1.2466,0,-5.7429,8,-1.0399,18,0.24364
ENSG00000157870,PRXL2B,10,-2.1338,29,-0.2843,59,0.82965,19,-0.9888,58,1.35511
ENSG00000158109,TPRG1L,72,-1.6779,198,0.08800,217,0.23105,193,0.05185,261,0.84632
ENSG00000130764,LRRC47,61,-0.5768,58,-0.5633,110,0.44171,63,-0.4786,110,0.68375
ENSG00000116198,CEP104,91,1.38143,43,-0.2267,78,0.71609,42,-0.2948,18,-1.9018
ENSG00000196581,AJAP1,26,-1.2167,22,-1.2814,155,1.92940,62,0.34786,45,-0.2453
ENSG00000069424,KCNAB2,31,-2.5596,190,0.47855,132,-0.1020,117,-0.3278,226,1.28640
ENSG00000116254,CHD5,39,-2.9688,211,-0.1745,383,0.78792,451,1.25865,246,0.09205
ENSG00000116251,RPL22,664,0.45863,1013,1.06489,435,-0.3151,350,-0.7101,428,-0.4640
ENSG00000116237,ICMT,21,-0.8245,38,0.21879,3,-3.4203,26,-0.4296,52,1.21477
ENSG00000097021,ACOT7,63,-1.9705,107,-0.9407,265,0.47894,174,-0.2125,314,1.27247
