Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,11,-1.7568,30,-0.0946,43,0.45820,63,1.11216,30,-0.1179,35,0.15827
ENSG00000188976,NOC2L,20,-1.6392,33,-0.7834,34,-0.7335,96,0.92464,57,0.07116,77,0.75815
ENSG00000188290,HES4,9,-2.3234,104,1.57983,12,-1.9150,63,0.68468,52,0.42378,38,-0.1993
ENSG00000187608,ISG15,23,-0.6446,54,0.79402,2,-4.1467,11,-1.6286,66,1.40042,29,-0.2708
ENSG00000188157,AGRN,21,-0.1971,30,0.37021,13,-0.8566,42,0.93928,22,-0.1129,22,-0.1821
ENSG00000078808,SDF4,62,0.13095,55,-0.0746,30,-1.0047,67,0.24012,49,-0.2778,68,0.33064
ENSG00000176022,B3GALT6,10,-1.2124,27,0.38509,14,-0.6911,27,0.35175,25,0.29763,25,0.34376
ENSG00000160087,UBE2J2,15,-1.2973,29,-0.2253,8,-2.1804,65,1.10520,41,0.40081,40,0.36647
ENSG00000131584,ACAP3,65,-0.3450,141,0.96218,55,-0.5636,168,1.27331,61,-0.4691,59,-0.5784
ENSG00000127054,INTS11,29,-0.6529,41,-0.0429,30,-0.5296,89,1.24355,48,0.22633,37,-0.2909
ENSG00000107404,DVL1,28,-1.1160,142,1.63866,37,-0.6048,43,-0.3698,69,0.41015,44,-0.4175
ENSG00000175756,AURKAIP1,116,-0.8353,184,-0.0436,122,-0.6911,147,-0.4013,257,0.57737,231,0.43053
ENSG00000221978,CCNL2,50,-0.1292,47,-0.2272,48,-0.1834,98,1.00103,33,-0.8382,60,0.22368
ENSG00000242485,MRPL20,87,-1.0294,157,-0.0371,93,-0.8502,111,-0.5775,246,0.82220,192,0.38792
ENSG00000235098,ANKRD65,31,-0.1637,59,0.92905,12,-1.5704,28,-0.3134,39,0.28563,33,-0.0607
