Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000237491,LINC01409,11,-0.0701,12,0.07015
ENSG00000228794,LINC01128,36,0.90033,19,-0.9003
ENSG00000188976,NOC2L,54,0.53910,37,-0.5391
ENSG00000188290,HES4,27,1.11339,12,-1.1133
ENSG00000187608,ISG15,32,0.20723,28,-0.2072
ENSG00000188157,AGRN,27,-0.2296,32,0.22966
ENSG00000078808,SDF4,57,-0.3269,72,0.32693
ENSG00000176022,B3GALT6,23,0.17412,20,-0.1741
ENSG00000160087,UBE2J2,39,0.58434,26,-0.5843
ENSG00000131584,ACAP3,72,-0.3202,90,0.32026
ENSG00000127054,INTS11,33,-0.1019,36,0.10193
ENSG00000224051,CPTP,15,0.10648,14,-0.1064
ENSG00000107404,DVL1,40,-0.6114,62,0.61144
ENSG00000175756,AURKAIP1,166,0.58456,111,-0.5845
ENSG00000221978,CCNL2,53,-0.5988,80,0.59889
ENSG00000242485,MRPL20,140,0.45707,102,-0.4570
ENSG00000235098,ANKRD65,31,0.27252,26,-0.2725
ENSG00000179403,VWA1,20,-2.2391,94,2.23917
ENSG00000197785,ATAD3A,14,-0.0410,14,0.04105
ENSG00000205090,TMEM240,30,1.72328,9,-1.7232
ENSG00000160075,SSU72,141,0.77120,82,-0.7712
ENSG00000228594,FNDC10,31,0.88642,17,-0.8864
ENSG00000272106,AL691432.2,18,0.13827,17,-0.1382
ENSG00000197530,MIB2,38,0.80786,21,-0.8078
ENSG00000248333,CDK11B,48,-0.8149,85,0.81495
ENSG00000189339,SLC35E2B,24,1.22247,10,-1.2224
ENSG00000008128,CDK11A,14,-1.4962,40,1.49627
ENSG00000008130,NADK,26,0.60975,17,-0.6097
ENSG00000078369,GNB1,479,0.64144,307,-0.6414
ENSG00000187730,GABRD,191,2.08451,45,-2.0845
ENSG00000067606,PRKCZ,261,0.85800,144,-0.8580
ENSG00000162585,FAAP20,38,-0.0527,39,0.05271
ENSG00000157933,SKI,26,-0.5953,39,0.59537
ENSG00000157916,RER1,52,0.25424,43,-0.2542
ENSG00000157911,PEX10,16,-0.3928,21,0.39287
ENSG00000157870,PRXL2B,45,0.61894,29,-0.6189
ENSG00000177133,PRDM16-DT,17,-0.9156,32,0.91565
ENSG00000142611,PRDM16,12,-1.4209,32,1.42099
ENSG00000158109,TPRG1L,198,1.41518,74,-1.4151
ENSG00000116213,WRAP73,13,0.50638,9,-0.5063
ENSG00000130764,LRRC47,79,0.82179,44,-0.8217
ENSG00000116198,CEP104,33,-1.3054,82,1.30543
ENSG00000198912,C1orf174,12,0.57887,8,-0.5788
ENSG00000196581,AJAP1,43,1.40078,16,-1.4007
ENSG00000069424,KCNAB2,179,1.57187,60,-1.5718
ENSG00000116254,CHD5,276,1.33756,109,-1.3375
ENSG00000116251,RPL22,461,-0.2961,566,0.29617
ENSG00000116237,ICMT,41,0.80360,23,-0.8036
ENSG00000097021,ACOT7,212,2.10354,49,-2.1035
ENSG00000215788,TNFRSF25,18,1.13969,8,-1.1396
ENSG00000171680,PLEKHG5,18,1.65390,5,-1.6539
ENSG00000162408,NOL9,30,-0.1679,34,0.16791
ENSG00000162413,KLHL21,27,-0.1986,32,0.19865
ENSG00000116273,PHF13,16,0.77618,9,-0.7761
ENSG00000041988,THAP3,15,0.02707,15,-0.0270
ENSG00000007923,DNAJC11,32,0.41226,24,-0.4122
ENSG00000171735,CAMTA1,445,0.71899,270,-0.7189
ENSG00000049245,VAMP3,19,-1.8150,67,1.81508
ENSG00000049246,PER3,46,-1.5930,140,1.59300
ENSG00000116288,PARK7,278,0.89594,149,-0.8959
ENSG00000116285,ERRFI1,28,0.61351,18,-0.6135
ENSG00000162426,SLC45A1,27,1.00726,13,-1.0072
ENSG00000142599,RERE,111,-0.4413,151,0.44130
ENSG00000074800,ENO1,434,-0.1423,479,0.14239
ENSG00000171612,SLC25A33,30,-0.1908,34,0.19089
ENSG00000188807,TMEM201,11,-0.5909,16,0.59094
ENSG00000171603,CLSTN1,752,1.49258,267,-1.4925
ENSG00000178585,CTNNBIP1,30,0.33535,24,-0.3353
ENSG00000162441,LZIC,48,-1.2374,115,1.23745
ENSG00000130939,UBE4B,41,0.09478,39,-0.0947
ENSG00000054523,KIF1B,515,-0.2893,630,0.28931
ENSG00000142657,PGD,58,0.40394,44,-0.4039
ENSG00000241563,CORT,80,2.78430,11,-2.7843
ENSG00000160049,DFFA,38,-1.1867,88,1.18673
ENSG00000142655,PEX14,16,0.13251,15,-0.1325
ENSG00000120948,TARDBP,75,-0.3185,94,0.31857
ENSG00000271895,AL109811.2,17,-0.3786,22,0.37864
ENSG00000116649,SRM,53,-0.1071,58,0.10719
ENSG00000171824,EXOSC10,31,-0.5172,45,0.51726
ENSG00000198793,MTOR,40,0.81011,23,-0.8101
ENSG00000116661,FBXO2,157,-0.0937,168,0.09372
ENSG00000132879,FBXO44,88,0.65900,55,-0.6590
ENSG00000116670,MAD2L2,13,-0.6996,21,0.69960
ENSG00000177000,MTHFR,26,-0.0444,27,0.04449
ENSG00000011021,CLCN6,82,0.91457,43,-0.9145
ENSG00000116685,KIAA2013,33,-0.5523,48,0.55236
ENSG00000083444,PLOD1,15,-0.6463,24,0.64631
ENSG00000116688,MFN2,117,0.44030,86,-0.4403
ENSG00000116691,MIIP,11,-0.4029,15,0.40295
ENSG00000048707,VPS13D,79,0.73857,47,-0.7385
ENSG00000162496,DHRS3,17,-1.2014,39,1.20146
ENSG00000116731,PRDM2,244,0.33311,194,-0.3331
ENSG00000189337,KAZN,57,-0.4721,79,0.47219
ENSG00000142634,EFHD2,112,1.38212,43,-1.3821
ENSG00000116138,DNAJC16,37,0.17228,32,-0.1722
ENSG00000197312,DDI2,40,0.31141,32,-0.3114
ENSG00000116786,PLEKHM2,107,0.01306,106,-0.0130
ENSG00000065526,SPEN,165,-0.8215,291,0.82159
ENSG00000116809,ZBTB17,21,-1.0262,43,1.02621
ENSG00000037637,FBXO42,19,-0.1179,20,0.11796
ENSG00000055070,SZRD1,18,-1.2097,42,1.20970
ENSG00000157191,NECAP2,9,-2.1307,39,2.13079
ENSG00000219481,NBPF1,18,-1.2175,44,1.21758
ENSG00000159363,ATP13A2,108,1.14732,48,-1.1473
