Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,155,1.75280,20,-1.8848,71,0.45919,47,-0.3244,45,-0.4057
ENSG00000187608,ISG15,155,1.86449,34,-0.9011,48,-0.2542,36,-0.6710,53,-0.0484
ENSG00000078808,SDF4,155,1.63195,41,-0.8131,52,-0.3423,45,-0.4944,74,0.31917
ENSG00000160087,UBE2J2,155,2.09670,16,-1.9644,65,0.65742,21,-1.3363,22,-1.2491
ENSG00000131584,ACAP3,155,0.76927,69,-0.6877,105,0.16233,147,0.67591,54,-0.9132
ENSG00000127054,INTS11,155,2.03236,31,-0.9304,41,-0.4205,33,-0.6880,50,-0.0182
ENSG00000107404,DVL1,155,1.56243,34,-1.1861,52,-0.4194,79,0.35497,80,0.38403
ENSG00000175756,AURKAIP1,155,0.48403,74,-0.8787,142,0.47422,63,-0.9539,174,0.68045
ENSG00000221978,CCNL2,155,1.18440,74,-0.0884,77,-0.0171,64,-0.2995,25,-1.7421
ENSG00000242485,MRPL20,155,0.64241,79,-0.5810,108,0.06593,70,-0.6418,160,0.69703
ENSG00000179403,VWA1,155,1.66082,95,1.12779,12,-2.7219,37,-0.7767,30,-1.0714
ENSG00000160075,SSU72,155,0.49598,64,-1.1245,149,0.61861,82,-0.5374,155,0.49756
ENSG00000248333,CDK11B,155,1.36651,82,0.35625,41,-1.0339,65,-0.1160,42,-0.8153
ENSG00000008128,CDK11A,155,1.99204,67,0.62991,19,-1.8230,33,-0.6796,16,-1.7652
ENSG00000078369,GNB1,155,-1.3266,162,-1.5091,537,0.96299,311,-0.2469,700,1.12506
ENSG00000187730,GABRD,155,0.42663,1,-6.5803,260,2.39672,64,-0.9791,71,-0.8092
ENSG00000067606,PRKCZ,155,-0.3215,86,-1.4790,291,1.07619,221,0.25230,194,0.04449
ENSG00000162585,FAAP20,155,2.09484,30,-0.9374,31,-0.8945,45,-0.1467,58,0.27609
ENSG00000157933,SKI,155,1.74694,38,-0.8463,34,-1.0169,94,0.81330,57,-0.0365
ENSG00000157916,RER1,155,1.65987,45,-0.5785,47,-0.4950,15,-2.1243,96,0.77570
ENSG00000157870,PRXL2B,155,2.17327,8,-2.9379,55,0.32111,38,-0.3381,44,-0.1108
ENSG00000158109,TPRG1L,155,0.09892,36,-2.4602,262,1.58471,82,-0.9040,178,0.33339
ENSG00000130764,LRRC47,155,1.26809,39,-1.2007,106,0.86154,16,-2.2857,59,-0.3568
ENSG00000116198,CEP104,155,1.18203,115,0.97099,37,-1.4083,49,-0.7058,38,-1.1200
ENSG00000196581,AJAP1,155,1.73691,22,-1.7544,72,0.50063,47,-0.3246,37,-0.6934
ENSG00000069424,KCNAB2,155,0.62974,9,-4.0911,162,1.04707,95,-0.1812,193,1.01777
ENSG00000116254,CHD5,155,-0.9047,9,-5.4081,461,1.33689,712,1.69038,198,-0.5196
ENSG00000116251,RPL22,155,-1.8807,804,1.06252,342,-0.8507,270,-1.0435,860,0.83273
ENSG00000097021,ACOT7,155,0.41633,31,-2.4048,215,1.55781,77,-0.7106,113,-0.1018
ENSG00000162408,NOL9,155,2.12021,26,-1.1970,32,-0.8276,79,0.80959,30,-0.7463
ENSG00000162413,KLHL21,155,2.44574,29,-0.7385,33,-0.4777,4,-3.2437,33,-0.3899
ENSG00000007923,DNAJC11,155,2.16810,24,-1.2656,36,-0.5540,61,0.42058,30,-0.7149
ENSG00000171735,CAMTA1,155,-1.2560,179,-1.2613,564,1.24815,395,0.21652,336,-0.0464
ENSG00000049245,VAMP3,155,1.55958,111,1.47474,9,-3.2393,10,-2.8127,46,-0.4952
ENSG00000049246,PER3,155,1.74606,58,0.01041,28,-1.3699,59,0.02925,49,-0.2619
ENSG00000116288,PARK7,155,-0.0250,129,-0.4063,174,0.23149,69,-1.2876,280,0.98251
ENSG00000142599,RERE,155,-0.2092,181,0.05621,147,-0.3799,292,0.85319,156,-0.1928
ENSG00000074800,ENO1,155,-1.0001,234,-0.4560,291,-0.0090,175,-0.8083,726,1.60496
ENSG00000171603,CLSTN1,155,-1.4562,112,-2.2560,794,2.01788,332,-0.2816,352,-0.1857
ENSG00000178585,CTNNBIP1,155,2.24008,22,-1.3498,38,-0.3829,37,-0.3525,41,-0.1959
ENSG00000162441,LZIC,155,0.80014,139,0.90576,54,-1.0981,67,-0.5737,61,-0.7149
ENSG00000130939,UBE4B,155,1.67508,63,0.09138,50,-0.3790,21,-1.5737,26,-1.2741
ENSG00000054523,KIF1B,155,-1.9859,702,0.50739,586,0.08830,530,-0.0971,518,-0.1342
ENSG00000142657,PGD,155,1.83259,34,-0.9370,53,-0.0813,30,-0.9439,51,-0.1234
ENSG00000160049,DFFA,155,0.94619,105,0.38992,48,-1.1761,112,0.39288,70,-0.3752
ENSG00000120948,TARDBP,155,0.50166,130,0.29800,108,-0.1134,75,-0.6547,81,-0.5375
ENSG00000116649,SRM,155,1.95558,20,-1.7581,49,-0.1520,31,-0.8136,79,0.69150
ENSG00000171824,EXOSC10,155,1.89435,46,-0.3045,35,-0.8254,61,0.20158,23,-1.2845
ENSG00000198793,MTOR,155,2.13739,28,-1.0576,51,0.12702,16,-1.6667,26,-0.9582
ENSG00000116661,FBXO2,155,0.55745,47,-1.5814,101,-0.1917,85,-0.4174,311,1.85515
ENSG00000132879,FBXO44,155,1.34320,16,-2.5439,103,0.90473,64,-0.1778,62,-0.2146
ENSG00000011021,CLCN6,155,1.12407,39,-1.3699,101,0.54678,56,-0.5545,89,0.16948
ENSG00000116685,KIAA2013,155,2.03677,48,-0.1072,37,-0.6333,9,-2.6012,36,-0.5232
ENSG00000116688,MFN2,155,0.51081,97,-0.3264,130,0.30370,61,-0.9773,125,0.15829
ENSG00000048707,VPS13D,155,1.04972,57,-0.7660,98,0.36593,69,-0.2907,62,-0.4723
ENSG00000116731,PRDM2,155,-0.5133,152,-0.6844,282,0.65086,305,0.58953,162,-0.4455
ENSG00000189337,KAZN,155,0.71908,112,0.23592,88,-0.2816,107,0.10241,44,-1.2794
ENSG00000142634,EFHD2,155,0.91539,21,-2.5432,155,1.42067,100,0.16724,28,-1.7959
ENSG00000116138,DNAJC16,155,1.87440,37,-0.7553,54,-0.0268,48,-0.1844,14,-2.0704
ENSG00000197312,DDI2,155,1.72228,41,-0.6985,59,0.02774,52,-0.2028,19,-1.7069
ENSG00000116786,PLEKHM2,155,0.24702,48,-1.8525,170,0.56744,172,0.42233,216,0.81363
ENSG00000065526,SPEN,155,-0.8561,397,0.97849,178,-0.8000,342,0.41148,176,-0.6564
ENSG00000055070,SZRD1,155,2.07806,46,-0.1557,23,-1.4556,36,-0.5127,49,-0.0162
ENSG00000159363,ATP13A2,155,1.41070,21,-2.1445,100,0.91249,45,-0.6527,56,-0.3296
ENSG00000117118,SDHB,155,2.15347,34,-0.6950,41,-0.3167,14,-1.8868,37,-0.3823
ENSG00000117115,PADI2,155,0.02657,330,2.37761,25,-3.0985,37,-2.1359,112,-0.4818
ENSG00000117154,IGSF21,155,2.06993,12,-2.5091,64,0.59768,16,-1.6841,48,-0.0625
ENSG00000127481,UBR4,155,1.24679,61,-0.4244,58,-0.5253,124,0.84815,39,-1.0141
ENSG00000127463,EMC1,155,1.99467,28,-1.1804,53,0.06027,17,-1.7143,50,-0.0553
ENSG00000053372,MRTO4,155,1.89074,22,-1.6190,59,0.20124,40,-0.4717,46,-0.2419
ENSG00000077549,CAPZB,155,0.28217,123,-0.1255,139,0.14040,92,-0.5460,140,0.12026
ENSG00000173436,MICOS10,155,-0.4714,188,-0.2088,225,0.17124,114,-0.9442,364,0.94634
ENSG00000158747,NBL1,155,0.47293,31,-2.3325,161,0.77772,160,0.53539,154,0.46230
ENSG00000162545,CAMK2N1,155,-3.3664,887,-0.9512,1737,0.42911,1326,-0.1327,3600,1.62218
ENSG00000158828,PINK1,155,-0.9144,161,-1.0547,405,0.92677,152,-0.9387,487,0.95700
ENSG00000189410,SH2D5,155,2.28151,2,-4.9768,58,0.59570,24,-0.9551,47,0.06161
ENSG00000127483,HP1BP3,155,-1.3800,529,0.82156,311,-0.3923,481,0.40830,226,-0.8017
ENSG00000075151,EIF4G3,155,-0.7293,285,0.33278,305,0.49670,145,-0.8277,141,-0.8693
ENSG00000076864,RAP1GAP,155,0.85533,29,-2.0785,158,1.37028,62,-0.6472,60,-0.6884
ENSG00000090686,USP48,155,0.26858,184,0.80947,88,-0.7925,143,0.14137,67,-1.0500
ENSG00000070831,CDC42,155,-0.0834,168,0.06659,205,0.53495,90,-0.9265,101,-0.7541
ENSG00000173372,C1QA,155,2.08520,54,0.20115,6,-3.4595,29,-0.8240,80,0.80248
ENSG00000173369,C1QB,155,2.01418,70,0.76383,9,-2.9934,23,-1.2385,44,-0.2364
ENSG00000004487,KDM1A,155,1.52023,35,-1.1900,83,0.58408,17,-1.9971,57,-0.2096
ENSG00000169641,LUZP1,155,0.20883,45,-1.9911,238,1.47653,129,-0.0870,92,-0.6259
ENSG00000125944,HNRNPR,155,-0.1175,228,0.74843,139,-0.3738,109,-0.6739,133,-0.3541
ENSG00000142676,RPL11,155,-1.7341,795,1.33166,282,-1.0170,183,-1.4859,710,0.66837
ENSG00000011007,ELOA,155,2.22296,34,-0.6160,27,-1.0502,56,0.31028,23,-1.0528
ENSG00000057757,PITHD1,155,0.27177,86,-0.8357,208,1.17166,35,-1.9957,106,-0.3390
ENSG00000189266,PNRC2,155,1.53071,64,-0.0074,44,-0.7381,35,-0.9659,65,0.00867
ENSG00000188529,SRSF10,155,0.77580,98,0.02495,83,-0.3409,97,-0.0079,81,-0.2871
ENSG00000001461,NIPAL3,155,-0.3945,337,1.38823,136,-0.7538,136,-0.5983,73,-1.5359
ENSG00000133226,SRRM1,155,-1.4097,743,1.86906,184,-1.3857,427,0.17842,84,-2.3258
ENSG00000169504,CLIC4,155,0.86501,201,2.36852,9,-3.8784,20,-2.3090,30,-1.7331
ENSG00000117614,SYF2,155,-0.0332,200,0.54726,110,-0.7190,168,0.09612,168,0.09961
ENSG00000117616,RSRP1,155,0.48237,143,0.49119,101,-0.2778,83,-0.5210,69,-0.8115
ENSG00000183726,TMEM50A,155,1.19400,78,0.03105,67,-0.2813,37,-1.1298,65,-0.2694
ENSG00000204178,MACO1,155,1.02429,80,-0.1255,68,-0.4372,121,0.59885,41,-1.1265
ENSG00000117640,MTFR1L,155,1.31169,38,-1.2023,82,0.28133,61,-0.2629,73,0.01831
ENSG00000117632,STMN1,155,-2.6543,810,-0.1885,1488,1.34857,342,-1.4780,578,-0.6768
ENSG00000158008,EXTL1,155,2.33076,2,-4.9597,55,0.51219,24,-0.9655,48,0.14857
ENSG00000142669,SH3BGRL3,155,0.47058,115,-0.0258,115,-0.0301,68,-0.8497,136,0.25024
ENSG00000198830,HMGN2,155,-0.4685,316,1.03979,127,-0.9685,117,-0.8987,269,0.42744
ENSG00000117713,ARID1A,155,0.44049,123,0.07544,96,-0.4211,157,0.46750,97,-0.3262
ENSG00000090273,NUDC,155,-0.1862,130,-0.5893,218,0.52662,91,-1.0064,273,0.75596
ENSG00000142784,WDTC1,155,2.22544,22,-1.3896,32,-0.7473,56,0.31683,44,-0.0668
ENSG00000186501,TMEM222,155,1.89919,37,-0.7515,51,-0.1076,18,-1.6831,48,-0.1926
ENSG00000158195,WASF2,155,0.38970,225,1.66576,30,-2.4819,108,-0.1979,72,-0.8346
ENSG00000126705,AHDC1,155,1.31358,13,-2.9506,105,0.90549,124,0.91507,18,-2.1266
ENSG00000126709,IFI6,155,0.69792,93,-0.1824,82,-0.4374,97,-0.0739,137,0.49478
ENSG00000117758,STX12,155,0.85958,76,-0.4105,103,0.23921,56,-0.8047,87,-0.1090
ENSG00000117751,PPP1R8,155,2.14213,40,-0.3831,36,-0.5798,17,-1.5500,33,-0.6101
ENSG00000117748,RPA2,155,2.14625,25,-1.2542,45,-0.1141,18,-1.4567,48,-0.0025
ENSG00000126698,DNAJC8,155,-0.6261,291,0.55009,242,0.11869,102,-1.2617,209,-0.1537
ENSG00000130770,ATP5IF1,155,-0.4271,129,-0.8822,307,1.02962,65,-1.7372,292,0.61083
ENSG00000204138,PHACTR4,155,1.21439,112,0.93926,23,-2.1048,77,0.02112,47,-0.7545
ENSG00000198492,YTHDF2,155,0.86054,76,-0.4045,116,0.51913,57,-0.7745,46,-1.0939
ENSG00000116350,SRSF4,155,0.58742,118,0.18907,89,-0.4106,132,0.31464,69,-0.7111
ENSG00000162511,LAPTM5,155,1.09411,128,1.12431,14,-2.9645,37,-1.2283,115,0.57502
ENSG00000162512,SDC3,155,0.14959,110,-0.5072,123,-0.2858,180,0.40008,236,0.86602
ENSG00000134644,PUM1,155,-0.3394,144,-0.5802,259,0.71380,220,0.22916,139,-0.5019
ENSG00000121766,ZCCHC17,155,0.22008,133,-0.0359,149,0.21884,77,-0.8749,138,0.03357
ENSG00000162517,PEF1,155,1.68442,32,-1.1945,77,0.57464,12,-2.4163,45,-0.4396
ENSG00000084636,COL16A1,155,1.74104,48,-0.3969,37,-0.8964,84,0.62277,29,-1.0503
ENSG00000121753,ADGRB2,155,0.09321,35,-2.4948,246,1.34716,140,-0.0736,177,0.31812
ENSG00000184007,PTP4A2,155,-2.1515,1528,3.07926,208,-2.0115,135,-2.3492,168,-2.0287
ENSG00000121774,KHDRBS1,155,-0.1066,167,0.01797,171,0.07766,142,-0.2464,177,0.11377
ENSG00000025800,KPNA6,155,0.64452,86,-0.4159,120,0.29432,109,0.05544,65,-0.7569
ENSG00000084652,TXLNA,155,2.10978,40,-0.3880,25,-1.2675,46,-0.0978,42,-0.2261
ENSG00000084623,EIF3I,155,1.25163,62,-0.3966,80,0.16103,10,-2.9284,81,0.13418
ENSG00000175130,MARCKSL1,155,-1.0106,665,2.59487,66,-2.6329,101,-1.6604,206,-0.5700
ENSG00000160058,BSDC1,155,1.20357,65,-0.3532,72,-0.1406,76,-0.0165,50,-0.6634
ENSG00000176261,ZBTB8OS,155,2.35882,31,-0.6661,30,-0.7259,8,-2.5885,46,0.08743
ENSG00000162521,RBBP4,155,0.23709,135,0.01308,124,-0.1644,126,-0.1014,149,0.17131
ENSG00000134684,YARS,155,1.26057,33,-1.5039,100,0.68830,44,-0.8334,72,-0.0472
ENSG00000121905,HPCA,155,0.81199,5,-4.5978,191,1.99971,51,-0.9722,63,-0.6605
ENSG00000121900,TMEM54,155,2.24397,25,-1.1290,35,-0.5303,27,-0.7975,49,0.09474
ENSG00000004455,AK2,155,1.61531,86,0.79170,25,-1.6923,21,-1.6215,48,-0.4081
ENSG00000134686,PHC2,155,1.29708,73,-6.6003,59,-0.4247,65,-0.1932,40,-0.9258
ENSG00000163866,SMIM12,155,2.20651,22,-1.3972,55,0.37994,15,-1.7332,18,-1.4352
ENSG00000116544,DLGAP3,155,1.73853,0,-6.5435,61,0.09852,77,0.45504,108,1.04784
ENSG00000116560,SFPQ,155,-1.4100,560,0.92207,302,-0.4917,492,0.41069,220,-0.8757
ENSG00000146463,ZMYM4,155,1.15457,64,-0.4137,71,-0.2125,75,-0.0746,72,-0.1403
ENSG00000142687,KIAA0319L,155,1.31605,40,-1.1195,78,0.17006,61,-0.2627,79,0.14183
ENSG00000020129,NCDN,155,-0.7565,25,-3.8057,563,2.58525,81,-1.7283,248,-0.0133
ENSG00000126067,PSMB2,155,1.16234,70,-0.2370,94,0.41041,19,-2.1656,40,-1.0433
ENSG00000142686,C1orf216,155,1.43182,14,-2.7620,115,1.35198,33,-1.1081,39,-0.8784
ENSG00000092847,AGO1,155,1.43894,53,-0.4800,58,-0.3126,61,-0.1529,58,-0.2535
ENSG00000126070,AGO3,155,0.72584,135,0.70439,63,-0.9176,117,0.25812,36,-1.5702
ENSG00000116871,MAP7D1,155,-0.4839,264,0.52914,214,0.04237,124,-0.8238,175,-0.2861
ENSG00000054118,THRAP3,155,-0.4500,243,0.38565,216,0.10981,175,-0.2514,139,-0.6127
ENSG00000163875,MEAF6,155,0.88985,57,-0.9309,131,0.88102,36,-1.4254,66,-0.5175
ENSG00000197982,C1orf122,155,0.08974,187,0.57080,94,-0.8685,85,-0.8473,233,0.77775
ENSG00000188786,MTF1,155,2.32297,45,0.02862,20,-1.5068,19,-1.2752,31,-0.5486
ENSG00000183431,SF3A3,155,1.72777,36,-0.9275,55,-0.1091,57,-0.0396,39,-0.6477
ENSG00000183520,UTP11,155,2.26565,31,-0.7560,36,-0.4760,16,-1.6120,38,-0.2953
