Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,21,-0.6754,29,-0.2218,13,-1.3635,21,-0.6907,37,0.17988,40,0.32230,20,-0.7361,66,1.09388,35,0.06830,40,0.31609
ENSG00000188976,NOC2L,26,-0.8500,32,-0.5807,6,-2.8569,69,0.66758,70,0.68976,51,0.22220,39,-0.2407,95,1.20507,22,-1.0720,47,0.07264
ENSG00000188290,HES4,62,-0.2002,81,0.21987,17,-2.0986,205,1.76314,47,-0.6230,123,0.98440,28,-1.4049,72,0.01628,25,-1.5664,30,-1.3506
ENSG00000187608,ISG15,31,-0.7416,29,-0.8822,18,-1.5101,217,2.58321,45,-0.1642,53,0.10420,37,-0.4695,29,-0.7964,17,-1.6398,45,-0.1600
ENSG00000188157,AGRN,15,-0.5476,25,0.20949,14,-0.6482,92,2.44479,14,-0.6751,15,-0.6100,3,-2.9494,52,1.35943,1,-3.7092,8,-1.4959
ENSG00000078808,SDF4,84,0.63255,49,-0.2487,28,-1.0602,129,1.34969,55,-0.0451,60,0.11341,30,-0.9736,79,0.53707,25,-1.2244,43,-0.4541
ENSG00000176022,B3GALT6,24,0.16164,30,0.52048,4,-2.5600,31,0.55188,28,0.39103,24,0.18563,14,-0.6457,22,0.02129,17,-0.3832,18,-0.3268
ENSG00000160087,UBE2J2,39,-0.0095,47,0.31318,22,-0.8437,48,0.32749,31,-0.3646,46,0.28512,31,-0.3519,60,0.69285,37,-0.0863,27,-0.6275
ENSG00000131584,ACAP3,53,-0.3285,100,0.75990,38,-0.8320,112,0.87049,146,1.31159,66,0.02318,5,-3.7569,112,0.86600,14,-2.2627,18,-2.0154
ENSG00000127054,INTS11,32,-0.1271,28,-0.3735,13,-1.4059,67,1.04638,35,-0.0017,53,0.75501,13,-1.5067,56,0.74974,9,-2.0457,33,-0.0900
ENSG00000107404,DVL1,69,0.29727,144,1.80299,27,-1.1067,56,-0.0206,41,-0.4916,48,-0.2691,72,0.37256,51,-0.1740,22,-1.3991,8,-3.0194
ENSG00000175756,AURKAIP1,176,0.12287,174,0.11582,130,-0.3516,121,-0.4586,70,-1.2762,284,1.01280,101,-0.7241,154,-0.0868,112,-0.5757,168,0.04927
ENSG00000221978,CCNL2,20,-1.6409,30,-1.1045,38,-0.6834,181,1.84902,112,1.00255,52,-0.2470,15,-2.0743,90,0.64379,34,-0.8597,63,0.08161
ENSG00000242485,MRPL20,178,0.14227,162,-0.0078,125,-0.3996,118,-0.4888,90,-0.8930,280,0.98495,112,-0.5659,118,-0.4954,147,-0.1551,170,0.07633
ENSG00000235098,ANKRD65,40,0.55669,37,0.49944,15,-0.8929,12,-1.2853,9,-1.6891,56,1.27863,34,0.32964,31,0.15331,16,-0.8123,9,-1.6677
ENSG00000205090,TMEM240,8,-2.0568,42,0.38557,8,-2.0513,36,0.12036,45,0.45332,45,0.50599,16,-1.1061,56,0.82182,61,0.95493,16,-1.2008
