Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000237491,LINC01409,5,-1.0742,6,-0.8909,19,0.94991,12,0.21399,8,-0.4973,12,0.27436
ENSG00000228794,LINC01128,35,-0.3631,16,-1.5289,56,0.39383,54,0.37726,31,-0.5707,53,0.43491
ENSG00000188976,NOC2L,60,0.12678,28,-1.0328,48,-0.2312,48,-0.2333,58,0.08307,68,0.44896
ENSG00000188290,HES4,47,0.31408,39,-0.0041,25,-0.6914,23,-0.8549,47,0.33475,46,0.35061
ENSG00000187608,ISG15,106,-0.4307,78,-0.8989,54,-1.4467,77,-1.0118,268,1.30903,156,0.23736
ENSG00000188157,AGRN,26,0.34889,16,-0.4351,15,-0.4829,26,0.44112,13,-0.7712,24,0.29927
ENSG00000078808,SDF4,66,0.08793,67,0.11322,51,-0.3390,56,-0.2035,67,0.12227,66,0.09536
ENSG00000176022,B3GALT6,25,0.26022,13,-0.6942,20,-0.0771,18,-0.2677,24,0.20491,23,0.18343
ENSG00000160087,UBE2J2,42,0.10093,35,-0.1774,28,-0.5275,34,-0.2777,34,-0.2641,51,0.57238
ENSG00000162572,SCNN1D,14,0.42790,12,0.17421,4,-1.4755,10,-0.0744,8,-0.4514,13,0.47740
ENSG00000131584,ACAP3,95,0.42018,69,-0.0983,60,-0.3161,74,0.02961,68,-0.1303,74,0.03668
ENSG00000127054,INTS11,38,-0.1890,40,-0.0836,43,0.03166,35,-0.3398,43,0.01373,49,0.31542
ENSG00000224051,CPTP,32,0.88714,15,-0.3358,8,-1.3006,12,-0.7654,15,-0.3755,26,0.73107
ENSG00000107404,DVL1,57,0.37743,80,0.93448,37,-0.3076,35,-0.4713,48,0.08608,38,-0.3331
ENSG00000175756,AURKAIP1,113,-0.4360,160,0.11496,88,-0.8101,87,-0.9095,261,1.10819,144,-0.0732
ENSG00000221978,CCNL2,46,-0.5828,59,-0.1779,76,0.21770,83,0.40177,44,-0.7005,77,0.30055
ENSG00000242485,MRPL20,133,-0.0345,158,0.23868,113,-0.2971,88,-0.7390,203,0.76746,124,-0.1797
