Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,42,0.32729,42,0.33227,50,0.62293,65,1.06365,30,-0.1667,17,-1.0204,13,-1.4320,41,0.31811,10,-1.7872,35,0.06023,27,-0.3570
ENSG00000188976,NOC2L,63,0.44682,67,0.55162,53,0.16823,74,0.70140,18,-1.4819,37,-0.3769,19,-1.3798,39,-0.3258,27,-0.8489,55,0.20765,73,0.68186
ENSG00000188290,HES4,27,-0.3626,19,-0.8380,29,-0.2338,52,0.71903,32,-0.0799,34,0.01686,58,0.87953,49,0.60213,9,-1.8722,14,-1.3487,46,0.51839
ENSG00000187608,ISG15,7,-2.2918,14,-1.1995,33,0.07223,31,-0.0423,124,2.44027,37,0.23786,41,0.42429,31,-0.0262,29,-0.1290,1,-4.6773,0,-5.7009
ENSG00000188157,AGRN,13,-0.2199,12,-0.3122,15,0.02512,12,-0.3975,26,0.84352,17,0.22550,12,-0.2840,16,0.06011,12,-0.2964,6,-1.3886,24,0.75355
ENSG00000078808,SDF4,55,-0.1555,55,-0.1477,55,-0.1634,86,0.57073,87,0.58146,42,-0.5485,74,0.31718,52,-0.2375,53,-0.2165,13,-2.2953,94,0.71724
ENSG00000176022,B3GALT6,29,0.45495,12,-0.9165,26,0.25860,32,0.60547,11,-1.0693,25,0.19846,20,-0.1430,22,-0.0254,12,-0.9632,12,-0.9326,42,1.04191
ENSG00000160087,UBE2J2,47,0.35693,60,0.75139,27,-0.5050,67,0.95897,27,-0.5028,40,0.10965,36,-0.0611,25,-0.6023,26,-0.5910,24,-0.7003,33,-0.1821
ENSG00000131584,ACAP3,84,0.01529,39,-1.1466,45,-0.9607,81,-0.0443,53,-0.7076,89,0.10247,46,-0.9044,77,-0.1311,45,-0.9408,170,1.17823,188,1.36338
ENSG00000127054,INTS11,33,-0.3810,35,-0.3061,66,0.72998,66,0.70980,25,-0.8248,35,-0.2870,37,-0.2148,36,-0.2691,40,-0.0881,34,-0.3490,59,0.54225
ENSG00000224051,CPTP,17,0.03065,18,0.17614,26,0.70743,30,0.97185,13,-0.4049,20,0.30450,2,-2.7743,16,-0.0960,7,-1.2542,0,-7.0590,33,1.13790
ENSG00000107404,DVL1,35,-0.4371,25,-0.9584,26,-0.8930,42,-0.1594,65,0.51977,66,0.53567,77,0.80500,72,0.69442,27,-0.8452,42,-0.1870,39,-0.2919
ENSG00000175756,AURKAIP1,90,-0.7074,94,-0.6353,213,0.66129,124,-0.2074,115,-0.3265,155,0.14914,276,1.10322,218,0.70246,95,-0.6250,41,-1.8821,137,-0.0555
ENSG00000221978,CCNL2,77,0.04972,82,0.15426,46,-0.7353,70,-0.1034,57,-0.4069,36,-1.1124,34,-1.1936,52,-0.5459,79,0.10500,112,0.66263,173,1.41171
ENSG00000242485,MRPL20,95,-0.4228,112,-0.1582,137,0.15818,122,-0.0338,150,0.30634,125,0.01463,175,0.55694,259,1.22568,75,-0.7840,55,-1.2521,60,-1.1125
ENSG00000235098,ANKRD65,20,-0.8014,34,0.01034,35,0.08401,31,-0.1385,29,-0.1984,46,0.52229,53,0.74870,52,0.71340,52,0.70477,3,-3.5461,13,-1.4206
ENSG00000179403,VWA1,39,0.16193,19,-0.9454,9,-1.9932,15,-1.2976,42,0.27413,32,-0.1635,23,-0.6894,14,-1.4052,156,2.70075,25,-0.5167,16,-1.1723
ENSG00000205090,TMEM240,56,1.07900,16,-0.9062,24,-0.2872,35,0.31249,7,-2.0212,12,-1.3713,11,-1.4677,43,0.64842,2,-3.5410,31,0.11433,81,1.74372
ENSG00000160075,SSU72,138,-0.0276,213,0.67414,159,0.19199,138,-0.0291,77,-0.9263,151,0.10880,192,0.49963,233,0.82155,65,-1.1935,76,-0.9413,106,-0.4433
ENSG00000228594,FNDC10,21,-0.4945,67,1.34652,26,-0.2146,55,1.01474,6,-2.3016,41,0.52461,29,-0.0230,21,-0.5602,2,-3.4980,31,0.06718,26,-0.1783
ENSG00000272106,AL691432.2,20,0.22840,17,-0.0124,8,-1.0947,20,0.16355,6,-1.6633,23,0.42358,17,-0.0823,29,0.77848,13,-0.4262,16,-0.1164,24,0.50364
ENSG00000197530,MIB2,20,-0.6478,27,-0.1841,30,-0.0446,43,0.53979,37,0.26256,45,0.59596,28,-0.1395,35,0.21022,10,-1.6677,12,-1.4274,52,0.84316
ENSG00000248333,CDK11B,54,-0.1467,67,0.20081,56,-0.0958,31,-1.0084,30,-1.0456,33,-0.9166,23,-1.4165,21,-1.5837,71,0.27966,233,2.45931,34,-0.8325
ENSG00000189339,SLC35E2B,26,0.30865,17,-0.3390,27,0.35293,17,-0.3462,43,1.11748,22,0.00987,15,-0.5297,9,-1.2826,17,-0.3616,22,0.05451,21,-0.0152
ENSG00000008128,CDK11A,13,-1.4178,32,-0.0754,13,-1.3863,27,-0.3393,9,-1.8943,11,-1.6703,0,-5.5369,11,-1.5986,61,0.98597,149,2.76323,39,0.25605
ENSG00000215790,SLC35E2A,15,-0.6171,21,-0.0817,30,0.47194,30,0.47358,11,-1.0473,32,0.57936,26,0.26168,26,0.23328,12,-0.9428,11,-1.1071,31,0.53472
ENSG00000008130,NADK,33,0.45810,41,0.83556,29,0.25841,25,0.02599,28,0.20038,25,0.04874,13,-0.9348,22,-0.1421,15,-0.7236,20,-0.3419,18,-0.4385
ENSG00000078369,GNB1,555,0.18635,568,0.22440,489,-0.0151,504,0.03380,466,-0.0912,845,0.88127,753,0.68521,655,0.45491,183,-1.5147,189,-1.4721,224,-1.2153
ENSG00000187730,GABRD,98,-0.3675,258,1.22065,252,1.18026,180,0.60027,31,-2.1004,134,0.11995,101,-0.3194,153,0.33780,3,-5.4797,70,-0.8792,84,-0.6055
ENSG00000067606,PRKCZ,277,0.60677,168,-0.2004,192,0.01349,256,0.47518,144,-0.4361,271,0.56770,159,-0.2882,223,0.24888,73,-1.4652,180,-0.0945,154,-0.3307
ENSG00000162585,FAAP20,39,0.14707,31,-0.1770,17,-1.1258,21,-0.8145,32,-0.1333,67,1.06170,62,0.92165,42,0.28670,40,0.20940,28,-0.3386,7,-2.2725
ENSG00000157933,SKI,53,0.46270,19,-1.0737,15,-1.4794,24,-0.7585,59,0.63122,41,0.06280,30,-0.4063,19,-1.0813,31,-0.3875,90,1.36402,54,0.49330
ENSG00000157916,RER1,61,0.21033,57,0.09692,71,0.45552,84,0.72796,53,-0.0054,45,-0.2562,63,0.25741,53,-0.0290,53,-0.0283,21,-1.4080,28,-1.0036
ENSG00000157911,PEX10,11,-0.8243,26,0.41979,12,-0.7979,16,-0.3181,56,1.75883,20,0.04036,21,0.07538,22,0.18071,23,0.21450,8,-1.2968,3,-2.8572
ENSG00000157870,PRXL2B,45,0.10833,56,0.46654,63,0.65357,51,0.29624,20,-1.1497,35,-0.2900,58,0.50867,51,0.29299,20,-1.1048,22,-0.9654,42,-0.0085
ENSG00000177133,PRDM16-DT,1,-3.9954,9,-1.0177,3,-2.6410,14,-0.3893,54,1.81955,13,-0.5236,61,2.04254,8,-1.2051,5,-1.7764,0,-5.9480,35,1.04201
ENSG00000158109,TPRG1L,174,0.21389,133,-0.2081,230,0.66646,255,0.84326,113,-0.4609,184,0.30499,131,-0.2313,245,0.77370,25,-2.7011,73,-1.1357,111,-0.4906
ENSG00000130764,LRRC47,93,0.36308,107,0.60293,84,0.20240,140,1.04780,52,-0.5576,57,-0.4066,68,-0.1318,70,-0.0844,40,-0.9585,50,-0.5945,53,-0.5234
ENSG00000116198,CEP104,59,0.58446,33,-0.3103,20,-1.0664,21,-1.0255,18,-1.2012,26,-0.6935,7,-2.5168,25,-0.7575,78,1.06909,99,1.49140,62,0.66395
ENSG00000198912,C1orf174,17,0.13040,49,1.95235,10,-0.7309,15,-0.0202,14,-0.1708,16,-0.0006,7,-1.1573,19,0.31103,11,-0.5285,5,-1.6009,9,-0.8301
ENSG00000196581,AJAP1,74,1.11996,26,-0.5451,34,-0.1291,18,-1.0738,19,-1.0302,24,-0.6787,27,-0.4854,56,0.66995,15,-1.4033,42,0.20871,74,1.12227
ENSG00000069424,KCNAB2,191,0.32538,202,0.42214,247,0.75046,203,0.42315,95,-0.7589,261,0.84651,164,0.07870,185,0.27925,10,-4.0482,59,-1.4894,96,-0.7558
ENSG00000116254,CHD5,406,0.88282,271,0.21585,192,-0.3293,284,0.29247,148,-0.7285,288,0.31280,115,-1.1054,136,-0.8583,18,-3.8278,302,0.38939,445,1.03969
ENSG00000116251,RPL22,367,-0.4798,315,-0.7162,295,-0.8160,272,-0.9394,619,0.34656,632,0.38123,701,0.54972,816,0.80514,749,0.66064,495,-0.0114,226,-1.2195
ENSG00000116237,ICMT,29,-0.3252,38,0.07322,39,0.11496,60,0.84045,8,-2.2744,59,0.80072,42,0.24989,18,-1.0510,23,-0.6484,33,-0.1371,46,0.40700
ENSG00000097021,ACOT7,110,-0.2133,111,-0.2016,297,1.43694,282,1.34717,35,-1.9438,93,-0.4813,90,-0.5326,230,0.98944,22,-2.6171,27,-2.2918,92,-0.4967
