Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000237491,LINC01409,1,-2.8770,13,0.80813,11,0.41399,7,-0.1633,4,-1.1850,13,0.74099,5,-0.7134,12,0.57832
ENSG00000228794,LINC01128,15,-1.2993,26,-0.5068,39,0.18484,48,0.50719,45,0.41178,34,-0.0490,38,0.12620,36,0.05722
ENSG00000188976,NOC2L,38,-0.0945,13,-1.6969,21,-1.0452,26,-0.7010,44,0.14933,61,0.68340,56,0.54070,65,0.79690
ENSG00000187961,KLHL17,16,0.75140,6,-0.8536,12,0.26624,4,-1.3430,14,0.54055,11,0.22516,10,0.00851,7,-0.4928
ENSG00000188290,HES4,97,1.07897,44,-0.2754,44,-0.2722,41,-0.3678,35,-0.6157,62,0.27507,34,-0.6624,59,0.20869
ENSG00000187608,ISG15,62,0.76035,51,0.41459,22,-0.9138,45,0.21059,33,-0.2750,49,0.35266,26,-0.6487,28,-0.5396
ENSG00000188157,AGRN,39,0.55809,12,-1.2863,20,-0.5101,18,-0.7286,28,0.02563,42,0.67340,31,0.14360,34,0.32227
ENSG00000131591,C1orf159,10,0.04675,3,-1.6499,12,0.32210,2,-2.1960,9,-0.0612,13,0.47591,16,0.82417,13,0.39401
ENSG00000078808,SDF4,106,0.56028,64,-0.2810,70,-0.1506,37,-1.1406,88,0.24386,103,0.49975,84,0.15448,58,-0.4279
ENSG00000176022,B3GALT6,27,0.03222,17,-0.7032,24,-0.1866,16,-0.8048,33,0.34638,40,0.67166,34,0.40643,23,-0.2616
ENSG00000160087,UBE2J2,50,0.29951,31,-0.4873,45,0.10542,33,-0.4124,50,0.27064,53,0.38231,30,-0.5401,45,0.12037
ENSG00000162572,SCNN1D,16,0.78781,4,-1.2962,9,-0.1741,3,-1.8340,9,-0.2244,15,0.59667,7,-0.5022,18,0.96499
ENSG00000131584,ACAP3,90,0.51417,33,-1.0998,97,0.64078,36,-0.9796,53,-0.3641,45,-0.6176,84,0.39985,93,0.56712
ENSG00000169972,PUSL1,10,0.00657,10,-0.0818,8,-0.4002,8,-0.3316,12,0.34869,11,0.07686,12,0.32610,10,-0.0780
ENSG00000127054,INTS11,62,0.40225,29,-0.8258,37,-0.4598,28,-0.8693,60,0.32233,77,0.77290,50,0.04274,49,-0.0138
ENSG00000224051,CPTP,26,0.28487,17,-0.4352,17,-0.4359,9,-1.3723,24,0.16401,32,0.62480,25,0.19460,27,0.29787
ENSG00000107404,DVL1,78,0.54152,58,0.02071,68,0.30188,44,-0.3986,40,-0.5460,73,0.42307,56,-0.0371,37,-0.6834
ENSG00000175756,AURKAIP1,154,-0.2317,198,0.18294,156,-0.2053,172,-0.0492,150,-0.2713,208,0.26613,216,0.32691,165,-0.1221
ENSG00000221978,CCNL2,82,-0.0402,57,-0.6227,94,0.19406,76,-0.1679,127,0.70333,77,-0.1461,69,-0.3126,90,0.11070
ENSG00000224870,MRPL20-AS1,17,1.17439,9,0.16514,9,0.07505,10,0.23085,4,-0.9954,4,-0.9962,4,-1.0674,10,0.26175
ENSG00000242485,MRPL20,112,-0.6759,242,0.58875,174,0.03110,202,0.27600,134,-0.3909,209,0.33039,125,-0.5102,171,-0.0058
ENSG00000235098,ANKRD65,35,0.11780,31,-0.0363,41,0.40345,18,-0.9299,30,-0.0929,43,0.46451,35,0.14860,24,-0.4386
ENSG00000179403,VWA1,85,2.29822,12,-1.1759,11,-1.3158,7,-2.0126,12,-1.1325,17,-0.6617,33,0.43009,27,0.11505
ENSG00000160072,ATAD3B,11,-0.1871,6,-1.1154,20,0.87448,4,-1.7492,9,-0.4396,13,0.11151,15,0.33889,19,0.77389
ENSG00000197785,ATAD3A,16,0.14846,2,-2.5211,11,-0.4285,6,-1.2914,19,0.42792,17,0.27944,28,1.12781,16,0.20078
ENSG00000205090,TMEM240,40,0.85670,10,-1.3427,42,0.95068,9,-1.4809,25,0.02836,17,-0.5646,29,0.31715,21,-0.2125
ENSG00000160075,SSU72,110,-0.2787,162,0.35382,142,0.13185,120,-0.1441,129,-0.0280,100,-0.4305,151,0.24280,133,0.02792
ENSG00000228594,FNDC10,27,0.12368,24,-0.0829,12,-1.1783,20,-0.3699,21,-0.3359,38,0.66205,38,0.69005,23,-0.1479
ENSG00000272106,AL691432.2,25,0.26878,17,-0.3268,43,1.20261,14,-0.6757,18,-0.2412,22,0.04306,17,-0.3510,14,-0.6295
ENSG00000197530,MIB2,36,0.26810,25,-0.3550,23,-0.4921,22,-0.5521,33,0.08677,34,0.12975,31,0.01228,45,0.60926
ENSG00000248333,CDK11B,32,1.29268,13,-0.2400,12,-0.3474,18,0.25800,7,-1.0905,15,-0.0647,13,-0.2948,12,-0.3844
ENSG00000189339,SLC35E2B,29,-0.4717,27,-0.5468,23,-0.8003,25,-0.6639,50,0.43999,53,0.53988,54,0.57103,46,0.30059
ENSG00000008128,CDK11A,26,1.78256,8,-0.3495,14,0.62031,5,-1.0848,7,-0.4045,6,-0.7701,5,-0.8567,6,-0.7422
ENSG00000215790,SLC35E2A,23,0.05413,16,-0.5348,20,-0.1977,22,-0.0426,17,-0.4781,27,0.29871,36,0.75611,20,-0.1845
ENSG00000008130,NADK,28,-0.0041,22,-0.3614,35,0.40443,23,-0.2969,30,0.13596,23,-0.3135,27,-0.0646,34,0.33971
