Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,43,0.23941,17,-1.1644,46,0.34444,23,-0.7581,25,-0.6028,58,0.71496,58,0.83391,8,-2.2918,37,-0.0215
ENSG00000188976,NOC2L,59,0.30325,19,-1.4184,31,-0.7257,35,-0.5379,66,0.48983,54,0.15213,70,0.68371,26,-0.9818,59,0.30668
ENSG00000188290,HES4,34,0.07582,25,-0.4122,20,-0.7833,45,0.50474,37,0.21003,40,0.34027,37,0.24480,21,-0.6652,29,-0.1667
ENSG00000187608,ISG15,33,-0.4593,20,-1.1660,14,-1.7505,55,0.38477,77,0.92851,8,-2.4226,57,0.50013,107,1.52615,9,-2.3821
ENSG00000078808,SDF4,34,-0.4925,32,-0.5940,44,-0.0692,75,0.78151,39,-0.2611,57,0.33110,65,0.62925,33,-0.5424,21,-1.2409
ENSG00000176022,B3GALT6,22,0.12848,8,-1.3830,16,-0.3643,16,-0.3125,17,-0.2403,37,1.00092,29,0.67420,11,-0.8938,16,-0.3579
ENSG00000160087,UBE2J2,36,0.22703,29,-0.1249,28,-0.1796,28,-0.1772,31,-0.0217,20,-0.6903,48,0.80658,12,-1.3775,33,0.08337
ENSG00000131584,ACAP3,55,-0.2863,58,-0.2109,76,0.21004,51,-0.4240,90,0.49603,47,-0.5375,74,0.20211,43,-0.6824,96,0.59666
ENSG00000127054,INTS11,24,-0.5580,26,-0.4607,24,-0.5613,41,0.26925,22,-0.7313,42,0.29619,62,1.11896,12,-1.5693,33,-0.0614
ENSG00000224051,CPTP,25,0.53870,13,-0.4590,7,-1.2976,33,1.00821,11,-0.8065,6,-1.5270,27,0.74772,12,-0.5724,18,-0.0278
ENSG00000107404,DVL1,33,-0.5466,78,0.83826,46,-0.0210,67,0.57013,78,0.84277,33,-0.5371,39,-0.3082,28,-0.7821,27,-0.8699
ENSG00000175756,AURKAIP1,52,-1.1253,113,0.07393,58,-0.9789,133,0.32650,197,0.99204,126,0.23967,153,0.65834,59,-0.9478,40,-1.5399
ENSG00000221978,CCNL2,36,-0.5756,40,-0.4289,71,0.47365,57,0.11773,30,-0.8622,54,0.04132,64,0.35160,28,-0.9494,83,0.74146
ENSG00000242485,MRPL20,107,-0.0092,104,-0.0620,63,-0.8320,137,0.38263,171,0.76360,98,-0.1485,112,0.06244,74,-0.5910,101,-0.1058
ENSG00000235098,ANKRD65,2,-3.0660,31,0.58354,6,-1.9575,39,0.98850,34,0.74562,23,0.10909,35,0.95527,3,-2.7131,6,-1.9201
ENSG00000205090,TMEM240,27,-0.1703,25,-0.2837,37,0.35591,24,-0.3537,22,-0.4701,8,-1.9164,46,0.82427,17,-0.8323,46,0.70758
ENSG00000160075,SSU72,60,-1.0560,108,-0.1617,96,-0.3414,121,0.01694,207,0.91716,139,0.24875,181,0.79656,54,-1.2265,46,-1.4498
ENSG00000228594,FNDC10,28,0.04179,30,0.16518,7,-1.9873,24,-0.2141,46,0.82642,26,-0.1070,43,0.87288,1,-4.0085,25,-0.1179
ENSG00000272106,AL691432.2,24,0.42794,6,-1.6391,25,0.49488,27,0.58463,38,1.18844,16,-0.2306,20,0.11562,4,-2.1796,6,-1.7645
ENSG00000197530,MIB2,25,-0.2498,29,0.01437,31,0.10894,35,0.30285,38,0.44760,32,0.14656,33,0.24349,9,-1.7976,25,-0.2464
ENSG00000248333,CDK11B,83,0.51212,29,-1.1350,77,0.39037,22,-1.5607,51,-0.2683,41,-0.6246,38,-0.8063,103,0.86854,126,1.22541
ENSG00000189339,SLC35E2B,15,-0.9314,24,-0.2727,31,0.14575,31,0.12373,39,0.50072,45,0.74250,35,0.40373,7,-2.1314,22,-0.4056
ENSG00000008128,CDK11A,22,-0.3831,13,-1.1052,26,-0.0945,16,-0.8779,7,-2.0492,7,-2.1110,15,-1.0430,45,0.77610,113,2.59599
ENSG00000008130,NADK,23,-0.0432,27,0.18897,18,-0.4321,31,0.42606,15,-0.6808,20,-0.2358,31,0.52136,22,-0.1208,18,-0.4246
ENSG00000078369,GNB1,357,-0.4812,651,0.48297,322,-0.6410,590,0.31870,797,0.82425,602,0.35251,510,0.09203,275,-0.8815,231,-1.1488
ENSG00000187730,GABRD,204,0.18900,90,-1.0924,114,-0.7220,104,-0.8706,209,0.22659,101,-0.9032,396,1.63026,23,-3.0783,176,-0.0443
ENSG00000067606,PRKCZ,249,0.47938,214,0.23575,147,-0.3602,119,-0.6941,249,0.48443,115,-0.7410,269,0.70764,58,-1.7766,163,-0.2025
ENSG00000162585,FAAP20,35,-0.0650,45,0.32768,3,-3.3906,51,0.53385,58,0.74553,43,0.25962,38,0.07887,38,0.04431,17,-1.1906
ENSG00000157933,SKI,89,0.80671,61,0.16843,75,0.50585,65,0.28668,29,-0.9640,21,-1.4759,37,-0.6751,51,-0.1144,82,0.66607
ENSG00000157916,RER1,24,-0.7939,41,0.05006,20,-1.0380,61,0.71542,53,0.46230,44,0.15905,52,0.49990,31,-0.3903,19,-1.1235
ENSG00000157911,PEX10,5,-1.6850,16,-0.0579,11,-0.7004,38,1.32315,31,0.99749,9,-0.9489,18,0.12700,17,0.03323,6,-1.5692
ENSG00000157870,PRXL2B,39,-0.2158,48,0.13510,19,-1.3041,44,-0.0061,60,0.48287,40,-0.1485,72,0.93292,26,-0.8325,24,-0.9630
ENSG00000177133,PRDM16-DT,9,-1.3600,32,0.49394,5,-2.2478,97,2.63438,15,-0.6998,17,-0.5115,12,-1.1284,14,-0.7774,22,-0.1282
ENSG00000158109,TPRG1L,102,-0.7007,141,-0.1932,126,-0.3627,115,-0.5134,284,0.96527,173,0.13339,269,1.03238,42,-2.0077,69,-1.2867
ENSG00000130764,LRRC47,42,-0.6391,43,-0.6302,66,0.04898,82,0.39571,59,-0.1316,77,0.30496,108,1.02575,22,-1.6221,32,-1.0518
ENSG00000116198,CEP104,50,0.24344,32,-0.4517,52,0.30723,18,-1.3475,27,-0.7304,13,-1.7894,35,-0.3917,82,1.07289,88,1.19242
ENSG00000196581,AJAP1,89,0.77617,31,-0.8932,131,1.47109,21,-1.4644,50,-0.1762,50,-0.1454,52,-0.1259,28,-1.0631,51,-0.1368
ENSG00000069424,KCNAB2,71,-1.0544,146,0.06732,142,0.02506,152,0.13077,237,0.87782,134,-0.0656,205,0.72677,51,-1.5556,56,-1.4038
ENSG00000116254,CHD5,567,0.77382,328,-0.1251,392,0.15765,175,-1.0948,210,-0.8180,277,-0.3933,353,-0.0104,81,-2.2527,815,1.42067
ENSG00000116251,RPL22,277,-0.5659,513,0.41569,331,-0.2876,429,0.12471,602,0.68289,438,0.15660,282,-0.5966,680,0.89276,139,-1.6087
ENSG00000116237,ICMT,23,-0.5648,24,-0.4751,32,-0.0303,37,0.20070,25,-0.4316,20,-0.7446,67,1.48098,8,-2.0002,22,-0.5971
ENSG00000097021,ACOT7,103,-0.5843,43,-1.9092,137,-0.1430,69,-1.1908,208,0.53653,179,0.28751,332,1.66640,17,-3.2067,78,-1.0217
ENSG00000171680,PLEKHG5,20,-0.2567,20,-0.3239,32,0.46633,24,-0.0041,35,0.61451,15,-0.6959,36,0.75365,1,-4.7489,22,-0.1616
ENSG00000162408,NOL9,33,-0.0484,39,0.19658,38,0.17904,25,-0.4627,40,0.23196,36,0.08361,36,0.09868,24,-0.5587,35,0.02563
