Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,18,-0.9592,19,-0.8665,37,0.12866,51,0.64881,58,1.00592,27,-0.3925,45,0.42674,17,-1.1130
ENSG00000188976,NOC2L,31,-0.9983,26,-1.2827,37,-0.7359,70,0.22405,79,0.49309,89,0.70374,79,0.42966,43,-0.5864
ENSG00000188290,HES4,22,-1.1563,72,0.71428,48,0.07155,49,0.07623,44,-0.1051,56,0.34593,46,-0.0100,37,-0.4032
ENSG00000187608,ISG15,20,-1.1034,52,0.39164,28,-0.5611,27,-0.6043,35,-0.2709,68,0.95812,47,0.22462,34,-0.3025
ENSG00000188157,AGRN,16,-1.1919,30,-0.2764,21,-0.7749,42,0.24111,37,0.08266,42,0.29071,36,0.02202,44,0.38131
ENSG00000078808,SDF4,50,-0.3019,81,0.46804,41,-0.6163,56,-0.1198,54,-0.1935,88,0.68291,65,0.11391,45,-0.5141
ENSG00000176022,B3GALT6,14,-0.5427,15,-0.4565,14,-0.5030,2,-3.3541,30,0.71518,33,0.91864,14,-0.5512,18,-0.1667
ENSG00000160087,UBE2J2,22,-0.9819,28,-0.5809,15,-1.5190,42,0.01628,54,0.48897,53,0.43879,72,0.90478,31,-0.4893
ENSG00000131584,ACAP3,99,0.09441,76,-0.3279,45,-1.1112,68,-0.4860,118,0.41420,76,-0.3648,113,0.29804,120,0.45699
ENSG00000127054,INTS11,45,-0.1157,56,0.21322,26,-0.9428,58,0.27414,56,0.23814,67,0.56693,36,-0.4574,35,-0.5589
ENSG00000224051,CPTP,9,-1.1993,24,0.35635,8,-1.3837,15,-0.4359,24,0.35978,32,0.93037,24,0.33342,11,-0.8799
ENSG00000107404,DVL1,38,-1.0646,112,0.60156,62,-0.3281,27,-1.5935,83,0.13004,53,-0.6249,106,0.51015,115,0.73901
ENSG00000175756,AURKAIP1,58,-1.5681,187,0.21944,80,-1.0905,159,-0.0380,246,0.76719,180,0.17552,93,-0.8698,181,0.19290
ENSG00000221978,CCNL2,58,0.28783,57,0.24950,39,-0.3239,67,0.51610,56,0.27393,61,0.42232,31,-0.6729,23,-1.2474
ENSG00000242485,MRPL20,48,-1.3787,157,0.45794,82,-0.5591,82,-0.5649,136,0.25985,143,0.34777,72,-0.7555,149,0.41681
ENSG00000235098,ANKRD65,20,-0.6699,31,0.01996,19,-0.6902,22,-0.4801,40,0.50137,23,-0.4933,43,0.55669,37,0.34133
ENSG00000179403,VWA1,109,2.08777,58,0.93361,21,-0.7105,7,-2.2861,7,-2.3897,44,0.52333,20,-0.7783,23,-0.6267
ENSG00000205090,TMEM240,11,-1.5184,13,-1.2502,14,-1.1530,26,-0.2215,40,0.51172,28,-0.1192,43,0.55660,44,0.69997
ENSG00000160075,SSU72,50,-1.5576,155,0.15991,88,-0.7263,122,-0.2198,183,0.48763,167,0.31381,118,-0.2695,154,0.16969
ENSG00000228594,FNDC10,7,-2.4564,29,-0.3369,35,-0.0658,17,-1.1266,24,-0.7322,56,0.77580,66,0.96346,44,0.35207
ENSG00000197530,MIB2,24,-0.7167,39,0.00925,21,-0.9239,36,-0.1232,64,0.94535,37,-0.0738,48,0.35277,27,-0.5752
ENSG00000248333,CDK11B,120,0.78049,30,-1.3651,171,1.39739,73,-0.0219,64,-0.2578,36,-1.2109,94,0.36994,65,-0.2318
ENSG00000008128,CDK11A,70,1.07227,23,-0.6816,53,0.60006,33,-0.1686,30,-0.3415,26,-0.5473,44,0.27155,33,-0.1657
ENSG00000215790,SLC35E2A,19,-0.3879,28,0.19191,19,-0.3745,21,-0.2443,29,0.30676,33,0.56909,16,-0.6306,20,-0.3010
ENSG00000008130,NADK,4,-2.4787,25,0.11293,22,-0.0976,18,-0.4030,22,-0.0903,29,0.34603,37,0.73855,25,0.10670
ENSG00000078369,GNB1,201,-1.3152,571,0.29695,423,-0.1789,368,-0.3949,536,0.21993,455,-0.0707,360,-0.4312,654,0.59132
ENSG00000187730,GABRD,17,-2.9573,54,-1.2893,51,-1.3602,146,0.24394,212,1.00668,164,0.49537,151,0.30460,101,-0.3615
ENSG00000067606,PRKCZ,80,-1.3765,103,-1.0018,144,-0.4875,163,-0.2965,247,0.40641,226,0.24825,276,0.54257,228,0.25852
ENSG00000162585,FAAP20,26,-0.7330,56,0.44102,43,0.02323,46,0.12215,29,-0.6279,35,-0.3362,51,0.27524,59,0.58471
ENSG00000157933,SKI,47,0.65826,52,0.83473,44,0.54374,25,-0.3536,22,-0.5936,16,-1.1042,38,0.32306,31,-0.0245
ENSG00000157916,RER1,19,-1.3416,70,0.67502,46,-0.0197,19,-1.3314,67,0.68397,35,-0.4686,28,-0.7458,61,0.49611
ENSG00000157911,PEX10,20,-0.4453,30,0.20667,22,-0.3158,18,-0.6129,25,-0.1088,26,-0.0384,26,-0.0473,37,0.62621
ENSG00000149527,PLCH2,5,-1.9466,41,1.25817,8,-1.2629,8,-1.2587,36,1.21391,12,-0.8008,32,0.83241,10,-1.0462
