Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,116,2.01660,19,-0.9873,6,-2.6608,11,-1.7998,22,-0.8153,26,-0.5558,46,0.38942,42,0.19377,37,-0.0083
ENSG00000188976,NOC2L,116,1.45367,52,0.07197,29,-0.8010,22,-1.2584,19,-1.4212,17,-1.5706,64,0.48734,68,0.52280,42,-0.2640
ENSG00000188290,HES4,116,2.02579,4,-3.2711,3,-3.4663,12,-1.6774,36,-0.0249,46,0.34533,51,0.60112,18,-1.0789,32,-0.2305
ENSG00000187608,ISG15,116,1.73000,4,-3.2549,13,-1.7964,47,0.14542,34,-0.3558,58,0.48830,50,0.29016,28,-0.6363,27,-0.7207
ENSG00000188157,AGRN,116,2.38506,35,0.18902,20,-0.6786,13,-1.3491,17,-0.8849,25,-0.3430,22,-0.5571,19,-0.7551,21,-0.5768
ENSG00000078808,SDF4,116,1.02869,113,0.98057,47,-0.4405,47,-0.4401,60,-0.0723,49,-0.3838,56,-0.1961,28,-1.2070,53,-0.2598
ENSG00000176022,B3GALT6,116,2.38152,24,-0.4116,10,-1.6461,20,-0.7154,26,-0.2589,23,-0.5049,26,-0.2940,20,-0.7175,21,-0.5992
ENSG00000160087,UBE2J2,116,1.74761,62,0.61322,21,-1.0761,15,-1.5831,32,-0.4196,19,-1.2128,46,0.14503,10,-2.1713,57,0.47902
ENSG00000131584,ACAP3,116,0.67080,121,0.73979,65,-0.2745,33,-1.3162,81,0.07565,100,0.43358,65,-0.2824,18,-2.2195,106,0.51771
ENSG00000127054,INTS11,116,1.45776,53,0.10368,45,-0.1447,41,-0.2814,32,-0.6833,54,0.13316,46,-0.1164,24,-1.1089,37,-0.4607
