Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,7,-2.3252,21,-0.6859,41,0.42962,38,0.18828,37,0.20875,35,0.07104,32,-0.0762
ENSG00000188976,NOC2L,21,-1.1722,25,-0.8860,49,0.15284,63,0.52960,49,0.14306,68,0.66224,28,-0.7443
ENSG00000188290,HES4,4,-2.8100,77,1.55826,14,-1.3345,36,0.28029,33,0.13966,47,0.68136,30,-0.0132
ENSG00000187608,ISG15,80,-0.6949,577,2.84555,35,-2.1515,74,-0.8199,96,-0.4981,112,-0.1766,139,0.16965
ENSG00000188157,AGRN,15,-0.2529,29,0.79976,14,-0.4183,18,0.02490,16,-0.2465,28,0.69208,16,-0.1328
ENSG00000078808,SDF4,44,-0.4037,49,-0.2239,36,-0.8146,61,0.11718,77,0.63584,66,0.22632,65,0.22070
ENSG00000176022,B3GALT6,8,-1.2074,6,-1.4855,13,-0.6463,21,0.27035,21,0.32670,43,1.46603,17,-0.0737
ENSG00000160087,UBE2J2,12,-1.4650,37,0.16983,27,-0.4036,29,-0.2288,38,0.25189,61,0.98433,33,-0.0058
ENSG00000131584,ACAP3,77,0.27032,42,-0.6707,60,-0.1570,58,-0.1648,52,-0.4186,139,1.27990,61,-0.1021
ENSG00000127054,INTS11,25,-0.4970,25,-0.5039,28,-0.4385,52,0.63699,44,0.44082,43,0.31176,26,-0.4340
ENSG00000224051,CPTP,12,-0.4992,14,-0.2812,13,-0.4585,20,0.30010,21,0.51508,22,0.45929,11,-0.5461
ENSG00000107404,DVL1,30,-0.4175,55,0.52834,25,-0.8434,47,0.30075,46,0.31334,28,-0.5082,60,0.68150
ENSG00000175756,AURKAIP1,103,-0.4159,64,-1.1415,93,-0.6902,156,0.24379,209,0.97247,98,-0.4861,150,0.18257
ENSG00000221978,CCNL2,61,0.20032,46,-0.2536,41,-0.4829,57,0.09772,60,0.21965,79,0.63078,43,-0.3379
ENSG00000242485,MRPL20,100,-0.4186,114,-0.2087,103,-0.4393,151,0.23965,180,0.68008,96,-0.4721,123,-0.0887
ENSG00000235098,ANKRD65,42,0.61302,25,-0.2249,23,-0.4104,37,0.41941,30,0.07822,20,-0.5226,32,0.18087
ENSG00000179403,VWA1,135,3.33091,24,0.01614,5,-2.5721,2,-3.4025,15,-0.8148,18,-0.4291,25,0.03731
ENSG00000197785,ATAD3A,9,-0.2603,8,-0.4167,6,-0.9789,6,-0.8127,17,1.00073,20,0.97965,5,-1.0480
ENSG00000205090,TMEM240,12,-0.8903,4,-2.5416,17,-0.3624,43,1.17194,23,0.20927,34,0.77816,17,-0.3359
ENSG00000160075,SSU72,61,-1.2063,90,-0.6170,126,-0.1202,173,0.41457,165,0.43386,122,-0.1456,153,0.21487
ENSG00000228594,FNDC10,2,-3.4097,34,0.42669,20,-0.5224,23,-0.1628,34,0.52398,31,0.26223,36,0.52451
