Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,0,-5.2470,9,-1.8980,45,0.50585,43,0.43914,19,-0.7948,44,0.49647,56,0.86418,4,-2.8369,53,0.86608,23,-0.5112,36,0.17390
ENSG00000188976,NOC2L,19,-1.2726,32,-0.5167,5,-3.0331,32,-0.5232,25,-0.8733,26,-0.8046,38,-0.2296,74,0.81766,61,0.54557,58,0.41157,74,0.90324
ENSG00000188290,HES4,286,3.00381,10,-2.4431,4,-3.7249,35,-0.6676,66,0.30577,12,-2.1748,64,0.25660,21,-1.4504,52,-0.0837,33,-0.7528,36,-0.6636
ENSG00000187608,ISG15,250,3.02961,23,-1.0623,9,-2.3769,50,0.09406,29,-0.7352,23,-1.0554,24,-1.0429,29,-0.7472,50,0.10034,0,-6.1479,37,-0.3807
ENSG00000188157,AGRN,41,0.78124,18,-0.5115,33,0.44033,12,-1.1601,34,0.48336,7,-1.9015,33,0.41150,18,-0.5316,36,0.63690,30,0.24287,15,-0.8549
ENSG00000078808,SDF4,2,-4.6612,53,-0.0431,83,0.68943,50,-0.1316,94,0.87687,27,-1.0331,31,-0.8320,38,-0.5355,79,0.65875,68,0.35464,50,-0.1299
ENSG00000176022,B3GALT6,0,-4.9241,14,-0.8840,12,-1.1464,25,-0.0262,18,-0.5333,10,-1.3315,3,-3.0852,54,1.20184,39,0.71583,38,0.63002,40,0.80337
ENSG00000160087,UBE2J2,7,-2.3895,19,-0.9075,49,0.51875,19,-0.9019,29,-0.3159,17,-1.0595,30,-0.2220,92,1.57429,58,0.89821,25,-0.4914,27,-0.4604
ENSG00000131584,ACAP3,17,-2.1622,54,-0.4864,116,0.71804,69,-0.0984,83,0.19050,32,-1.2394,74,0.00829,71,-0.0528,143,1.21334,46,-0.7069,55,-0.4838
ENSG00000127054,INTS11,121,1.35455,35,-0.6508,66,0.33474,16,-1.7822,33,-0.7157,32,-0.7702,32,-0.7755,82,0.69592,58,0.14531,69,0.41257,44,-0.3128
ENSG00000224051,CPTP,0,-4.3835,7,-1.2866,5,-1.8377,24,0.51011,28,0.70718,8,-1.2291,12,-0.6115,1,-3.5293,28,0.81418,12,-0.5439,38,1.40390
ENSG00000107404,DVL1,83,0.56064,34,-0.8021,17,-1.7929,89,0.67368,132,1.33611,17,-1.8632,34,-0.8127,75,0.38944,86,0.69008,39,-0.6288,32,-0.9456
ENSG00000175756,AURKAIP1,48,-1.9347,81,-1.1661,97,-0.8942,181,0.06784,129,-0.4577,147,-0.2566,89,-1.0109,318,0.97697,324,1.14522,152,-0.2095,183,0.09443
ENSG00000221978,CCNL2,108,1.05549,66,0.26029,57,0.00827,25,-1.2258,46,-0.3139,20,-1.5359,65,0.22953,21,-1.4975,60,0.10684,58,0.05724,73,0.44065
ENSG00000242485,MRPL20,148,-0.0104,120,-0.3327,148,-0.0140,135,-0.1609,122,-0.3100,108,-0.4978,130,-0.2109,210,0.53582,188,0.40035,92,-0.7482,176,0.28617
ENSG00000235098,ANKRD65,12,-1.1339,55,1.21443,49,1.03929,35,0.50462,34,0.43125,9,-1.5920,8,-1.7181,3,-3.1635,31,0.29975,29,0.20622,19,-0.4563
ENSG00000179403,VWA1,0,-5.4620,225,3.33506,146,2.34253,8,-2.1784,46,0.31175,4,-3.0456,11,-1.7676,8,-2.3249,8,-2.4301,3,-3.4341,10,-2.0565
ENSG00000205090,TMEM240,1,-4.8130,5,-2.5065,29,-0.0184,14,-1.0387,28,-0.0668,33,0.21669,12,-1.2602,15,-0.9662,57,1.24341,76,1.58500,24,-0.2812
ENSG00000160075,SSU72,29,-2.2711,58,-1.2674,48,-1.5512,164,0.31123,90,-0.6168,103,-0.4208,92,-0.5823,255,1.02821,214,0.82555,140,0.05551,172,0.42938
ENSG00000228594,FNDC10,66,1.30427,6,-2.3222,0,-7.4954,46,0.71031,42,0.54728,4,-2.7807,17,-0.8598,17,-0.8324,55,1.11789,20,-0.5681,28,-0.0752
ENSG00000197530,MIB2,1,-4.6234,15,-1.0764,38,0.33189,47,0.67734,36,0.25929,12,-1.3413,14,-1.1387,52,0.83642,52,0.95285,7,-2.2350,36,0.27026
ENSG00000248333,CDK11B,0,-5.6956,75,0.84149,54,0.31795,30,-0.5632,50,0.20504,79,0.93161,104,1.40491,10,-2.1247,28,-0.7378,66,0.62444,24,-0.9778
ENSG00000189339,SLC35E2B,0,-4.8536,14,-0.8783,28,0.18954,13,-0.9044,26,0.10216,17,-0.5683,2,-3.6602,60,1.47564,36,0.69178,21,-0.2465,32,0.47461
ENSG00000008128,CDK11A,95,1.45522,50,0.39459,59,0.65283,18,-1.1540,36,-0.1245,39,-0.0128,67,0.84814,22,-0.8988,24,-0.7956,30,-0.4064,22,-0.8991
