Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-2.2027,55,0.53659,48,0.83527,15,-1.4426,28,-0.5536
ENSG00000188976,NOC2L,50,-0.0233,90,0.96141,52,0.09620,26,-1.0322,28,-0.9011
ENSG00000188290,HES4,20,-0.8038,31,-0.1348,31,-0.3111,38,0.19641,64,1.05927
ENSG00000187608,ISG15,14,-1.1302,29,-0.0007,30,0.11965,28,-0.0754,40,0.51010
ENSG00000188157,AGRN,16,-0.2156,28,0.72178,16,-0.3170,18,-0.0103,20,0.18511
ENSG00000078808,SDF4,54,-0.4101,79,0.19158,70,0.01598,64,-0.1336,81,0.23454
ENSG00000176022,B3GALT6,11,-1.2634,25,0.03816,27,0.35180,26,0.07173,22,-0.1341
ENSG00000160087,UBE2J2,33,-0.3193,57,0.55245,43,0.25775,21,-0.9907,34,-0.2930
ENSG00000131584,ACAP3,113,0.16669,169,0.83418,95,-0.2483,69,-0.6074,100,-0.0368
ENSG00000127054,INTS11,35,-0.1148,49,0.44281,39,0.18939,33,-0.1881,21,-0.9104
ENSG00000224051,CPTP,20,-0.2771,31,0.40803,25,0.06077,15,-0.7016,28,0.20457
ENSG00000107404,DVL1,50,-0.2333,61,0.08244,57,-0.0389,74,0.39027,51,-0.2077
ENSG00000175756,AURKAIP1,87,-0.8598,113,-0.4591,171,0.47484,208,0.51878,82,-0.9501
ENSG00000221978,CCNL2,107,0.66023,65,-0.1526,66,-0.2732,68,-0.0907,80,0.17516
ENSG00000242485,MRPL20,124,-0.5254,156,-0.1637,191,0.38864,187,0.12669,116,-0.6222
ENSG00000235098,ANKRD65,21,-0.4760,16,-0.8787,31,0.32550,45,0.74055,17,-0.8066
ENSG00000179403,VWA1,94,2.49854,11,-1.1160,12,-1.7470,50,1.20567,12,-0.9987
ENSG00000205090,TMEM240,16,-1.1290,44,0.48590,38,0.65846,12,-1.4591,24,-0.4523
ENSG00000160075,SSU72,95,-0.9907,182,0.02911,211,0.68330,139,-0.3935,108,-0.7845
ENSG00000228594,FNDC10,9,-1.9398,65,1.05561,36,0.23205,24,-0.5379,26,-0.4497
ENSG00000272106,AL691432.2,29,0.19944,17,-0.6573,26,0.08681,22,-0.2706,32,0.32730
ENSG00000197530,MIB2,43,0.30889,67,1.06637,29,-0.6037,27,-0.4045,41,0.24089
ENSG00000248333,CDK11B,76,1.29167,38,0.11175,22,-1.2918,11,-1.7021,95,1.70584
ENSG00000189339,SLC35E2B,10,-0.6942,25,0.70201,17,0.25159,16,-0.0218,7,-1.3067
ENSG00000215790,SLC35E2A,2,-3.0136,13,-0.7449,23,0.37152,36,0.91064,19,-0.1410
ENSG00000008130,NADK,21,-0.3919,30,0.17161,29,0.34130,28,0.07663,13,-1.0596
ENSG00000078369,GNB1,227,-1.4186,588,0.05224,626,0.37076,715,0.37209,405,-0.5343
ENSG00000187730,GABRD,23,-3.1019,319,0.90989,220,0.73727,67,-1.5532,117,-0.7075
ENSG00000067606,PRKCZ,158,-0.7613,448,0.93034,282,0.36740,175,-0.5967,92,-1.5728
ENSG00000162585,FAAP20,45,0.04268,71,0.77436,39,-0.3809,43,-0.0354,46,0.07070
ENSG00000157933,SKI,31,-0.6530,76,0.76912,33,-1.0627,60,0.37081,110,1.43655
ENSG00000157916,RER1,58,-0.0403,58,-0.0226,60,0.07562,69,0.23946,45,-0.4458
ENSG00000157911,PEX10,27,0.09708,25,-0.0189,22,-0.4406,57,1.34685,12,-1.0894
ENSG00000149527,PLCH2,13,-0.6159,17,-0.2189,21,0.35397,5,-1.8128,30,0.74949
ENSG00000197921,HES5,0,-8.6649,30,0.29216,25,-0.0262,66,1.68857,5,-2.3988
ENSG00000157873,TNFRSF14,7,-1.3525,12,-0.5742,20,0.70056,12,-0.5517,19,0.14311
ENSG00000157870,PRXL2B,19,-2.0067,90,0.32934,84,0.53455,71,-0.0530,50,-0.5833
ENSG00000177133,PRDM16-DT,22,-0.3486,19,-0.6070,22,-0.6951,68,1.54905,35,0.36882
ENSG00000142611,PRDM16,20,0.12714,20,0.12861,15,-0.7795,36,1.06144,24,0.41329
ENSG00000158109,TPRG1L,55,-2.0647,226,0.08671,268,1.00298,153,-0.5307,100,-1.1787
ENSG00000130764,LRRC47,43,-0.9717,74,-0.1402,97,0.75390,68,-0.2625,43,-0.9792
ENSG00000116198,CEP104,78,1.67852,37,0.36164,20,-1.0709,25,-0.2784,33,0.18599
ENSG00000198912,C1orf174,10,-0.8486,19,0.18244,18,0.23762,9,-0.9074,24,0.49249
ENSG00000196581,AJAP1,14,-1.7179,29,-0.6125,54,0.97101,24,-0.8896,42,-0.0522
ENSG00000069424,KCNAB2,61,-2.1535,324,0.39732,274,0.28640,263,0.05810,248,-0.0368
ENSG00000116254,CHD5,89,-1.5337,568,1.47101,218,-0.3310,140,-0.8443,302,0.36775
ENSG00000116251,RPL22,678,0.66161,238,-0.9992,425,-0.2181,590,0.43044,473,0.06903
ENSG00000116237,ICMT,31,-0.5093,42,-0.0474,49,0.48957,41,-0.0970,25,-0.8422
ENSG00000097021,ACOT7,51,-2.2669,179,-0.3720,310,1.61380,113,-1.0815,62,-1.9823
ENSG00000215788,TNFRSF25,4,-2.9716,21,-0.7471,40,0.71092,15,-1.2144,57,0.85834
ENSG00000171680,PLEKHG5,8,-1.9123,26,-0.0912,34,0.88609,23,-0.2932,16,-0.8296
ENSG00000162408,NOL9,41,-0.0948,71,0.80927,42,-0.1324,47,0.11617,25,-0.8640
ENSG00000162413,KLHL21,33,-0.4695,46,0.04016,49,0.34521,50,0.17490,25,-0.9079
ENSG00000116273,PHF13,10,-0.6738,13,-0.3037,18,0.57969,10,-0.7387,16,-0.0267
ENSG00000007923,DNAJC11,30,-0.6266,60,0.48336,45,0.04974,38,-0.2428,46,0.06823
ENSG00000171735,CAMTA1,156,-1.3502,533,0.57773,403,0.27920,296,-0.3727,343,-0.1410
ENSG00000049245,VAMP3,91,1.83665,11,-1.5623,19,-1.3565,61,1.07356,38,0.30517
ENSG00000049246,PER3,64,0.70856,21,-1.0342,37,-0.3608,65,0.73675,42,-0.0018
ENSG00000116288,PARK7,154,-1.0771,157,-1.0547,374,0.81610,415,0.48166,122,-1.4323
ENSG00000116285,ERRFI1,13,-1.2376,31,0.09604,37,0.97232,19,-0.6895,11,-1.4916
ENSG00000162426,SLC45A1,5,-2.2978,25,-0.0861,32,0.82627,16,-0.7679,25,-0.0795
ENSG00000142599,RERE,188,0.43175,125,-0.2266,145,0.01509,109,-0.4308,150,0.06740
ENSG00000074800,ENO1,308,-0.9417,415,-0.4818,572,0.05353,1108,1.14001,372,-0.6519
ENSG00000171612,SLC25A33,16,-1.5465,41,-0.0953,39,-0.4004,104,1.48452,44,0.00063
ENSG00000171608,PIK3CD,5,-1.4970,35,1.49681,14,-0.0681,7,-1.1469,12,-0.2213
ENSG00000171603,CLSTN1,264,-1.5972,695,-0.1147,924,0.94260,445,-0.8088,518,-0.5751
ENSG00000178585,CTNNBIP1,35,0.01809,53,0.68635,32,-0.2345,51,0.64315,13,-1.4570
ENSG00000162441,LZIC,95,1.04963,47,-0.1119,39,-0.8000,77,0.68084,54,0.09042
ENSG00000130939,UBE4B,61,0.56781,40,-0.1230,46,0.28212,26,-0.7832,25,-0.8132
ENSG00000054523,KIF1B,581,0.65310,424,0.13520,370,-0.1870,391,0.00176,288,-0.4781
ENSG00000142657,PGD,54,-0.0667,45,-0.3571,66,0.62632,47,-0.2848,24,-1.3304
ENSG00000241563,CORT,20,-0.6557,18,-0.7632,33,0.27020,43,0.55266,27,-0.1938
ENSG00000160049,DFFA,85,0.95728,51,0.10362,35,-0.8939,84,0.94459,44,-0.1148
ENSG00000142655,PEX14,10,-0.9516,13,-0.5321,23,1.09989,15,-0.3025,5,-1.8997
ENSG00000120948,TARDBP,115,0.35808,69,-0.4414,98,0.26651,91,-0.0102,52,-0.8801
ENSG00000271895,AL109811.2,16,-0.4685,17,-0.4378,25,0.56155,19,-0.2204,16,-0.4763
ENSG00000116649,SRM,44,-0.8974,76,-0.0765,85,0.24132,77,-0.0499,89,0.18382
ENSG00000171824,EXOSC10,53,0.84156,19,-0.7896,30,-0.2234,26,-0.3334,42,0.42990
ENSG00000198793,MTOR,24,-0.7790,14,-1.5366,46,0.60889,45,0.21454,36,-0.1284
ENSG00000116661,FBXO2,97,-0.8697,110,-0.6755,159,-0.2124,348,1.21622,184,0.12774
ENSG00000132879,FBXO44,50,-1.3572,147,0.31770,133,0.37901,87,-0.5069,124,0.05023
ENSG00000116670,MAD2L2,24,0.06757,15,-0.5966,24,0.19956,14,-0.7967,31,0.48336
ENSG00000177000,MTHFR,19,-0.2495,11,-1.0633,27,0.67416,23,0.00176,13,-0.8356
ENSG00000011021,CLCN6,31,-1.5279,123,0.60161,93,0.34074,87,0.04733,51,-0.7868
ENSG00000116685,KIAA2013,54,0.61970,28,-0.4358,37,0.02394,38,0.06139,26,-0.5531
ENSG00000083444,PLOD1,19,0.00608,11,-0.8146,15,-0.6300,39,1.23767,26,0.55585
ENSG00000116688,MFN2,125,-0.1527,121,-0.2150,156,0.48698,121,-0.2058,77,-0.8988
ENSG00000048707,VPS13D,68,0.16008,78,0.38895,60,-0.0550,44,-0.5222,61,-0.0009
ENSG00000162496,DHRS3,38,0.19149,31,-0.0957,20,-1.3463,99,1.91423,42,0.38876
ENSG00000116731,PRDM2,175,0.12738,195,0.30143,142,-0.4299,75,-1.1893,321,1.15213
ENSG00000189337,KAZN,98,0.85577,58,-0.0095,53,-0.2989,40,-0.5995,67,0.23228
ENSG00000142634,EFHD2,52,-0.3199,149,1.44092,58,-0.3434,36,-0.8936,57,-0.1976
ENSG00000116138,DNAJC16,18,-1.0030,40,0.20009,39,0.36043,29,-0.3234,34,-0.0899
ENSG00000197312,DDI2,31,0.01576,21,-0.5723,32,0.10641,30,-0.0170,35,0.19697
ENSG00000116786,PLEKHM2,55,-0.9632,139,0.48642,102,-0.0352,124,0.29928,100,-0.0489
ENSG00000065526,SPEN,355,1.95444,98,-0.2915,64,-1.6226,99,-0.2771,240,1.20764
ENSG00000116809,ZBTB17,25,0.06491,21,-0.2125,23,-0.1138,22,-0.1639,33,0.51764
ENSG00000037637,FBXO42,17,-0.5625,18,-0.4342,24,-0.0319,22,-0.1890,42,0.88806
ENSG00000055070,SZRD1,40,0.40552,46,0.62647,22,-0.9835,45,0.59066,47,0.67400
ENSG00000219481,NBPF1,29,0.65865,17,-0.1893,18,-0.3244,31,0.76190,11,-0.8404
ENSG00000159363,ATP13A2,36,-1.7633,200,0.91319,130,0.46585,87,-0.4393,52,-1.2346
ENSG00000117118,SDHB,30,-1.2716,53,-0.4393,84,0.78746,90,0.41065,21,-1.8349
ENSG00000117115,PADI2,321,2.46859,59,-0.5486,37,-2.0610,152,0.98595,87,0.05986
ENSG00000179051,RCC2,4,-2.4191,25,0.38983,24,0.87239,11,-0.9082,12,-0.7096
ENSG00000074964,ARHGEF10L,13,-0.7499,23,0.06423,21,-0.0949,17,-0.3641,37,0.88618
ENSG00000117154,IGSF21,39,-0.9058,47,-0.6254,81,0.63711,61,-0.1989,62,-0.1923
ENSG00000159423,ALDH4A1,24,-0.6245,53,0.59873,31,-0.4813,75,1.20460,24,-0.6316
ENSG00000127481,UBR4,45,0.94263,23,-0.1566,19,-0.8475,34,0.44417,38,0.63826
ENSG00000127463,EMC1,31,-0.4511,31,-0.4222,49,0.75051,36,-0.2235,18,-1.2316
ENSG00000053372,MRTO4,15,-1.3724,47,0.37899,43,0.59083,30,-0.3565,22,-0.8106
ENSG00000053371,AKR7A2,49,0.22669,27,-0.7061,40,-0.1932,82,1.09142,26,-0.7425
ENSG00000077549,CAPZB,115,-0.5036,138,-0.2203,166,0.15978,173,0.13252,168,0.08478
ENSG00000173436,MICOS10,111,-1.2597,148,-0.8254,298,0.70095,338,0.48162,134,-0.9840
ENSG00000158747,NBL1,76,-1.1734,227,0.54395,164,0.01714,152,-0.1076,191,0.25832
ENSG00000169914,OTUD3,13,-0.3692,26,0.69074,17,-0.0749,14,-0.2747,16,-0.0467
ENSG00000162545,CAMK2N1,840,-1.3134,1326,-0.6175,2148,0.34823,2245,0.21693,2337,0.28184
ENSG00000090432,MUL1,14,-0.4762,24,0.38036,21,0.33466,16,-0.2371,11,-0.8161
ENSG00000158828,PINK1,199,-1.0663,478,0.31069,446,0.48814,376,-0.0767,218,-0.9232
ENSG00000244038,DDOST,11,-1.6317,13,-1.3704,40,1.13622,31,-0.0405,18,-0.8150
ENSG00000117245,KIF17,6,-2.1926,29,0.18552,31,0.79646,19,-0.4921,17,-0.6011
ENSG00000189410,SH2D5,6,-3.3156,58,-0.0160,78,1.34333,26,-1.2395,31,-0.9867
ENSG00000127483,HP1BP3,383,0.65049,238,-0.1282,221,-0.4920,253,-0.0276,373,0.60798
ENSG00000075151,EIF4G3,203,0.31826,124,-0.4692,165,-0.0319,93,-0.9098,256,0.70679
ENSG00000117298,ECE1,30,1.02298,19,0.28214,9,-1.4690,24,0.60317,33,1.17845
ENSG00000076864,RAP1GAP,54,-1.1410,146,0.39974,134,0.65770,64,-0.8855,73,-0.6880
ENSG00000090686,USP48,125,0.96561,46,-0.6539,65,-0.2780,40,-0.8721,102,0.61627
ENSG00000070831,CDC42,179,-0.2540,219,0.06826,238,0.50221,179,-0.2507,94,-1.2354
ENSG00000004487,KDM1A,22,-1.3253,29,-0.9563,67,1.07449,41,-0.4028,35,-0.6458
ENSG00000169641,LUZP1,47,-1.2876,145,0.45878,106,-0.1213,61,-0.8943,206,1.05859
ENSG00000125944,HNRNPR,176,0.46856,77,-0.8425,147,0.40416,112,-0.2612,77,-0.8368
ENSG00000117318,ID3,37,0.80570,1,-4.4054,0,-5.9461,104,2.87684,83,2.33366
ENSG00000142676,RPL11,550,0.53738,170,-1.3040,352,-0.3914,686,0.91233,442,0.17751
ENSG00000011007,ELOA,42,0.66844,24,-0.2236,24,-0.4213,13,-1.1429,52,1.04774
ENSG00000057757,PITHD1,122,-0.6688,159,-0.2614,231,0.92673,111,-0.8144,94,-1.0761
ENSG00000011009,LYPLA2,16,-0.6198,22,-0.1584,28,0.55645,21,-0.2268,16,-0.6242
ENSG00000117305,HMGCL,11,-0.5720,15,-0.0894,17,0.09244,27,0.82335,9,-0.8966
ENSG00000189266,PNRC2,58,-0.1137,29,-1.1781,65,0.14111,83,0.45222,66,0.07664
ENSG00000188529,SRSF10,87,0.45090,44,-0.6221,67,0.06633,63,-0.0755,62,-0.0911
ENSG00000001461,NIPAL3,308,1.86557,107,-0.0005,80,-0.8826,71,-0.6291,102,-0.0618
ENSG00000133226,SRRM1,535,2.01418,92,-0.9682,77,-2.0317,75,-1.2791,560,2.11090
ENSG00000169504,CLIC4,244,3.07166,27,-0.9347,15,-2.6948,71,0.57954,66,0.44770
ENSG00000117614,SYF2,136,0.55539,77,-0.3495,79,-0.6468,128,0.45371,153,0.75683
ENSG00000117616,RSRP1,114,0.51132,62,-0.4748,84,0.03875,76,-0.1551,77,-0.1314
ENSG00000183726,TMEM50A,61,-0.5446,68,-0.3890,98,0.47806,104,0.28840,48,-0.9268
ENSG00000204178,MACO1,71,0.56504,40,-0.3552,45,-0.3868,31,-0.7442,92,1.00585
ENSG00000117643,MAN1C1,16,-1.7243,26,-1.0091,62,0.99073,35,-0.5285,47,-0.0847
ENSG00000162430,SELENON,27,-0.4407,27,-0.4269,34,-0.1184,50,0.56089,45,0.38907
ENSG00000117640,MTFR1L,52,-0.8133,103,0.25659,97,0.37990,76,-0.2372,67,-0.4344
ENSG00000117632,STMN1,782,-0.7403,1132,-0.1624,1555,0.95742,779,-0.7443,510,-1.3890
ENSG00000158008,EXTL1,11,-2.3226,98,0.98665,56,0.14387,52,-0.0638,42,-0.3920
ENSG00000175087,PDIK1L,15,-0.0415,18,0.19035,16,0.15739,19,0.27815,7,-1.2233
ENSG00000142684,ZNF593,4,-2.6407,29,0.12189,32,0.65608,19,-0.5400,27,0.01482
ENSG00000142669,SH3BGRL3,161,0.08871,185,0.31241,164,0.27013,122,-0.3514,75,-1.1091
ENSG00000158062,UBXN11,11,-1.0419,35,0.71661,21,-0.2876,39,0.88256,16,-0.4959
ENSG00000117682,DHDDS,11,-0.7352,29,0.77336,19,0.07649,11,-0.7116,18,0.02602
ENSG00000198830,HMGN2,315,0.46645,129,-0.9416,214,-0.3405,421,0.95727,219,-0.1241
ENSG00000117713,ARID1A,116,0.66724,62,-0.3468,69,-0.3747,102,0.44873,79,0.02578
ENSG00000204160,ZDHHC18,12,-0.7181,21,0.10361,21,0.20788,16,-0.2911,22,0.19444
ENSG00000142751,GPN2,29,0.72730,23,0.28937,18,-0.0487,16,-0.2889,9,-1.0828
ENSG00000090273,NUDC,132,-0.8516,183,-0.3473,269,0.68697,196,-0.2422,156,-0.5922
ENSG00000253368,TRNP1,9,-2.7578,51,-0.2266,78,1.35231,39,-0.6347,22,-1.5167
ENSG00000090020,SLC9A1,8,-1.5791,55,1.54562,22,-0.0453,6,-1.8678,21,-0.0446
ENSG00000142784,WDTC1,24,-0.7191,61,0.78555,36,-0.1473,45,0.28271,31,-0.3206
ENSG00000186501,TMEM222,53,-0.0215,87,0.79681,52,-0.0722,40,-0.4536,41,-0.4220
ENSG00000158195,WASF2,152,1.86953,41,-0.3761,27,-1.6983,59,0.20797,106,1.19254
ENSG00000126705,AHDC1,38,-0.3294,76,0.78233,44,-0.2165,51,0.11884,41,-0.2185
