Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,5,-3.0310,29,-0.4724,49,0.38747,32,-0.3614,59,0.97291
ENSG00000188976,NOC2L,13,-2.0175,49,-0.0079,24,-1.0809,53,0.15919,66,0.64099
ENSG00000188290,HES4,9,-1.7637,27,-0.0703,10,-1.5239,52,1.49576,18,-0.8548
ENSG00000187608,ISG15,22,-0.3822,21,-0.5305,16,-0.8948,43,0.98877,24,-0.3022
ENSG00000188157,AGRN,12,-0.5958,15,-0.2514,11,-0.6465,25,0.78335,15,-0.2332
ENSG00000078808,SDF4,33,-0.8216,47,-0.2896,40,-0.5241,81,0.85609,49,-0.2681
ENSG00000176022,B3GALT6,8,-1.5131,14,-0.7455,12,-0.8682,33,0.94341,24,0.15867
ENSG00000160087,UBE2J2,21,-0.8851,38,0.06173,17,-1.2185,48,0.54481,38,0.04136
ENSG00000131584,ACAP3,28,-1.5116,83,0.14817,25,-1.7022,105,0.70531,77,0.00816
ENSG00000127054,INTS11,19,-1.0321,24,-0.7159,8,-2.2117,55,0.89154,43,0.32947
ENSG00000224051,CPTP,7,-1.2861,14,-0.3210,5,-1.6719,20,0.31155,23,0.69000
ENSG00000107404,DVL1,25,-1.1127,64,0.39734,53,0.03854,65,0.50535,38,-0.5805
ENSG00000175756,AURKAIP1,40,-1.5594,85,-0.4478,76,-0.5754,176,1.08959,97,-0.2687
ENSG00000221978,CCNL2,49,-0.1679,37,-0.6779,25,-1.2161,63,0.32730,69,0.51324
ENSG00000242485,MRPL20,42,-1.4682,96,-0.2446,86,-0.3829,161,0.86415,99,-0.2096
ENSG00000235098,ANKRD65,21,-0.3876,21,-0.4501,20,-0.4558,38,0.76054,24,-0.2019
ENSG00000179403,VWA1,41,1.28531,20,0.14071,9,-1.1199,25,0.62544,8,-1.5957
ENSG00000205090,TMEM240,4,-2.8868,26,-0.0462,20,-0.4581,33,0.43310,31,0.32239
ENSG00000160075,SSU72,54,-1.4733,139,-0.0141,86,-0.7526,169,0.40500,158,0.26026
ENSG00000228594,FNDC10,2,-3.8674,38,0.46697,14,-1.1625,34,0.32259,33,0.26162
ENSG00000272106,AL691432.2,4,-2.0313,11,-0.7254,7,-1.1948,26,1.03735,18,0.18712
ENSG00000197530,MIB2,7,-2.0480,26,-0.0842,12,-1.2200,39,0.84287,27,0.01973
ENSG00000248333,CDK11B,141,1.44633,55,-0.1729,90,0.66368,41,-0.7203,46,-0.5210
