Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,11,-1.4473,14,-1.1745,52,1.35793,39,0.41823,21,-0.5353,19,-0.6597,21,-0.5523,16,-0.9655
ENSG00000188976,NOC2L,33,-0.8429,109,1.09684,75,0.60960,66,0.24515,33,-0.8241,32,-0.8954,22,-1.4429,47,-0.2915
ENSG00000188290,HES4,3,-3.4748,8,-2.0071,26,-0.3698,30,-0.0585,51,0.81043,43,0.50232,33,0.08147,67,1.28854
ENSG00000187608,ISG15,19,-0.3996,7,-1.8711,19,-0.5194,36,0.59907,39,0.76023,17,-0.5942,34,0.52278,38,0.71226
ENSG00000188157,AGRN,20,-0.1112,24,0.13664,20,-0.1772,23,0.12610,12,-0.9194,21,-0.0660,36,0.80713,22,0.01067
ENSG00000078808,SDF4,79,0.52292,69,0.30244,50,-0.2597,59,0.03180,53,-0.1236,56,-0.0340,60,0.06522,47,-0.3220
ENSG00000176022,B3GALT6,11,-1.0873,14,-0.6951,26,0.33482,23,0.03816,19,-0.2564,30,0.47099,26,0.22177,22,-0.0073
ENSG00000160087,UBE2J2,21,-0.7758,52,0.60981,46,0.56789,31,-0.1955,23,-0.6893,35,-0.0149,31,-0.1943,23,-0.6741
ENSG00000131584,ACAP3,90,0.45705,79,0.24754,67,-0.0100,73,0.11392,23,-1.6148,70,0.04377,48,-0.5552,93,0.51693
ENSG00000127054,INTS11,59,0.63297,12,-1.8511,52,0.54318,36,-0.1603,42,0.07235,17,-1.3008,38,-0.0890,43,0.09288
ENSG00000224051,CPTP,17,-0.3208,33,0.74869,21,-0.0220,18,-0.1941,19,-0.1524,20,-0.0929,13,-0.7681,27,0.41707
ENSG00000107404,DVL1,51,0.16347,18,-1.4369,38,-0.3915,68,0.61358,20,-1.2634,81,0.91764,88,1.06591,24,-1.0206
ENSG00000175756,AURKAIP1,99,-0.5912,120,-0.2922,140,-0.0633,176,0.31234,199,0.52164,139,-0.0641,191,0.45431,102,-0.5561
ENSG00000221978,CCNL2,60,-0.0316,116,1.06690,65,0.14084,24,-1.4002,36,-0.8138,36,-0.8209,43,-0.5325,99,0.79780
ENSG00000242485,MRPL20,88,-0.7424,191,0.47961,132,-0.1446,163,0.21790,231,0.80195,146,0.04006,106,-0.4629,100,-0.5539
ENSG00000235098,ANKRD65,45,0.80048,30,0.12583,18,-0.7643,55,1.16242,39,0.55116,19,-0.5966,22,-0.3765,11,-1.3494
ENSG00000179403,VWA1,200,2.85549,129,1.87117,8,-2.7469,9,-2.2904,16,-1.5283,20,-1.2111,10,-2.1764,34,-0.4303
ENSG00000205090,TMEM240,1,-3.8624,30,0.46332,25,0.20269,44,1.10824,20,-0.1863,17,-0.4133,25,0.16995,13,-0.8268
ENSG00000160075,SSU72,69,-0.9497,82,-0.6826,148,0.34286,135,0.10390,174,0.51902,145,0.22606,105,-0.2899,109,-0.2329
ENSG00000228594,FNDC10,9,-1.2025,0,-6.7727,27,0.50755,29,0.51756,19,-0.1587,34,0.76900,24,0.18756,16,-0.4536
ENSG00000197530,MIB2,23,-0.2203,42,0.71862,31,0.30819,15,-0.9032,9,-1.5969,19,-0.5539,40,0.65744,27,0.01094
ENSG00000248333,CDK11B,64,0.45504,11,-2.1983,48,0.01583,84,0.91865,54,0.18400,35,-0.4906,50,0.07138,38,-0.3855
ENSG00000189339,SLC35E2B,12,-0.3757,0,-6.2258,16,0.16848,18,0.31114,13,-0.2510,29,1.03493,13,-0.2244,18,0.23597
ENSG00000008128,CDK11A,51,0.97847,5,-2.5870,31,0.18290,26,-0.1069,18,-0.7180,16,-0.8326,34,0.30598,39,0.53491
ENSG00000215790,SLC35E2A,7,-1.8468,18,-0.3757,24,0.03256,17,-0.4893,28,0.28178,37,0.72108,21,-0.1748,35,0.66335
ENSG00000008130,NADK,13,-0.9560,42,0.90704,24,-0.0009,33,0.51680,9,-1.4938,14,-0.8524,24,0.00454,34,0.55291
ENSG00000078369,GNB1,235,-1.1109,307,-0.7060,465,-0.0679,520,0.12578,634,0.44958,700,0.61661,517,0.11510,501,0.06686
ENSG00000187730,GABRD,6,-4.5650,47,-1.6995,202,0.78293,293,1.21257,185,0.41898,81,-0.8847,115,-0.3353,94,-0.6527
ENSG00000067606,PRKCZ,105,-1.1095,276,0.40757,259,0.40372,260,0.30917,173,-0.3411,252,0.26017,153,-0.5380,152,-0.5491
ENSG00000162585,FAAP20,44,0.52728,56,0.92115,13,-1.6305,20,-0.7544,19,-0.8206,34,0.08259,44,0.52770,65,1.19004
ENSG00000157933,SKI,31,-0.3647,79,1.18818,28,-0.6365,47,0.31792,25,-0.6685,42,0.10762,31,-0.3643,50,0.41536
ENSG00000157916,RER1,54,-0.0096,93,0.89239,63,0.31291,39,-0.5197,54,-0.0051,45,-0.2838,50,-0.1120,18,-1.6701
