Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000237491,LINC01409,24,0.95581,13,-0.0683,10,-0.5215,6,-1.2312,14,0.07333,16,0.28277
ENSG00000228794,LINC01128,34,0.50687,30,0.33499,32,0.46997,10,-1.4180,19,-0.4298,19,-0.4688
ENSG00000188976,NOC2L,59,0.67307,43,0.16110,43,0.19782,24,-0.7361,33,-0.2628,32,-0.3732
ENSG00000188290,HES4,56,-0.1932,89,0.66103,54,-0.3099,97,0.70888,57,-0.1778,38,-0.8874
ENSG00000187608,ISG15,27,-0.8303,47,0.00030,26,-1.0285,63,0.48671,40,-0.2329,73,0.87619
ENSG00000188157,AGRN,30,0.32215,29,0.25891,19,-0.4911,23,-0.1052,8,-1.6584,34,0.57769
ENSG00000131591,C1orf159,11,0.02752,13,0.27567,8,-0.4930,10,-0.1008,11,-0.0201,12,0.20014
ENSG00000078808,SDF4,94,0.23125,63,-0.4709,56,-0.6625,69,-0.2651,115,0.56089,110,0.57340
ENSG00000176022,B3GALT6,15,-0.6034,22,0.01729,25,0.23870,22,0.06289,17,-0.3652,24,0.17276
ENSG00000160087,UBE2J2,50,0.20065,46,0.07388,36,-0.3564,48,0.13348,53,0.29319,42,-0.1273
ENSG00000162572,SCNN1D,13,0.89535,6,-0.4823,9,0.25074,4,-1.0847,4,-0.9913,9,0.39461
ENSG00000131584,ACAP3,86,0.46558,67,0.05207,66,0.01394,50,-0.4249,42,-0.6988,71,0.17349
ENSG00000169972,PUSL1,19,0.64800,14,0.10598,8,-0.7036,11,-0.2219,19,0.65357,11,-0.2783
ENSG00000127054,INTS11,68,0.52034,61,0.38600,45,-0.1883,35,-0.5239,34,-0.5745,49,-0.0336
ENSG00000224051,CPTP,4,-1.7702,21,0.62503,14,-0.0756,17,0.17178,7,-1.1796,18,0.37073
ENSG00000107404,DVL1,44,0.15606,46,0.29564,30,-0.5169,30,-0.4611,63,0.76550,34,-0.2550
ENSG00000162576,MXRA8,13,-0.0090,6,-1.3483,3,-2.4150,52,2.53470,8,-0.7777,15,0.22047
ENSG00000175756,AURKAIP1,120,-0.4460,200,0.44764,168,0.10267,156,-0.0246,139,-0.2080,138,-0.2500
ENSG00000221978,CCNL2,101,0.43209,76,-0.0446,76,-0.0471,56,-0.5226,86,0.15723,77,-0.0206
ENSG00000224870,MRPL20-AS1,21,0.81309,10,-0.4429,5,-1.3404,15,0.33615,26,1.26549,10,-0.4048
ENSG00000242485,MRPL20,110,-0.7837,166,-0.1528,169,-0.1242,219,0.31689,196,0.13238,215,0.33511
ENSG00000235098,ANKRD65,30,-0.2246,31,-0.1752,22,-0.7851,32,-0.1238,33,-0.0572,54,0.90824
ENSG00000179403,VWA1,57,-0.9263,21,-2.5997,24,-2.3673,86,-0.3103,164,0.76348,269,2.23861
ENSG00000160072,ATAD3B,28,1.58534,12,0.17171,12,0.06317,8,-0.6056,5,-1.2635,6,-0.9547
ENSG00000197785,ATAD3A,13,0.08178,14,0.20493,11,-0.2155,19,0.74532,9,-0.4254,10,-0.3845
ENSG00000205090,TMEM240,19,0.21986,24,0.67135,22,0.48563,6,-1.4291,25,0.62976,5,-1.9687
ENSG00000160075,SSU72,125,0.12604,150,0.50184,104,-0.1816,128,0.17041,114,-0.0191,82,-0.6112
ENSG00000228594,FNDC10,22,0.37075,28,0.94438,22,0.46606,18,0.03167,4,-2.0270,6,-1.7150
ENSG00000272106,AL691432.2,22,-0.2705,29,0.20790,29,0.17796,30,0.23842,21,-0.3594,23,-0.2252
ENSG00000197530,MIB2,60,1.08313,43,0.62241,31,-0.0017,13,-1.3071,15,-1.1386,23,-0.5708
ENSG00000248333,CDK11B,37,1.30965,8,-1.1536,21,0.34650,11,-0.6970,7,-1.3262,20,0.32889
ENSG00000189339,SLC35E2B,21,0.88088,15,0.35627,13,0.15477,3,-2.0673,8,-0.6984,11,-0.1631
ENSG00000008128,CDK11A,31,1.51016,6,-1.1868,12,-0.0548,10,-0.4468,7,-0.8421,15,0.30595
ENSG00000215790,SLC35E2A,8,-0.9706,25,0.92036,25,0.87048,7,-1.1712,7,-1.1975,10,-0.7915
ENSG00000008130,NADK,13,-0.5783,21,0.25434,18,-0.0360,19,0.04975,29,0.74343,13,-0.5526
ENSG00000078369,GNB1,464,0.13567,551,0.49354,512,0.34563,386,-0.1620,342,-0.3539,262,-0.8545
ENSG00000187730,GABRD,87,-0.2659,241,1.92568,139,0.58945,37,-1.5713,29,-1.9082,5,-4.5448
ENSG00000067606,PRKCZ,151,0.29990,168,0.56794,138,0.17128,64,-1.0447,164,0.44100,70,-1.0200
ENSG00000162585,FAAP20,19,-0.9259,42,0.34473,24,-0.6811,48,0.49061,43,0.34259,37,0.10123
ENSG00000157933,SKI,27,-0.0718,27,-0.0651,22,-0.4362,56,1.17295,24,-0.2231,24,-0.3010
ENSG00000157916,RER1,60,-0.5157,74,-0.2002,72,-0.2582,92,0.17357,78,-0.1050,112,0.58457
ENSG00000157911,PEX10,33,0.13654,23,-0.5093,16,-1.0302,42,0.53342,32,0.08435,43,0.71374
ENSG00000149527,PLCH2,8,-1.0782,27,1.05299,7,-1.4086,12,-0.4641,14,-0.2639,22,0.56705
ENSG00000157881,PANK4,10,0.69361,10,0.84395,7,0.09524,5,-0.4192,4,-0.8610,3,-1.2219
