Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000237491,LINC01409,1,-2.8770,13,0.80813,11,0.41399,7,-0.1633,4,-1.1850,10,0.43978
ENSG00000228794,LINC01128,15,-1.2993,26,-0.5068,39,0.18484,48,0.50719,45,0.41178,36,0.06501
ENSG00000188976,NOC2L,38,-0.0945,13,-1.6969,21,-1.0452,26,-0.7010,44,0.14933,60,1.07029
ENSG00000187961,KLHL17,16,0.75140,6,-0.8536,12,0.26624,4,-1.3430,14,0.54055,9,-0.0874
ENSG00000188290,HES4,97,1.07897,44,-0.2754,44,-0.2722,41,-0.3678,35,-0.6157,52,-0.0192
ENSG00000187608,ISG15,62,0.76035,51,0.41459,22,-0.9138,45,0.21059,33,-0.2750,35,-0.3025
ENSG00000188157,AGRN,39,0.55809,12,-1.2863,20,-0.5101,18,-0.7286,28,0.02563,36,0.58333
ENSG00000131591,C1orf159,10,0.04675,3,-1.6499,12,0.32210,2,-2.1960,9,-0.0612,14,0.88526
ENSG00000078808,SDF4,106,0.56028,64,-0.2810,70,-0.1506,37,-1.1406,88,0.24386,82,0.15941
ENSG00000176022,B3GALT6,27,0.03222,17,-0.7032,24,-0.1866,16,-0.8048,33,0.34638,32,0.45357
ENSG00000160087,UBE2J2,50,0.29951,31,-0.4873,45,0.10542,33,-0.4124,50,0.27064,43,0.03587
ENSG00000162572,SCNN1D,16,0.78781,4,-1.2962,9,-0.1741,3,-1.8340,9,-0.2244,13,0.66381
ENSG00000131584,ACAP3,90,0.51417,33,-1.0998,97,0.64078,36,-0.9796,53,-0.3641,74,0.26208
ENSG00000169972,PUSL1,10,0.00657,10,-0.0818,8,-0.4002,8,-0.3316,12,0.34869,11,0.16423
ENSG00000127054,INTS11,62,0.40225,29,-0.8258,37,-0.4598,28,-0.8693,60,0.32233,59,0.43833
ENSG00000224051,CPTP,26,0.28487,17,-0.4352,17,-0.4359,9,-1.3723,24,0.16401,28,0.56605
ENSG00000107404,DVL1,78,0.54152,58,0.02071,68,0.30188,44,-0.3986,40,-0.5460,55,-0.0640
ENSG00000175756,AURKAIP1,154,-0.2317,198,0.18294,156,-0.2053,172,-0.0492,150,-0.2713,196,0.23925
ENSG00000221978,CCNL2,82,-0.0402,57,-0.6227,94,0.19406,76,-0.1679,127,0.70333,79,-0.1489
ENSG00000224870,MRPL20-AS1,17,1.17439,9,0.16514,9,0.07505,10,0.23085,4,-0.9954,6,-0.6480
ENSG00000242485,MRPL20,112,-0.6759,242,0.58875,174,0.03110,202,0.27600,134,-0.3909,168,-0.0433
ENSG00000235098,ANKRD65,35,0.11780,31,-0.0363,41,0.40345,18,-0.9299,30,-0.0929,34,0.13227
ENSG00000179403,VWA1,85,2.29822,12,-1.1759,11,-1.3158,7,-2.0126,12,-1.1325,26,0.01976
ENSG00000160072,ATAD3B,11,-0.1871,6,-1.1154,20,0.87448,4,-1.7492,9,-0.4396,16,0.63911
ENSG00000197785,ATAD3A,16,0.14846,2,-2.5211,11,-0.4285,6,-1.2914,19,0.42792,20,0.89125
ENSG00000205090,TMEM240,40,0.85670,10,-1.3427,42,0.95068,9,-1.4809,25,0.02836,22,-0.1629
ENSG00000160075,SSU72,110,-0.2787,162,0.35382,142,0.13185,120,-0.1441,129,-0.0280,128,-0.0459
ENSG00000228594,FNDC10,27,0.12368,24,-0.0829,12,-1.1783,20,-0.3699,21,-0.3359,33,0.65550
ENSG00000272106,AL691432.2,25,0.26878,17,-0.3268,43,1.20261,14,-0.6757,18,-0.2412,18,-0.3934
ENSG00000197530,MIB2,36,0.26810,25,-0.3550,23,-0.4921,22,-0.5521,33,0.08677,36,0.38927
ENSG00000248333,CDK11B,32,1.29268,13,-0.2400,12,-0.3474,18,0.25800,7,-1.0905,13,-0.3298
ENSG00000189339,SLC35E2B,29,-0.4717,27,-0.5468,23,-0.8003,25,-0.6639,50,0.43999,51,0.71775
ENSG00000008128,CDK11A,26,1.78256,8,-0.3495,14,0.62031,5,-1.0848,7,-0.4045,6,-1.0136
ENSG00000215790,SLC35E2A,23,0.05413,16,-0.5348,20,-0.1977,22,-0.0426,17,-0.4781,28,0.47948
ENSG00000008130,NADK,28,-0.0041,22,-0.3614,35,0.40443,23,-0.2969,30,0.13596,28,0.00850
ENSG00000078369,GNB1,571,0.06484,660,0.30673,595,0.13174,475,-0.2382,582,0.09515,504,-0.1938
ENSG00000187730,GABRD,107,-0.7091,116,-0.5888,165,-0.0224,219,0.44809,238,0.59283,165,-0.0357
ENSG00000067606,PRKCZ,128,-0.3014,155,0.00785,145,-0.1049,135,-0.2270,161,0.06309,171,0.23943
ENSG00000162585,FAAP20,64,1.10199,55,0.80604,28,-0.3057,23,-0.6228,23,-0.6397,26,-0.5339
ENSG00000157933,SKI,57,1.83530,19,-0.1790,29,0.53658,9,-1.2723,7,-1.6187,15,-0.6373
ENSG00000272420,AL513477.2,2,-1.7260,4,-0.9527,13,0.71393,5,-0.6601,13,0.73623,9,0.30021
ENSG00000157916,RER1,74,0.10726,51,-0.4817,57,-0.3020,63,-0.1578,76,0.16498,77,0.26194
ENSG00000157911,PEX10,41,0.89577,33,0.54015,16,-0.6651,19,-0.3704,15,-0.7017,23,-0.1237
ENSG00000149527,PLCH2,23,0.17860,14,-0.5699,31,0.66688,11,-0.9989,27,0.47271,19,-0.1182
ENSG00000157881,PANK4,9,-1.0032,25,0.62955,22,0.39841,15,-0.2118,17,0.00205,16,-0.0990
ENSG00000197921,HES5,31,0.28688,56,1.37828,33,0.42353,13,-1.1007,8,-1.7890,22,-0.3648
ENSG00000157873,TNFRSF14,18,0.90855,8,-0.3782,28,1.76969,9,-0.2221,6,-0.8039,5,-1.4781
ENSG00000157870,PRXL2B,50,0.12571,40,-0.2235,42,-0.1317,42,-0.1580,53,0.24243,47,0.04733
ENSG00000177133,PRDM16-DT,21,0.38970,33,1.23605,19,0.28078,11,-0.6315,2,-2.6918,15,-0.2417
ENSG00000142611,PRDM16,17,0.84584,21,1.26454,9,-0.1043,3,-1.6312,6,-0.7859,8,-0.4698
ENSG00000158109,TPRG1L,126,-0.7506,196,-0.0485,166,-0.3144,190,-0.0966,260,0.42878,225,0.26057
ENSG00000116213,WRAP73,14,-0.4830,9,-1.0873,13,-0.5503,15,-0.3732,23,0.26917,26,0.78997
ENSG00000130764,LRRC47,83,-0.0790,66,-0.4601,85,-0.0468,52,-0.8199,100,0.22148,104,0.43378
