Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,11,-1.8194,20,-0.9205,40,0.41899,45,0.35355,44,0.32848
ENSG00000188976,NOC2L,28,-0.7822,23,-1.1174,56,0.73429,53,0.20042,30,-0.7131
ENSG00000188290,HES4,10,-2.2652,58,0.42941,37,-0.5968,142,2.06000,14,-1.7169
ENSG00000187608,ISG15,21,-0.8069,44,0.31334,38,0.17170,50,0.53656,18,-1.0192
ENSG00000188157,AGRN,17,-0.6803,27,0.06517,22,-0.4972,80,1.94884,4,-2.8058
ENSG00000078808,SDF4,55,-0.0832,84,0.59799,59,0.06786,62,0.08928,25,-1.2659
ENSG00000176022,B3GALT6,13,-1.0943,20,-0.4922,37,1.54158,14,-1.0017,3,-3.3083
ENSG00000160087,UBE2J2,22,-0.6769,22,-0.6900,37,0.32566,60,0.94203,14,-1.3450
ENSG00000131584,ACAP3,57,-0.5832,64,-0.3881,85,0.10857,158,1.09305,35,-1.3002
ENSG00000127054,INTS11,34,-0.4755,21,-1.2254,45,-0.1001,130,1.78208,9,-2.3785
ENSG00000224051,CPTP,7,-1.6276,25,0.31142,27,1.31820,2,-3.0509,8,-1.3472
ENSG00000107404,DVL1,34,-0.9139,122,1.14206,64,0.13716,42,-0.5898,34,-0.9040
ENSG00000175756,AURKAIP1,73,-1.3906,127,-0.5464,228,1.05863,134,-0.4647,102,-0.8893
ENSG00000221978,CCNL2,63,0.12448,33,-0.8876,53,-0.3105,162,1.78240,6,-3.2709
ENSG00000242485,MRPL20,118,-0.3636,127,-0.2537,164,0.38172,143,-0.0582,115,-0.4069
ENSG00000235098,ANKRD65,55,1.16856,34,0.34678,27,-0.0591,8,-1.8285,15,-0.9085
ENSG00000179403,VWA1,228,3.86769,41,0.17459,11,-2.7354,26,-0.5023,4,-3.0329
ENSG00000205090,TMEM240,5,-2.5186,23,-0.4558,38,0.96276,38,0.35723,11,-1.5600
ENSG00000160075,SSU72,55,-1.4309,96,-0.5822,176,1.06212,73,-1.0005,112,-0.3393
ENSG00000228594,FNDC10,6,-2.4216,45,0.68883,35,0.79705,23,-0.3648,7,-2.0779
ENSG00000272106,AL691432.2,15,-0.0760,20,0.36529,18,0.61235,2,-2.9754,11,-0.5804
ENSG00000197530,MIB2,15,-1.2086,38,0.20302,41,0.87931,16,-1.1462,19,-0.8269
ENSG00000248333,CDK11B,74,0.67047,51,0.04864,30,-1.3538,99,1.16928,87,0.95169
ENSG00000189339,SLC35E2B,15,-0.6559,21,-0.1361,29,0.85344,22,-0.1072,4,-2.5736
ENSG00000008128,CDK11A,54,0.77554,37,0.14595,23,-1.1204,64,1.08925,44,0.44321
ENSG00000215790,SLC35E2A,14,-1.0768,37,0.36217,31,0.19445,19,-0.7042,38,0.41817
ENSG00000008130,NADK,12,-1.1338,25,-0.1053,28,0.28183,43,0.80002,13,-1.0705
ENSG00000078369,GNB1,209,-1.5903,740,0.37286,679,0.59017,288,-1.1054,567,-0.0578
ENSG00000187730,GABRD,1,-6.9815,57,-1.4796,208,1.75515,103,-0.5860,84,-0.8833
ENSG00000067606,PRKCZ,91,-1.2027,99,-1.0693,253,1.13345,112,-0.8880,158,-0.3518
ENSG00000162585,FAAP20,40,-0.1288,69,0.75867,47,0.36207,17,-1.3928,22,-1.0641
ENSG00000157933,SKI,27,-0.2873,62,1.07661,25,-0.8134,46,0.56669,41,0.36127
ENSG00000157916,RER1,58,0.08730,62,0.20287,61,0.42321,39,-0.5443,23,-1.3304
ENSG00000157911,PEX10,17,-0.4466,57,1.57315,20,-0.4257,14,-0.7865,20,-0.2021
ENSG00000149527,PLCH2,19,-0.0652,19,-0.0409,17,-0.4240,48,1.53147,7,-1.5914
ENSG00000157870,PRXL2B,8,-2.5953,46,0.01391,56,0.94663,37,-0.3174,25,-0.8997
ENSG00000158109,TPRG1L,33,-2.6086,88,-1.1713,247,1.35540,105,-0.8921,159,-0.2526
ENSG00000130764,LRRC47,71,-0.0345,46,-0.7118,81,0.46205,42,-0.8468,77,0.10216
