Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000237491,LINC01409,8,0.01922,7,-0.2476,8,-0.0743,14,0.79920,6,-0.4399
ENSG00000228794,LINC01128,16,-1.0396,25,-0.3998,37,0.49981,30,-0.0986,35,0.14841
ENSG00000188976,NOC2L,22,-0.8406,32,-0.2728,40,0.17392,51,0.47210,40,0.10106
ENSG00000188290,HES4,109,1.46633,42,-0.1408,39,-0.4497,39,-0.2694,34,-0.4931
ENSG00000187608,ISG15,93,1.00839,46,-0.1681,55,0.24129,11,-2.2861,36,-0.5328
ENSG00000188157,AGRN,18,-0.3143,21,-0.0387,19,-0.2890,34,0.75211,25,0.21905
ENSG00000131591,C1orf159,3,-1.3769,9,0.01494,6,-0.7994,17,1.09512,18,1.17508
ENSG00000078808,SDF4,69,0.03294,61,-0.1730,69,0.03718,80,0.26632,62,-0.1313
ENSG00000176022,B3GALT6,17,-0.4273,22,-0.0163,22,-0.0002,30,0.45451,21,-0.1091
ENSG00000160087,UBE2J2,28,-0.4795,40,0.07604,38,-0.0192,43,0.17199,42,0.14939
ENSG00000162572,SCNN1D,5,-0.9665,7,-0.5394,12,0.55977,14,0.45494,7,-0.5298
ENSG00000131584,ACAP3,36,-0.7483,71,0.37231,43,-0.7548,109,1.05306,78,0.47799
ENSG00000169972,PUSL1,10,0.19755,9,0.05039,8,-0.2909,15,0.89737,5,-0.7970
ENSG00000127054,INTS11,36,-0.3459,47,0.07432,41,-0.2150,56,0.36725,55,0.33703
ENSG00000224051,CPTP,15,-0.5262,15,-0.6005,23,0.16712,31,0.58163,25,0.23057
ENSG00000107404,DVL1,54,0.27698,51,0.20421,36,-0.5773,48,0.08040,69,0.68243
ENSG00000175756,AURKAIP1,180,0.03435,176,0.00410,177,0.01505,181,0.04367,162,-0.1328
ENSG00000221978,CCNL2,63,-0.1665,56,-0.3854,69,-0.0376,110,0.74375,69,-0.0170
ENSG00000242485,MRPL20,190,0.04421,208,0.21529,195,0.15651,122,-0.6441,145,-0.3775
ENSG00000235098,ANKRD65,29,0.22324,27,0.12914,27,0.17794,24,-0.0913,11,-1.2295
ENSG00000179403,VWA1,21,0.42981,7,-1.2407,6,-2.0189,21,0.42612,72,2.85903
ENSG00000160072,ATAD3B,12,0.11924,15,0.52709,8,-0.9611,18,0.73948,15,0.44823
ENSG00000197785,ATAD3A,3,-2.0261,8,-0.7399,13,0.25040,26,1.26464,11,-0.1811
ENSG00000205090,TMEM240,7,-1.7183,30,0.39498,23,-0.1365,35,0.62693,23,-0.0468
ENSG00000160075,SSU72,119,-0.1755,141,0.11143,138,0.11402,120,-0.1522,115,-0.2191
ENSG00000228594,FNDC10,14,-0.6922,17,-0.4141,27,0.72299,12,-0.9437,22,0.00545
ENSG00000272106,AL691432.2,26,0.57229,21,0.27080,16,-0.2957,17,-0.1067,15,-0.2764
ENSG00000197530,MIB2,20,-0.3219,29,0.27770,22,-0.3107,33,0.44771,27,0.12148
ENSG00000248333,CDK11B,16,-0.2664,17,-0.2119,18,-0.2454,28,0.58426,27,0.52134
ENSG00000189339,SLC35E2B,12,-0.7427,18,-0.1470,23,0.35523,24,0.28745,14,-0.4991
ENSG00000008128,CDK11A,10,0.41898,6,-0.4359,6,-0.4774,16,1.19452,7,-0.1001
ENSG00000215790,SLC35E2A,38,0.22686,24,-0.5292,32,-0.0718,37,0.21967,44,0.49235
ENSG00000008130,NADK,33,0.42919,26,0.01330,23,-0.2977,25,-0.0635,32,0.34513
ENSG00000078369,GNB1,526,0.02003,485,-0.1232,539,0.10982,502,-0.0555,501,-0.0577
ENSG00000187730,GABRD,64,-1.2309,172,0.33137,166,0.45318,110,-0.4119,87,-0.7857
ENSG00000067606,PRKCZ,97,-0.6562,153,0.07387,151,0.06854,143,-0.0432,172,0.24853
ENSG00000162585,FAAP20,58,1.08181,34,0.23347,24,-0.6350,14,-1.1404,43,0.58390
ENSG00000157933,SKI,29,0.89095,16,-0.0605,14,-0.5182,19,0.21856,18,0.15586
ENSG00000157916,RER1,61,-0.0898,56,-0.2379,66,0.10695,66,0.04515,70,0.14142
