Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000228794,LINC01128,8,-2.2898,20,-0.9621,30,-0.3049,36,-0.0166,77,1.25370,49,0.48385,37,0.01674
ENSG00000188976,NOC2L,31,-0.9675,25,-1.2845,76,0.48108,66,0.28590,94,0.84125,83,0.63414,35,-0.8265
ENSG00000188290,HES4,8,-2.5380,54,0.21992,120,1.65916,45,-0.0785,40,-0.2417,39,-0.2838,35,-0.5098
ENSG00000187608,ISG15,22,-0.7630,64,1.01437,66,1.06960,32,-0.1691,3,-3.6287,49,0.52459,25,-0.6182
ENSG00000188157,AGRN,20,-0.1086,25,0.22776,12,-0.8573,24,0.18422,14,-0.6828,40,1.03420,18,-0.3535
ENSG00000078808,SDF4,47,-0.6359,71,0.02397,92,0.46074,82,0.30861,71,0.01687,66,-0.0804,59,-0.3162
ENSG00000176022,B3GALT6,12,-1.1850,21,-0.2833,24,-0.0729,31,0.36940,25,-0.0304,28,0.16828,28,0.19714
ENSG00000160087,UBE2J2,46,0.12309,63,0.65322,28,-0.6618,33,-0.4284,26,-0.7768,70,0.82337,42,-0.0319
ENSG00000131584,ACAP3,131,0.68391,72,-0.3034,31,-1.5787,99,0.24914,124,0.58418,64,-0.4777,81,-0.1307
ENSG00000127054,INTS11,48,-0.0111,35,-0.4918,50,0.07074,61,0.47653,56,0.24657,37,-0.4017,41,-0.2665
ENSG00000107404,DVL1,43,-0.1381,79,0.89798,34,-0.4949,50,0.12259,59,0.39197,43,-0.1215,30,-0.7365
ENSG00000175756,AURKAIP1,62,-1.3864,165,0.12541,198,0.42926,225,0.77509,114,-0.4620,129,-0.2724,127,-0.3324
ENSG00000221978,CCNL2,100,0.67677,47,-0.5322,28,-1.3080,75,0.23007,62,-0.0949,80,0.29840,65,-0.0454
ENSG00000242485,MRPL20,112,-0.4801,148,-0.0388,198,0.44123,208,0.62325,113,-0.4636,110,-0.5119,133,-0.2393
ENSG00000235098,ANKRD65,18,-0.7561,28,-0.0507,40,0.54447,42,0.72387,16,-0.8822,19,-0.6796,28,-0.0806
ENSG00000179403,VWA1,176,3.56283,46,0.56945,14,-1.2379,17,-1.0722,10,-1.7126,4,-3.0653,3,-3.4308
ENSG00000205090,TMEM240,32,0.23214,17,-0.7331,39,0.54110,32,0.25620,30,0.11646,33,0.26823,18,-0.7696
ENSG00000160075,SSU72,100,-0.6008,133,-0.1411,181,0.35726,189,0.50122,144,-0.0234,134,-0.1330,121,-0.3392
ENSG00000228594,FNDC10,17,-1.1089,21,-0.8063,48,0.48606,40,0.19124,51,0.57410,44,0.32662,31,-0.2739
ENSG00000197530,MIB2,39,0.24303,44,0.46810,31,-0.1196,34,0.04038,52,0.74548,21,-0.6869,22,-0.7165
ENSG00000248333,CDK11B,76,1.45223,28,-0.2549,21,-0.7193,22,-0.6887,24,-0.4782,46,0.53127,29,-0.2488
ENSG00000215790,SLC35E2A,10,-1.5334,44,0.83736,17,-0.6691,28,0.10034,37,0.55121,26,-0.0252,25,-0.1526
ENSG00000008130,NADK,17,-0.5420,31,0.40786,12,-1.0029,34,0.70809,29,0.30098,26,0.14227,16,-0.7285
ENSG00000078369,GNB1,168,-1.6269,595,0.35347,535,0.17600,616,0.47928,440,-0.1401,452,-0.0998,451,-0.1174
ENSG00000187730,GABRD,42,-2.4474,84,-1.4305,316,0.67715,240,0.24203,239,0.20619,308,0.63344,214,0.02880
ENSG00000067606,PRKCZ,178,-0.2622,157,-0.4642,158,-0.4570,300,0.70217,286,0.51090,215,0.03758,148,-0.6191
ENSG00000162585,FAAP20,42,0.41074,52,0.79585,71,1.35588,39,0.35666,24,-0.5065,7,-2.2900,9,-2.0835
ENSG00000157933,SKI,32,-0.3688,69,0.89852,47,0.25157,30,-0.4945,59,0.63209,21,-1.0271,37,-0.1520
ENSG00000157916,RER1,50,-0.2733,60,0.03258,57,-0.0662,64,0.14560,43,-0.5099,95,0.78562,50,-0.3022
ENSG00000157870,PRXL2B,15,-1.6871,49,0.12506,49,0.11409,52,0.24707,59,0.44485,48,0.09409,42,-0.1289
ENSG00000158109,TPRG1L,79,-1.6040,176,-0.3799,205,-0.1380,278,0.41262,227,0.02257,320,0.59650,225,0.01238
ENSG00000130764,LRRC47,65,-0.5302,68,-0.4774,111,0.32475,115,0.44468,102,0.18577,84,-0.1289,80,-0.2332
ENSG00000116198,CEP104,110,2.05678,24,-0.6057,25,-0.5434,20,-0.9764,34,-0.0512,23,-0.7002,31,-0.2190
ENSG00000196581,AJAP1,38,-0.5747,21,-1.4372,54,-0.0101,51,-0.0985,57,0.06378,57,0.06960,80,0.75865
ENSG00000069424,KCNAB2,41,-2.3289,214,0.18405,153,-0.3576,241,0.44848,174,-0.1467,264,0.53824,195,0.03861
ENSG00000116254,CHD5,251,-0.1756,197,-0.5563,103,-1.5517,236,-0.3109,605,1.33489,310,0.16673,291,0.07341
ENSG00000116251,RPL22,492,0.09623,844,1.01956,476,0.04093,487,0.09153,433,-0.1126,190,-1.3854,383,-0.3479
ENSG00000116237,ICMT,16,-1.4454,27,-0.6519,78,1.13480,34,-0.3254,25,-0.7149,55,0.51720,47,0.28982
ENSG00000097021,ACOT7,81,-1.6434,92,-1.4422,313,0.48360,281,0.34872,145,-0.7585,484,1.25520,214,-0.1622
ENSG00000215788,TNFRSF25,16,-0.7828,17,-0.7110,19,-0.5338,35,0.53074,35,0.45968,13,-1.1440,35,0.51177
ENSG00000171680,PLEKHG5,2,-3.8192,23,-0.2403,29,0.15763,34,0.44207,13,-1.0953,42,0.76671,31,0.31997
