Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,24,-0.0948,55,1.87265,0,-6.4921,8,-1.7704
ENSG00000188976,NOC2L,44,0.61745,52,0.87771,0,-6.7610,19,-1.0394
ENSG00000188290,HES4,47,0.44570,74,1.42423,7,-2.6255,8,-2.5040
ENSG00000187608,ISG15,27,-0.0326,37,0.60441,31,0.22539,16,-0.9081
ENSG00000188157,AGRN,25,0.27979,18,-0.3984,19,-0.2042,24,0.12357
ENSG00000078808,SDF4,57,0.09791,63,0.25686,58,0.09995,42,-0.4944
ENSG00000176022,B3GALT6,21,0.87012,15,0.08258,0,-5.7795,13,-0.2965
ENSG00000160087,UBE2J2,36,0.88853,31,0.38719,6,-2.0825,14,-1.0637
ENSG00000162572,SCNN1D,14,0.28469,13,0.07092,10,-0.4141,11,-0.2277
ENSG00000131584,ACAP3,100,0.45675,74,-0.2150,13,-2.8364,102,0.40149
ENSG00000127054,INTS11,39,-0.0565,29,-0.5534,41,0.05631,51,0.49564
ENSG00000224051,CPTP,23,1.37777,14,-0.0861,1,-3.5357,8,-1.0387
ENSG00000107404,DVL1,63,1.03460,32,-0.5266,12,-1.8823,38,-0.2126
ENSG00000175756,AURKAIP1,76,0.11859,74,0.05936,96,0.47609,52,-0.5833
ENSG00000221978,CCNL2,54,-0.3772,97,0.86055,26,-1.4021,65,0.04353
ENSG00000242485,MRPL20,68,-0.0948,77,0.17174,94,0.47878,57,-0.4035
ENSG00000235098,ANKRD65,13,-0.3505,14,-0.1904,0,-5.8038,28,1.30349
ENSG00000179403,VWA1,14,-2.2729,21,-1.5094,65,0.44023,126,2.30591
ENSG00000160072,ATAD3B,11,0.26303,13,0.49661,0,-5.2602,11,0.05952
ENSG00000205090,TMEM240,31,1.00220,30,0.67775,0,-6.2785,9,-1.5133
ENSG00000160075,SSU72,89,0.02692,106,0.35091,127,0.61288,50,-0.9982
ENSG00000228594,FNDC10,33,1.90741,15,-0.2653,6,-1.5689,3,-2.8375
ENSG00000197530,MIB2,39,0.92826,19,-0.6519,31,0.19146,17,-0.8991
ENSG00000248333,CDK11B,45,-0.0192,28,-0.8583,11,-2.1806,81,1.25031
ENSG00000189339,SLC35E2B,14,0.12390,16,0.30053,8,-0.7223,13,-0.1264
ENSG00000008128,CDK11A,23,-0.4751,10,-1.7033,8,-1.9325,66,1.98912
ENSG00000215790,SLC35E2A,30,0.15638,29,0.10276,39,0.58161,17,-0.8122
ENSG00000008130,NADK,19,0.31534,25,0.86926,4,-2.1105,11,-0.7853
ENSG00000078369,GNB1,314,0.29689,410,0.81789,246,-0.1952,105,-1.6734
ENSG00000187730,GABRD,120,1.64720,84,0.39796,0,-7.2965,11,-2.9550
ENSG00000067606,PRKCZ,129,0.83811,110,0.31885,21,-2.2493,59,-0.8112
ENSG00000162585,FAAP20,32,-0.0323,15,-1.2651,68,1.32900,31,-0.0439
