Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,4,-2.9915,22,-0.7942,43,0.54411,35,0.05937,50,0.77560
ENSG00000188976,NOC2L,22,-0.9808,29,-0.6504,61,0.86409,42,0.01656,40,-0.0643
ENSG00000188290,HES4,11,-1.4029,27,-0.0061,34,0.49610,38,0.54211,19,-0.5647
ENSG00000187608,ISG15,9,-1.4640,35,0.96805,22,-0.1029,16,-0.5936,17,-0.4864
ENSG00000078808,SDF4,30,-0.6444,42,-0.1435,60,0.62971,70,0.71625,23,-1.1535
ENSG00000160087,UBE2J2,10,-1.4520,28,-0.0045,38,0.68730,12,-1.2012,29,0.06424
ENSG00000131584,ACAP3,29,-1.2275,64,-0.0031,78,0.42403,42,-0.6609,72,0.21089
ENSG00000127054,INTS11,17,-0.9777,35,0.13388,56,1.25118,13,-1.4403,13,-1.4766
ENSG00000107404,DVL1,22,-1.5839,79,0.49769,53,-0.3465,127,1.18115,42,-0.6930
ENSG00000175756,AURKAIP1,43,-1.6216,138,0.23046,189,0.98073,78,-0.7115,67,-1.0338
ENSG00000221978,CCNL2,49,0.03432,32,-0.7965,84,1.35083,38,-0.3632,23,-1.1994
ENSG00000242485,MRPL20,59,-0.9839,126,0.25765,148,0.62636,90,-0.3300,71,-0.7597
ENSG00000235098,ANKRD65,11,-1.1129,33,0.77583,25,0.12280,20,-0.2436,14,-0.8213
ENSG00000205090,TMEM240,0,-7.8735,23,-0.0847,35,0.81480,4,-2.4272,32,0.50325
ENSG00000160075,SSU72,43,-1.5435,126,0.11882,163,0.70181,125,0.07497,77,-0.7402
ENSG00000228594,FNDC10,4,-2.4984,23,-0.0875,35,0.79978,21,-0.2424,22,-0.1861
ENSG00000197530,MIB2,7,-1.8325,34,0.67001,33,0.58547,12,-1.0932,15,-0.8282
ENSG00000248333,CDK11B,139,1.19248,31,-1.4219,59,-0.3052,72,0.08876,101,0.75276
ENSG00000008128,CDK11A,127,2.46562,11,-1.8504,24,-0.5849,13,-1.4484,42,0.43124
ENSG00000215790,SLC35E2A,2,-3.1277,27,0.30362,31,0.61437,15,-0.6913,21,-0.1784
ENSG00000008130,NADK,11,-0.9659,27,0.51695,24,0.28662,24,0.22576,11,-1.0497
ENSG00000078369,GNB1,133,-2.0868,649,0.47320,543,0.08434,690,0.45655,409,-0.4272
ENSG00000187730,GABRD,1,-6.4416,141,0.19966,171,0.63732,20,-2.7711,162,0.43714
ENSG00000067606,PRKCZ,32,-2.6455,201,0.15754,229,0.44549,148,-0.3582,196,0.09576
ENSG00000162585,FAAP20,30,0.22972,34,0.61813,25,-0.0393,14,-0.9640,18,-0.6219
ENSG00000157933,SKI,32,-0.3275,45,0.30850,21,-1.1326,71,0.98639,45,0.24049
ENSG00000157916,RER1,25,-0.7252,38,-0.0954,61,1.01485,36,-0.1551,19,-1.2369
ENSG00000157870,PRXL2B,10,-2.3339,53,0.13876,62,0.47918,60,0.31675,40,-0.3677
ENSG00000158109,TPRG1L,16,-3.5907,187,0.11750,260,0.88040,149,-0.2729,131,-0.5223
ENSG00000130764,LRRC47,22,-1.4128,49,-0.2332,82,0.87201,48,-0.2349,46,-0.3194
ENSG00000116198,CEP104,113,1.86382,30,-0.5109,24,-0.9441,31,-0.3779,43,0.17308
ENSG00000196581,AJAP1,17,-1.3939,33,-0.5088,45,0.10828,32,-0.4525,72,1.02292
ENSG00000069424,KCNAB2,14,-3.6829,208,0.45564,217,0.55022,158,-0.1003,119,-0.5980
