Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-2.2027,55,0.53659,57,0.80734,43,0.13501,38,-0.0856,15,-1.4426,28,-0.5536
ENSG00000188976,NOC2L,50,-0.0233,90,0.96141,61,0.39941,52,0.05507,38,-0.4881,26,-1.0322,28,-0.9011
ENSG00000188290,HES4,20,-0.8038,31,-0.1348,34,0.00588,31,-0.1327,26,-0.4528,38,0.19641,64,1.05927
ENSG00000187608,ISG15,14,-1.1302,29,-0.0007,38,0.55344,24,-0.3082,22,-0.4881,28,-0.0754,40,0.51010
ENSG00000188157,AGRN,16,-0.2156,28,0.72178,16,-0.1935,13,-0.5421,18,0.02510,18,-0.0103,20,0.18511
ENSG00000078808,SDF4,54,-0.4101,79,0.19158,79,0.25370,48,-0.5922,69,-0.0377,64,-0.1336,81,0.23454
ENSG00000176022,B3GALT6,11,-1.2634,25,0.03816,28,0.28405,16,-0.6719,31,0.40550,26,0.07173,22,-0.1341
ENSG00000160087,UBE2J2,33,-0.3193,57,0.55245,46,0.29049,28,-0.5658,46,0.24282,21,-0.9907,34,-0.2930
ENSG00000131584,ACAP3,113,0.16669,169,0.83418,111,0.17622,72,-0.5492,82,-0.3790,69,-0.6074,100,-0.0368
ENSG00000127054,INTS11,35,-0.1148,49,0.44281,43,0.30450,32,-0.2336,37,-0.0125,33,-0.1881,21,-0.9104
ENSG00000224051,CPTP,20,-0.2771,31,0.40803,31,0.53178,25,0.01896,15,-0.7900,15,-0.7016,28,0.20457
ENSG00000107404,DVL1,50,-0.2333,61,0.08244,45,-0.5116,59,0.01958,76,0.49952,74,0.39027,51,-0.2077
ENSG00000175756,AURKAIP1,87,-0.8598,113,-0.4591,146,-0.0714,197,0.42867,194,0.46096,208,0.51878,82,-0.9501
ENSG00000221978,CCNL2,107,0.66023,65,-0.1526,88,0.43687,34,-1.1612,50,-0.6268,68,-0.0907,80,0.17516
ENSG00000242485,MRPL20,124,-0.5254,156,-0.1637,193,0.23774,190,0.15544,187,0.14666,187,0.12669,116,-0.6222
ENSG00000235098,ANKRD65,21,-0.4760,16,-0.8787,26,-0.1652,25,-0.2060,41,0.69678,45,0.74055,17,-0.8066
ENSG00000179403,VWA1,94,2.49854,11,-1.1160,13,-1.1312,22,-0.1391,6,-2.1429,50,1.20567,12,-0.9987
ENSG00000205090,TMEM240,16,-1.1290,44,0.48590,46,0.76144,24,-0.5046,34,0.08530,12,-1.4591,24,-0.4523
ENSG00000160075,SSU72,95,-0.9907,182,0.02911,200,0.23286,248,0.53149,209,0.28357,139,-0.3935,108,-0.7845
ENSG00000228594,FNDC10,9,-1.9398,65,1.05561,35,0.02323,68,1.14699,23,-0.6545,24,-0.5379,26,-0.4497
ENSG00000272106,AL691432.2,29,0.19944,17,-0.6573,23,-0.2198,13,-0.9957,38,0.72624,22,-0.2706,32,0.32730
ENSG00000197530,MIB2,43,0.30889,67,1.06637,30,-0.3478,24,-0.6005,31,-0.2215,27,-0.4045,41,0.24089
ENSG00000248333,CDK11B,76,1.29167,38,0.11175,15,-1.4748,33,-0.0816,27,-0.4878,11,-1.7021,95,1.70584
ENSG00000189339,SLC35E2B,10,-0.6942,25,0.70201,20,0.47294,13,-0.3487,15,-0.1125,16,-0.0218,7,-1.3067
ENSG00000215790,SLC35E2A,2,-3.0136,13,-0.7449,20,-0.0419,27,0.41190,25,0.31495,36,0.91064,19,-0.1410
ENSG00000008130,NADK,21,-0.3919,30,0.17161,29,0.17818,26,-0.0410,31,0.26641,28,0.07663,13,-1.0596
ENSG00000078369,GNB1,227,-1.4186,588,0.05224,565,-0.0154,740,0.42787,660,0.27313,715,0.37209,405,-0.5343
ENSG00000187730,GABRD,23,-3.1019,319,0.90989,259,0.76138,199,0.12211,171,-0.1329,67,-1.5532,117,-0.7075
ENSG00000067606,PRKCZ,158,-0.7613,448,0.93034,276,0.15381,379,0.64339,242,-0.1055,175,-0.5967,92,-1.5728
ENSG00000162585,FAAP20,45,0.04268,71,0.77436,36,-0.3964,71,0.77187,29,-0.7398,43,-0.0354,46,0.07070
ENSG00000157933,SKI,31,-0.6530,76,0.76912,31,-0.7829,35,-0.4659,34,-0.5704,60,0.37081,110,1.43655
ENSG00000157916,RER1,58,-0.0403,58,-0.0226,71,0.38248,36,-0.7669,57,-0.0659,69,0.23946,45,-0.4458
ENSG00000157911,PEX10,27,0.09708,25,-0.0189,17,-0.7146,35,0.50446,23,-0.1706,57,1.34685,12,-1.0894
ENSG00000149527,PLCH2,13,-0.6159,17,-0.2189,17,-0.2530,26,0.47484,25,0.48293,5,-1.8128,30,0.74949
ENSG00000197921,HES5,0,-8.6649,30,0.29216,16,-0.7664,51,1.19541,24,-0.0774,66,1.68857,5,-2.3988
ENSG00000157873,TNFRSF14,7,-1.3525,12,-0.5742,15,-0.2084,33,1.10467,21,0.38161,12,-0.5517,19,0.14311
ENSG00000157870,PRXL2B,19,-2.0067,90,0.32934,80,0.17339,110,0.67161,76,0.07646,71,-0.0530,50,-0.5833
ENSG00000177133,PRDM16-DT,22,-0.3486,19,-0.6070,20,-0.6457,48,0.92030,12,-1.3003,68,1.54905,35,0.36882
ENSG00000142611,PRDM16,20,0.12714,20,0.12861,8,-1.4586,48,1.58859,7,-1.5047,36,1.06144,24,0.41329
ENSG00000158109,TPRG1L,55,-2.0647,226,0.08671,296,0.72690,317,0.64530,201,-0.1168,153,-0.5307,100,-1.1787
ENSG00000130764,LRRC47,43,-0.9717,74,-0.1402,104,0.55582,79,-0.0409,94,0.27863,68,-0.2625,43,-0.9792
ENSG00000116198,CEP104,78,1.67852,37,0.36164,25,-0.2877,15,-1.0422,15,-1.0832,25,-0.2784,33,0.18599
ENSG00000198912,C1orf174,10,-0.8486,19,0.18244,24,0.67621,9,-1.0296,16,-0.1806,9,-0.9074,24,0.49249
ENSG00000196581,AJAP1,14,-1.7179,29,-0.6125,48,0.21933,42,-0.0413,69,0.88529,24,-0.8896,42,-0.0522
ENSG00000069424,KCNAB2,61,-2.1535,324,0.39732,252,-0.0118,310,0.32592,287,0.22435,263,0.05810,248,-0.0368
ENSG00000116254,CHD5,89,-1.5337,568,1.47101,260,0.15748,238,-0.0212,146,-0.8501,140,-0.8443,302,0.36775
ENSG00000116251,RPL22,678,0.66161,238,-0.9992,295,-0.8167,436,-0.0615,615,0.57464,590,0.43044,473,0.06903
ENSG00000116237,ICMT,31,-0.5093,42,-0.0474,55,0.51702,51,0.24416,39,-0.1720,41,-0.0970,25,-0.8422
