Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,8,-2.2687,25,-0.6618,20,-0.9773,28,-0.4894,85,1.32823,30,-0.3744,54,0.54827,56,0.61005,18,-1.1189,43,0.17460,54,0.54904
ENSG00000188976,NOC2L,28,-0.4570,17,-1.1689,35,-0.1026,12,-1.6865,21,-0.8948,8,-2.1962,37,-0.0341,58,0.70566,56,0.65561,80,1.25532,60,0.74803
ENSG00000188290,HES4,18,-0.9856,38,0.15993,58,0.81693,23,-0.6462,39,0.20064,34,-0.0333,10,-1.8987,21,-0.7991,88,1.57052,35,0.01821,18,-0.9851
ENSG00000187608,ISG15,46,0.38395,159,2.71928,17,-1.1460,19,-0.9347,12,-1.5925,13,-1.5543,13,-1.4902,17,-1.1544,30,-0.2842,27,-0.4488,43,0.27632
ENSG00000078808,SDF4,30,-0.8376,30,-0.8327,45,-0.2194,50,-0.0745,47,-0.1555,58,0.16911,35,-0.6275,37,-0.5262,83,0.74865,108,1.20278,50,-0.0536
ENSG00000160087,UBE2J2,12,-1.4576,29,-0.1632,17,-1.0169,18,-0.8633,31,-0.0695,28,-0.2367,18,-0.8981,19,-0.8021,70,1.26384,55,0.84035,61,1.01187
ENSG00000131584,ACAP3,52,-0.6485,158,1.15244,38,-1.1193,31,-1.4233,53,-0.6019,104,0.45219,23,-1.8672,106,0.47757,99,0.37309,166,1.24345,35,-1.2239
ENSG00000127054,INTS11,16,-1.4485,28,-0.5833,24,-0.8060,28,-0.5892,28,-0.6003,10,-2.0128,25,-0.7385,51,0.37147,98,1.46384,95,1.41086,46,0.18793
ENSG00000107404,DVL1,40,-0.7964,105,0.73961,54,-0.3176,82,0.34129,72,0.13762,80,0.29868,20,-1.7677,35,-0.9731,146,1.31954,73,0.14872,22,-1.6641
ENSG00000175756,AURKAIP1,43,-1.5376,128,0.11114,135,0.19304,159,0.46105,70,-0.8289,121,0.02470,60,-1.0455,53,-1.2429,259,1.29217,162,0.48653,123,0.04723
ENSG00000221978,CCNL2,57,0.43360,12,-1.8991,26,-0.7977,12,-1.8913,28,-0.6739,30,-0.5418,23,-0.9357,61,0.56541,84,1.10758,85,1.12857,55,0.38799
ENSG00000242485,MRPL20,73,-0.7375,65,-0.9191,153,0.42799,164,0.54014,94,-0.3463,109,-0.1173,87,-0.4677,92,-0.3753,226,1.08146,142,0.30587,86,-0.4859
