"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","49/251","128/10421",0.3828125,15.8935819223108,26.634429623217,5.78559623748393e-47,1.57888921320937e-43,1.52008928513262e-43,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/ATP5F1E/COX6C/NDUFA4/COA6/NDUFAB1/ATP5IF1/COX7A2/NDUFA11/ATP5PD/UQCR11/PINK1/CYC1/NDUFB1/ATP5F1A/COX6A1/NDUFA12/UQCRQ/ATP5F1B/COX7C/COX7B/COX4I1/CHCHD2/ATP5PB/NDUFA8/ATP5PO/COX6B1/NDUFS3/UQCRB/ATP5MG/ATP5F1C/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/ATP5PF/NDUFB5/BID/ANTKMT/NDUFB3",49
"GO:0009060","BP","GO:0009060","aerobic respiration","51/251","175/10421",0.291428571428571,12.0995105293113,23.262475023757,6.31874234666515e-42,8.6219239320246e-39,8.30083205119801e-39,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/ATP5F1E/COX6C/NDUFA4/COA6/NDUFAB1/ATP5IF1/COX7A2/NDUFA11/ATP5PD/UQCR11/PINK1/CYC1/NDUFB1/ATP5F1A/COX6A1/NDUFA12/UQCRQ/ATP5F1B/COX7C/COX7B/COX4I1/CHCHD2/ATP5PB/NDUFA8/SURF1/ATP5PO/COX6B1/NDUFS3/UQCRB/ATP5MG/ATP5F1C/UQCRH/COX8A/BLOC1S1/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/ATP5PF/NDUFB5/BID/ANTKMT/NDUFB3",51
"GO:0045333","BP","GO:0045333","cellular respiration","52/251","215/10421",0.241860465116279,10.0415454461225,21.0447786067078,3.46644623374579e-38,3.15331059063075e-35,3.03587712260684e-35,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/ATP5F1E/CISD1/COX6C/NDUFA4/COA6/NDUFAB1/ATP5IF1/COX7A2/NDUFA11/ATP5PD/UQCR11/PINK1/CYC1/NDUFB1/ATP5F1A/COX6A1/NDUFA12/UQCRQ/ATP5F1B/COX7C/COX7B/COX4I1/CHCHD2/ATP5PB/NDUFA8/SURF1/ATP5PO/COX6B1/NDUFS3/UQCRB/ATP5MG/ATP5F1C/UQCRH/COX8A/BLOC1S1/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/ATP5PF/NDUFB5/BID/ANTKMT/NDUFB3",52
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","37/251","89/10421",0.415730337078652,17.2602623215005,24.2014059208883,4.50821433510891e-37,2.46058338410244e-34,2.36894799588039e-34,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/COX6C/NDUFA4/COA6/NDUFAB1/COX7A2/UQCR11/PINK1/CYC1/NDUFB1/COX6A1/NDUFA12/UQCRQ/COX7C/COX7B/COX4I1/CHCHD2/NDUFA8/COX6B1/NDUFS3/UQCRB/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/NDUFB5/BID/NDUFB3",37
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","37/251","89/10421",0.415730337078652,17.2602623215005,24.2014059208883,4.50821433510891e-37,2.46058338410244e-34,2.36894799588039e-34,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/COX6C/NDUFA4/COA6/NDUFAB1/COX7A2/UQCR11/PINK1/CYC1/NDUFB1/COX6A1/NDUFA12/UQCRQ/COX7C/COX7B/COX4I1/CHCHD2/NDUFA8/COX6B1/NDUFS3/UQCRB/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/NDUFB5/BID/NDUFB3",37
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","37/251","109/10421",0.339449541284404,14.0932417120509,21.5873446843698,3.45583997449888e-33,1.57183121506791e-30,1.51329413620161e-30,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/COX6C/NDUFA4/COA6/NDUFAB1/COX7A2/UQCR11/PINK1/CYC1/NDUFB1/COX6A1/NDUFA12/UQCRQ/COX7C/COX7B/COX4I1/CHCHD2/NDUFA8/COX6B1/NDUFS3/UQCRB/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/NDUFB5/BID/NDUFB3",37
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","33/251","81/10421",0.407407407407407,16.9147115242733,22.5887008879405,9.23288269718792e-33,3.59950526866083e-30,3.46545491912497e-30,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/COX6C/NDUFA4/NDUFAB1/COX7A2/UQCR11/PINK1/CYC1/NDUFB1/COX6A1/UQCRQ/COX7C/COX7B/COX4I1/NDUFA8/COX6B1/NDUFS3/UQCRB/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/NDUFB5/NDUFB3",33
"GO:0022900","BP","GO:0022900","electron transport chain","37/251","115/10421",0.321739130434783,13.3579421444656,20.9343871989479,3.3497946442196e-32,1.14269869800941e-29,1.10014308315423e-29,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/COX6C/NDUFA4/COA6/NDUFAB1/COX7A2/UQCR11/PINK1/CYC1/NDUFB1/COX6A1/NDUFA12/UQCRQ/COX7C/COX7B/COX4I1/CHCHD2/NDUFA8/COX6B1/NDUFS3/UQCRB/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/NDUFB5/BID/NDUFB3",37
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","52/251","286/10421",0.181818181818182,7.5487142339732,17.6415777622994,1.45648179160168e-31,4.41637645475665e-29,4.25190473899157e-29,"UQCRFS1/DNAJC15/NDUFB2/CYCS/COX5A/NDUFB9/ATP5F1E/CISD1/COX6C/NDUFA4/COA6/NDUFAB1/ATP5IF1/COX7A2/NDUFA11/ATP5PD/UQCR11/PINK1/CYC1/NDUFB1/ATP5F1A/COX6A1/NDUFA12/UQCRQ/ATP5F1B/COX7C/COX7B/COX4I1/CHCHD2/ATP5PB/NDUFA8/SURF1/ATP5PO/COX6B1/NDUFS3/UQCRB/ATP5MG/ATP5F1C/UQCRH/COX8A/BLOC1S1/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/ATP5PF/NDUFB5/BID/ANTKMT/NDUFB3",52
"GO:1902600","BP","GO:1902600","proton transmembrane transport","39/251","146/10421",0.267123287671233,11.0904055012825,19.2887629515761,1.99393917019956e-30,5.44145999547459e-28,5.2388128092822e-28,"UQCRFS1/NDUFB2/COX5A/NDUFB9/ATP5F1E/COX17/NDUFA4/ATP5PD/CYC1/ATP5MC1/ATP5MC3/TMSB4X/NDUFB1/ATP5F1A/NDUFA12/ATP5F1B/COX7B/COX4I1/ATP5PB/NDUFA8/SURF1/ATP6V0B/ATP5PO/COX6B1/NDUFS3/ATP5MG/ATP5F1C/UQCRH/COX8A/NDUFS4/NDUFB10/NDUFA1/COX5B/NDUFB6/NDUFB7/ATP5PF/NDUFB5/ATP6V1D/NDUFB3",39
