Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000237491,LINC01409,24,0.95581,12,-0.3834,6,-1.2312,15,0.25786
ENSG00000228794,LINC01128,34,0.50687,31,0.60241,10,-1.4180,19,-0.5389
ENSG00000188976,NOC2L,59,0.67307,43,0.25809,24,-0.7361,32,-0.3980
ENSG00000188290,HES4,56,-0.1932,71,0.31325,97,0.70888,44,-0.7165
ENSG00000187608,ISG15,27,-0.8303,36,-0.6022,63,0.48671,62,0.65298
ENSG00000188157,AGRN,30,0.32215,24,-0.1217,23,-0.1052,25,0.02394
ENSG00000131591,C1orf159,11,0.02752,11,-0.1098,10,-0.1008,12,0.15022
ENSG00000078808,SDF4,94,0.23125,59,-0.7402,69,-0.2651,112,0.73384
ENSG00000176022,B3GALT6,15,-0.6034,23,0.18579,22,0.06289,21,-0.0082
ENSG00000160087,UBE2J2,50,0.20065,41,-0.1814,48,0.13348,45,0.04411
ENSG00000162572,SCNN1D,13,0.89535,7,-0.1230,4,-1.0847,8,-0.0073
ENSG00000131584,ACAP3,86,0.46558,66,0.04652,50,-0.4249,61,-0.1194
ENSG00000169972,PUSL1,19,0.64800,11,-0.3572,11,-0.2219,14,0.13839
ENSG00000127054,INTS11,68,0.52034,53,0.16210,35,-0.5239,44,-0.2523
ENSG00000224051,CPTP,4,-1.7702,18,0.43253,17,0.17178,15,-0.0737
ENSG00000107404,DVL1,44,0.15606,38,-0.1078,30,-0.4611,44,0.22242
ENSG00000162576,MXRA8,13,-0.0090,4,-2.1609,52,2.53470,13,-0.1027
ENSG00000175756,AURKAIP1,120,-0.4460,184,0.40946,156,-0.0246,139,-0.2822
ENSG00000221978,CCNL2,101,0.43209,76,-0.0638,56,-0.5226,80,0.05651
ENSG00000224870,MRPL20-AS1,21,0.81309,8,-1.0761,15,0.33615,15,0.46638
ENSG00000242485,MRPL20,110,-0.7837,167,-0.1904,219,0.31689,209,0.32693
ENSG00000235098,ANKRD65,30,-0.2246,26,-0.6084,32,-0.1238,47,0.74719
